"part_id","hh_id","part_age","part_gender"
10471401,"HH10471401",42,"M"
10471402,"HH10471402",46,"M"
10471403,"HH10471403",46,"M"
10471405,"HH10471405",40,"M"
10471406,"HH10471406",43,"M"
10471407,"HH10471407",42,"M"
10471501,"HH10471501",54,"M"
10471601,"HH10471601",53,"M"
10471602,"HH10471602",51,"M"
10471603,"HH10471603",53,"M"
10471606,"HH10471606",55,"M"
10471607,"HH10471607",55,"M"
10471609,"HH10471609",51,"M"
10471701,"HH10471701",18,"F"
10471801,"HH10471801",29,"F"
10471802,"HH10471802",24,"F"
10471803,"HH10471803",20,"F"
10471805,"HH10471805",22,"F"
10471807,"HH10471807",25,"F"
10471809,"HH10471809",24,"F"
10471901,"HH10471901",64,"M"
10471902,"HH10471902",66,"M"
10471903,"HH10471903",64,"M"
10471906,"HH10471906",61,"M"
10471907,"HH10471907",67,"M"
10471909,"HH10471909",61,"M"
10472001,"HH10472001",42,"M"
10472002,"HH10472002",41,"M"
10472003,"HH10472003",47,"M"
10472007,"HH10472007",40,"M"
10472009,"HH10472009",46,"M"
10472101,"HH10472101",45,"M"
10472102,"HH10472102",42,"M"
10472103,"HH10472103",47,"M"
10472105,"HH10472105",47,"M"
10472107,"HH10472107",42,"M"
10472109,"HH10472109",47,"M"
10472201,"HH10472201",64,"M"
10472203,"HH10472203",63,"M"
10472205,"HH10472205",60,"M"
10472207,"HH10472207",65,"M"
10472301,"HH10472301",27,"M"
10472302,"HH10472302",20,"M"
10472307,"HH10472307",25,"M"
10472309,"HH10472309",23,"M"
10472401,"HH10472401",54,"M"
10472402,"HH10472402",51,"M"
10472403,"HH10472403",55,"M"
10472405,"HH10472405",50,"M"
10472406,"HH10472406",56,"M"
10472407,"HH10472407",51,"M"
10472501,"HH10472501",49,"M"
10472502,"HH10472502",45,"M"
10472503,"HH10472503",46,"M"
10472505,"HH10472505",41,"M"
10472506,"HH10472506",45,"M"
10472507,"HH10472507",41,"M"
10472509,"HH10472509",42,"M"
10472601,"HH10472601",58,"M"
10472602,"HH10472602",59,"M"
10472603,"HH10472603",59,"M"
10472605,"HH10472605",59,"M"
10472606,"HH10472606",53,"M"
10472609,"HH10472609",54,"M"
10472701,"HH10472701",50,"M"
10472702,"HH10472702",58,"M"
10472703,"HH10472703",53,"M"
10472706,"HH10472706",57,"M"
10472707,"HH10472707",57,"M"
10472709,"HH10472709",56,"M"
10472801,"HH10472801",56,"F"
10472802,"HH10472802",57,"F"
10472803,"HH10472803",59,"F"
10472805,"HH10472805",58,"F"
10472806,"HH10472806",53,"F"
10472807,"HH10472807",50,"F"
10472809,"HH10472809",58,"F"
10472901,"HH10472901",50,"M"
10472902,"HH10472902",54,"M"
10472903,"HH10472903",55,"M"
10472905,"HH10472905",54,"M"
10472906,"HH10472906",53,"M"
10472907,"HH10472907",53,"M"
10472909,"HH10472909",57,"M"
10473001,"HH10473001",96,"M"
10473002,"HH10473002",87,"M"
10473003,"HH10473003",74,"M"
10473007,"HH10473007",78,"M"
10473101,"HH10473101",63,"F"
10473102,"HH10473102",66,"F"
10473103,"HH10473103",61,"F"
10473201,"HH10473201",18,"F"
10473202,"HH10473202",18,"F"
10473203,"HH10473203",25,"F"
10473205,"HH10473205",28,"F"
10473301,"HH10473301",54,"M"
10473302,"HH10473302",57,"M"
10473303,"HH10473303",42,"M"
10473305,"HH10473305",55,"M"
10473306,"HH10473306",57,"M"
10473307,"HH10473307",50,"M"
10473309,"HH10473309",41,"F"
10473401,"HH10473401",44,"M"
10473402,"HH10473402",46,"M"
10473403,"HH10473403",42,"M"
10473405,"HH10473405",41,"M"
10473406,"HH10473406",46,"M"
10473407,"HH10473407",48,"M"
10473409,"HH10473409",40,"M"
10473501,"HH10473501",66,"M"
10473502,"HH10473502",65,"M"
10473505,"HH10473505",61,"M"
10473506,"HH10473506",67,"M"
10473507,"HH10473507",61,"M"
10473509,"HH10473509",65,"M"
10473601,"HH10473601",83,"F"
10473602,"HH10473602",74,"F"
10473603,"HH10473603",70,"F"
10473605,"HH10473605",72,"F"
10473606,"HH10473606",92,"F"
10473607,"HH10473607",86,"F"
10473609,"HH10473609",85,"F"
10473701,"HH10473701",80,"M"
10473702,"HH10473702",76,"M"
10473703,"HH10473703",97,"M"
10473705,"HH10473705",81,"M"
10473707,"HH10473707",71,"M"
10473709,"HH10473709",84,"M"
10473801,"HH10473801",41,"M"
10473802,"HH10473802",44,"M"
10473805,"HH10473805",46,"M"
10473806,"HH10473806",40,"M"
10473807,"HH10473807",43,"M"
10473809,"HH10473809",48,"M"
10473901,"HH10473901",83,"M"
10473902,"HH10473902",83,"M"
10473903,"HH10473903",71,"M"
10473905,"HH10473905",83,"M"
