"part_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi","cont_id"
2001,29,29,29,NA,"True","False","False","False","False","False",NA,1,1,"2001_outbreak_1"
2001,59,59,59,NA,"True","False","False","False","False","False",NA,1,1,"2001_outbreak_2"
2002,69,69,69,NA,"True","False","False","False","False","False",NA,1,1,"2002_outbreak_1"
2002,69,69,69,NA,"True","False","False","False","False","False",NA,1,1,"2002_outbreak_2"
2002,35,35,35,NA,"True","False","False","False","False","False",NA,1,1,"2002_outbreak_3"
2002,8,8,8,NA,"True","False","False","False","False","False",NA,1,1,"2002_outbreak_4"
2003,68,68,68,NA,"True","False","False","False","False","False",NA,1,5,"2003_outbreak_1"
2003,68,68,68,NA,"True","False","False","False","False","False",NA,1,5,"2003_outbreak_2"
2003,10,10,10,NA,"True","False","False","False","False","False",NA,1,5,"2003_outbreak_3"
2004,66,66,66,NA,"True","False","False","False","False","False",NA,2,1,"2004_outbreak_1"
2005,29,0,90,NA,NA,NA,"False",NA,NA,NA,NA,NA,5,"2005_outbreak_1"
2006,75,75,75,NA,"True","False","False","False","False","False",NA,1,NA,"2006_outbreak_1"
2007,35,35,35,NA,"True","False","False","False","False","False",NA,1,5,"2007_outbreak_1"
2007,9,9,9,NA,"True","False","False","False","False","False",NA,1,1,"2007_outbreak_2"
2007,60,60,60,NA,"True","False","False","False","False","False",NA,2,NA,"2007_outbreak_3"
2008,45,45,45,NA,"True","False","False","False","False","False",NA,1,NA,"2008_outbreak_1"
2008,16,16,16,NA,"True","False","False","False","False","False",NA,1,NA,"2008_outbreak_2"
2009,56,56,56,NA,"True","False","False","False","False","False",NA,2,NA,"2009_outbreak_1"
2009,55,55,55,NA,"True","False","False","False","False","False",NA,2,NA,"2009_outbreak_2"
2009,30,30,30,NA,"False","True","False","False","False","False",NA,2,NA,"2009_outbreak_3"
2010,44,44,44,NA,"True","False","False","False","False","False",NA,1,5,"2010_outbreak_1"
2010,17,17,17,NA,"True","False","False","False","False","False",NA,1,5,"2010_outbreak_2"
2010,67,67,67,NA,"True","False","False","False","False","False",NA,1,5,"2010_outbreak_3"
2012,34,34,34,NA,"True","False","False","False","False","False",NA,2,NA,"2012_outbreak_1"
2012,7,7,7,NA,"True","False","False","False","False","False",NA,1,3,"2012_outbreak_2"
2012,35,35,35,NA,"True","False","False","False","False","False",NA,2,NA,"2012_outbreak_3"
2012,63,63,63,NA,"True","False","False","False","False","False",NA,2,NA,"2012_outbreak_4"
2013,14,14,14,NA,"True","False","False","False","False","False",NA,1,3,"2013_outbreak_1"
2013,2,2,2,NA,"True","False","False","False","False","False",NA,1,5,"2013_outbreak_2"
2013,39,39,39,NA,"True","False","False","False","False","False",NA,1,5,"2013_outbreak_3"
2013,69,69,69,NA,"True","False","False","False","False","False",NA,2,1,"2013_outbreak_4"
2013,68,68,68,NA,"True","False","False","False","False","False",NA,2,1,"2013_outbreak_5"
2014,40,40,40,NA,"False","False","False","False","False","True",NA,2,NA,"2014_outbreak_1"
2014,65,65,65,NA,"True","False","False","False","False","False",NA,1,NA,"2014_outbreak_2"
2014,45,45,45,NA,"True","False","False","False","False","False",NA,1,NA,"2014_outbreak_3"
2014,67,67,67,NA,"True","False","False","False","False","False",NA,1,NA,"2014_outbreak_4"
2014,17,17,17,NA,"True","False","False","False","False","False",NA,1,NA,"2014_outbreak_5"
2015,70,70,70,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"2015_outbreak_1"
2015,36,36,36,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"2015_outbreak_2"
2015,17,17,17,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"2015_outbreak_3"
2016,7,7,7,NA,"True","False","False","False","False","False",NA,1,4,"2016_outbreak_1"
2017,1,1,1,NA,"True","False","False","False","False","False",NA,1,NA,"2017_outbreak_1"
2017,3,3,3,NA,"True","False","False","False","False","False",NA,1,NA,"2017_outbreak_2"
2017,34,34,34,NA,"True","False","False","False","False","False",NA,1,NA,"2017_outbreak_3"
2019,38,38,38,NA,"True","False","False","False","False","False",NA,1,NA,"2019_outbreak_1"
2020,53,53,53,NA,"True","False","False","False","False","False",NA,1,5,"2020_outbreak_1"
2021,60,60,60,NA,"True","False","False","False","False","False",NA,1,2,"2021_outbreak_1"
2022,64,64,64,NA,"True","False","False","False","False","False",NA,2,2,"2022_outbreak_1"
2022,39,39,39,NA,"True","False","False","False","False","False",NA,2,2,"2022_outbreak_2"
2023,54,54,54,NA,"True","False","False","False","False","False",NA,1,NA,"2023_outbreak_1"
2023,27,27,27,NA,"True","False","False","False","False","False",NA,1,NA,"2023_outbreak_2"
2024,61,61,61,NA,"True","False","False","False","False","False",NA,1,5,"2024_outbreak_1"
2024,61,61,61,NA,"True","False","False","False","False","False",NA,1,5,"2024_outbreak_2"
2024,33,33,33,NA,"True","False","False","False","False","False",NA,1,5,"2024_outbreak_3"
2025,25,25,25,NA,"False","False","False","False","False","True",NA,2,NA,"2025_outbreak_1"
2026,55,55,55,NA,"True","False","False","False","False","False",NA,2,NA,"2026_outbreak_1"
2026,56,56,56,NA,"True","False","False","False","False","False",NA,2,NA,"2026_outbreak_2"
2026,35,35,35,NA,"True","False","False","False","False","False",NA,2,3,"2026_outbreak_3"
2026,5,5,5,NA,"True","False","False","False","False","False",NA,1,4,"2026_outbreak_4"
2028,56,56,56,NA,"True","False","False","False","False","False",NA,1,4,"2028_outbreak_1"
2028,58,58,58,NA,"True","False","False","False","False","False",NA,1,4,"2028_outbreak_2"
2029,56,56,56,NA,"True","False","False","False","False","False",NA,1,2,"2029_outbreak_1"
2029,57,57,57,NA,"True","False","False","False","False","False",NA,1,2,"2029_outbreak_2"
2029,40,40,40,NA,"False","True","False","False","False","False",NA,1,3,"2029_outbreak_3"
2029,31,31,31,NA,"False","True","False","False","False","False",NA,2,3,"2029_outbreak_4"
2029,28,28,28,NA,"False","True","False","False","False","False",NA,2,3,"2029_outbreak_5"
2029,35,35,35,NA,"False","False","False","True","False","False",NA,2,1,"2029_outbreak_6"
2030,35,35,35,NA,"True","False","False","False","False","False",NA,1,NA,"2030_outbreak_1"
2031,40,40,40,NA,"False","False","False","False","False","True",NA,2,NA,"2031_outbreak_1"
2032,32,32,32,NA,"True","False","False","False","False","False",NA,1,4,"2032_outbreak_1"
2032,5,5,5,NA,"True","False","False","False","False","False",NA,1,5,"2032_outbreak_2"
2032,60,60,60,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2032_outbreak_3"
2033,74,74,74,NA,"True","False","False","False","False","False",NA,2,3,"2033_outbreak_1"
2034,45,45,45,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2034_outbreak_1"
2034,40,40,40,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2034_outbreak_2"
2034,40,40,40,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2034_outbreak_3"
2034,40,40,40,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2034_outbreak_4"
2035,16,0,90,NA,"True","False","False","False","False","False",NA,1,NA,"2035_outbreak_1"
2036,30,30,30,NA,"True","False","False","False","False","False",NA,2,NA,"2036_outbreak_1"
2037,44,44,44,NA,NA,NA,"False",NA,NA,NA,NA,1,5,"2037_outbreak_1"
2037,19,19,19,NA,NA,NA,"False",NA,NA,NA,NA,1,4,"2037_outbreak_2"
2037,50,50,50,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2037_outbreak_3"
2037,65,65,65,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2037_outbreak_4"
2037,55,55,55,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2037_outbreak_5"
2038,60,60,60,NA,"False","False","False","False","False","True",NA,2,1,"2038_outbreak_1"
2038,72,72,72,NA,"True","False","False","False","False","False",NA,1,3,"2038_outbreak_2"
2039,74,0,90,NA,"False","False","False","False","False","True",NA,NA,NA,"2039_outbreak_1"
2040,10,10,10,NA,"True","False","False","False","False","False",NA,1,NA,"2040_outbreak_1"
2040,36,36,36,NA,"True","False","False","False","False","False",NA,1,NA,"2040_outbreak_2"
