part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cont_id
2001,29.0,29.0,29.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2001_outbreak_1
2001,59.0,59.0,59.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2001_outbreak_2
2002,69.0,69.0,69.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2002_outbreak_1
2002,69.0,69.0,69.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2002_outbreak_2
2002,35.0,35.0,35.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2002_outbreak_3
2002,8.0,8.0,8.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2002_outbreak_4
2003,68.0,68.0,68.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2003_outbreak_1
2003,68.0,68.0,68.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2003_outbreak_2
2003,10.0,10.0,10.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2003_outbreak_3
2004,66.0,66.0,66.0,NA,True,False,False,False,False,False,NA,2.0,1.0,2004_outbreak_1
2005,NA,0.0,90.0,NA,NA,NA,False,NA,NA,NA,NA,NA,5.0,2005_outbreak_1
2006,75.0,75.0,75.0,NA,True,False,False,False,False,False,NA,1.0,NA,2006_outbreak_1
2007,35.0,35.0,35.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2007_outbreak_1
2007,9.0,9.0,9.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2007_outbreak_2
2007,60.0,60.0,60.0,NA,True,False,False,False,False,False,NA,2.0,NA,2007_outbreak_3
2008,45.0,45.0,45.0,NA,True,False,False,False,False,False,NA,1.0,NA,2008_outbreak_1
2008,16.0,16.0,16.0,NA,True,False,False,False,False,False,NA,1.0,NA,2008_outbreak_2
2009,56.0,56.0,56.0,NA,True,False,False,False,False,False,NA,2.0,NA,2009_outbreak_1
2009,55.0,55.0,55.0,NA,True,False,False,False,False,False,NA,2.0,NA,2009_outbreak_2
2009,30.0,30.0,30.0,NA,False,True,False,False,False,False,NA,2.0,NA,2009_outbreak_3
2010,44.0,44.0,44.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2010_outbreak_1
2010,17.0,17.0,17.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2010_outbreak_2
2010,67.0,67.0,67.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2010_outbreak_3
2012,34.0,34.0,34.0,NA,True,False,False,False,False,False,NA,2.0,NA,2012_outbreak_1
2012,7.0,7.0,7.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2012_outbreak_2
2012,35.0,35.0,35.0,NA,True,False,False,False,False,False,NA,2.0,NA,2012_outbreak_3
2012,63.0,63.0,63.0,NA,True,False,False,False,False,False,NA,2.0,NA,2012_outbreak_4
2013,14.0,14.0,14.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2013_outbreak_1
2013,2.0,2.0,2.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2013_outbreak_2
2013,39.0,39.0,39.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2013_outbreak_3
2013,69.0,69.0,69.0,NA,True,False,False,False,False,False,NA,2.0,1.0,2013_outbreak_4
2013,68.0,68.0,68.0,NA,True,False,False,False,False,False,NA,2.0,1.0,2013_outbreak_5
2014,40.0,40.0,40.0,NA,False,False,False,False,False,True,NA,2.0,NA,2014_outbreak_1
2014,65.0,65.0,65.0,NA,True,False,False,False,False,False,NA,1.0,NA,2014_outbreak_2
2014,45.0,45.0,45.0,NA,True,False,False,False,False,False,NA,1.0,NA,2014_outbreak_3
2014,67.0,67.0,67.0,NA,True,False,False,False,False,False,NA,1.0,NA,2014_outbreak_4
2014,17.0,17.0,17.0,NA,True,False,False,False,False,False,NA,1.0,NA,2014_outbreak_5
2015,70.0,70.0,70.0,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,2015_outbreak_1
2015,36.0,36.0,36.0,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,2015_outbreak_2
2015,17.0,17.0,17.0,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,2015_outbreak_3
2016,7.0,7.0,7.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2016_outbreak_1
2017,1.0,1.0,1.0,NA,True,False,False,False,False,False,NA,1.0,NA,2017_outbreak_1
2017,3.0,3.0,3.0,NA,True,False,False,False,False,False,NA,1.0,NA,2017_outbreak_2
2017,34.0,34.0,34.0,NA,True,False,False,False,False,False,NA,1.0,NA,2017_outbreak_3
2019,38.0,38.0,38.0,NA,True,False,False,False,False,False,NA,1.0,NA,2019_outbreak_1
2020,53.0,53.0,53.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2020_outbreak_1
