"part_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi","cont_id"
1001,1,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1001_outbreak_1"
1001,27,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1001_outbreak_2"
1002,42,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1002_outbreak_1"
1002,14,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1002_outbreak_2"
1003,45,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1003_outbreak_1"
1003,30,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1003_outbreak_2"
1003,25,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1003_outbreak_3"
1003,3,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1003_outbreak_4"
1005,40,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1005_outbreak_1"
1005,20,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"1005_outbreak_2"
1005,70,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"1005_outbreak_3"
1006,76,0,90,NA,"True","False","False","False","False","False",NA,2,NA,"1006_outbreak_1"
1006,23,0,90,NA,"True","False","False","False","False","False",NA,2,NA,"1006_outbreak_2"
1006,14,0,90,NA,"True","False","False","False","False","False",NA,2,NA,"1006_outbreak_3"
1006,32,0,90,NA,"True","False","False","False","False","False",NA,2,NA,"1006_outbreak_4"
1007,3,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1007_outbreak_1"
1007,13,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1007_outbreak_2"
1007,42,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1007_outbreak_3"
1007,3,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1007_outbreak_4"
1008,5,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1008_outbreak_1"
1008,40,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1008_outbreak_2"
1010,32,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1010_outbreak_1"
1010,10,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1010_outbreak_2"
1010,2,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1010_outbreak_3"
1011,33,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1011_outbreak_1"
1011,6,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1011_outbreak_2"
1012,50,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"1012_outbreak_1"
1013,52,0,90,NA,"True","False","False","False","False","False",NA,1,NA,"1013_outbreak_1"
1013,15,0,90,NA,"True","False","False","False","False","False",NA,1,NA,"1013_outbreak_2"
1014,30,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1014_outbreak_1"
1015,47,0,90,NA,"True","False","False","False","False","False",NA,1,NA,"1015_outbreak_1"
1015,46,0,90,NA,"True","False","False","False","False","False",NA,1,NA,"1015_outbreak_2"
1015,6,0,90,NA,"True","False","False","False","False","False",NA,1,NA,"1015_outbreak_3"
1016,53,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1016_outbreak_1"
1018,40,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1018_outbreak_1"
1019,10,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1019_outbreak_1"
1019,40,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"1019_outbreak_2"
1020,56,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1020_outbreak_1"
1021,54,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1021_outbreak_1"
1021,25,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1021_outbreak_2"
1022,82,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"1022_outbreak_1"
1023,60,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1023_outbreak_1"
1024,38,NA,NA,NA,"False","True","False","False","False","False",NA,2,NA,"1024_outbreak_1"
1025,49,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"1025_outbreak_1"
1025,22,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"1025_outbreak_2"
1027,42,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1027_outbreak_1"
1027,80,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1027_outbreak_2"
1028,80,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1028_outbreak_1"
1029,17,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1029_outbreak_1"
1029,14,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1029_outbreak_2"
1029,36,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1029_outbreak_3"
1030,57,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1030_outbreak_1"
1031,35,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1031_outbreak_1"
1032,42,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1032_outbreak_1"
1032,60,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1032_outbreak_2"
1033,33,0,90,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"1033_outbreak_1"
1033,1,0,90,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"1033_outbreak_2"
1034,3,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1034_outbreak_1"
1034,50,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1034_outbreak_2"
1034,55,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1034_outbreak_3"
1035,60,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"1035_outbreak_1"
1035,66,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"1035_outbreak_2"
1035,5,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1035_outbreak_3"
1036,56,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1036_outbreak_1"
1036,58,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1036_outbreak_2"
1036,30,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1036_outbreak_3"
1036,2,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1036_outbreak_4"
1037,50,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1037_outbreak_1"
1039,56,NA,NA,NA,"False","False","False","False","False","True",NA,1,NA,"1039_outbreak_1"
1039,54,NA,NA,NA,"False","False","False","False","False","True",NA,1,NA,"1039_outbreak_2"
1039,27,NA,NA,NA,"False","False","False","False","False","True",NA,1,NA,"1039_outbreak_3"
1039,3,NA,NA,NA,"False","False","False","False","False","True",NA,1,NA,"1039_outbreak_4"
1040,75,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1040_outbreak_1"
1040,50,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1040_outbreak_2"
1040,23,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1040_outbreak_3"
1041,65,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1041_outbreak_1"
1041,39,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1041_outbreak_2"
1041,12,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1041_outbreak_3"
1042,36,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1042_outbreak_1"
1043,40,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1043_outbreak_1"
1043,18,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1043_outbreak_2"
1044,42,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1044_outbreak_1"
1045,54,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1045_outbreak_1"
1046,60,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1046_outbreak_1"
1046,40,NA,NA,NA,"False","False","False","False","False","True",NA,2,NA,"1046_outbreak_2"
1047,26,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1047_outbreak_1"
1047,21,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1047_outbreak_2"
1048,45,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1048_outbreak_1"
1048,71,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1048_outbreak_2"
1049,55,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1049_outbreak_1"
1049,38,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1049_outbreak_2"
1049,30,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1049_outbreak_3"
1049,9,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1049_outbreak_4"
1050,40,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1050_outbreak_1"
1050,16,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1050_outbreak_2"
1050,85,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1050_outbreak_3"
1050,82,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1050_outbreak_4"
1051,42,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1051_outbreak_1"
1051,17,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1051_outbreak_2"
1052,44,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1052_outbreak_1"
1052,20,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1052_outbreak_2"
1053,50,NA,NA,NA,"False","True","False","False","False","False",NA,2,NA,"1053_outbreak_1"
1053,50,NA,NA,NA,"False","True","False","False","False","False",NA,2,NA,"1053_outbreak_2"
1054,40,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1054_outbreak_1"
1055,49,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"1055_outbreak_1"
1055,63,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"1055_outbreak_2"
1055,22,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"1055_outbreak_3"
1055,49,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,"1055_outbreak_4"
1055,40,NA,NA,NA,"False","True","False","False","False","False",NA,2,NA,"1055_outbreak_5"
1056,50,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1056_outbreak_1"
1057,19,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1057_outbreak_1"
1057,40,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1057_outbreak_2"
1058,42,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1058_outbreak_1"
1058,13,NA,NA,NA,"True","False","False","False","False","False",NA,2,NA,"1058_outbreak_2"
1059,56,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1059_outbreak_1"
1059,4,NA,NA,NA,"True","False","False","False","False","False",NA,1,NA,"1059_outbreak_2"
