cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
101562001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101562002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101562003,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101563001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101563002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101563003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101563004,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
101563005,FALSE,FALSE,FALSE,TRUE,FALSE,male,never met
101564001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101565001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101565002,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
101565003,FALSE,FALSE,FALSE,TRUE,FALSE,male,never met
101565004,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
101566001,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101566002,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101566003,NA,NA,NA,NA,NA,NA,NA
101567001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101567002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101567003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101567004,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
101567005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
101567006,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
101568001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101568002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101569001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101569002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101569003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101569004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101569005,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
