hh_id,country,hh_size
HH10156201,hr,1
HH10156202,hr,1
HH10156204,hr,1
HH10156205,hr,1
HH10156206,hr,1
HH10156207,hr,1
HH10156208,hr,1
HH10156301,hr,5
HH10156304,hr,5
HH10156401,hr,1
HH10156402,hr,1
HH10156404,hr,1
HH10156405,hr,1
HH10156501,hr,1
HH10156502,hr,1
HH10156504,hr,1
HH10156505,hr,1
HH10156506,hr,1
HH10156601,hr,3
HH10156604,hr,4
HH10156701,hr,2
HH10156702,hr,2
HH10156801,hr,3
HH10156804,hr,3
HH10156805,hr,3
HH10156806,hr,3
HH10156807,hr,3
HH10156808,hr,3
HH10156901,hr,2
HH10156904,hr,2
HH10156905,hr,2
HH10156907,hr,2
HH10156908,hr,2
HH10157001,hr,2
HH10157002,hr,2
HH10157004,hr,2
HH10157005,hr,2
HH10157006,hr,2
HH10157007,hr,2
HH10157008,hr,2
HH10157101,hr,2
HH10157102,hr,2
HH10157104,hr,2
HH10157201,hr,1
HH10157202,hr,1
HH10157204,hr,1
HH10157205,hr,1
HH10157206,hr,1
HH10157207,hr,1
HH10157208,hr,1
HH10157301,hr,4
HH10157302,hr,4
HH10157304,hr,4
HH10157306,hr,3
HH10157401,hr,4
HH10157402,hr,4
HH10157404,hr,4
HH10157501,hr,2
HH10157502,hr,2
HH10157504,hr,2
HH10157505,hr,2
HH10157506,hr,2
HH10157507,hr,2
HH10157508,hr,2
HH10157601,hr,4
HH10157602,hr,4
HH10157604,hr,4
HH10157701,hr,2
HH10157801,hr,3
HH10157802,hr,3
HH10157804,hr,3
HH10157901,hr,3
HH10157902,hr,3
HH10158001,hr,2
HH10158002,hr,2
HH10158004,hr,2
HH10158005,hr,2
HH10158006,hr,2
HH10158007,hr,2
HH10158101,hr,3
HH10158102,hr,3
HH10158104,hr,3
HH10158105,hr,3
HH10158106,hr,3
HH10158107,hr,3
HH10158108,hr,3
HH10158201,hr,1
HH10158202,hr,1
HH10158204,hr,1
HH10158205,hr,1
HH10158206,hr,1
HH10158207,hr,1
HH10158208,hr,1
HH10158301,hr,3
HH10158401,hr,2
HH10158402,hr,2
HH10158404,hr,2
HH10158405,hr,2
HH10158406,hr,2
HH10158407,hr,2
HH10158408,hr,2
HH10158501,hr,2
HH10158502,hr,2
HH10158601,hr,2
HH10158602,hr,2
HH10158604,hr,2
HH10158606,hr,2
HH10158701,hr,3
HH10158702,hr,2
HH10158704,hr,2
HH10158801,hr,2
HH10158802,hr,2
HH10158804,hr,2
HH10158805,hr,2
HH10158806,hr,2
HH10158807,hr,2
HH10158808,hr,2
HH10158901,hr,2
HH10158902,hr,2
HH10158905,hr,2
HH10158907,hr,2
HH10159001,hr,2
HH10159002,hr,2
HH10159004,hr,2
HH10159005,hr,2
HH10159006,hr,2
HH10159007,hr,2
HH10159008,hr,2
HH10159101,hr,2
HH10159102,hr,2
HH10159104,hr,2
HH10159105,hr,2
HH10159106,hr,2
HH10159107,hr,2
HH10159201,hr,4
HH10159301,hr,2
HH10159401,hr,3
HH10159402,hr,3
HH10159404,hr,3
HH10159501,hr,2
HH10159502,hr,2
HH10159504,hr,2
HH10159505,hr,2
HH10159506,hr,2
HH10159507,hr,2
HH10159508,hr,2
HH10159601,hr,4
HH10159604,hr,4
HH10159605,hr,4
HH10159607,hr,4
HH10159701,hr,4
HH10159702,hr,4
HH10159704,hr,4
HH10159705,hr,4
