"part_id","hh_id","part_age","part_gender"
10156201,"HH10156201","18-29","M"
10156202,"HH10156202","18-29","M"
10156204,"HH10156204","18-29","M"
10156205,"HH10156205","18-29","M"
10156206,"HH10156206","18-29","M"
10156207,"HH10156207","18-29","M"
10156208,"HH10156208","18-29","M"
10156301,"HH10156301","18-29","F"
10156304,"HH10156304","18-29","F"
10156401,"HH10156401","30-39","M"
10156402,"HH10156402","30-39","M"
10156404,"HH10156404","30-39","M"
10156405,"HH10156405","30-39","M"
10156501,"HH10156501","18-29","F"
10156502,"HH10156502","18-29","F"
10156504,"HH10156504","18-29","F"
10156505,"HH10156505","18-29","F"
10156506,"HH10156506","18-29","F"
10156601,"HH10156601","50-59","M"
10156604,"HH10156604","50-59","M"
10156701,"HH10156701","30-39","F"
10156702,"HH10156702","30-39","F"
10156801,"HH10156801","18-29","M"
10156804,"HH10156804","18-29","M"
10156805,"HH10156805","18-29","M"
10156806,"HH10156806","18-29","M"
10156807,"HH10156807","18-29","M"
10156808,"HH10156808","18-29","M"
10156901,"HH10156901","40-49","M"
10156904,"HH10156904","40-49","M"
10156905,"HH10156905","40-49","M"
10156907,"HH10156907","40-49","M"
10156908,"HH10156908","40-49","M"
10157001,"HH10157001","30-39","F"
10157002,"HH10157002","30-39","F"
10157004,"HH10157004","30-39","F"
10157005,"HH10157005","30-39","F"
10157006,"HH10157006","30-39","F"
10157007,"HH10157007","30-39","F"
10157008,"HH10157008","30-39","F"
10157101,"HH10157101","40-49","M"
10157102,"HH10157102","40-49","M"
10157104,"HH10157104","40-49","M"
10157201,"HH10157201","40-49","M"
10157202,"HH10157202","40-49","M"
10157204,"HH10157204","40-49","M"
10157205,"HH10157205","40-49","M"
10157206,"HH10157206","40-49","M"
10157207,"HH10157207","40-49","M"
10157208,"HH10157208","40-49","M"
10157301,"HH10157301","18-29","F"
10157302,"HH10157302","18-29","F"
10157304,"HH10157304","18-29","F"
10157306,"HH10157306","18-29","F"
10157401,"HH10157401","18-29","F"
10157402,"HH10157402","18-29","F"
10157404,"HH10157404","18-29","F"
10157501,"HH10157501","18-29","F"
10157502,"HH10157502","18-29","F"
10157504,"HH10157504","18-29","F"
10157505,"HH10157505","18-29","F"
10157506,"HH10157506","18-29","F"
10157507,"HH10157507","18-29","F"
10157508,"HH10157508","18-29","F"
10157601,"HH10157601","30-39","M"
10157602,"HH10157602","30-39","M"
10157604,"HH10157604","30-39","M"
10157701,"HH10157701","70-120","M"
10157801,"HH10157801","50-59","M"
10157802,"HH10157802","50-59","M"
10157804,"HH10157804","50-59","M"
10157901,"HH10157901","18-29","F"
10157902,"HH10157902","18-29","F"
10158001,"HH10158001","60-69","M"
10158002,"HH10158002","60-69","M"
10158004,"HH10158004","60-69","M"
10158005,"HH10158005","60-69","M"
10158006,"HH10158006","60-69","M"
10158007,"HH10158007","60-69","M"
10158101,"HH10158101","50-59","M"
10158102,"HH10158102","50-59","M"
10158104,"HH10158104","50-59","M"
10158105,"HH10158105","50-59","M"
10158106,"HH10158106","50-59","M"
10158107,"HH10158107","50-59","M"
10158108,"HH10158108","50-59","M"
10158201,"HH10158201","30-39","M"
10158202,"HH10158202","30-39","M"
10158204,"HH10158204","30-39","M"
10158205,"HH10158205","30-39","M"
10158206,"HH10158206","30-39","M"
10158207,"HH10158207","30-39","M"
10158208,"HH10158208","30-39","M"
10158301,"HH10158301","40-49","M"
10158401,"HH10158401","60-69","M"
10158402,"HH10158402","60-69","M"
10158404,"HH10158404","60-69","M"
10158405,"HH10158405","60-69","M"
10158406,"HH10158406","60-69","M"
10158407,"HH10158407","60-69","M"
10158408,"HH10158408","60-69","M"
10158501,"HH10158501","18-29","F"
10158502,"HH10158502","18-29","F"
10158601,"HH10158601","18-29","M"
10158602,"HH10158602","18-29","M"
10158604,"HH10158604","18-29","M"
10158606,"HH10158606","18-29","M"
10158701,"HH10158701","40-49","M"
10158702,"HH10158702","40-49","M"
10158704,"HH10158704","40-49","M"
10158801,"HH10158801","40-49","F"
10158802,"HH10158802","40-49","F"
10158804,"HH10158804","40-49","F"
10158805,"HH10158805","40-49","F"
10158806,"HH10158806","40-49","F"
10158807,"HH10158807","40-49","F"
10158808,"HH10158808","40-49","F"
10158901,"HH10158901","60-69","F"
10158902,"HH10158902","60-69","F"
10158905,"HH10158905","60-69","F"
10158907,"HH10158907","60-69","F"
