"part_id","hh_id","part_age","part_gender"
10627401,"HH10627401",54,"F"
10627402,"HH10627402",57,"F"
10627405,"HH10627405",55,"F"
10627407,"HH10627407",55,"F"
10627501,"HH10627501",60,"F"
10627502,"HH10627502",67,"F"
10627503,"HH10627503",66,"F"
10627506,"HH10627506",66,"F"
10627507,"HH10627507",63,"F"
10627509,"HH10627509",60,"F"
10627601,"HH10627601",58,"M"
10627602,"HH10627602",57,"M"
10627603,"HH10627603",59,"M"
10627605,"HH10627605",57,"M"
10627606,"HH10627606",62,"M"
10627607,"HH10627607",63,"M"
10627609,"HH10627609",67,"M"
10627701,"HH10627701",62,"M"
10627702,"HH10627702",62,"M"
10627705,"HH10627705",64,"M"
10627706,"HH10627706",65,"M"
10627707,"HH10627707",65,"M"
10627801,"HH10627801",52,"F"
10627802,"HH10627802",52,"F"
10627803,"HH10627803",56,"F"
10627805,"HH10627805",57,"F"
10627806,"HH10627806",55,"F"
10627807,"HH10627807",58,"F"
10627809,"HH10627809",54,"F"
10627901,"HH10627901",61,"M"
10627902,"HH10627902",64,"M"
10627906,"HH10627906",66,"M"
10627907,"HH10627907",63,"M"
10627909,"HH10627909",61,"M"
10628001,"HH10628001",44,"M"
10628002,"HH10628002",46,"M"
10628005,"HH10628005",40,"M"
10628007,"HH10628007",48,"M"
10628101,"HH10628101",38,"M"
10628201,"HH10628201",86,"M"
10628203,"HH10628203",82,"M"
10628205,"HH10628205",75,"M"
10628206,"HH10628206",90,"M"
10628207,"HH10628207",70,"M"
10628209,"HH10628209",100,"M"
10628301,"HH10628301",65,"M"
10628302,"HH10628302",66,"M"
10628303,"HH10628303",60,"M"
10628305,"HH10628305",65,"M"
10628306,"HH10628306",69,"M"
10628307,"HH10628307",68,"M"
10628309,"HH10628309",60,"M"
10628401,"HH10628401",63,"M"
10628402,"HH10628402",68,"M"
10628403,"HH10628403",64,"M"
10628501,"HH10628501",28,"M"
10628502,"HH10628502",18,"M"
10628503,"HH10628503",23,"M"
10628505,"HH10628505",27,"M"
10628506,"HH10628506",29,"M"
10628507,"HH10628507",21,"M"
10628509,"HH10628509",29,"M"
10628601,"HH10628601",73,"M"
10628701,"HH10628701",57,"F"
10628801,"HH10628801",77,"M"
10628803,"HH10628803",72,"M"
10628901,"HH10628901",77,"F"
10628902,"HH10628902",70,"F"
10628903,"HH10628903",73,"F"
10628905,"HH10628905",71,"F"
10629001,"HH10629001",72,"M"
10629002,"HH10629002",75,"M"
10629005,"HH10629005",82,"M"
10629007,"HH10629007",76,"M"
10629009,"HH10629009",70,"M"
10629101,"HH10629101",72,"M"
10629103,"HH10629103",75,"M"
10629105,"HH10629105",88,"M"
10629201,"HH10629201",71,"M"
10629203,"HH10629203",73,"M"
10629205,"HH10629205",76,"M"
10629301,"HH10629301",73,"F"
10629303,"HH10629303",70,"F"
10629305,"HH10629305",72,"F"
10629401,"HH10629401",64,"M"
10629405,"HH10629405",69,"M"
10629406,"HH10629406",63,"M"
10629501,"HH10629501",68,"F"
10629505,"HH10629505",65,"F"
10629601,"HH10629601",73,"F"
10629701,"HH10629701",67,"F"
10629702,"HH10629702",66,"F"
10629703,"HH10629703",65,"F"
10629705,"HH10629705",68,"F"
10629706,"HH10629706",62,"F"
10629801,"HH10629801",79,"M"
10629802,"HH10629802",72,"M"
10629803,"HH10629803",78,"M"
10629805,"HH10629805",75,"M"
10629806,"HH10629806",97,"M"
10629809,"HH10629809",73,"M"
10629901,"HH10629901",68,"F"
10629902,"HH10629902",66,"F"
10629903,"HH10629903",69,"F"
10629905,"HH10629905",63,"F"
10629906,"HH10629906",60,"F"
10629907,"HH10629907",68,"F"
10629909,"HH10629909",64,"F"
10630001,"HH10630001",74,"F"
10630003,"HH10630003",72,"F"
10630101,"HH10630101",77,"F"
10630103,"HH10630103",74,"F"
10630201,"HH10630201",85,"M"
10630202,"HH10630202",79,"M"
10630301,"HH10630301",76,"M"
10630302,"HH10630302",77,"M"
10630303,"HH10630303",76,"M"
10630305,"HH10630305",86,"M"
10630306,"HH10630306",78,"M"
10630401,"HH10630401",78,"M"
10630501,"HH10630501",62,"M"
10630502,"HH10630502",64,"M"
10630503,"HH10630503",69,"M"
10630505,"HH10630505",60,"M"
10630506,"HH10630506",63,"M"
10630507,"HH10630507",67,"M"
10630509,"HH10630509",67,"M"
10630601,"HH10630601",73,"M"
10630603,"HH10630603",77,"M"
10630701,"HH10630701",58,"M"
10630702,"HH10630702",50,"M"
10630703,"HH10630703",58,"M"
10630705,"HH10630705",52,"M"
10630706,"HH10630706",50,"M"
10630707,"HH10630707",59,"M"
10630709,"HH10630709",52,"M"
10630801,"HH10630801",70,"M"
10630803,"HH10630803",71,"M"
10630805,"HH10630805",70,"M"
10630901,"HH10630901",26,"F"
10630903,"HH10630903",25,"F"
10630905,"HH10630905",21,"F"
10630909,"HH10630909",20,"F"
10631001,"HH10631001",64,"M"
10631003,"HH10631003",67,"M"
10631005,"HH10631005",66,"M"
10631101,"HH10631101",51,"F"
10631102,"HH10631102",53,"F"
10631103,"HH10631103",51,"F"
10631105,"HH10631105",56,"F"
10631106,"HH10631106",53,"F"
10631107,"HH10631107",57,"F"
10631201,"HH10631201",79,"M"
10631202,"HH10631202",78,"M"
10631203,"HH10631203",75,"M"
10631207,"HH10631207",83,"M"
10631301,"HH10631301",73,"M"
10631303,"HH10631303",81,"M"
10631306,"HH10631306",85,"M"
10631401,"HH10631401",83,"M"
10631402,"HH10631402",75,"M"
10631403,"HH10631403",78,"M"
10631405,"HH10631405",81,"M"
10631501,"HH10631501",84,"M"
