hh_id,country,hh_size
HH10312201,ee,1
HH10312202,ee,1
HH10312204,ee,1
HH10312205,ee,1
HH10312301,ee,1
HH10312302,ee,1
HH10312304,ee,1
HH10312305,ee,1
HH10312307,ee,1
HH10312308,ee,1
HH10312401,ee,1
HH10312402,ee,1
HH10312404,ee,1
HH10312405,ee,1
HH10312406,ee,1
HH10312407,ee,1
HH10312408,ee,1
HH10312501,ee,1
HH10312502,ee,1
HH10312504,ee,2
HH10312505,ee,2
HH10312601,ee,1
HH10312602,ee,1
HH10312604,ee,1
HH10312605,ee,1
HH10312608,ee,1
HH10312701,ee,2
HH10312702,ee,2
HH10312704,ee,2
HH10312705,ee,2
HH10312801,ee,1
HH10312802,ee,1
HH10312804,ee,1
HH10312805,ee,1
HH10312806,ee,1
HH10312807,ee,1
HH10312901,ee,1
HH10312902,ee,1
HH10312904,ee,1
HH10312905,ee,1
HH10312906,ee,1
HH10312907,ee,1
HH10312908,ee,1
HH10313001,ee,1
HH10313101,ee,3
HH10313102,ee,3
HH10313105,ee,3
HH10313106,ee,3
HH10313201,ee,3
HH10313202,ee,3
HH10313301,ee,2
HH10313302,ee,2
HH10313304,ee,2
HH10313305,ee,2
HH10313306,ee,2
HH10313308,ee,2
HH10313401,ee,1
HH10313402,ee,1
HH10313404,ee,1
HH10313406,ee,1
HH10313408,ee,1
HH10313501,ee,1
HH10313505,ee,2
HH10313601,ee,2
HH10313602,ee,2
HH10313605,ee,2
HH10313607,ee,2
HH10313701,ee,1
HH10313702,ee,1
HH10313704,ee,1
HH10313706,ee,1
HH10313708,ee,1
HH10313801,ee,2
HH10313802,ee,2
HH10313804,ee,2
HH10313807,ee,2
HH10313901,ee,3
HH10313902,ee,3
HH10313904,ee,3
HH10313905,ee,3
HH10313907,ee,3
HH10313908,ee,3
HH10314101,ee,2
HH10314102,ee,2
HH10314104,ee,2
HH10314105,ee,2
HH10314107,ee,2
HH10314201,ee,2
HH10314202,ee,2
HH10314206,ee,2
HH10314208,ee,2
HH10314301,ee,2
HH10314401,ee,3
HH10314501,ee,3
HH10314502,ee,3
HH10314504,ee,3
HH10314505,ee,3
HH10314506,ee,3
HH10314507,ee,3
HH10314601,ee,2
HH10314701,ee,1
HH10314704,ee,1
HH10314705,ee,1
HH10314707,ee,1
HH10314801,ee,1
HH10314802,ee,1
HH10314804,ee,1
HH10314805,ee,1
HH10314806,ee,1
HH10314807,ee,1
HH10314901,ee,2
HH10314902,ee,2
HH10314904,ee,2
HH10314905,ee,2
HH10314906,ee,2
HH10314907,ee,2
HH10315001,ee,2
HH10315002,ee,2
HH10315004,ee,2
HH10315005,ee,2
