"part_id","hh_id","part_age","part_gender"
10312201,"HH10312201",24,"F"
10312202,"HH10312202",27,"F"
10312204,"HH10312204",20,"M"
10312205,"HH10312205",22,"F"
10312301,"HH10312301",41,"M"
10312302,"HH10312302",47,"M"
10312304,"HH10312304",46,"M"
10312305,"HH10312305",45,"M"
10312307,"HH10312307",49,"M"
10312308,"HH10312308",44,"M"
10312401,"HH10312401",32,"M"
10312402,"HH10312402",32,"M"
10312404,"HH10312404",30,"M"
10312405,"HH10312405",36,"M"
10312406,"HH10312406",32,"M"
10312407,"HH10312407",31,"M"
10312408,"HH10312408",32,"M"
10312501,"HH10312501",35,"M"
10312502,"HH10312502",35,"M"
10312504,"HH10312504",32,"M"
10312505,"HH10312505",33,"M"
10312601,"HH10312601",29,"F"
10312602,"HH10312602",21,"F"
10312604,"HH10312604",25,"F"
10312605,"HH10312605",26,"F"
10312608,"HH10312608",24,"F"
10312701,"HH10312701",44,"F"
10312702,"HH10312702",47,"F"
10312704,"HH10312704",47,"F"
10312705,"HH10312705",47,"F"
10312801,"HH10312801",72,"F"
10312802,"HH10312802",74,"F"
10312804,"HH10312804",85,"F"
10312805,"HH10312805",71,"F"
10312806,"HH10312806",81,"F"
10312807,"HH10312807",72,"F"
10312901,"HH10312901",30,"F"
10312902,"HH10312902",30,"F"
10312904,"HH10312904",35,"F"
10312905,"HH10312905",33,"F"
10312906,"HH10312906",37,"F"
10312907,"HH10312907",33,"F"
10312908,"HH10312908",35,"F"
10313001,"HH10313001",26,"F"
10313101,"HH10313101",45,"M"
10313102,"HH10313102",47,"M"
10313105,"HH10313105",42,"M"
10313106,"HH10313106",41,"M"
10313201,"HH10313201",30,"M"
10313202,"HH10313202",30,"M"
10313301,"HH10313301",79,"F"
10313302,"HH10313302",72,"F"
10313304,"HH10313304",73,"F"
10313305,"HH10313305",87,"F"
10313306,"HH10313306",72,"F"
10313308,"HH10313308",77,"F"
10313401,"HH10313401",57,"M"
10313402,"HH10313402",57,"M"
10313404,"HH10313404",54,"M"
10313406,"HH10313406",50,"M"
10313408,"HH10313408",58,"M"
10313501,"HH10313501",24,"M"
10313505,"HH10313505",18,"M"
10313601,"HH10313601",64,"F"
10313602,"HH10313602",62,"F"
10313605,"HH10313605",64,"F"
10313607,"HH10313607",69,"F"
10313701,"HH10313701",52,"M"
10313702,"HH10313702",56,"M"
10313704,"HH10313704",55,"M"
10313706,"HH10313706",53,"M"
10313708,"HH10313708",56,"M"
10313801,"HH10313801",31,"F"
10313802,"HH10313802",37,"F"
10313804,"HH10313804",30,"F"
10313807,"HH10313807",30,"F"
10313901,"HH10313901",27,"M"
10313902,"HH10313902",18,"M"
10313904,"HH10313904",29,"M"
10313905,"HH10313905",26,"M"
10313907,"HH10313907",18,"M"
10313908,"HH10313908",23,"M"
10314101,"HH10314101",68,"F"
10314102,"HH10314102",66,"F"
10314104,"HH10314104",63,"F"
10314105,"HH10314105",68,"F"
10314107,"HH10314107",67,"F"
10314201,"HH10314201",90,"M"
10314202,"HH10314202",76,"M"
10314206,"HH10314206",86,"M"
10314208,"HH10314208",79,"M"
10314301,"HH10314301",60,"F"
10314401,"HH10314401",56,"M"
10314501,"HH10314501",36,"M"
10314502,"HH10314502",77,"M"
10314504,"HH10314504",34,"M"
