"part_id","hh_id","part_age","part_gender"
10312201,"HH10312201","18-29","F"
10312202,"HH10312202","18-29","F"
10312204,"HH10312204","18-29","M"
10312205,"HH10312205","18-29","F"
10312301,"HH10312301","40-49","M"
10312302,"HH10312302","40-49","M"
10312304,"HH10312304","40-49","M"
10312305,"HH10312305","40-49","M"
10312307,"HH10312307","40-49","M"
10312308,"HH10312308","40-49","M"
10312401,"HH10312401","30-39","M"
10312402,"HH10312402","30-39","M"
10312404,"HH10312404","30-39","M"
10312405,"HH10312405","30-39","M"
10312406,"HH10312406","30-39","M"
10312407,"HH10312407","30-39","M"
10312408,"HH10312408","30-39","M"
10312501,"HH10312501","30-39","M"
10312502,"HH10312502","30-39","M"
10312504,"HH10312504","30-39","M"
10312505,"HH10312505","30-39","M"
10312601,"HH10312601","18-29","F"
10312602,"HH10312602","18-29","F"
10312604,"HH10312604","18-29","F"
10312605,"HH10312605","18-29","F"
10312608,"HH10312608","18-29","F"
10312701,"HH10312701","40-49","F"
10312702,"HH10312702","40-49","F"
10312704,"HH10312704","40-49","F"
10312705,"HH10312705","40-49","F"
10312801,"HH10312801","70-120","F"
10312802,"HH10312802","70-120","F"
10312804,"HH10312804","70-120","F"
10312805,"HH10312805","70-120","F"
10312806,"HH10312806","70-120","F"
10312807,"HH10312807","70-120","F"
10312901,"HH10312901","30-39","F"
10312902,"HH10312902","30-39","F"
10312904,"HH10312904","30-39","F"
10312905,"HH10312905","30-39","F"
10312906,"HH10312906","30-39","F"
10312907,"HH10312907","30-39","F"
10312908,"HH10312908","30-39","F"
10313001,"HH10313001","18-29","F"
10313101,"HH10313101","40-49","M"
10313102,"HH10313102","40-49","M"
10313105,"HH10313105","40-49","M"
10313106,"HH10313106","40-49","M"
10313201,"HH10313201","30-39","M"
10313202,"HH10313202","30-39","M"
10313301,"HH10313301","70-120","F"
10313302,"HH10313302","70-120","F"
10313304,"HH10313304","70-120","F"
10313305,"HH10313305","70-120","F"
10313306,"HH10313306","70-120","F"
10313308,"HH10313308","70-120","F"
10313401,"HH10313401","50-59","M"
10313402,"HH10313402","50-59","M"
10313404,"HH10313404","50-59","M"
10313406,"HH10313406","50-59","M"
10313408,"HH10313408","50-59","M"
10313501,"HH10313501","18-29","M"
10313505,"HH10313505","18-29","M"
10313601,"HH10313601","60-69","F"
10313602,"HH10313602","60-69","F"
10313605,"HH10313605","60-69","F"
10313607,"HH10313607","60-69","F"
10313701,"HH10313701","50-59","M"
10313702,"HH10313702","50-59","M"
10313704,"HH10313704","50-59","M"
10313706,"HH10313706","50-59","M"
10313708,"HH10313708","50-59","M"
10313801,"HH10313801","30-39","F"
10313802,"HH10313802","30-39","F"
10313804,"HH10313804","30-39","F"
10313807,"HH10313807","30-39","F"
10313901,"HH10313901","18-29","M"
10313902,"HH10313902","18-29","M"
10313904,"HH10313904","18-29","M"
10313905,"HH10313905","18-29","M"
10313907,"HH10313907","18-29","M"
10313908,"HH10313908","18-29","M"
10314101,"HH10314101","60-69","F"
10314102,"HH10314102","60-69","F"
10314104,"HH10314104","60-69","F"
10314105,"HH10314105","60-69","F"
10314107,"HH10314107","60-69","F"
10314201,"HH10314201","70-120","M"
10314202,"HH10314202","70-120","M"
10314206,"HH10314206","70-120","M"
10314208,"HH10314208","70-120","M"
10314301,"HH10314301","60-69","F"
10314401,"HH10314401","50-59","M"
