"part_id","hh_id","part_age","part_gender"
10000001,"HH10000001",43,"M"
10000003,"HH10000003",46,"M"
10000004,"HH10000004",46,"M"
10000005,"HH10000005",40,"M"
10000007,"HH10000007",46,"M"
10000008,"HH10000008",43,"M"
10000009,"HH10000009",47,"M"
10000010,"HH10000010",45,"M"
10000012,"HH10000012",43,"M"
10000013,"HH10000013",44,"M"
10000014,"HH10000014",45,"M"
10000015,"HH10000015",44,"M"
10000101,"HH10000101",39,"F"
10000103,"HH10000103",36,"F"
10000104,"HH10000104",36,"F"
10000105,"HH10000105",39,"F"
10000107,"HH10000107",37,"F"
10000108,"HH10000108",35,"F"
10000109,"HH10000109",30,"F"
10000110,"HH10000110",38,"F"
10000112,"HH10000112",32,"F"
10000113,"HH10000113",35,"F"
10000114,"HH10000114",38,"F"
10000115,"HH10000115",31,"F"
10000201,"HH10000201",56,"F"
10000203,"HH10000203",55,"F"
10000204,"HH10000204",51,"F"
10000205,"HH10000205",51,"F"
10000207,"HH10000207",52,"F"
10000208,"HH10000208",59,"F"
10000209,"HH10000209",50,"F"
10000210,"HH10000210",56,"F"
10000211,"HH10000211",53,"F"
10000212,"HH10000212",51,"F"
10000213,"HH10000213",53,"F"
10000214,"HH10000214",51,"F"
10000215,"HH10000215",58,"F"
10000301,"HH10000301",29,"M"
10000304,"HH10000304",18,"M"
10000309,"HH10000309",24,"M"
10000401,"HH10000401",27,"F"
10000407,"HH10000407",35,"F"
10000408,"HH10000408",31,"F"
10000409,"HH10000409",31,"F"
10000501,"HH10000501",18,"M"
10000504,"HH10000504",19,"M"
10000510,"HH10000510",23,"M"
10000512,"HH10000512",21,"M"
10000513,"HH10000513",21,"M"
10000514,"HH10000514",22,"M"
10000601,"HH10000601",37,"M"
10000603,"HH10000603",35,"M"
10000604,"HH10000604",38,"M"
10000605,"HH10000605",32,"M"
10000607,"HH10000607",33,"M"
10000608,"HH10000608",31,"M"
10000610,"HH10000610",39,"M"
10000612,"HH10000612",37,"M"
10000614,"HH10000614",36,"M"
10000615,"HH10000615",31,"M"
10000701,"HH10000701",28,"F"
10000703,"HH10000703",22,"F"
10000705,"HH10000705",29,"F"
10000707,"HH10000707",18,"F"
10000708,"HH10000708",28,"F"
10000710,"HH10000710",29,"F"
10000712,"HH10000712",20,"F"
10000713,"HH10000713",26,"F"
10000714,"HH10000714",28,"F"
10000715,"HH10000715",21,"F"
10000801,"HH10000801",24,"F"
10000804,"HH10000804",22,"F"
10000901,"HH10000901",51,"F"
10000903,"HH10000903",51,"F"
10000904,"HH10000904",56,"F"
10000905,"HH10000905",58,"F"
10000907,"HH10000907",52,"F"
10000908,"HH10000908",52,"F"
10000909,"HH10000909",56,"F"
10000910,"HH10000910",55,"F"
10000911,"HH10000911",56,"F"
10000913,"HH10000913",56,"F"
10000914,"HH10000914",59,"F"
10000915,"HH10000915",55,"F"
10001001,"HH10001001",44,"M"
10001003,"HH10001003",48,"M"
10001007,"HH10001007",49,"M"
10001008,"HH10001008",45,"M"
10001009,"HH10001009",43,"M"
10001010,"HH10001010",48,"M"
10001101,"HH10001101",50,"M"
10001103,"HH10001103",54,"M"
10001104,"HH10001104",55,"M"
10001105,"HH10001105",58,"M"
10001107,"HH10001107",52,"M"
10001108,"HH10001108",57,"M"
10001109,"HH10001109",57,"M"
10001110,"HH10001110",59,"M"
