"part_id","hh_id","part_age","part_gender"
10156201,"HH10156201",25,"F"
10156203,"HH10156203",22,"F"
10156205,"HH10156205",23,"F"
10156301,"HH10156301",41,"M"
10156302,"HH10156302",42,"M"
10156303,"HH10156303",43,"M"
10156305,"HH10156305",44,"M"
10156306,"HH10156306",47,"M"
10156401,"HH10156401",36,"F"
10156402,"HH10156402",31,"F"
10156501,"HH10156501",55,"M"
10156502,"HH10156502",58,"M"
10156503,"HH10156503",55,"M"
10156505,"HH10156505",50,"M"
10156506,"HH10156506",52,"M"
10156509,"HH10156509",54,"M"
10156601,"HH10156601",72,"M"
10156602,"HH10156602",83,"M"
10156603,"HH10156603",80,"M"
10156605,"HH10156605",96,"M"
10156607,"HH10156607",85,"M"
10156701,"HH10156701",39,"M"
10156702,"HH10156702",35,"M"
10156801,"HH10156801",39,"M"
10156803,"HH10156803",46,"M"
10156806,"HH10156806",44,"M"
10156807,"HH10156807",46,"M"
10156901,"HH10156901",48,"F"
10156903,"HH10156903",40,"F"
10156905,"HH10156905",41,"F"
10156906,"HH10156906",45,"F"
10157001,"HH10157001",92,"M"
10157002,"HH10157002",80,"M"
10157003,"HH10157003",74,"M"
10157005,"HH10157005",88,"M"
10157007,"HH10157007",90,"M"
10157009,"HH10157009",71,"M"
10157101,"HH10157101",21,"F"
10157201,"HH10157201",37,"M"
10157205,"HH10157205",38,"M"
10157301,"HH10157301",35,"M"
10157302,"HH10157302",36,"M"
10157303,"HH10157303",30,"M"
10157305,"HH10157305",34,"M"
10157306,"HH10157306",39,"M"
10157307,"HH10157307",32,"M"
10157309,"HH10157309",32,"M"
10157401,"HH10157401",50,"M"
10157402,"HH10157402",55,"M"
10157403,"HH10157403",50,"M"
10157409,"HH10157409",51,"M"
10157501,"HH10157501",21,"M"
10157502,"HH10157502",28,"M"
10157503,"HH10157503",18,"M"
10157505,"HH10157505",20,"M"
10157507,"HH10157507",24,"M"
10157509,"HH10157509",19,"M"
10157601,"HH10157601",47,"F"
10157602,"HH10157602",44,"F"
10157603,"HH10157603",49,"F"
10157605,"HH10157605",42,"F"
10157701,"HH10157701",67,"M"
10157703,"HH10157703",67,"M"
10157705,"HH10157705",62,"M"
10157709,"HH10157709",60,"M"
10157801,"HH10157801",31,"M"
10157901,"HH10157901",49,"M"
10157902,"HH10157902",48,"M"
10157903,"HH10157903",44,"M"
10157907,"HH10157907",46,"M"
10157909,"HH10157909",44,"M"
10158001,"HH10158001",45,"M"
10158002,"HH10158002",45,"M"
10158003,"HH10158003",46,"M"
10158005,"HH10158005",48,"M"
10158006,"HH10158006",41,"M"
10158007,"HH10158007",41,"M"
10158009,"HH10158009",46,"M"
10158101,"HH10158101",47,"M"
10158102,"HH10158102",40,"M"
10158103,"HH10158103",42,"M"
10158105,"HH10158105",43,"M"
10158106,"HH10158106",46,"M"
10158107,"HH10158107",43,"M"
10158109,"HH10158109",41,"M"
10158201,"HH10158201",29,"M"
10158202,"HH10158202",29,"M"
10158203,"HH10158203",19,"M"
10158205,"HH10158205",24,"M"
10158206,"HH10158206",20,"M"
10158207,"HH10158207",19,"M"
10158209,"HH10158209",20,"M"
10158301,"HH10158301",37,"F"
10158302,"HH10158302",38,"F"
10158303,"HH10158303",31,"F"
10158305,"HH10158305",34,"F"
10158306,"HH10158306",33,"F"
10158307,"HH10158307",39,"F"
10158401,"HH10158401",28,"M"
10158402,"HH10158402",19,"M"
10158403,"HH10158403",23,"M"
10158405,"HH10158405",18,"M"
10158406,"HH10158406",22,"M"
10158409,"HH10158409",29,"M"
10158501,"HH10158501",68,"M"
10158502,"HH10158502",69,"M"
10158503,"HH10158503",63,"M"
10158505,"HH10158505",66,"M"
10158506,"HH10158506",62,"M"
10158507,"HH10158507",60,"M"
10158601,"HH10158601",66,"F"
10158605,"HH10158605",66,"F"
10158607,"HH10158607",62,"F"
10158609,"HH10158609",68,"F"
10158701,"HH10158701",55,"F"
10158702,"HH10158702",51,"F"
10158703,"HH10158703",54,"F"
10158705,"HH10158705",53,"F"
10158706,"HH10158706",58,"F"
10158801,"HH10158801",47,"F"
10158802,"HH10158802",45,"F"
10158806,"HH10158806",47,"F"
10158809,"HH10158809",42,"F"
10158901,"HH10158901",49,"M"
10158902,"HH10158902",44,"M"
10158909,"HH10158909",45,"M"
10159001,"HH10159001",41,"M"
10159002,"HH10159002",48,"M"
10159003,"HH10159003",40,"M"
10159005,"HH10159005",41,"M"
10159006,"HH10159006",41,"M"
10159101,"HH10159101",21,"M"
10159102,"HH10159102",24,"M"
10159105,"HH10159105",24,"M"
10159201,"HH10159201",36,"F"
10159301,"HH10159301",18,"M"
10159401,"HH10159401",36,"M"
10159402,"HH10159402",31,"M"
10159403,"HH10159403",37,"M"
10159405,"HH10159405",32,"M"
10159501,"HH10159501",26,"M"
10159503,"HH10159503",26,"M"
10159601,"HH10159601",36,"M"
10159603,"HH10159603",32,"M"
10159701,"HH10159701",55,"M"
10159702,"HH10159702",50,"M"
10159703,"HH10159703",58,"M"
10159705,"HH10159705",50,"M"
10159706,"HH10159706",57,"M"
10159801,"HH10159801",32,"F"
10159901,"HH10159901",38,"M"
10159902,"HH10159902",32,"M"
10159905,"HH10159905",32,"M"
10159906,"HH10159906",33,"M"
10159907,"HH10159907",35,"M"
10159909,"HH10159909",37,"M"
10160001,"HH10160001",20,"M"
10160002,"HH10160002",24,"M"
10160005,"HH10160005",28,"M"
10160101,"HH10160101",81,"F"
10160102,"HH10160102",79,"F"
10160103,"HH10160103",83,"F"
10160105,"HH10160105",93,"F"
10160106,"HH10160106",81,"F"
10160107,"HH10160107",71,"F"
10160201,"HH10160201",42,"M"
10160202,"HH10160202",44,"M"
10160203,"HH10160203",49,"M"
10160205,"HH10160205",40,"M"
10160206,"HH10160206",47,"M"
10160207,"HH10160207",46,"M"
10160301,"HH10160301",62,"M"
10160305,"HH10160305",60,"M"
10160309,"HH10160309",64,"M"
10160401,"HH10160401",48,"F"
10160501,"HH10160501",33,"M"
10160502,"HH10160502",35,"M"
10160505,"HH10160505",32,"M"
10160507,"HH10160507",39,"M"
10160601,"HH10160601",29,"M"
10160602,"HH10160602",22,"M"
10160603,"HH10160603",21,"M"
10160605,"HH10160605",20,"M"
10160606,"HH10160606",26,"M"
10160607,"HH10160607",26,"M"
10160609,"HH10160609",21,"M"
10160701,"HH10160701",46,"F"
10160801,"HH10160801",35,"F"
10160802,"HH10160802",31,"F"
10160803,"HH10160803",37,"F"
10160805,"HH10160805",34,"F"
10160809,"HH10160809",35,"F"
10160901,"HH10160901",25,"F"
10160902,"HH10160902",29,"F"
10160905,"HH10160905",26,"F"
10161001,"HH10161001",44,"M"
10161002,"HH10161002",40,"M"
10161003,"HH10161003",48,"M"
10161006,"HH10161006",48,"M"
10161101,"HH10161101",19,"M"
10161102,"HH10161102",22,"M"
10161105,"HH10161105",27,"M"
10161106,"HH10161106",27,"M"
10161201,"HH10161201",57,"M"
10161301,"HH10161301",68,"M"
10161302,"HH10161302",64,"M"
10161303,"HH10161303",69,"M"
10161306,"HH10161306",62,"M"
10161307,"HH10161307",61,"M"
10161401,"HH10161401",34,"M"
10161405,"HH10161405",39,"M"
10161501,"HH10161501",58,"M"
10161502,"HH10161502",58,"M"
10161506,"HH10161506",56,"M"
10161601,"HH10161601",19,"F"
10161602,"HH10161602",29,"F"
10161603,"HH10161603",20,"F"
10161605,"HH10161605",18,"F"
10161606,"HH10161606",21,"F"
10161607,"HH10161607",20,"F"
10161609,"HH10161609",26,"F"
10161701,"HH10161701",58,"M"
10161702,"HH10161702",53,"M"
10161703,"HH10161703",56,"M"
10161709,"HH10161709",53,"M"
10161801,"HH10161801",39,"M"
10161805,"HH10161805",33,"M"
10161809,"HH10161809",34,"M"
10161901,"HH10161901",33,"F"
10161902,"HH10161902",36,"F"
10161906,"HH10161906",38,"F"
10161907,"HH10161907",30,"F"
10162001,"HH10162001",45,"M"
10162002,"HH10162002",44,"M"
10162003,"HH10162003",41,"M"
10162005,"HH10162005",42,"M"
10162101,"HH10162101",38,"M"
10162102,"HH10162102",32,"M"
10162103,"HH10162103",30,"M"
10162105,"HH10162105",39,"M"
10162106,"HH10162106",35,"M"
10162107,"HH10162107",35,"M"
10162109,"HH10162109",34,"M"
10162201,"HH10162201",54,"M"
10162206,"HH10162206",57,"M"
10162301,"HH10162301",60,"F"
10162302,"HH10162302",69,"F"
10162303,"HH10162303",61,"F"
10162305,"HH10162305",63,"F"
10162307,"HH10162307",60,"F"
10162309,"HH10162309",66,"F"
10162401,"HH10162401",56,"F"
10162405,"HH10162405",51,"F"
10162501,"HH10162501",39,"M"
10162502,"HH10162502",31,"M"
10162503,"HH10162503",38,"M"
10162505,"HH10162505",31,"M"
10162506,"HH10162506",32,"M"
10162509,"HH10162509",39,"M"
10162601,"HH10162601",61,"M"
10162602,"HH10162602",62,"M"
10162603,"HH10162603",67,"M"
10162605,"HH10162605",60,"M"
10162607,"HH10162607",61,"M"
10162609,"HH10162609",64,"M"
10162701,"HH10162701",29,"M"
10162702,"HH10162702",28,"M"
10162705,"HH10162705",25,"M"
10162801,"HH10162801",36,"M"
10162802,"HH10162802",31,"M"
10162803,"HH10162803",38,"M"
10162805,"HH10162805",34,"M"
10162901,"HH10162901",58,"M"
10162902,"HH10162902",54,"M"
10162905,"HH10162905",58,"M"
10163001,"HH10163001",21,"M"
10163002,"HH10163002",26,"F"
10163101,"HH10163101",32,"M"
10163201,"HH10163201",19,"M"
10163202,"HH10163202",18,"M"
10163203,"HH10163203",20,"M"
