hh_id,country,hh_size
HH10468202,gr,3
HH10468209,gr,3
HH10468302,gr,2
HH10468303,gr,2
HH10468305,gr,2
HH10468306,gr,2
HH10468307,gr,2
HH10468308,gr,2
HH10468402,gr,2
HH10468403,gr,2
HH10468405,gr,2
HH10468406,gr,2
HH10468409,gr,2
HH10468502,gr,2
HH10468503,gr,2
HH10468505,gr,2
HH10468506,gr,2
HH10468507,gr,2
HH10468509,gr,2
HH10468602,gr,1
HH10468603,gr,1
HH10468605,gr,1
HH10468606,gr,1
HH10468607,gr,1
HH10468702,gr,3
HH10468703,gr,3
HH10468705,gr,3
HH10468706,gr,2
HH10468707,gr,3
HH10468708,gr,3
HH10468709,gr,3
HH10468802,gr,3
HH10468803,gr,3
HH10468805,gr,3
HH10468806,gr,3
HH10468807,gr,3
HH10468808,gr,3
HH10468809,gr,3
HH10468902,gr,3
HH10468903,gr,2
HH10468905,gr,2
HH10468906,gr,2
HH10468907,gr,2
HH10468908,gr,2
HH10468909,gr,2
HH10469002,gr,2
HH10469003,gr,2
HH10469006,gr,2
HH10469007,gr,2
HH10469008,gr,2
HH10469009,gr,2
HH10469102,gr,3
HH10469103,gr,3
HH10469105,gr,3
HH10469106,gr,3
HH10469202,gr,2
HH10469302,gr,2
HH10469303,gr,2
HH10469305,gr,2
HH10469306,gr,2
HH10469307,gr,2
HH10469308,gr,2
HH10469309,gr,2
HH10469402,gr,2
HH10469403,gr,2
HH10469405,gr,2
HH10469406,gr,2
HH10469407,gr,2
HH10469408,gr,2
HH10469409,gr,2
HH10469502,gr,3
HH10469602,gr,2
HH10469603,gr,2
HH10469605,gr,2
HH10469606,gr,2
HH10469607,gr,2
HH10469608,gr,2
HH10469609,gr,2
HH10469702,gr,1
HH10469703,gr,1
HH10469705,gr,1
HH10469706,gr,1
HH10469707,gr,1
HH10469708,gr,1
HH10469709,gr,1
HH10469802,gr,2
HH10469803,gr,2
HH10469806,gr,2
HH10469807,gr,2
HH10469808,gr,2
HH10469809,gr,2
HH10469902,gr,1
HH10469905,gr,1
HH10470002,gr,4
HH10470003,gr,4
HH10470005,gr,4
HH10470006,gr,4
HH10470102,gr,2
