part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,frequency_multi,phys_contact,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,duration_multi
10468202,104682001,NA,25,34,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10468202,104682002,NA,80,84,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10468202,104682003,NA,55,64,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10468202,104682004,NA,65,69,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10468302,104683001,NA,70,74,M,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10468302,104683002,NA,25,34,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10468402,104684001,NA,35,44,F,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10468402,104684002,NA,35,44,F,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4
10468402,104684003,NA,35,44,F,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
10468402,104684004,NA,45,54,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
10468402,104684005,NA,55,64,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
10468502,104685001,NA,35,44,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10468502,104685002,NA,70,74,M,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10468502,104685003,NA,45,54,M,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10468502,104685004,NA,65,69,M,3,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
10468702,104687001,NA,35,44,M,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10468702,104687002,NA,70,74,M,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10468802,104688001,NA,65,69,M,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10468802,104688002,NA,55,64,F,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10468902,104689001,NA,35,44,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
