"part_id","hh_id","part_age","part_gender"
10468202,"HH10468202","30-39","M"
10468209,"HH10468209","30-39","M"
10468302,"HH10468302","30-39","M"
10468303,"HH10468303","30-39","M"
10468305,"HH10468305","30-39","M"
10468306,"HH10468306","30-39","M"
10468307,"HH10468307","30-39","M"
10468308,"HH10468308","30-39","M"
10468402,"HH10468402","40-49","M"
10468403,"HH10468403","40-49","M"
10468405,"HH10468405","40-49","M"
10468406,"HH10468406","40-49","M"
10468409,"HH10468409","40-49","M"
10468502,"HH10468502","60-69","M"
10468503,"HH10468503","60-69","M"
10468505,"HH10468505","60-69","M"
10468506,"HH10468506","60-69","M"
10468507,"HH10468507","60-69","M"
10468509,"HH10468509","60-69","M"
10468602,"HH10468602","60-69","F"
10468603,"HH10468603","60-69","F"
10468605,"HH10468605","60-69","F"
10468606,"HH10468606","60-69","F"
10468607,"HH10468607","60-69","F"
10468702,"HH10468702","40-49","M"
10468703,"HH10468703","40-49","M"
10468705,"HH10468705","40-49","M"
10468706,"HH10468706","40-49","M"
10468707,"HH10468707","40-49","M"
10468708,"HH10468708","40-49","M"
10468709,"HH10468709","40-49","M"
10468802,"HH10468802","40-49","F"
10468803,"HH10468803","40-49","F"
10468805,"HH10468805","40-49","F"
10468806,"HH10468806","40-49","F"
10468807,"HH10468807","40-49","F"
10468808,"HH10468808","40-49","F"
10468809,"HH10468809","40-49","F"
10468902,"HH10468902","30-39","F"
10468903,"HH10468903","30-39","F"
10468905,"HH10468905","30-39","F"
10468906,"HH10468906","30-39","F"
10468907,"HH10468907","30-39","F"
10468908,"HH10468908","30-39","F"
10468909,"HH10468909","30-39","F"
10469002,"HH10469002","30-39","F"
10469003,"HH10469003","30-39","F"
10469006,"HH10469006","30-39","F"
10469007,"HH10469007","30-39","F"
10469008,"HH10469008","30-39","F"
10469009,"HH10469009","30-39","F"
10469102,"HH10469102","18-29","F"
10469103,"HH10469103","18-29","F"
10469105,"HH10469105","18-29","F"
10469106,"HH10469106","18-29","F"
10469202,"HH10469202","18-29","M"
10469302,"HH10469302","40-49","F"
10469303,"HH10469303","40-49","F"
10469305,"HH10469305","40-49","F"
10469306,"HH10469306","40-49","F"
10469307,"HH10469307","40-49","F"
10469308,"HH10469308","40-49","F"
10469309,"HH10469309","40-49","F"
10469402,"HH10469402","60-69","M"
10469403,"HH10469403","60-69","M"
10469405,"HH10469405","60-69","M"
10469406,"HH10469406","60-69","M"
10469407,"HH10469407","60-69","M"
10469408,"HH10469408","60-69","M"
10469409,"HH10469409","60-69","M"
