cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
100001001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100002001,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100002002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100002003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100003001,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
100003002,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1-2 days
100003003,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
100003004,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA
100003005,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA
100004001,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100004002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100004004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100004005,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100005001,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100005002,TRUE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100005003,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100005004,TRUE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
100005005,TRUE,FALSE,FALSE,FALSE,FALSE,female,1 month
100005006,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100005007,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100006001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100006002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100007001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100007002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100007003,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100007004,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
100008001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100008002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100008003,FALSE,FALSE,FALSE,TRUE,FALSE,male,2-3 weeks
100008004,FALSE,FALSE,FALSE,TRUE,FALSE,male,2-3 weeks
100009001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100010001,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
100010002,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
100010003,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100010004,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100010005,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
100010006,FALSE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks
100011001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100011002,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
100012001,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
100012002,FALSE,TRUE,FALSE,TRUE,TRUE,male,1-2 days
100013001,TRUE,FALSE,FALSE,FALSE,FALSE,male,1 month
100013002,TRUE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
100013003,FALSE,TRUE,TRUE,FALSE,FALSE,female,1-2 days
100013004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100013005,TRUE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks
100013006,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
100013007,FALSE,TRUE,FALSE,FALSE,FALSE,female,occasional
100013008,TRUE,FALSE,FALSE,FALSE,FALSE,male,occasional
100013009,TRUE,FALSE,FALSE,FALSE,FALSE,male,occasional
100013010,FALSE,FALSE,FALSE,FALSE,TRUE,female,never met
100013011,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
100013012,TRUE,FALSE,FALSE,FALSE,FALSE,female,occasional
100013013,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
100015001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100015002,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
100015003,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
100015004,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
100015005,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
100015006,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
100016001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100016002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100016003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100016004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100017001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100017002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100018001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100018002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100018003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100018004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100019001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100020001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100020002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100020003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100020004,NA,NA,NA,NA,NA,NA,NA
100020005,NA,NA,NA,NA,NA,NA,NA
100020006,NA,NA,NA,NA,NA,NA,NA
100020007,NA,NA,NA,NA,NA,NA,NA
100020008,NA,NA,NA,NA,NA,NA,NA
100020009,NA,NA,NA,NA,NA,NA,NA
100020010,NA,NA,NA,NA,NA,NA,NA
100020011,NA,NA,NA,NA,NA,NA,NA
100021001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100021002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100021003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100022001,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
100022002,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
100022003,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
100023001,TRUE,FALSE,FALSE,TRUE,TRUE,female,1-2 days
100023002,FALSE,FALSE,FALSE,FALSE,TRUE,female,1-2 days
100023003,FALSE,FALSE,FALSE,FALSE,TRUE,male,1-2 days
100025001,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100025002,TRUE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100025003,TRUE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100026001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100026002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100026003,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100027001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100027002,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
100028001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100028002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100029001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100029002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
100029003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100029004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100029005,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100029006,NA,NA,NA,NA,NA,NA,NA
100029007,NA,NA,NA,NA,NA,NA,NA
100029008,NA,NA,NA,NA,NA,NA,NA
100029009,NA,NA,NA,NA,NA,NA,NA
100029010,NA,NA,NA,NA,NA,NA,NA
100029011,NA,NA,NA,NA,NA,NA,NA
100030001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100030002,NA,NA,NA,NA,NA,NA,NA
100030003,NA,NA,NA,NA,NA,NA,NA
100030004,NA,NA,NA,NA,NA,NA,NA
100030005,NA,NA,NA,NA,NA,NA,NA
100030006,NA,NA,NA,NA,NA,NA,NA
100030007,NA,NA,NA,NA,NA,NA,NA
100031001,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100031002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100031003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100031004,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100031005,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100031006,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100031007,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100032001,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1-2 days
100033001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100033002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100034001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100034002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100035001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100036001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100036002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100037001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100037002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100038001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100038002,FALSE,FALSE,TRUE,FALSE,FALSE,female,1-2 days
100038003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100038004,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
100038005,FALSE,FALSE,TRUE,FALSE,FALSE,male,1-2 days
100038006,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100038007,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100039001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100039002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100039003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100040001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100041001,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
100041002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100041003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100043001,TRUE,FALSE,FALSE,FALSE,FALSE,female,never met
100044001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100044002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100044003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100044004,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
100044005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100044006,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100044007,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
100045001,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
100045002,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100045003,NA,NA,NA,NA,NA,NA,NA
100045004,NA,NA,NA,NA,NA,NA,NA
100046001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100046002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100047001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100047002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100047003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100047004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100047005,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100048001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
