hh_id,country,hh_size
HH10000101,it,2
HH10000103,it,2
HH10000105,it,2
HH10000107,it,2
HH10000109,it,2
HH10000201,it,4
HH10000202,it,4
HH10000205,it,3
HH10000207,it,3
HH10000209,it,3
HH10000301,it,6
HH10000302,it,6
HH10000401,it,6
HH10000402,it,6
HH10000501,it,2
HH10000502,it,2
HH10000503,it,2
HH10000505,it,2
HH10000506,it,2
HH10000507,it,2
HH10000601,it,3
HH10000603,it,3
HH10000605,it,3
HH10000606,it,3
HH10000609,it,3
HH10000701,it,3
HH10000703,it,3
HH10000801,it,4
HH10000802,it,4
HH10000803,it,4
HH10000805,it,4
HH10000807,it,4
HH10000901,it,2
HH10000902,it,2
HH10000903,it,2
HH10000905,it,2
HH10000907,it,2
HH10000909,it,2
HH10001001,it,4
HH10001101,it,2
HH10001102,it,2
HH10001103,it,2
HH10001105,it,2
HH10001106,it,2
HH10001109,it,2
HH10001201,it,3
HH10001202,it,3
HH10001203,it,3
HH10001205,it,3
HH10001206,it,3
HH10001207,it,3
HH10001209,it,3
HH10001301,it,5
HH10001302,it,5
HH10001303,it,5
HH10001305,it,5
HH10001307,it,5
HH10001401,it,3
HH10001402,it,3
HH10001403,it,3
HH10001406,it,3
HH10001407,it,3
HH10001409,it,3
HH10001501,it,2
HH10001502,it,2
HH10001503,it,2
HH10001505,it,2
HH10001601,it,3
HH10001602,it,3
HH10001605,it,3
HH10001606,it,3
HH10001607,it,3
HH10001609,it,3
HH10001701,it,3
HH10001702,it,3
HH10001703,it,3
HH10001705,it,3
HH10001706,it,3
HH10001709,it,3
HH10001801,it,5
HH10001802,it,5
HH10001809,it,5
HH10001901,it,3
HH10001902,it,3
HH10001903,it,3
HH10001905,it,3
HH10002001,it,4
HH10002101,it,4
HH10002102,it,4
HH10002103,it,4
HH10002105,it,4
HH10002106,it,4
HH10002107,it,4
HH10002109,it,4
HH10002201,it,4
HH10002301,it,2
HH10002302,it,2
HH10002303,it,2
HH10002305,it,2
HH10002307,it,2
HH10002309,it,2
HH10002401,it,2
HH10002402,it,2
HH10002403,it,1
HH10002405,it,1
HH10002406,it,1
HH10002407,it,1
HH10002501,it,2
HH10002503,it,2
HH10002505,it,2
HH10002601,it,3
HH10002602,it,3
HH10002603,it,3
HH10002605,it,3
HH10002607,it,3
HH10002701,it,2
HH10002702,it,2
HH10002703,it,2
HH10002706,it,2
HH10002707,it,2
HH10002709,it,2
HH10002801,it,3
HH10002802,it,3
HH10002803,it,3
HH10002805,it,3
HH10002901,it,6
HH10002903,it,7
HH10002905,it,10
HH10003001,it,2
HH10003003,it,2
HH10003005,it,2
HH10003007,it,2
HH10003101,it,4
HH10003102,it,4
HH10003105,it,4
HH10003107,it,4
HH10003109,it,4
HH10003201,it,4
HH10003202,it,4
HH10003203,it,4
HH10003207,it,4
HH10003209,it,4
HH10003301,it,3
HH10003303,it,3
HH10003305,it,3
HH10003306,it,3
HH10003307,it,3
HH10003309,it,3
HH10003401,it,2
HH10003402,it,2
HH10003501,it,2
HH10003502,it,2
HH10003503,it,2
HH10003505,it,2
HH10003506,it,2
HH10003507,it,2
HH10003601,it,3
HH10003602,it,3
HH10003603,it,3
HH10003605,it,3
HH10003606,it,3
HH10003607,it,3
HH10003609,it,3
HH10003701,it,3
HH10003702,it,3
HH10003703,it,3
HH10003705,it,3
HH10003707,it,1
HH10003709,it,1
HH10003801,it,5
HH10003803,it,5
HH10003901,it,4
HH10003902,it,4
HH10003903,it,4
HH10003905,it,4
HH10003906,it,4
HH10003907,it,4
HH10003909,it,4
HH10004001,it,3
HH10004002,it,3
HH10004003,it,3
HH10004005,it,3
HH10004006,it,3
HH10004007,it,3
HH10004101,it,4
HH10004102,it,4
HH10004103,it,4
HH10004105,it,4
HH10004106,it,3
HH10004107,it,3
HH10004201,it,2
HH10004301,it,1
HH10004302,it,1
HH10004303,it,1
HH10004305,it,1
HH10004306,it,1
HH10004307,it,1
HH10004401,it,4
HH10004402,it,4
HH10004403,it,4
HH10004405,it,4
HH10004406,it,4
HH10004407,it,4
HH10004501,it,3
HH10004502,it,3
HH10004503,it,3
HH10004505,it,3
HH10004506,it,3
HH10004507,it,3
HH10004601,it,3
HH10004602,it,3
HH10004603,it,3
HH10004605,it,3
HH10004606,it,3
HH10004609,it,3
HH10004701,it,6
HH10004702,it,6
HH10004703,it,6
HH10004705,it,6
HH10004706,it,6
HH10004707,it,6
HH10004801,it,5
HH10004802,it,5
HH10004805,it,5
HH10004806,it,5
HH10004901,it,5
HH10004902,it,5
HH10004905,it,4
HH10004907,it,4
HH10005001,it,3
HH10005002,it,3
HH10005003,it,3
HH10005005,it,3
HH10005006,it,3
HH10005007,it,3
HH10005009,it,3
HH10005101,it,3
HH10005102,it,3
HH10005103,it,3
HH10005105,it,3
HH10005106,it,3
HH10005201,it,2
HH10005202,it,2
HH10005205,it,2
HH10005301,it,4
HH10005302,it,4
HH10005303,it,4
HH10005305,it,4
HH10005306,it,4
HH10005309,it,4
HH10005401,it,4
HH10005403,it,4
HH10005405,it,4
HH10005409,it,4
HH10005501,it,2
HH10005502,it,2
HH10005503,it,2
HH10005505,it,2
HH10005507,it,2
HH10005509,it,2
HH10005601,it,2
HH10005602,it,2
HH10005603,it,2
HH10005607,it,1
HH10005701,it,4
HH10005801,it,4
HH10005802,it,4
HH10005803,it,4
HH10005805,it,4
HH10005806,it,4
HH10005807,it,4
HH10005901,it,4
HH10005902,it,4
HH10005903,it,4
HH10005906,it,4
HH10005909,it,4
HH10006001,it,4
HH10006002,it,4
HH10006003,it,4
HH10006006,it,4
HH10006101,it,4
HH10006102,it,4
HH10006103,it,4
HH10006105,it,4
HH10006201,it,4
HH10006202,it,4
HH10006203,it,4
HH10006205,it,4
HH10006206,it,4
HH10006207,it,4
HH10006301,it,4
HH10006302,it,4
HH10006303,it,4
HH10006305,it,4
HH10006306,it,4
HH10006309,it,4
HH10006401,it,2
HH10006402,it,2
HH10006403,it,2
HH10006405,it,2
HH10006407,it,2
HH10006409,it,2
HH10006501,it,1
HH10006502,it,1
HH10006503,it,1
HH10006505,it,1
HH10006506,it,1
HH10006509,it,1
HH10006601,it,3
HH10006602,it,3
HH10006603,it,3
HH10006605,it,3
HH10006606,it,3
HH10006607,it,3
HH10006609,it,3
HH10006701,it,3
HH10006702,it,3
HH10006703,it,3
HH10006705,it,3
HH10006706,it,3
HH10006709,it,3
HH10006801,it,4
HH10006901,it,4
HH10006902,it,4
HH10006903,it,4
HH10006905,it,4
HH10006906,it,4
HH10006907,it,4
HH10006909,it,4
HH10007001,it,4
HH10007002,it,4
HH10007003,it,4
HH10007005,it,4
HH10007006,it,4
HH10007007,it,4
HH10007009,it,4
HH10007101,it,2
HH10007102,it,2
HH10007103,it,2
HH10007105,it,2
HH10007106,it,2
HH10007107,it,2
HH10007109,it,2
HH10007201,it,4
HH10007202,it,4
HH10007203,it,4
HH10007205,it,4
HH10007209,it,4
HH10007301,it,1
HH10007302,it,1
HH10007303,it,1
HH10007306,it,1
HH10007307,it,1
HH10007309,it,1
HH10007401,it,2
HH10007402,it,2
HH10007403,it,2
HH10007409,it,2
HH10007501,it,5
HH10007507,it,5
HH10007509,it,5
HH10007601,it,2
HH10007602,it,2
HH10007701,it,5
HH10007702,it,5
HH10007703,it,5
HH10007705,it,5
HH10007706,it,5
HH10007707,it,5
HH10007801,it,1
HH10007802,it,1
HH10007901,it,3
HH10007902,it,3
HH10007903,it,3
HH10007905,it,3
HH10007906,it,3
HH10007907,it,3
HH10007909,it,3
HH10008001,it,2
HH10008002,it,2
HH10008003,it,2
HH10008005,it,2
HH10008006,it,2
HH10008007,it,2
HH10008009,it,2
HH10008101,it,7
HH10008102,it,7
HH10008103,it,7
HH10008105,it,7
HH10008106,it,7
HH10008107,it,7
HH10008109,it,7
HH10008201,it,2
HH10008202,it,2
HH10008203,it,2
HH10008205,it,2
HH10008206,it,2
HH10008209,it,2
HH10008301,it,4
HH10008302,it,4
HH10008303,it,4
HH10008305,it,4
HH10008307,it,4
HH10008401,it,2
HH10008402,it,2
HH10008403,it,2
HH10008405,it,2
HH10008406,it,2
HH10008407,it,2
HH10008501,it,2
HH10008502,it,2
HH10008503,it,2
HH10008505,it,2
HH10008506,it,2
HH10008507,it,2
HH10008509,it,2
HH10008601,it,4
HH10008602,it,4
HH10008603,it,4
HH10008605,it,4
HH10008607,it,4
HH10008609,it,4
HH10008701,it,4
HH10008702,it,4
HH10008703,it,2
HH10008705,it,2
HH10008706,it,2
HH10008801,it,4
