"part_id","hh_id","part_age","part_gender"
10000101,"HH10000101",19,"F"
10000103,"HH10000103",21,"F"
10000105,"HH10000105",29,"F"
10000107,"HH10000107",29,"F"
10000109,"HH10000109",18,"F"
10000201,"HH10000201",49,"M"
10000202,"HH10000202",42,"M"
10000205,"HH10000205",46,"M"
10000207,"HH10000207",49,"M"
10000209,"HH10000209",41,"M"
10000301,"HH10000301",25,"M"
10000302,"HH10000302",24,"M"
10000401,"HH10000401",18,"M"
10000402,"HH10000402",29,"M"
10000501,"HH10000501",24,"M"
10000502,"HH10000502",25,"M"
10000503,"HH10000503",19,"M"
10000505,"HH10000505",24,"M"
10000506,"HH10000506",22,"M"
10000507,"HH10000507",25,"M"
10000601,"HH10000601",44,"F"
10000603,"HH10000603",49,"F"
10000605,"HH10000605",41,"F"
10000606,"HH10000606",41,"F"
10000609,"HH10000609",44,"F"
10000701,"HH10000701",49,"F"
10000703,"HH10000703",45,"F"
10000801,"HH10000801",29,"M"
10000802,"HH10000802",27,"M"
10000803,"HH10000803",18,"M"
10000805,"HH10000805",28,"M"
10000807,"HH10000807",21,"M"
10000901,"HH10000901",40,"F"
10000902,"HH10000902",48,"F"
10000903,"HH10000903",45,"F"
10000905,"HH10000905",44,"F"
10000907,"HH10000907",40,"F"
10000909,"HH10000909",49,"F"
10001001,"HH10001001",23,"M"
10001101,"HH10001101",46,"M"
10001102,"HH10001102",45,"M"
10001103,"HH10001103",49,"M"
10001105,"HH10001105",44,"M"
10001106,"HH10001106",49,"M"
10001109,"HH10001109",43,"M"
10001201,"HH10001201",43,"M"
10001202,"HH10001202",44,"M"
10001203,"HH10001203",46,"M"
10001205,"HH10001205",49,"M"
10001206,"HH10001206",48,"M"
10001207,"HH10001207",49,"M"
10001209,"HH10001209",48,"M"
10001301,"HH10001301",27,"M"
10001302,"HH10001302",25,"M"
10001303,"HH10001303",24,"M"
10001305,"HH10001305",24,"M"
10001307,"HH10001307",20,"M"
10001401,"HH10001401",42,"F"
10001402,"HH10001402",43,"F"
10001403,"HH10001403",44,"F"
10001406,"HH10001406",41,"F"
10001407,"HH10001407",44,"F"
10001409,"HH10001409",42,"F"
10001501,"HH10001501",68,"M"
10001502,"HH10001502",61,"M"
10001503,"HH10001503",66,"M"
10001505,"HH10001505",68,"M"
10001601,"HH10001601",22,"F"
10001602,"HH10001602",25,"F"
10001605,"HH10001605",19,"F"
10001606,"HH10001606",20,"F"
10001607,"HH10001607",27,"F"
10001609,"HH10001609",20,"F"
10001701,"HH10001701",42,"F"
10001702,"HH10001702",46,"F"
10001703,"HH10001703",49,"F"
10001705,"HH10001705",49,"F"
10001706,"HH10001706",40,"F"
10001709,"HH10001709",49,"F"
10001801,"HH10001801",48,"M"
10001802,"HH10001802",43,"M"
10001809,"HH10001809",44,"M"
10001901,"HH10001901",68,"F"
10001902,"HH10001902",61,"F"
10001903,"HH10001903",61,"F"
10001905,"HH10001905",63,"F"
10002001,"HH10002001",30,"M"
10002101,"HH10002101",26,"F"
10002102,"HH10002102",20,"F"
10002103,"HH10002103",26,"F"
10002105,"HH10002105",18,"F"
10002106,"HH10002106",20,"F"
10002107,"HH10002107",25,"F"
10002109,"HH10002109",28,"F"
10002201,"HH10002201",29,"F"
10002301,"HH10002301",57,"M"
10002302,"HH10002302",59,"M"
10002303,"HH10002303",54,"M"
10002305,"HH10002305",52,"M"
10002307,"HH10002307",55,"M"
10002309,"HH10002309",56,"M"
10002401,"HH10002401",55,"F"
10002402,"HH10002402",57,"F"
10002403,"HH10002403",55,"F"
10002405,"HH10002405",58,"F"
10002406,"HH10002406",52,"F"
10002407,"HH10002407",51,"F"
10002501,"HH10002501",29,"M"
10002503,"HH10002503",20,"M"
10002505,"HH10002505",18,"M"
10002601,"HH10002601",48,"M"
10002602,"HH10002602",43,"M"
10002603,"HH10002603",43,"M"
10002605,"HH10002605",42,"M"
10002607,"HH10002607",42,"M"
10002701,"HH10002701",78,"M"
10002702,"HH10002702",73,"M"
10002703,"HH10002703",80,"M"
10002706,"HH10002706",78,"M"
10002707,"HH10002707",73,"M"
10002709,"HH10002709",98,"M"
10002801,"HH10002801",64,"M"
10002802,"HH10002802",63,"M"
10002803,"HH10002803",64,"M"
10002805,"HH10002805",69,"M"
10002901,"HH10002901",47,"M"
10002903,"HH10002903",46,"M"
10002905,"HH10002905",45,"M"
10003001,"HH10003001",41,"F"
10003003,"HH10003003",49,"F"
10003005,"HH10003005",41,"F"
10003007,"HH10003007",46,"F"
10003101,"HH10003101",24,"M"
10003102,"HH10003102",25,"M"
10003105,"HH10003105",27,"M"
10003107,"HH10003107",25,"M"
10003109,"HH10003109",29,"M"
10003201,"HH10003201",20,"M"
10003202,"HH10003202",22,"M"
10003203,"HH10003203",28,"M"
10003207,"HH10003207",20,"M"
10003209,"HH10003209",27,"M"
10003301,"HH10003301",34,"M"
10003303,"HH10003303",31,"M"
10003305,"HH10003305",46,"M"
10003306,"HH10003306",40,"M"
10003307,"HH10003307",45,"M"
10003309,"HH10003309",48,"M"
10003401,"HH10003401",72,"M"
10003402,"HH10003402",75,"M"
10003501,"HH10003501",45,"F"
10003502,"HH10003502",42,"F"
10003503,"HH10003503",48,"F"
10003505,"HH10003505",40,"F"
10003506,"HH10003506",44,"F"
10003507,"HH10003507",46,"F"
10003601,"HH10003601",24,"F"
10003602,"HH10003602",18,"F"
10003603,"HH10003603",26,"F"
10003605,"HH10003605",23,"F"
10003606,"HH10003606",23,"F"
10003607,"HH10003607",23,"F"
10003609,"HH10003609",18,"F"
10003701,"HH10003701",62,"M"
10003702,"HH10003702",64,"M"
10003703,"HH10003703",68,"M"
10003705,"HH10003705",69,"M"
10003707,"HH10003707",68,"F"
10003709,"HH10003709",62,"F"
10003801,"HH10003801",19,"F"
10003803,"HH10003803",19,"F"
10003901,"HH10003901",28,"F"
10003902,"HH10003902",25,"F"
10003903,"HH10003903",20,"F"
10003905,"HH10003905",29,"F"
10003906,"HH10003906",21,"F"
10003907,"HH10003907",27,"F"
10003909,"HH10003909",26,"F"
10004001,"HH10004001",36,"M"
10004002,"HH10004002",39,"M"
10004003,"HH10004003",35,"M"
10004005,"HH10004005",33,"M"
10004006,"HH10004006",36,"M"
10004007,"HH10004007",32,"M"
10004101,"HH10004101",27,"M"
10004102,"HH10004102",21,"M"
10004103,"HH10004103",18,"M"
10004105,"HH10004105",19,"M"
10004106,"HH10004106",27,"M"
