"part_id","hh_id","part_age","part_gender"
10000101,"HH10000101","18-29","F"
10000103,"HH10000103","18-29","F"
10000105,"HH10000105","18-29","F"
10000107,"HH10000107","18-29","F"
10000109,"HH10000109","18-29","F"
10000201,"HH10000201","40-49","M"
10000202,"HH10000202","40-49","M"
10000205,"HH10000205","40-49","M"
10000207,"HH10000207","40-49","M"
10000209,"HH10000209","40-49","M"
10000301,"HH10000301","18-29","M"
10000302,"HH10000302","18-29","M"
10000401,"HH10000401","18-29","M"
10000402,"HH10000402","18-29","M"
10000501,"HH10000501","18-29","M"
10000502,"HH10000502","18-29","M"
10000503,"HH10000503","18-29","M"
10000505,"HH10000505","18-29","M"
10000506,"HH10000506","18-29","M"
10000507,"HH10000507","18-29","M"
10000601,"HH10000601","40-49","F"
10000603,"HH10000603","40-49","F"
10000605,"HH10000605","40-49","F"
10000606,"HH10000606","40-49","F"
10000609,"HH10000609","40-49","F"
10000701,"HH10000701","40-49","F"
10000703,"HH10000703","40-49","F"
10000801,"HH10000801","18-29","M"
10000802,"HH10000802","18-29","M"
10000803,"HH10000803","18-29","M"
10000805,"HH10000805","18-29","M"
10000807,"HH10000807","18-29","M"
10000901,"HH10000901","40-49","F"
10000902,"HH10000902","40-49","F"
10000903,"HH10000903","40-49","F"
10000905,"HH10000905","40-49","F"
10000907,"HH10000907","40-49","F"
10000909,"HH10000909","40-49","F"
10001001,"HH10001001","18-29","M"
10001101,"HH10001101","40-49","M"
10001102,"HH10001102","40-49","M"
10001103,"HH10001103","40-49","M"
10001105,"HH10001105","40-49","M"
10001106,"HH10001106","40-49","M"
10001109,"HH10001109","40-49","M"
10001201,"HH10001201","40-49","M"
10001202,"HH10001202","40-49","M"
10001203,"HH10001203","40-49","M"
10001205,"HH10001205","40-49","M"
10001206,"HH10001206","40-49","M"
10001207,"HH10001207","40-49","M"
10001209,"HH10001209","40-49","M"
10001301,"HH10001301","18-29","M"
10001302,"HH10001302","18-29","M"
10001303,"HH10001303","18-29","M"
10001305,"HH10001305","18-29","M"
10001307,"HH10001307","18-29","M"
10001401,"HH10001401","40-49","F"
