"part_id","hh_id","part_age","part_gender"
1,"Mo08HH1",10,"F"
2,"Mo08HH2",6,"M"
3,"Mo08HH3",3,"F"
4,"Mo08HH4",4,"M"
5,"Mo08HH5",1,"M"
6,"Mo08HH6",7,"M"
7,"Mo08HH7",2,"M"
8,"Mo08HH8",11,"M"
9,"Mo08HH9",4,"M"
10,"Mo08HH10",2,"F"
11,"Mo08HH11",2,"M"
12,"Mo08HH12",1,"F"
13,"Mo08HH13",9,"M"
14,"Mo08HH14",2,"M"
15,"Mo08HH15",3,"F"
16,"Mo08HH16",10,"M"
17,"Mo08HH17",8,"M"
18,"Mo08HH18",0,"F"
19,"Mo08HH19",4,"M"
20,"Mo08HH20",0,"M"
21,"Mo08HH21",4,"F"
22,"Mo08HH22",1,"M"
23,"Mo08HH23",10,"F"
24,"Mo08HH24",8,"M"
25,"Mo08HH25",5,"M"
26,"Mo08HH26",8,"M"
27,"Mo08HH27",9,"F"
28,"Mo08HH28",8,"F"
29,"Mo08HH29",6,"M"
30,"Mo08HH30",9,"M"
31,"Mo08HH31",1,"F"
32,"Mo08HH32",4,"M"
33,"Mo08HH33",5,"M"
34,"Mo08HH34",1,"M"
35,"Mo08HH35",1,"F"
36,"Mo08HH36",6,"M"
37,"Mo08HH37",17,"M"
38,"Mo08HH38",7,"F"
39,"Mo08HH39",14,"M"
40,"Mo08HH40",10,"F"
41,"Mo08HH41",10,"M"
42,"Mo08HH42",12,"F"
43,"Mo08HH43",10,"M"
44,"Mo08HH44",12,"F"
45,"Mo08HH45",13,"M"
46,"Mo08HH46",17,"F"
47,"Mo08HH47",12,"F"
48,"Mo08HH48",17,"M"
49,"Mo08HH49",13,"M"
50,"Mo08HH50",7,"M"
51,"Mo08HH51",5,"M"
52,"Mo08HH52",17,"F"
53,"Mo08HH53",11,"M"
54,"Mo08HH54",17,"F"
55,"Mo08HH55",17,"M"
56,"Mo08HH56",13,"F"
57,"Mo08HH57",9,"F"
58,"Mo08HH58",12,"F"
59,"Mo08HH59",17,"M"
60,"Mo08HH60",14,"M"
61,"Mo08HH61",12,"F"
62,"Mo08HH62",15,"M"
63,"Mo08HH63",14,"M"
64,"Mo08HH64",16,"F"
65,"Mo08HH65",12,"M"
66,"Mo08HH66",14,"F"
67,"Mo08HH67",15,"F"
68,"Mo08HH68",15,"F"
69,"Mo08HH69",15,"M"
70,"Mo08HH70",13,"F"
71,"Mo08HH71",17,"F"
72,"Mo08HH72",12,"F"
73,"Mo08HH73",8,"F"
74,"Mo08HH74",12,"M"
75,"Mo08HH75",13,"M"
76,"Mo08HH76",7,"F"
77,"Mo08HH77",17,"F"
78,"Mo08HH78",11,"F"
79,"Mo08HH79",17,"M"
80,"Mo08HH80",13,"M"
