hh_id,country,hh_size
HH10939301,pt,4
HH10939302,pt,4
HH10939303,pt,4
HH10939305,pt,4
HH10939306,pt,4
HH10939308,pt,4
HH10939401,pt,3
HH10939402,pt,3
HH10939404,pt,3
HH10939405,pt,3
HH10939408,pt,3
HH10939501,pt,4
HH10939502,pt,4
HH10939508,pt,4
HH10939601,pt,3
HH10939701,pt,1
HH10939703,pt,1
HH10939704,pt,1
HH10939705,pt,1
HH10939706,pt,1
HH10939708,pt,1
HH10939801,pt,4
HH10939802,pt,4
HH10939803,pt,4
HH10939804,pt,4
HH10939805,pt,4
HH10939901,pt,1
HH10939902,pt,1
HH10939903,pt,1
HH10940001,pt,3
HH10940002,pt,3
HH10940003,pt,3
HH10940004,pt,3
HH10940005,pt,3
HH10940006,pt,3
HH10940008,pt,3
HH10940101,pt,2
HH10940102,pt,2
HH10940103,pt,2
HH10940104,pt,2
HH10940105,pt,2
HH10940201,pt,3
HH10940203,pt,3
HH10940204,pt,4
HH10940205,pt,4
HH10940208,pt,4
HH10940301,pt,4
HH10940401,pt,4
HH10940402,pt,4
HH10940403,pt,4
HH10940404,pt,4
HH10940406,pt,4
HH10940501,pt,3
HH10940502,pt,3
HH10940503,pt,3
HH10940505,pt,3
HH10940508,pt,3
HH10940601,pt,3
HH10940602,pt,3
HH10940603,pt,3
HH10940608,pt,3
HH10940701,pt,5
HH10940702,pt,5
HH10940801,pt,3
HH10940802,pt,3
HH10940803,pt,3
HH10940804,pt,3
HH10940805,pt,3
HH10940808,pt,3
HH10940901,pt,5
HH10940904,pt,5
HH10940906,pt,5
HH10941001,pt,4
HH10941101,pt,2
HH10941103,pt,2
HH10941104,pt,2
HH10941201,pt,5
HH10941202,pt,5
HH10941203,pt,5
HH10941204,pt,5
HH10941205,pt,5
HH10941208,pt,5
HH10941301,pt,4
HH10941303,pt,4
HH10941304,pt,4
HH10941305,pt,4
HH10941306,pt,4
HH10941308,pt,4
HH10941401,pt,4
HH10941402,pt,4
HH10941403,pt,4
HH10941404,pt,4
HH10941501,pt,4
HH10941502,pt,4
HH10941503,pt,3
HH10941504,pt,4
HH10941505,pt,4
HH10941601,pt,2
HH10941603,pt,2
HH10941604,pt,2
HH10941605,pt,2
HH10941606,pt,2
HH10941701,pt,1
HH10941703,pt,2
HH10941708,pt,2
HH10941801,pt,3
HH10941802,pt,3
HH10941803,pt,3
HH10941804,pt,3
HH10941805,pt,3
HH10941901,pt,1
HH10941902,pt,1
HH10941903,pt,1
HH10941904,pt,1
HH10941905,pt,1
HH10941908,pt,1
HH10942001,pt,1
HH10942002,pt,1
HH10942003,pt,1
HH10942004,pt,1
HH10942005,pt,1
HH10942006,pt,1
HH10942008,pt,1
HH10942101,pt,4
HH10942104,pt,4
HH10942105,pt,4
HH10942201,pt,2
HH10942202,pt,2
HH10942301,pt,2
HH10942302,pt,2
HH10942303,pt,2
HH10942304,pt,2
HH10942306,pt,2
HH10942308,pt,2
HH10942401,pt,3
HH10942402,pt,3
HH10942403,pt,3
HH10942405,pt,3
HH10942501,pt,3
HH10942502,pt,3
HH10942503,pt,3
HH10942504,pt,3
HH10942505,pt,3
HH10942506,pt,3
HH10942601,pt,3
HH10942602,pt,3
HH10942603,pt,3
HH10942604,pt,3
HH10942605,pt,3
HH10942606,pt,3
HH10942701,pt,3
HH10942702,pt,3
HH10942703,pt,3
HH10942704,pt,3
HH10942705,pt,3
HH10942706,pt,3
HH10942708,pt,3
HH10942801,pt,1
HH10942802,pt,1
HH10942803,pt,1
HH10942804,pt,1
HH10942805,pt,1
HH10942806,pt,1
HH10942808,pt,1
HH10942901,pt,3
HH10942902,pt,3
HH10942903,pt,3
HH10942904,pt,3
HH10942905,pt,3
HH10943001,pt,3
HH10943002,pt,3
HH10943003,pt,3
HH10943004,pt,3
HH10943201,pt,3
HH10943202,pt,3
HH10943203,pt,3
HH10943204,pt,3
HH10943205,pt,3
HH10943206,pt,3
HH10943208,pt,3
HH10943301,pt,2
HH10943302,pt,2
HH10943303,pt,2
HH10943305,pt,1
HH10943306,pt,2
HH10943401,pt,2
HH10943402,pt,2
HH10943403,pt,2
HH10943404,pt,2
HH10943405,pt,2
HH10943501,pt,4
HH10943502,pt,4
HH10943503,pt,4
HH10943601,pt,2
HH10943602,pt,3
HH10943603,pt,3
HH10943604,pt,3
HH10943605,pt,3
HH10943606,pt,3
HH10943608,pt,3
HH10943701,pt,3
HH10943702,pt,3
HH10943703,pt,3
HH10943704,pt,3
HH10943705,pt,3
HH10943801,pt,4
HH10943802,pt,4
HH10943803,pt,4
HH10943804,pt,4
HH10943808,pt,4
HH10943901,pt,1
HH10943902,pt,1
HH10943904,pt,1
HH10943905,pt,1
HH10943908,pt,1
HH10944001,pt,3
HH10944003,pt,3
HH10944004,pt,3
HH10944006,pt,3
HH10944008,pt,3
HH10944101,pt,2
HH10944102,pt,2
HH10944103,pt,2
HH10944104,pt,2
HH10944106,pt,2
HH10944201,pt,2
HH10944202,pt,2
HH10944203,pt,2
HH10944205,pt,2
HH10944206,pt,2
HH10944208,pt,2
HH10944301,pt,3
HH10944401,pt,2
HH10944402,pt,2
HH10944403,pt,2
HH10944405,pt,2
HH10944406,pt,2
HH10944501,pt,3
HH10944502,pt,3
HH10944505,pt,3
HH10944506,pt,3
HH10944601,pt,4
HH10944603,pt,4
HH10944604,pt,4
HH10944701,pt,2
HH10944702,pt,2
HH10944703,pt,2
HH10944704,pt,2
HH10944801,pt,2
HH10944802,pt,2
HH10944803,pt,2
HH10944901,pt,4
HH10944902,pt,4
HH10944903,pt,4
HH10944906,pt,4
HH10945001,pt,3
HH10945002,pt,3
HH10945004,pt,3
HH10945005,pt,3
HH10945101,pt,3
HH10945102,pt,3
HH10945103,pt,3
HH10945104,pt,3
HH10945105,pt,3
HH10945106,pt,3
HH10945108,pt,3
HH10945201,pt,4
HH10945301,pt,3
HH10945303,pt,3
HH10945305,pt,3
HH10945401,pt,2
HH10945402,pt,2
HH10945403,pt,2
HH10945404,pt,2
HH10945405,pt,2
HH10945408,pt,2
HH10945501,pt,2
HH10945503,pt,2
HH10945504,pt,2
HH10945505,pt,2
HH10945506,pt,2
HH10945601,pt,3
HH10945602,pt,3
HH10945603,pt,3
HH10945608,pt,3
HH10945701,pt,3
HH10945703,pt,3
HH10945705,pt,3
HH10945801,pt,3
HH10945802,pt,3
HH10945803,pt,3
HH10945804,pt,3
HH10945806,pt,3
HH10945808,pt,3
HH10945901,pt,4
HH10945902,pt,3
HH10945903,pt,3
HH10945904,pt,3
HH10945905,pt,3
HH10945906,pt,3
HH10945908,pt,3
HH10946001,pt,2
HH10946004,pt,2
HH10946005,pt,2
HH10946201,pt,1
HH10946202,pt,2
HH10946203,pt,2
HH10946204,pt,2
HH10946205,pt,2
HH10946206,pt,2
HH10946208,pt,2
HH10946301,pt,2
HH10946303,pt,2
HH10946304,pt,1
HH10946305,pt,1
HH10946306,pt,1
HH10946401,pt,2
HH10946402,pt,2
HH10946403,pt,2
HH10946405,pt,2
HH10946408,pt,2
HH10946501,pt,3
HH10946601,pt,3
HH10946602,pt,3
HH10946603,pt,3
HH10946604,pt,3
HH10946605,pt,3
HH10946608,pt,3
HH10946701,pt,3
HH10946702,pt,3
HH10946703,pt,3
HH10946704,pt,3
HH10946801,pt,2
HH10946802,pt,2
HH10946803,pt,2
HH10946804,pt,1
HH10946808,pt,2
HH10946901,pt,1
HH10946902,pt,1
HH10946903,pt,1
HH10946904,pt,1
HH10946905,pt,1
HH10946906,pt,1
HH10947001,pt,3
HH10947002,pt,3
HH10947003,pt,3
HH10947004,pt,3
HH10947005,pt,3
HH10947101,pt,2
HH10947102,pt,2
HH10947103,pt,2
HH10947104,pt,2
HH10947105,pt,2
HH10947201,pt,2
HH10947202,pt,2
HH10947203,pt,2
HH10947204,pt,2
HH10947205,pt,2
HH10947301,pt,3
HH10947302,pt,3
HH10947303,pt,3
HH10947304,pt,3
HH10947306,pt,3
HH10947308,pt,3
HH10947401,pt,2
HH10947402,pt,2
HH10947403,pt,2
HH10947404,pt,2
HH10947405,pt,2
HH10947406,pt,2
HH10947501,pt,4
HH10947502,pt,4
HH10947503,pt,4
HH10947504,pt,4
HH10947505,pt,4
HH10947506,pt,4
HH10947508,pt,4
HH10947601,pt,2
HH10947602,pt,2
HH10947603,pt,2
HH10947604,pt,2
HH10947606,pt,2
HH10947701,pt,2
HH10947703,pt,2
HH10947705,pt,2
HH10947706,pt,2
HH10947708,pt,2
HH10947801,pt,3
HH10947802,pt,3
HH10947803,pt,3
HH10947806,pt,3
HH10947808,pt,3
HH10947901,pt,4
HH10947902,pt,4
HH10947903,pt,4
HH10947904,pt,4
HH10947905,pt,4
HH10948001,pt,3
HH10948101,pt,2
HH10948102,pt,2
HH10948103,pt,2
HH10948104,pt,2
HH10948105,pt,2
HH10948201,pt,5
HH10948202,pt,5
HH10948205,pt,5
HH10948206,pt,5
HH10948301,pt,2
HH10948302,pt,2
HH10948303,pt,1
HH10948304,pt,1
HH10948306,pt,1
HH10948308,pt,1
HH10948401,pt,2
HH10948402,pt,2
HH10948403,pt,2
HH10948404,pt,2
HH10948405,pt,2
HH10948406,pt,2
HH10948408,pt,2
HH10948501,pt,2
HH10948502,pt,2
HH10948504,pt,2
HH10948505,pt,2
HH10948601,pt,2
HH10948602,pt,2
HH10948603,pt,2
HH10948604,pt,2
HH10948605,pt,2
HH10948606,pt,2
HH10948608,pt,2
HH10948701,pt,4
HH10948703,pt,2
HH10948704,pt,2
HH10948705,pt,2
HH10948801,pt,2
HH10948802,pt,2
HH10948803,pt,2
HH10948901,pt,3
HH10948902,pt,3
HH10948903,pt,3
HH10948904,pt,3
HH10948905,pt,3
HH10948906,pt,3
HH10949001,pt,2
HH10949002,pt,2
HH10949003,pt,2
HH10949004,pt,2
HH10949005,pt,2
HH10949008,pt,2
HH10949101,pt,4
HH10949102,pt,4
HH10949103,pt,4
HH10949104,pt,4
HH10949105,pt,4
HH10949301,pt,4
HH10949302,pt,4
HH10949303,pt,4
HH10949401,pt,2
HH10949402,pt,2
HH10949403,pt,2
HH10949404,pt,2
HH10949405,pt,2
HH10949406,pt,2
HH10949408,pt,2
HH10949501,pt,2
HH10949503,pt,2
HH10949504,pt,2
HH10949505,pt,2
HH10949506,pt,2
HH10949601,pt,3
HH10949602,pt,3
HH10949603,pt,3
HH10949604,pt,3
HH10949605,pt,3
HH10949606,pt,3
HH10949701,pt,3
HH10949702,pt,3
HH10949703,pt,3
HH10949706,pt,3
HH10949801,pt,2
HH10949803,pt,2
HH10949805,pt,2
HH10949806,pt,2
HH10949901,pt,2
HH10949902,pt,2
HH10949903,pt,2
HH10949905,pt,2
HH10949906,pt,2
HH10949908,pt,2
HH10950001,pt,3
HH10950002,pt,3
HH10950003,pt,3
HH10950101,pt,2
HH10950102,pt,2
HH10950103,pt,2
HH10950104,pt,2
HH10950105,pt,2
HH10950108,pt,2
HH10950201,pt,2
HH10950202,pt,2
HH10950203,pt,2
HH10950204,pt,2
HH10950205,pt,2
HH10950208,pt,2
HH10950301,pt,2
HH10950302,pt,2
HH10950303,pt,2
HH10950304,pt,2
HH10950305,pt,2
HH10950306,pt,2
HH10950401,pt,3
HH10950403,pt,3
HH10950405,pt,3
HH10950406,pt,3
HH10950408,pt,3
HH10950501,pt,2
HH10950503,pt,2
HH10950504,pt,2
HH10950505,pt,2
HH10950601,pt,2
HH10950602,pt,2
HH10950603,pt,2
HH10950604,pt,3
HH10950605,pt,3
HH10950608,pt,3
HH10950701,pt,1
HH10950703,pt,1
HH10950704,pt,1
HH10950705,pt,1
HH10950706,pt,1
HH10950801,pt,2
HH10950802,pt,2
HH10950803,pt,2
HH10950804,pt,2
HH10950805,pt,2
HH10950806,pt,2
HH10950901,pt,2
HH10950902,pt,2
HH10950903,pt,2
HH10951001,pt,1
HH10951003,pt,1
HH10951004,pt,1
HH10951101,pt,2
HH10951102,pt,2
HH10951103,pt,2
HH10951104,pt,2
HH10951105,pt,2
HH10951108,pt,2
HH10951201,pt,2
HH10951202,pt,2
HH10951203,pt,2
HH10951204,pt,2
HH10951206,pt,2
HH10951208,pt,2
HH10951301,pt,4
HH10951304,pt,4
HH10951305,pt,4
HH10951401,pt,5
HH10951402,pt,5
HH10951501,pt,1
HH10951502,pt,1
HH10951503,pt,1
HH10951505,pt,1
HH10951601,pt,3
HH10951602,pt,3
HH10951603,pt,3
HH10951604,pt,3
HH10951605,pt,3
HH10951701,pt,2
HH10951702,pt,1
HH10951703,pt,1
HH10951704,pt,3
HH10951705,pt,3
HH10951706,pt,3
HH10951708,pt,3
HH10951801,pt,2
HH10951802,pt,2
HH10951805,pt,2
HH10951808,pt,2
HH10951901,pt,2
HH10951902,pt,2
HH10951903,pt,2
HH10951904,pt,2
HH10951905,pt,2
HH10951906,pt,2
HH10951908,pt,2
HH10952001,pt,4
HH10952002,pt,4
HH10952003,pt,4
HH10952101,pt,3
HH10952104,pt,3
HH10952105,pt,3
HH10952106,pt,3
HH10952201,pt,2
HH10952202,pt,2
HH10952203,pt,2
HH10952204,pt,2
HH10952205,pt,2
HH10952206,pt,2
HH10952208,pt,2
HH10952301,pt,2
HH10952302,pt,2
HH10952303,pt,1
HH10952304,pt,1
HH10952401,pt,2
HH10952402,pt,2
HH10952403,pt,2
HH10952404,pt,2
HH10952501,pt,2
HH10952502,pt,2
HH10952503,pt,2
HH10952504,pt,2
HH10952505,pt,2
HH10952506,pt,2
HH10952601,pt,3
HH10952602,pt,3
HH10952603,pt,3
HH10952606,pt,3
HH10952608,pt,3
HH10952701,pt,3
HH10952702,pt,3
HH10952703,pt,3
HH10952704,pt,3
HH10952705,pt,3
HH10952706,pt,3
HH10952801,pt,2
HH10952802,pt,2
HH10952803,pt,2
HH10952806,pt,2
HH10952808,pt,2
HH10952901,pt,4
HH10952902,pt,4
HH10952903,pt,4
HH10953001,pt,2
HH10953002,pt,2
HH10953003,pt,2
HH10953004,pt,2
HH10953005,pt,2
HH10953006,pt,2
HH10953008,pt,2
HH10953101,pt,2
HH10953201,pt,5
HH10953202,pt,5
HH10953203,pt,5
HH10953204,pt,5
HH10953205,pt,5
HH10953208,pt,5
HH10953301,pt,1
HH10953401,pt,4
HH10953501,pt,2
HH10953502,pt,2
HH10953504,pt,2
HH10953601,pt,2
HH10953602,pt,2
HH10953603,pt,2
HH10953604,pt,2
HH10953605,pt,2
HH10953606,pt,2
HH10953701,pt,2
HH10953702,pt,2
HH10953703,pt,2
HH10953704,pt,2
HH10953705,pt,2
HH10953706,pt,2
HH10953708,pt,2
HH10953801,pt,2
HH10953803,pt,2
HH10953806,pt,2
HH10953901,pt,4
HH10953902,pt,4
HH10953903,pt,4
HH10953904,pt,4
HH10953905,pt,4
HH10953906,pt,4
HH10953908,pt,4
HH10954001,pt,1
HH10954003,pt,1
HH10954004,pt,1
HH10954005,pt,1
HH10954006,pt,1
HH10954008,pt,1
HH10954101,pt,2
HH10954102,pt,2
HH10954103,pt,2
HH10954201,pt,1
HH10954202,pt,1
HH10954203,pt,1
HH10954204,pt,1
HH10954205,pt,1
HH10954206,pt,1
HH10954301,pt,4
HH10954303,pt,4
