part_id,sday_id,dayofweek,month,year,day,wave
10939301,2020.12.21,1,12,2020,21,1
10939401,2020.12.21,1,12,2020,21,1
10939501,2020.12.21,1,12,2020,21,1
10939601,2020.12.21,1,12,2020,21,1
10939701,2020.12.21,1,12,2020,21,1
10939801,2020.12.21,1,12,2020,21,1
10939901,2020.12.21,1,12,2020,21,1
10940001,2020.12.21,1,12,2020,21,1
10940101,2020.12.21,1,12,2020,21,1
10940201,2020.12.21,1,12,2020,21,1
10940301,2020.12.21,1,12,2020,21,1
10940401,2020.12.21,1,12,2020,21,1
10940501,2020.12.21,1,12,2020,21,1
10940601,2020.12.21,1,12,2020,21,1
10940701,2020.12.21,1,12,2020,21,1
10940801,2020.12.21,1,12,2020,21,1
10940901,2020.12.21,1,12,2020,21,1
10941001,2020.12.21,1,12,2020,21,1
10941101,2020.12.21,1,12,2020,21,1
10941201,2020.12.21,1,12,2020,21,1
10941301,2020.12.21,1,12,2020,21,1
10941401,2020.12.21,1,12,2020,21,1
10941501,2020.12.21,1,12,2020,21,1
10941601,2020.12.21,1,12,2020,21,1
10941701,2020.12.21,1,12,2020,21,1
10941801,2020.12.21,1,12,2020,21,1
10941901,2020.12.21,1,12,2020,21,1
10942001,2020.12.21,1,12,2020,21,1
10942101,2020.12.21,1,12,2020,21,1
10942201,2020.12.21,1,12,2020,21,1
10942301,2020.12.21,1,12,2020,21,1
10942401,2020.12.21,1,12,2020,21,1
10942501,2020.12.21,1,12,2020,21,1
10942601,2020.12.21,1,12,2020,21,1
10942701,2020.12.21,1,12,2020,21,1
10942801,2020.12.21,1,12,2020,21,1
10942901,2020.12.21,1,12,2020,21,1
10943001,2020.12.21,1,12,2020,21,1
10943201,2020.12.21,1,12,2020,21,1
10943301,2020.12.21,1,12,2020,21,1
10943401,2020.12.21,1,12,2020,21,1
10943501,2020.12.21,1,12,2020,21,1
10943601,2020.12.21,1,12,2020,21,1
10943701,2020.12.21,1,12,2020,21,1
10943801,2020.12.21,1,12,2020,21,1
10943901,2020.12.21,1,12,2020,21,1
10944001,2020.12.21,1,12,2020,21,1
10944101,2020.12.21,1,12,2020,21,1
10944201,2020.12.21,1,12,2020,21,1
10944301,2020.12.21,1,12,2020,21,1
10944401,2020.12.21,1,12,2020,21,1
10944501,2020.12.21,1,12,2020,21,1
10944601,2020.12.21,1,12,2020,21,1
10944701,2020.12.21,1,12,2020,21,1
10944801,2020.12.21,1,12,2020,21,1
10944901,2020.12.21,1,12,2020,21,1
10945001,2020.12.21,1,12,2020,21,1
10945101,2020.12.21,1,12,2020,21,1
10945201,2020.12.21,1,12,2020,21,1
10945301,2020.12.21,1,12,2020,21,1
10945401,2020.12.21,1,12,2020,21,1
10945501,2020.12.21,1,12,2020,21,1
10945601,2020.12.21,1,12,2020,21,1
10945701,2020.12.21,1,12,2020,21,1
10945801,2020.12.31,4,12,2020,31,1
10945901,2020.12.21,1,12,2020,21,1
10946001,2020.12.21,1,12,2020,21,1
10946201,2020.12.21,1,12,2020,21,1
10946301,2020.12.21,1,12,2020,21,1
10946401,2020.12.21,1,12,2020,21,1
10946501,2020.12.21,1,12,2020,21,1
10946601,2020.12.21,1,12,2020,21,1
10946701,2020.12.21,1,12,2020,21,1
10946801,2020.12.21,1,12,2020,21,1
10946901,2020.12.21,1,12,2020,21,1
10947001,2020.12.21,1,12,2020,21,1
10947101,2020.12.21,1,12,2020,21,1
10947201,2020.12.21,1,12,2020,21,1
10947301,2020.12.21,1,12,2020,21,1
10947401,2020.12.21,1,12,2020,21,1
10947501,2020.12.21,1,12,2020,21,1
10947601,2020.12.21,1,12,2020,21,1
10947701,2020.12.21,1,12,2020,21,1
10947801,2020.12.21,1,12,2020,21,1
10947901,2020.12.21,1,12,2020,21,1
10948001,2020.12.21,1,12,2020,21,1
10948101,2020.12.21,1,12,2020,21,1
10948201,2020.12.21,1,12,2020,21,1
10948301,2020.12.21,1,12,2020,21,1
10948401,2020.12.21,1,12,2020,21,1
10948501,2020.12.21,1,12,2020,21,1
10948601,2020.12.21,1,12,2020,21,1
10948701,2020.12.21,1,12,2020,21,1
10948801,2020.12.21,1,12,2020,21,1
10948901,2020.12.21,1,12,2020,21,1
10949001,2020.12.21,1,12,2020,21,1
10949101,2020.12.21,1,12,2020,21,1
10949301,2020.12.21,1,12,2020,21,1
10949401,2020.12.21,1,12,2020,21,1
10949501,2020.12.21,1,12,2020,21,1
10949601,2020.12.21,1,12,2020,21,1
10949701,2020.12.21,1,12,2020,21,1
10949801,2020.12.21,1,12,2020,21,1
10949901,2020.12.21,1,12,2020,21,1
10950001,2020.12.21,1,12,2020,21,1
10950101,2020.12.21,1,12,2020,21,1
10950201,2020.12.21,1,12,2020,21,1
10950301,2020.12.21,1,12,2020,21,1
10950401,2020.12.21,1,12,2020,21,1
10950501,2020.12.21,1,12,2020,21,1
10950601,2020.12.21,1,12,2020,21,1
10950701,2020.12.21,1,12,2020,21,1
10950801,2020.12.21,1,12,2020,21,1
10950901,2020.12.21,1,12,2020,21,1
10951001,2020.12.21,1,12,2020,21,1
10951101,2020.12.21,1,12,2020,21,1
10951201,2020.12.21,1,12,2020,21,1
10951301,2020.12.21,1,12,2020,21,1
10951401,2020.12.21,1,12,2020,21,1
10951501,2020.12.21,1,12,2020,21,1
10951601,2020.12.21,1,12,2020,21,1
10951701,2020.12.21,1,12,2020,21,1
10951801,2020.12.21,1,12,2020,21,1
10951901,2020.12.21,1,12,2020,21,1
10952001,2020.12.21,1,12,2020,21,1
10952101,2020.12.21,1,12,2020,21,1
10952201,2020.12.21,1,12,2020,21,1
10952301,2020.12.21,1,12,2020,21,1
10952401,2020.12.21,1,12,2020,21,1
10952501,2020.12.21,1,12,2020,21,1
10952601,2020.12.21,1,12,2020,21,1
10952701,2020.12.21,1,12,2020,21,1
10952801,2020.12.21,1,12,2020,21,1
10952901,2020.12.21,1,12,2020,21,1
10953001,2020.12.21,1,12,2020,21,1
10953101,2020.12.21,1,12,2020,21,1
10953201,2020.12.21,1,12,2020,21,1
10953301,2020.12.21,1,12,2020,21,1
10953401,2020.12.30,3,12,2020,30,1
10953501,2020.12.21,1,12,2020,21,1
10953601,2020.12.21,1,12,2020,21,1
10953701,2020.12.21,1,12,2020,21,1
10953801,2020.12.21,1,12,2020,21,1
10953901,2020.12.21,1,12,2020,21,1
10954001,2020.12.21,1,12,2020,21,1
10954101,2020.12.21,1,12,2020,21,1
10954201,2020.12.21,1,12,2020,21,1
10954301,2020.12.21,1,12,2020,21,1
10954401,2020.12.21,1,12,2020,21,1
10954501,2020.12.23,3,12,2020,23,1
10954601,2020.12.21,1,12,2020,21,1
10954701,2020.12.21,1,12,2020,21,1
10954801,2020.12.21,1,12,2020,21,1
10954901,2020.12.21,1,12,2020,21,1
10955001,2020.12.21,1,12,2020,21,1
10955101,2020.12.21,1,12,2020,21,1
10955201,2020.12.21,1,12,2020,21,1
10955301,2020.12.21,1,12,2020,21,1
10955401,2020.12.21,1,12,2020,21,1
10955501,2020.12.21,1,12,2020,21,1
10955601,2020.12.21,1,12,2020,21,1
10955701,2020.12.21,1,12,2020,21,1
10955801,2020.12.21,1,12,2020,21,1
