"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","frequency_multi","phys_contact","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","duration_multi","cnt_small","cnt_large_inc","cnt_ind"
10939301,109393001,53,45,54,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10939301,109393002,46,45,54,"M",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10939301,109393003,16,16,17,"F",1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10939401,109394001,77,75,79,"M",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10939401,109394002,78,75,79,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10939401,109394003,46,45,54,"F",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10939401,109394004,31,25,34,"F",2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10939401,109394005,53,45,54,"M",1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,TRUE,TRUE,TRUE
10939401,109394006,46,45,54,"F",1,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6,TRUE,TRUE,TRUE
10939401,109394007,46,45,54,"F",2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10939501,109395001,59,55,64,"M",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10939501,109395002,58,55,64,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10939501,109395003,33,25,34,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10939501,109395004,80,80,84,"F",3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10939501,109395005,38,35,44,"M",2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10939501,109395006,63,55,64,"F",4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10939501,109395007,49,45,54,"F",2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10939601,109396001,26,25,34,"M",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10939601,109396002,31,25,34,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10939601,109396003,4,0,17,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396004,17,0,17,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396005,13,0,17,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396006,12,0,17,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396007,5,0,17,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396008,16,0,17,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396009,7,0,17,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396010,12,0,17,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396011,1,0,17,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396012,33,18,64,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396013,39,18,64,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396014,18,18,64,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396015,41,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396016,26,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396017,38,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396018,57,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396019,53,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396020,31,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396021,58,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396022,34,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396023,46,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396024,62,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396025,26,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939601,109396026,52,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE
10939801,109398001,27,25,34,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10939801,109398002,20,20,24,"M",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10939801,109398003,22,20,24,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE
10939801,109398004,39,35,44,"F",3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10939801,109398005,48,45,54,"M",4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10939801,109398006,53,45,54,"F",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10939801,109398007,57,55,64,"F",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10939801,109398008,76,75,79,"M",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10939801,109398009,71,70,74,"F",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10939801,109398010,42,35,44,"F",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10939801,109398011,38,35,44,"F",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10939801,109398012,73,70,74,"F",1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE
10939901,109399001,56,55,64,"F",1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10939901,109399002,59,55,64,"M",2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE
10939901,109399003,24,20,24,"F",5,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE,TRUE
10939901,109399004,55,55,64,"M",5,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE
10939901,109399005,56,55,64,"F",2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
10939901,109399006,59,55,64,"F",2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE,TRUE
