"part_id","hh_id","part_age","part_gender"
10939301,"HH10939301",28,"M"
10939302,"HH10939302",27,"M"
10939303,"HH10939303",22,"M"
10939305,"HH10939305",18,"M"
10939306,"HH10939306",20,"M"
10939308,"HH10939308",22,"M"
10939401,"HH10939401",44,"F"
10939402,"HH10939402",41,"F"
10939404,"HH10939404",42,"F"
10939405,"HH10939405",45,"F"
10939408,"HH10939408",42,"F"
10939501,"HH10939501",33,"F"
10939502,"HH10939502",30,"F"
10939508,"HH10939508",38,"F"
10939601,"HH10939601",57,"F"
10939701,"HH10939701",60,"F"
10939703,"HH10939703",63,"F"
10939704,"HH10939704",61,"F"
10939705,"HH10939705",63,"F"
10939706,"HH10939706",67,"F"
10939708,"HH10939708",65,"F"
10939801,"HH10939801",53,"F"
10939802,"HH10939802",52,"F"
10939803,"HH10939803",59,"F"
10939804,"HH10939804",53,"F"
10939805,"HH10939805",56,"F"
10939901,"HH10939901",49,"F"
10939902,"HH10939902",47,"F"
10939903,"HH10939903",41,"F"
10940001,"HH10940001",60,"M"
10940002,"HH10940002",69,"M"
10940003,"HH10940003",63,"M"
10940004,"HH10940004",64,"M"
10940005,"HH10940005",63,"M"
10940006,"HH10940006",66,"M"
10940008,"HH10940008",60,"M"
10940101,"HH10940101",47,"F"
10940102,"HH10940102",47,"F"
10940103,"HH10940103",49,"F"
10940104,"HH10940104",43,"F"
10940105,"HH10940105",45,"F"
10940201,"HH10940201",55,"F"
10940203,"HH10940203",50,"F"
10940204,"HH10940204",52,"F"
10940205,"HH10940205",55,"F"
10940208,"HH10940208",59,"F"
10940301,"HH10940301",37,"F"
10940401,"HH10940401",27,"F"
10940402,"HH10940402",29,"F"
10940403,"HH10940403",26,"F"
10940404,"HH10940404",24,"F"
10940406,"HH10940406",21,"F"
10940501,"HH10940501",45,"F"
10940502,"HH10940502",49,"F"
10940503,"HH10940503",41,"F"
10940505,"HH10940505",42,"F"
10940508,"HH10940508",41,"F"
10940601,"HH10940601",20,"M"
10940602,"HH10940602",28,"M"
10940603,"HH10940603",22,"M"
10940608,"HH10940608",22,"M"
10940701,"HH10940701",58,"M"
10940702,"HH10940702",55,"M"
10940801,"HH10940801",87,"M"
10940802,"HH10940802",80,"M"
10940803,"HH10940803",82,"M"
10940804,"HH10940804",71,"M"
10940805,"HH10940805",83,"M"
10940808,"HH10940808",71,"M"
10940901,"HH10940901",46,"F"
10940904,"HH10940904",48,"F"
10940906,"HH10940906",40,"F"
10941001,"HH10941001",55,"F"
10941101,"HH10941101",40,"F"
10941103,"HH10941103",42,"F"
10941104,"HH10941104",45,"F"
10941201,"HH10941201",90,"M"
10941202,"HH10941202",73,"M"
10941203,"HH10941203",72,"M"
10941204,"HH10941204",74,"M"
10941205,"HH10941205",82,"M"
10941208,"HH10941208",70,"M"
10941301,"HH10941301",21,"F"
10941303,"HH10941303",27,"F"
10941304,"HH10941304",20,"F"
10941305,"HH10941305",28,"F"
10941306,"HH10941306",24,"F"
10941308,"HH10941308",28,"F"
10941401,"HH10941401",68,"M"
10941402,"HH10941402",68,"M"
10941403,"HH10941403",68,"M"
10941404,"HH10941404",66,"M"
10941501,"HH10941501",39,"M"
10941502,"HH10941502",30,"M"
10941503,"HH10941503",33,"M"
10941504,"HH10941504",39,"M"
10941505,"HH10941505",32,"M"
10941601,"HH10941601",41,"F"
10941603,"HH10941603",45,"F"
10941604,"HH10941604",41,"F"
10941605,"HH10941605",47,"F"
10941606,"HH10941606",42,"F"
10941701,"HH10941701",70,"M"
10941703,"HH10941703",91,"F"
10941708,"HH10941708",86,"M"
10941801,"HH10941801",41,"M"
10941802,"HH10941802",42,"M"
10941803,"HH10941803",47,"M"
10941804,"HH10941804",42,"M"
10941805,"HH10941805",41,"M"
10941901,"HH10941901",87,"M"
10941902,"HH10941902",71,"M"
10941903,"HH10941903",89,"M"
10941904,"HH10941904",79,"M"
10941905,"HH10941905",71,"M"
10941908,"HH10941908",76,"M"
10942001,"HH10942001",72,"M"
10942002,"HH10942002",72,"M"
10942003,"HH10942003",85,"M"
10942004,"HH10942004",76,"M"
10942005,"HH10942005",71,"M"
10942006,"HH10942006",76,"M"
10942008,"HH10942008",90,"M"
10942101,"HH10942101",49,"F"
10942104,"HH10942104",41,"F"
10942105,"HH10942105",44,"F"
10942201,"HH10942201",54,"F"
10942202,"HH10942202",22,"F"
10942301,"HH10942301",85,"M"
10942302,"HH10942302",86,"M"
10942303,"HH10942303",79,"M"
10942304,"HH10942304",75,"M"
10942306,"HH10942306",72,"M"
10942308,"HH10942308",74,"M"
10942401,"HH10942401",44,"M"
10942402,"HH10942402",48,"M"
10942403,"HH10942403",47,"M"
10942405,"HH10942405",48,"M"
10942501,"HH10942501",38,"F"
10942502,"HH10942502",38,"F"
10942503,"HH10942503",35,"F"
10942504,"HH10942504",38,"F"
10942505,"HH10942505",36,"F"
10942506,"HH10942506",38,"F"
10942601,"HH10942601",19,"F"
10942602,"HH10942602",27,"F"
10942603,"HH10942603",24,"F"
10942604,"HH10942604",21,"F"
10942605,"HH10942605",29,"F"
10942606,"HH10942606",27,"F"
10942701,"HH10942701",27,"F"
10942702,"HH10942702",21,"F"
10942703,"HH10942703",29,"F"
10942704,"HH10942704",29,"F"
10942705,"HH10942705",25,"F"
10942706,"HH10942706",21,"F"
10942708,"HH10942708",21,"F"
10942801,"HH10942801",82,"M"
10942802,"HH10942802",76,"M"
10942803,"HH10942803",84,"M"
10942804,"HH10942804",75,"M"
10942805,"HH10942805",79,"M"
10942806,"HH10942806",73,"M"
10942808,"HH10942808",84,"M"
10942901,"HH10942901",19,"F"
10942902,"HH10942902",21,"F"
10942903,"HH10942903",20,"F"
10942904,"HH10942904",29,"F"
10942905,"HH10942905",27,"F"
10943001,"HH10943001",67,"M"
10943002,"HH10943002",64,"M"
10943003,"HH10943003",60,"M"
10943004,"HH10943004",66,"M"
10943201,"HH10943201",47,"F"
10943202,"HH10943202",43,"F"
10943203,"HH10943203",40,"F"
10943204,"HH10943204",44,"F"
10943205,"HH10943205",41,"F"
10943206,"HH10943206",40,"F"
10943208,"HH10943208",43,"F"
10943301,"HH10943301",51,"M"
10943302,"HH10943302",59,"M"
10943303,"HH10943303",50,"M"
10943305,"HH10943305",55,"M"
10943306,"HH10943306",59,"M"
10943401,"HH10943401",64,"F"
10943402,"HH10943402",69,"F"
10943403,"HH10943403",68,"F"
10943404,"HH10943404",65,"F"
10943405,"HH10943405",65,"F"
10943501,"HH10943501",44,"M"
10943502,"HH10943502",45,"M"
10943503,"HH10943503",41,"M"
10943601,"HH10943601",57,"M"
10943602,"HH10943602",57,"M"
10943603,"HH10943603",53,"M"
10943604,"HH10943604",57,"M"
10943605,"HH10943605",54,"M"
10943606,"HH10943606",56,"M"
10943608,"HH10943608",59,"M"
10943701,"HH10943701",56,"M"
10943702,"HH10943702",57,"M"
10943703,"HH10943703",52,"M"
10943704,"HH10943704",50,"M"
10943705,"HH10943705",54,"M"
10943801,"HH10943801",49,"M"
10943802,"HH10943802",40,"M"
10943803,"HH10943803",40,"M"
10943804,"HH10943804",45,"M"
10943808,"HH10943808",45,"M"
10943901,"HH10943901",34,"F"
10943902,"HH10943902",38,"F"
10943904,"HH10943904",38,"F"
10943905,"HH10943905",31,"F"
10943908,"HH10943908",35,"F"
10944001,"HH10944001",68,"M"
10944003,"HH10944003",68,"M"
10944004,"HH10944004",65,"M"
10944006,"HH10944006",65,"M"
10944008,"HH10944008",65,"M"
10944101,"HH10944101",57,"F"
10944102,"HH10944102",58,"F"
10944103,"HH10944103",59,"F"
10944104,"HH10944104",52,"F"
10944106,"HH10944106",53,"F"
10944201,"HH10944201",66,"M"
10944202,"HH10944202",63,"M"
10944203,"HH10944203",60,"M"
10944205,"HH10944205",67,"M"
10944206,"HH10944206",66,"M"
