"part_id","hh_id","part_age","part_gender"
10739701,"HH10739701",62,"M"
10739702,"HH10739702",66,"M"
10739705,"HH10739705",63,"M"
10739706,"HH10739706",60,"M"
10739707,"HH10739707",66,"M"
10739801,"HH10739801",66,"F"
10739804,"HH10739804",60,"F"
10739805,"HH10739805",65,"F"
10739806,"HH10739806",66,"F"
10739807,"HH10739807",62,"F"
10739901,"HH10739901",67,"M"
10739902,"HH10739902",63,"M"
10739904,"HH10739904",61,"M"
10739905,"HH10739905",64,"M"
10739906,"HH10739906",60,"M"
10739907,"HH10739907",67,"M"
10740001,"HH10740001",34,"F"
10740007,"HH10740007",31,"F"
10740101,"HH10740101",66,"F"
10740102,"HH10740102",68,"F"
10740104,"HH10740104",69,"F"
10740105,"HH10740105",60,"F"
10740106,"HH10740106",67,"F"
10740107,"HH10740107",64,"F"
10740108,"HH10740108",68,"F"
10740201,"HH10740201",25,"F"
10740301,"HH10740301",65,"M"
10740302,"HH10740302",69,"M"
10740305,"HH10740305",69,"M"
10740306,"HH10740306",64,"M"
10740307,"HH10740307",65,"M"
10740308,"HH10740308",67,"M"
10740401,"HH10740401",45,"F"
10740402,"HH10740402",48,"F"
10740404,"HH10740404",45,"F"
10740405,"HH10740405",41,"F"
10740406,"HH10740406",42,"F"
10740407,"HH10740407",44,"F"
10740408,"HH10740408",46,"F"
10740501,"HH10740501",63,"F"
10740502,"HH10740502",60,"F"
10740504,"HH10740504",65,"F"
10740505,"HH10740505",63,"F"
10740506,"HH10740506",67,"F"
10740508,"HH10740508",62,"F"
10740601,"HH10740601",70,"F"
10740602,"HH10740602",78,"F"
10740604,"HH10740604",73,"F"
10740605,"HH10740605",72,"F"
10740606,"HH10740606",99,"F"
10740607,"HH10740607",84,"F"
10740608,"HH10740608",75,"F"
10740701,"HH10740701",62,"F"
10740702,"HH10740702",60,"F"
10740704,"HH10740704",64,"F"
10740705,"HH10740705",60,"F"
10740706,"HH10740706",69,"F"
10740707,"HH10740707",63,"F"
10740708,"HH10740708",61,"F"
10740801,"HH10740801",79,"M"
10740804,"HH10740804",79,"M"
10740805,"HH10740805",89,"M"
10740807,"HH10740807",70,"M"
10740808,"HH10740808",87,"M"
10740901,"HH10740901",73,"M"
10740902,"HH10740902",80,"M"
10740905,"HH10740905",83,"M"
10740907,"HH10740907",75,"M"
10740908,"HH10740908",88,"M"
10741001,"HH10741001",62,"F"
10741002,"HH10741002",63,"F"
10741004,"HH10741004",64,"F"
10741005,"HH10741005",64,"F"
10741006,"HH10741006",63,"F"
10741007,"HH10741007",64,"F"
10741008,"HH10741008",60,"F"
10741101,"HH10741101",34,"F"
10741104,"HH10741104",33,"F"
10741105,"HH10741105",31,"F"
10741201,"HH10741201",65,"F"
10741202,"HH10741202",60,"F"
10741204,"HH10741204",66,"F"
10741205,"HH10741205",64,"F"
10741206,"HH10741206",60,"F"
10741207,"HH10741207",67,"F"
10741208,"HH10741208",63,"F"
10741301,"HH10741301",29,"F"
10741304,"HH10741304",29,"F"
10741305,"HH10741305",27,"F"
10741306,"HH10741306",29,"F"
10741401,"HH10741401",91,"F"
10741402,"HH10741402",75,"F"
10741404,"HH10741404",73,"F"
10741405,"HH10741405",76,"F"
10741406,"HH10741406",74,"F"
10741407,"HH10741407",76,"F"
10741408,"HH10741408",77,"F"
10741501,"HH10741501",72,"F"
10741502,"HH10741502",77,"F"
10741504,"HH10741504",82,"F"
10741505,"HH10741505",76,"F"
10741506,"HH10741506",85,"F"
10741507,"HH10741507",84,"F"
10741508,"HH10741508",78,"F"
10741601,"HH10741601",28,"F"
10741602,"HH10741602",24,"F"
10741604,"HH10741604",26,"F"
10741605,"HH10741605",28,"F"
10741606,"HH10741606",18,"F"
10741607,"HH10741607",25,"F"
10741608,"HH10741608",25,"F"
10741701,"HH10741701",53,"F"
10741702,"HH10741702",57,"F"
10741705,"HH10741705",56,"F"
10741708,"HH10741708",55,"F"
10741801,"HH10741801",38,"F"
10741802,"HH10741802",35,"F"
10741901,"HH10741901",69,"F"
10741905,"HH10741905",60,"F"
10741907,"HH10741907",60,"F"
10742001,"HH10742001",78,"M"
10742002,"HH10742002",93,"M"
10742004,"HH10742004",79,"M"
10742005,"HH10742005",78,"M"
10742006,"HH10742006",77,"M"
10742007,"HH10742007",74,"M"
10742101,"HH10742101",52,"M"
10742102,"HH10742102",56,"M"
10742104,"HH10742104",51,"M"
10742105,"HH10742105",50,"M"
10742106,"HH10742106",56,"M"
10742108,"HH10742108",51,"M"
10742201,"HH10742201",65,"M"
10742202,"HH10742202",63,"M"
10742204,"HH10742204",68,"M"
10742205,"HH10742205",68,"M"
10742206,"HH10742206",65,"M"
10742207,"HH10742207",67,"M"
10742208,"HH10742208",68,"M"
10742301,"HH10742301",46,"F"
10742302,"HH10742302",49,"F"
10742304,"HH10742304",42,"F"
10742305,"HH10742305",46,"F"
10742306,"HH10742306",41,"F"
10742308,"HH10742308",41,"F"
10742401,"HH10742401",79,"F"
10742402,"HH10742402",71,"F"
10742405,"HH10742405",88,"F"
10742406,"HH10742406",76,"F"
10742407,"HH10742407",87,"F"
10742408,"HH10742408",73,"F"
10742501,"HH10742501",67,"M"
10742502,"HH10742502",67,"M"
10742504,"HH10742504",69,"M"
10742505,"HH10742505",66,"M"
10742506,"HH10742506",64,"M"
10742507,"HH10742507",69,"M"
10742508,"HH10742508",62,"M"
10742601,"HH10742601",67,"M"
10742602,"HH10742602",60,"M"
10742604,"HH10742604",67,"M"
10742605,"HH10742605",65,"M"
10742606,"HH10742606",64,"M"
10742608,"HH10742608",63,"M"
10742701,"HH10742701",62,"F"
10742702,"HH10742702",68,"F"
10742704,"HH10742704",60,"F"
10742705,"HH10742705",60,"F"
10742706,"HH10742706",61,"F"
10742708,"HH10742708",62,"F"
10742801,"HH10742801",81,"M"
10742802,"HH10742802",75,"M"
10742804,"HH10742804",71,"M"
10742901,"HH10742901",68,"M"
10742902,"HH10742902",63,"M"
10742904,"HH10742904",65,"M"
10742905,"HH10742905",64,"M"
10742906,"HH10742906",65,"M"
10742907,"HH10742907",65,"M"
10742908,"HH10742908",65,"M"
10743001,"HH10743001",58,"F"
10743002,"HH10743002",59,"F"
10743004,"HH10743004",56,"F"
10743005,"HH10743005",50,"F"
10743007,"HH10743007",52,"F"
10743008,"HH10743008",55,"F"
10743101,"HH10743101",57,"F"
10743102,"HH10743102",51,"F"
10743104,"HH10743104",59,"F"
10743105,"HH10743105",52,"F"
10743106,"HH10743106",53,"F"
10743107,"HH10743107",51,"F"
10743201,"HH10743201",31,"M"
10743202,"HH10743202",35,"M"
10743204,"HH10743204",31,"M"
10743301,"HH10743301",73,"M"
10743302,"HH10743302",72,"M"
10743304,"HH10743304",80,"M"
10743305,"HH10743305",71,"M"
10743306,"HH10743306",77,"M"
10743307,"HH10743307",86,"M"
10743308,"HH10743308",71,"M"
10743401,"HH10743401",58,"F"
10743402,"HH10743402",58,"F"
10743404,"HH10743404",55,"F"
10743405,"HH10743405",51,"F"
10743501,"HH10743501",66,"F"
10743502,"HH10743502",60,"F"
10743504,"HH10743504",64,"F"
10743505,"HH10743505",64,"F"
10743506,"HH10743506",68,"F"
10743507,"HH10743507",63,"F"
10743508,"HH10743508",69,"F"
10743601,"HH10743601",53,"F"
10743602,"HH10743602",55,"F"
10743604,"HH10743604",59,"F"
10743605,"HH10743605",54,"F"
10743606,"HH10743606",56,"F"
10743607,"HH10743607",52,"F"
10743608,"HH10743608",55,"F"
10743701,"HH10743701",52,"F"
10743801,"HH10743801",60,"F"
10743802,"HH10743802",67,"F"
10743804,"HH10743804",66,"F"
10743805,"HH10743805",65,"F"
10743806,"HH10743806",63,"F"
10743807,"HH10743807",67,"F"
10743808,"HH10743808",67,"F"
10743901,"HH10743901",83,"F"
10743902,"HH10743902",71,"F"
10743904,"HH10743904",71,"F"
10743905,"HH10743905",70,"F"
10743906,"HH10743906",73,"F"
10743907,"HH10743907",83,"F"
10743908,"HH10743908",75,"F"
10744001,"HH10744001",66,"F"
10744002,"HH10744002",61,"F"
10744005,"HH10744005",65,"F"
10744006,"HH10744006",64,"F"
10744007,"HH10744007",61,"F"
10744008,"HH10744008",69,"F"
10744101,"HH10744101",54,"M"
10744102,"HH10744102",41,"M"
10744201,"HH10744201",68,"M"
10744301,"HH10744301",65,"F"
10744302,"HH10744302",64,"F"
10744304,"HH10744304",69,"F"
10744307,"HH10744307",60,"F"
10744401,"HH10744401",63,"M"
10744402,"HH10744402",66,"M"
10744404,"HH10744404",64,"M"
10744406,"HH10744406",66,"M"
10744408,"HH10744408",69,"M"
10744501,"HH10744501",38,"M"
10744502,"HH10744502",39,"M"
10744504,"HH10744504",36,"M"
10744505,"HH10744505",36,"M"
10744506,"HH10744506",37,"M"
10744601,"HH10744601",66,"M"
10744602,"HH10744602",69,"M"
10744604,"HH10744604",66,"M"
10744605,"HH10744605",64,"M"
10744606,"HH10744606",65,"M"
10744607,"HH10744607",60,"M"
10744608,"HH10744608",60,"M"
10744701,"HH10744701",73,"M"
10744705,"HH10744705",72,"M"
10744801,"HH10744801",82,"F"
10744802,"HH10744802",84,"F"
10744804,"HH10744804",87,"F"
10744805,"HH10744805",76,"F"
10744806,"HH10744806",70,"F"
10744807,"HH10744807",84,"F"
10744808,"HH10744808",85,"F"
10744901,"HH10744901",64,"F"
10744908,"HH10744908",71,"F"
10745001,"HH10745001",71,"F"
10745002,"HH10745002",73,"F"
10745004,"HH10745004",79,"F"
10745005,"HH10745005",91,"F"
10745006,"HH10745006",81,"F"
10745007,"HH10745007",93,"F"
10745008,"HH10745008",79,"F"
10745101,"HH10745101",67,"F"
10745102,"HH10745102",61,"F"
10745104,"HH10745104",69,"F"
10745201,"HH10745201",66,"M"
10745202,"HH10745202",61,"M"
10745204,"HH10745204",66,"M"
10745207,"HH10745207",60,"M"
10745301,"HH10745301",37,"M"
10745302,"HH10745302",39,"M"
10745304,"HH10745304",34,"M"
10745306,"HH10745306",39,"M"
10745401,"HH10745401",80,"F"
10745402,"HH10745402",74,"F"
10745404,"HH10745404",73,"F"
10745405,"HH10745405",84,"F"
10745406,"HH10745406",74,"F"
10745501,"HH10745501",68,"F"
10745502,"HH10745502",65,"F"
10745504,"HH10745504",63,"F"
10745505,"HH10745505",61,"F"
10745506,"HH10745506",64,"F"
10745508,"HH10745508",63,"F"
10745601,"HH10745601",58,"F"
10745602,"HH10745602",58,"F"
10745604,"HH10745604",50,"F"
10745605,"HH10745605",50,"F"
10745607,"HH10745607",50,"F"
10745608,"HH10745608",51,"F"
10745701,"HH10745701",22,"F"
10745705,"HH10745705",21,"F"
10745706,"HH10745706",19,"F"
10745801,"HH10745801",53,"M"
10745802,"HH10745802",50,"M"
10745804,"HH10745804",57,"M"
10745805,"HH10745805",54,"M"
10745806,"HH10745806",57,"M"
10745807,"HH10745807",58,"M"
10745808,"HH10745808",59,"M"
10745901,"HH10745901",57,"M"
10745902,"HH10745902",59,"M"
10745904,"HH10745904",57,"M"
10745905,"HH10745905",59,"M"
10745907,"HH10745907",56,"M"
10746001,"HH10746001",73,"M"
10746002,"HH10746002",70,"M"
10746004,"HH10746004",83,"M"
10746005,"HH10746005",70,"M"
10746101,"HH10746101",64,"F"
10746102,"HH10746102",66,"F"
10746104,"HH10746104",68,"F"
10746105,"HH10746105",67,"F"
10746106,"HH10746106",62,"F"
10746107,"HH10746107",69,"F"
10746201,"HH10746201",67,"M"
10746202,"HH10746202",62,"F"
10746204,"HH10746204",68,"F"
10746205,"HH10746205",68,"F"
10746206,"HH10746206",64,"F"
10746301,"HH10746301",48,"F"
10746302,"HH10746302",42,"F"
10746304,"HH10746304",40,"F"
10746401,"HH10746401",19,"F"
10746404,"HH10746404",24,"F"
10746501,"HH10746501",41,"F"
10746502,"HH10746502",49,"F"
10746504,"HH10746504",41,"F"
10746505,"HH10746505",42,"F"
10746506,"HH10746506",45,"F"
10746507,"HH10746507",49,"F"
10746508,"HH10746508",47,"F"
10746601,"HH10746601",61,"M"
10746602,"HH10746602",60,"M"
10746604,"HH10746604",65,"M"
10746605,"HH10746605",63,"M"
10746608,"HH10746608",66,"M"
10746701,"HH10746701",77,"F"
10746702,"HH10746702",79,"F"
10746705,"HH10746705",71,"F"
10746707,"HH10746707",81,"F"
10746801,"HH10746801",62,"M"
10746802,"HH10746802",60,"M"
10746805,"HH10746805",64,"M"
10746807,"HH10746807",67,"M"
10746808,"HH10746808",62,"M"
10746901,"HH10746901",65,"F"
10746902,"HH10746902",66,"F"
10746904,"HH10746904",67,"F"
10746905,"HH10746905",69,"F"
10746906,"HH10746906",63,"F"
10746907,"HH10746907",69,"F"
10747001,"HH10747001",64,"M"
10747002,"HH10747002",65,"M"
10747004,"HH10747004",61,"M"
10747005,"HH10747005",60,"M"
10747006,"HH10747006",68,"M"
10747007,"HH10747007",60,"M"
10747101,"HH10747101",76,"M"
10747102,"HH10747102",70,"M"
10747104,"HH10747104",74,"M"
10747105,"HH10747105",78,"M"
10747106,"HH10747106",70,"M"
10747107,"HH10747107",75,"M"
10747108,"HH10747108",79,"M"
10747201,"HH10747201",71,"F"
10747202,"HH10747202",78,"F"
10747204,"HH10747204",83,"F"
10747206,"HH10747206",76,"F"
10747207,"HH10747207",93,"F"
10747208,"HH10747208",74,"F"
10747301,"HH10747301",37,"F"
10747302,"HH10747302",30,"F"
10747304,"HH10747304",36,"F"
10747305,"HH10747305",30,"F"
10747306,"HH10747306",32,"F"
10747401,"HH10747401",52,"M"
10747402,"HH10747402",54,"M"
10747407,"HH10747407",51,"M"
10747501,"HH10747501",63,"F"
10747502,"HH10747502",68,"F"
10747504,"HH10747504",60,"F"
10747505,"HH10747505",64,"F"
10747506,"HH10747506",61,"F"
10747508,"HH10747508",63,"F"
10747601,"HH10747601",68,"F"
10747602,"HH10747602",65,"F"
10747607,"HH10747607",65,"F"
10747701,"HH10747701",35,"M"
10747702,"HH10747702",34,"M"
10747706,"HH10747706",31,"M"
10747707,"HH10747707",30,"M"
10747708,"HH10747708",32,"M"
10747801,"HH10747801",23,"F"
10747802,"HH10747802",20,"F"
10747804,"HH10747804",25,"F"
10747901,"HH10747901",60,"M"
10747902,"HH10747902",66,"M"
10747904,"HH10747904",67,"M"
10747905,"HH10747905",65,"M"
10747906,"HH10747906",62,"M"
10748001,"HH10748001",65,"M"
10748002,"HH10748002",65,"M"
10748004,"HH10748004",69,"M"
10748005,"HH10748005",68,"M"
10748007,"HH10748007",62,"M"
10748008,"HH10748008",63,"M"
10748101,"HH10748101",64,"F"
10748102,"HH10748102",66,"F"
10748104,"HH10748104",68,"F"
10748105,"HH10748105",60,"F"
10748106,"HH10748106",68,"F"
10748107,"HH10748107",67,"F"
10748108,"HH10748108",69,"F"
10748201,"HH10748201",49,"M"
10748202,"HH10748202",42,"M"
10748204,"HH10748204",41,"M"
10748205,"HH10748205",40,"M"
10748206,"HH10748206",40,"M"
10748207,"HH10748207",40,"M"
10748208,"HH10748208",42,"M"
10748301,"HH10748301",63,"F"
10748302,"HH10748302",68,"F"
10748304,"HH10748304",62,"F"
10748305,"HH10748305",67,"F"
10748306,"HH10748306",62,"F"
10748307,"HH10748307",66,"F"
10748308,"HH10748308",64,"F"
10748401,"HH10748401",21,"M"
10748402,"HH10748402",24,"M"
10748404,"HH10748404",23,"M"
10748405,"HH10748405",29,"M"
10748406,"HH10748406",24,"M"
10748407,"HH10748407",18,"M"
10748501,"HH10748501",68,"M"
10748601,"HH10748601",62,"F"
10748602,"HH10748602",68,"F"
10748604,"HH10748604",64,"F"
10748605,"HH10748605",69,"F"
10748606,"HH10748606",62,"F"
10748608,"HH10748608",60,"F"
10748701,"HH10748701",84,"F"
10748702,"HH10748702",94,"F"
10748704,"HH10748704",73,"F"
10748705,"HH10748705",70,"F"
10748801,"HH10748801",43,"F"
10748804,"HH10748804",43,"F"
10748808,"HH10748808",46,"F"
10748901,"HH10748901",57,"M"
10748902,"HH10748902",51,"M"
10748904,"HH10748904",56,"M"
10748905,"HH10748905",56,"M"
10748906,"HH10748906",57,"M"
10748907,"HH10748907",52,"M"
10748908,"HH10748908",53,"M"
10749001,"HH10749001",62,"F"
10749002,"HH10749002",62,"F"
10749004,"HH10749004",60,"F"
10749005,"HH10749005",64,"F"
10749006,"HH10749006",60,"F"
10749007,"HH10749007",60,"F"
10749008,"HH10749008",69,"F"
10749101,"HH10749101",65,"M"
10749102,"HH10749102",61,"M"
10749104,"HH10749104",68,"M"
10749105,"HH10749105",60,"M"
10749106,"HH10749106",67,"M"
10749107,"HH10749107",62,"M"
10749201,"HH10749201",62,"M"
10749204,"HH10749204",63,"M"
10749206,"HH10749206",67,"M"
10749208,"HH10749208",63,"M"
10749301,"HH10749301",40,"F"
10749302,"HH10749302",44,"F"
10749401,"HH10749401",64,"F"
10749402,"HH10749402",68,"F"
10749405,"HH10749405",66,"F"
10749408,"HH10749408",64,"F"
10749501,"HH10749501",53,"M"
10749502,"HH10749502",52,"M"
10749601,"HH10749601",72,"M"
10749602,"HH10749602",73,"M"
10749604,"HH10749604",74,"M"
10749605,"HH10749605",72,"M"
10749606,"HH10749606",73,"M"
10749607,"HH10749607",71,"M"
10749608,"HH10749608",80,"M"
10749701,"HH10749701",20,"F"
10749702,"HH10749702",24,"F"
10749704,"HH10749704",24,"F"
10749705,"HH10749705",29,"F"
10749706,"HH10749706",26,"F"
10749707,"HH10749707",21,"F"
10749708,"HH10749708",24,"F"
10749801,"HH10749801",55,"M"
10749802,"HH10749802",59,"M"
10749805,"HH10749805",51,"M"
10749806,"HH10749806",56,"M"
10749807,"HH10749807",56,"M"
10749808,"HH10749808",55,"M"
10749901,"HH10749901",78,"M"
10749902,"HH10749902",79,"M"
10749904,"HH10749904",72,"M"
10749905,"HH10749905",70,"M"
10749906,"HH10749906",88,"M"
10749907,"HH10749907",74,"M"
10749908,"HH10749908",71,"M"
10750001,"HH10750001",66,"M"
10750004,"HH10750004",67,"M"
10750005,"HH10750005",63,"M"
10750007,"HH10750007",68,"M"
10750008,"HH10750008",65,"M"
10750101,"HH10750101",27,"M"
10750102,"HH10750102",46,"M"
10750105,"HH10750105",28,"M"
10750106,"HH10750106",29,"M"
10750107,"HH10750107",20,"M"
10750201,"HH10750201",65,"F"
10750205,"HH10750205",65,"F"
10750207,"HH10750207",62,"F"
10750208,"HH10750208",64,"F"
10750301,"HH10750301",58,"F"
10750302,"HH10750302",55,"F"
10750305,"HH10750305",52,"F"
10750308,"HH10750308",54,"F"
10750401,"HH10750401",33,"F"
10750402,"HH10750402",35,"F"
10750405,"HH10750405",38,"F"
10750501,"HH10750501",61,"F"
10750502,"HH10750502",68,"F"
10750504,"HH10750504",67,"F"
10750505,"HH10750505",63,"F"
10750506,"HH10750506",61,"F"
10750507,"HH10750507",66,"F"
10750508,"HH10750508",65,"F"
10750601,"HH10750601",68,"F"
10750602,"HH10750602",62,"F"
10750604,"HH10750604",69,"F"
10750605,"HH10750605",67,"F"
10750606,"HH10750606",66,"F"
10750607,"HH10750607",62,"F"
10750608,"HH10750608",68,"F"
10750701,"HH10750701",25,"M"
10750801,"HH10750801",88,"F"
10750802,"HH10750802",84,"F"
10750901,"HH10750901",43,"F"
10750902,"HH10750902",46,"F"
10750904,"HH10750904",44,"F"
10750905,"HH10750905",43,"F"
10751001,"HH10751001",62,"M"
10751004,"HH10751004",69,"M"
10751005,"HH10751005",60,"M"
10751006,"HH10751006",69,"M"
10751007,"HH10751007",69,"M"
10751008,"HH10751008",61,"M"
10751101,"HH10751101",40,"F"
10751102,"HH10751102",43,"F"
10751106,"HH10751106",40,"F"
10751107,"HH10751107",42,"F"
10751108,"HH10751108",45,"F"
10751201,"HH10751201",57,"M"
10751202,"HH10751202",55,"M"
10751204,"HH10751204",54,"M"
10751205,"HH10751205",51,"M"
10751206,"HH10751206",59,"M"
10751207,"HH10751207",53,"M"
10751208,"HH10751208",52,"M"
10751301,"HH10751301",26,"F"
10751304,"HH10751304",18,"F"
10751305,"HH10751305",22,"F"
10751401,"HH10751401",50,"F"
10751402,"HH10751402",57,"F"
10751404,"HH10751404",55,"F"
10751405,"HH10751405",59,"F"
10751407,"HH10751407",52,"F"
10751408,"HH10751408",52,"F"
10751501,"HH10751501",69,"F"
10751502,"HH10751502",66,"F"
10751505,"HH10751505",69,"F"
10751506,"HH10751506",65,"F"
10751601,"HH10751601",64,"M"
10751602,"HH10751602",64,"M"
10751604,"HH10751604",63,"M"
10751605,"HH10751605",69,"M"
10751606,"HH10751606",60,"M"
10751607,"HH10751607",68,"M"
10751608,"HH10751608",62,"M"
10751701,"HH10751701",30,"F"
10751702,"HH10751702",38,"F"
10751705,"HH10751705",33,"F"
10751706,"HH10751706",38,"F"
10751707,"HH10751707",36,"F"
10751708,"HH10751708",34,"F"
10751801,"HH10751801",76,"F"
10751807,"HH10751807",75,"F"
10751901,"HH10751901",69,"F"
10751902,"HH10751902",61,"F"
10751904,"HH10751904",60,"F"
10751905,"HH10751905",61,"F"
10751906,"HH10751906",60,"F"
10751907,"HH10751907",67,"F"
10751908,"HH10751908",67,"M"
10752001,"HH10752001",65,"M"
10752002,"HH10752002",62,"M"
10752004,"HH10752004",64,"M"
10752005,"HH10752005",66,"M"
10752006,"HH10752006",66,"M"
10752007,"HH10752007",62,"M"
10752101,"HH10752101",79,"F"
10752102,"HH10752102",86,"F"
10752104,"HH10752104",74,"F"
10752105,"HH10752105",72,"F"
10752106,"HH10752106",86,"F"
10752107,"HH10752107",75,"F"
10752108,"HH10752108",71,"F"
10752201,"HH10752201",65,"M"
10752202,"HH10752202",62,"M"
