"part_id","hh_id","part_age","part_gender"
10313901,"HH10313901",20,"F"
10314001,"HH10314001",45,"M"
10314002,"HH10314002",41,"M"
10314003,"HH10314003",49,"M"
10314004,"HH10314004",42,"M"
10314008,"HH10314008",48,"M"
10314101,"HH10314101",21,"F"
10314102,"HH10314102",27,"F"
10314103,"HH10314103",21,"F"
10314104,"HH10314104",25,"F"
10314105,"HH10314105",28,"F"
10314106,"HH10314106",27,"F"
10314108,"HH10314108",37,"F"
10314201,"HH10314201",30,"M"
10314202,"HH10314202",39,"M"
10314203,"HH10314203",30,"M"
10314204,"HH10314204",39,"M"
10314205,"HH10314205",39,"M"
10314206,"HH10314206",30,"M"
10314301,"HH10314301",31,"F"
10314302,"HH10314302",32,"F"
10314303,"HH10314303",31,"F"
10314304,"HH10314304",39,"F"
10314305,"HH10314305",32,"F"
10314306,"HH10314306",37,"F"
10314308,"HH10314308",34,"F"
10314401,"HH10314401",39,"M"
10314402,"HH10314402",31,"M"
10314404,"HH10314404",32,"M"
10314501,"HH10314501",42,"F"
10314502,"HH10314502",47,"F"
10314503,"HH10314503",41,"F"
10314504,"HH10314504",45,"F"
10314506,"HH10314506",44,"F"
10314508,"HH10314508",49,"F"
10314601,"HH10314601",47,"M"
10314603,"HH10314603",42,"M"
10314604,"HH10314604",46,"M"
10314605,"HH10314605",47,"M"
10314606,"HH10314606",40,"M"
10314608,"HH10314608",40,"M"
10314701,"HH10314701",42,"M"
10314702,"HH10314702",44,"M"
10314703,"HH10314703",45,"M"
10314705,"HH10314705",48,"M"
10314706,"HH10314706",47,"M"
10314801,"HH10314801",36,"F"
10314802,"HH10314802",37,"F"
10314803,"HH10314803",36,"F"
10314804,"HH10314804",35,"F"
10314901,"HH10314901",50,"F"
10314902,"HH10314902",59,"F"
10314903,"HH10314903",50,"F"
10314904,"HH10314904",54,"F"
10314905,"HH10314905",57,"F"
10314906,"HH10314906",56,"F"
10315001,"HH10315001",26,"F"
10315002,"HH10315002",21,"F"
10315003,"HH10315003",18,"F"
10315004,"HH10315004",18,"F"
10315006,"HH10315006",19,"F"
10315008,"HH10315008",23,"F"
10315101,"HH10315101",56,"F"
10315102,"HH10315102",50,"F"
10315103,"HH10315103",59,"F"
10315104,"HH10315104",52,"F"
10315105,"HH10315105",56,"F"
10315106,"HH10315106",53,"F"
10315108,"HH10315108",50,"F"
10315201,"HH10315201",49,"M"
10315202,"HH10315202",47,"M"
10315203,"HH10315203",49,"M"
10315204,"HH10315204",40,"M"
10315205,"HH10315205",42,"M"
10315206,"HH10315206",41,"M"
10315208,"HH10315208",42,"M"
10315301,"HH10315301",42,"M"
10315302,"HH10315302",48,"M"
10315303,"HH10315303",44,"M"
10315304,"HH10315304",47,"M"
10315306,"HH10315306",42,"M"
10315308,"HH10315308",49,"M"
10315401,"HH10315401",39,"M"
10315402,"HH10315402",31,"M"
10315403,"HH10315403",37,"M"
10315404,"HH10315404",35,"M"
10315405,"HH10315405",38,"M"
10315406,"HH10315406",32,"M"
10315408,"HH10315408",31,"M"
10315501,"HH10315501",67,"M"
10315503,"HH10315503",61,"M"
10315504,"HH10315504",63,"M"
10315505,"HH10315505",61,"M"
10315506,"HH10315506",67,"M"
10315601,"HH10315601",42,"F"
10315603,"HH10315603",45,"F"
10315604,"HH10315604",44,"F"
10315606,"HH10315606",43,"F"
10315701,"HH10315701",20,"F"
10315801,"HH10315801",37,"F"
10315802,"HH10315802",30,"F"
10315803,"HH10315803",39,"F"
10315804,"HH10315804",38,"F"
10315805,"HH10315805",34,"F"
10315806,"HH10315806",38,"F"
10315901,"HH10315901",24,"M"
10315902,"HH10315902",19,"M"
10315904,"HH10315904",19,"M"
10315906,"HH10315906",27,"M"
10315908,"HH10315908",18,"M"
10316001,"HH10316001",57,"M"
10316002,"HH10316002",59,"M"
10316003,"HH10316003",50,"M"
10316004,"HH10316004",55,"M"
10316005,"HH10316005",57,"M"
10316006,"HH10316006",57,"M"
10316008,"HH10316008",50,"M"
10316101,"HH10316101",44,"F"
10316102,"HH10316102",47,"F"
10316103,"HH10316103",47,"F"
10316104,"HH10316104",43,"F"
10316106,"HH10316106",49,"F"
10316108,"HH10316108",45,"F"
10316201,"HH10316201",55,"F"
10316202,"HH10316202",56,"F"
10316203,"HH10316203",58,"F"
10316204,"HH10316204",53,"F"
10316205,"HH10316205",57,"F"
10316208,"HH10316208",54,"F"
10316301,"HH10316301",66,"F"
10316302,"HH10316302",61,"F"
10316303,"HH10316303",66,"F"
10316305,"HH10316305",63,"F"
10316306,"HH10316306",64,"F"
10316401,"HH10316401",24,"M"
10316402,"HH10316402",25,"M"
10316403,"HH10316403",22,"M"
10316404,"HH10316404",24,"M"
10316405,"HH10316405",25,"M"
10316406,"HH10316406",25,"M"
10316408,"HH10316408",20,"M"
10316501,"HH10316501",43,"F"
10316502,"HH10316502",48,"F"
10316505,"HH10316505",40,"F"
10316601,"HH10316601",24,"M"
10316602,"HH10316602",27,"M"
10316608,"HH10316608",31,"M"
10316701,"HH10316701",54,"F"
10316703,"HH10316703",51,"M"
10316704,"HH10316704",58,"M"
10316705,"HH10316705",58,"M"
10316706,"HH10316706",59,"M"
10316801,"HH10316801",49,"M"
10316802,"HH10316802",44,"M"
10316803,"HH10316803",48,"M"
10316806,"HH10316806",47,"M"
10316901,"HH10316901",45,"M"
10316902,"HH10316902",45,"M"
10316904,"HH10316904",44,"M"
10317001,"HH10317001",59,"F"
10317002,"HH10317002",50,"F"
10317003,"HH10317003",52,"F"
10317004,"HH10317004",55,"F"
10317005,"HH10317005",52,"F"
10317006,"HH10317006",54,"F"
10317008,"HH10317008",56,"F"
10317101,"HH10317101",47,"F"
10317102,"HH10317102",43,"F"
10317104,"HH10317104",42,"F"
10317106,"HH10317106",44,"F"
10317201,"HH10317201",20,"M"
10317202,"HH10317202",25,"M"
10317301,"HH10317301",58,"M"
10317302,"HH10317302",52,"M"
10317303,"HH10317303",57,"M"
10317304,"HH10317304",57,"M"
10317401,"HH10317401",43,"F"
10317402,"HH10317402",47,"F"
10317403,"HH10317403",48,"F"
10317404,"HH10317404",43,"F"
10317405,"HH10317405",49,"F"
10317406,"HH10317406",41,"F"
10317408,"HH10317408",40,"F"
10317501,"HH10317501",57,"M"
10317601,"HH10317601",35,"M"
10317701,"HH10317701",36,"M"
10317702,"HH10317702",36,"M"
10317801,"HH10317801",41,"M"
10317802,"HH10317802",49,"M"
10317804,"HH10317804",40,"M"
10317806,"HH10317806",44,"M"
10317901,"HH10317901",38,"F"
10317902,"HH10317902",38,"F"
10317903,"HH10317903",31,"F"
10317904,"HH10317904",31,"F"
10317905,"HH10317905",35,"F"
10318001,"HH10318001",46,"F"
10318002,"HH10318002",49,"F"
10318003,"HH10318003",40,"F"
10318004,"HH10318004",41,"F"
10318008,"HH10318008",47,"F"
10318101,"HH10318101",42,"F"
10318102,"HH10318102",49,"F"
10318103,"HH10318103",41,"F"
