"part_id","hh_id","part_age","part_gender"
10156001,"HH10156001",19,"M"
10156004,"HH10156004",29,"M"
10156008,"HH10156008",23,"M"
10156101,"HH10156101",54,"M"
10156103,"HH10156103",58,"M"
10156104,"HH10156104",56,"M"
10156105,"HH10156105",57,"M"
10156107,"HH10156107",53,"M"
10156108,"HH10156108",51,"M"
10156109,"HH10156109",51,"M"
10156201,"HH10156201",62,"M"
10156205,"HH10156205",68,"M"
10156207,"HH10156207",68,"M"
10156208,"HH10156208",66,"M"
10156209,"HH10156209",64,"M"
10156301,"HH10156301",79,"F"
10156303,"HH10156303",84,"F"
10156304,"HH10156304",75,"F"
10156305,"HH10156305",75,"F"
10156308,"HH10156308",86,"F"
10156309,"HH10156309",70,"F"
10156401,"HH10156401",65,"M"
10156403,"HH10156403",68,"M"
10156404,"HH10156404",63,"M"
10156405,"HH10156405",67,"M"
10156408,"HH10156408",60,"M"
10156409,"HH10156409",63,"M"
10156501,"HH10156501",26,"F"
10156503,"HH10156503",29,"F"
10156504,"HH10156504",29,"F"
10156505,"HH10156505",28,"F"
10156507,"HH10156507",26,"F"
10156508,"HH10156508",21,"F"
10156509,"HH10156509",22,"F"
10156601,"HH10156601",30,"F"
10156609,"HH10156609",31,"F"
10156701,"HH10156701",25,"M"
10156703,"HH10156703",25,"M"
10156704,"HH10156704",28,"M"
10156705,"HH10156705",29,"M"
10156708,"HH10156708",21,"M"
10156801,"HH10156801",63,"M"
10156803,"HH10156803",65,"M"
10156804,"HH10156804",64,"M"
10156805,"HH10156805",68,"M"
10156807,"HH10156807",66,"M"
10156808,"HH10156808",68,"M"
10156901,"HH10156901",63,"M"
10156903,"HH10156903",67,"M"
10156904,"HH10156904",65,"M"
10156907,"HH10156907",67,"M"
10156908,"HH10156908",60,"M"
10156909,"HH10156909",62,"M"
10157001,"HH10157001",36,"M"
10157003,"HH10157003",31,"M"
10157005,"HH10157005",34,"M"
10157007,"HH10157007",37,"M"
10157101,"HH10157101",67,"M"
10157103,"HH10157103",66,"M"
10157104,"HH10157104",69,"M"
10157105,"HH10157105",65,"M"
10157107,"HH10157107",62,"M"
10157201,"HH10157201",39,"M"
10157301,"HH10157301",78,"M"
10157303,"HH10157303",84,"M"
10157304,"HH10157304",73,"M"
10157401,"HH10157401",58,"M"
10157403,"HH10157403",54,"M"
10157404,"HH10157404",58,"M"
10157405,"HH10157405",52,"M"
10157407,"HH10157407",51,"M"
10157408,"HH10157408",57,"M"
10157409,"HH10157409",53,"M"
10157501,"HH10157501",41,"M"
10157601,"HH10157601",59,"M"
10157603,"HH10157603",59,"M"
10157604,"HH10157604",54,"M"
10157605,"HH10157605",52,"M"
10157608,"HH10157608",54,"M"
10157609,"HH10157609",53,"M"
10157701,"HH10157701",28,"F"
10157703,"HH10157703",25,"F"
10157801,"HH10157801",55,"M"
10157803,"HH10157803",54,"M"
10157804,"HH10157804",54,"M"
10157805,"HH10157805",52,"M"
10157807,"HH10157807",22,"M"
10157808,"HH10157808",54,"M"
10157809,"HH10157809",50,"M"
10157901,"HH10157901",55,"F"
10157903,"HH10157903",57,"F"
10157904,"HH10157904",57,"F"
10157907,"HH10157907",59,"F"
10158001,"HH10158001",73,"M"
10158003,"HH10158003",80,"M"
10158005,"HH10158005",71,"M"
10158008,"HH10158008",73,"M"
10158101,"HH10158101",39,"M"
10158104,"HH10158104",34,"M"
10158105,"HH10158105",30,"M"
10158107,"HH10158107",31,"M"
10158108,"HH10158108",34,"M"
10158109,"HH10158109",37,"M"
10158201,"HH10158201",58,"M"
10158203,"HH10158203",56,"M"
10158204,"HH10158204",54,"M"
10158205,"HH10158205",51,"M"
10158301,"HH10158301",35,"M"
10158303,"HH10158303",38,"M"
10158304,"HH10158304",39,"M"
10158305,"HH10158305",38,"M"
10158307,"HH10158307",35,"M"
10158308,"HH10158308",37,"M"
10158309,"HH10158309",38,"M"
10158401,"HH10158401",68,"F"
10158403,"HH10158403",63,"F"
10158407,"HH10158407",67,"F"
10158408,"HH10158408",61,"F"
10158409,"HH10158409",66,"F"
10158501,"HH10158501",56,"M"
10158503,"HH10158503",55,"M"
10158601,"HH10158601",57,"M"
10158603,"HH10158603",54,"M"
10158608,"HH10158608",57,"M"
10158609,"HH10158609",56,"M"
10158701,"HH10158701",67,"M"
10158703,"HH10158703",68,"M"
10158704,"HH10158704",69,"M"
10158705,"HH10158705",65,"M"
10158801,"HH10158801",42,"M"
10158901,"HH10158901",44,"F"
10158903,"HH10158903",40,"F"
10158904,"HH10158904",46,"F"
10158905,"HH10158905",48,"F"
10158907,"HH10158907",47,"F"
10158908,"HH10158908",42,"F"
10159001,"HH10159001",29,"F"
10159003,"HH10159003",22,"F"
