part_id,hh_id,part_age,part_gender
F8_605179,HHF8_605179,2.0,F
F8_605181,HHF8_605181,6.0,F
F8_605184,HHF8_605184,43.0,F
F8_605186,HHF8_605186,21.0,F
F8_605192,HHF8_605192,17.0,F
F8_605193,HHF8_605193,25.0,F
F8_605199,HHF8_605199,13.0,M
F8_605201,HHF8_605201,11.0,M
F8_605204,HHF8_605204,30.0,M
F8_605205,HHF8_605205,14.0,F
F8_605207,HHF8_605207,40.0,M
F8_605208,HHF8_605208,42.0,M
F8_605209,HHF8_605209,36.0,F
F8_605215,HHF8_605215,34.0,M
F8_605216,HHF8_605216,32.0,M
F8_605220,HHF8_605220,23.0,F
F8_605221,HHF8_605221,30.0,F
F8_605222,HHF8_605222,38.0,M
F8_605229,HHF8_605229,NA,F
F8_605234,HHF8_605234,34.0,M
F8_605237,HHF8_605237,54.0,F
F8_605238,HHF8_605238,32.0,F
F8_605239,HHF8_605239,26.0,M
F8_605241,HHF8_605241,17.0,M
F8_605243,HHF8_605243,20.0,M
F8_605251,HHF8_605251,17.0,M
F8_605252,HHF8_605252,51.0,M
F8_605254,HHF8_605254,55.0,M
F8_605255,HHF8_605255,40.0,M
F8_605256,HHF8_605256,64.0,F
A8_10216,HHA8_10216,55.0,F
F8_605258,HHF8_605258,15.0,F
F8_605260,HHF8_605260,65.0,M
F8_605262,HHF8_605262,15.0,M
F8_605263,HHF8_605263,12.0,M
F8_605264,HHF8_605264,9.0,F
F8_605266,HHF8_605266,9.0,M
F8_605268,HHF8_605268,31.0,F
F8_605270,HHF8_605270,16.0,M
F8_605274,HHF8_605274,14.0,F
F8_605275,HHF8_605275,13.0,F
F8_605276,HHF8_605276,10.0,M
F8_605277,HHF8_605277,11.0,M
F8_605278,HHF8_605278,3.0,F
F8_605281,HHF8_605281,65.0,F
F8_605282,HHF8_605282,12.0,F
F8_605283,HHF8_605283,2.0,F
F8_605284,HHF8_605284,14.0,F
F8_605288,HHF8_605288,16.0,F
F8_605290,HHF8_605290,1.0,M
F8_605291,HHF8_605291,34.0,F
F8_605294,HHF8_605294,15.0,F
F8_605295,HHF8_605295,5.0,F
F8_605296,HHF8_605296,2.0,F
F8_605297,HHF8_605297,8.0,M
F8_605298,HHF8_605298,17.0,M
F8_605299,HHF8_605299,15.0,F
F8_605300,HHF8_605300,12.0,F
F8_605302,HHF8_605302,5.0,F
F8_605303,HHF8_605303,5.0,M
F8_605304,HHF8_605304,10.0,F
F8_605305,HHF8_605305,4.0,F
F8_605306,HHF8_605306,4.0,M
F8_605309,HHF8_605309,NA,F
F8_605311,HHF8_605311,13.0,F
F8_605312,HHF8_605312,29.0,F
F8_605313,HHF8_605313,0.0,M
F8_605314,HHF8_605314,17.0,M
F8_605319,HHF8_605319,35.0,F
F8_605321,HHF8_605321,6.0,F
F8_605322,HHF8_605322,5.0,M
F8_605323,HHF8_605323,12.0,M
F8_605324,HHF8_605324,1.0,M
F8_605326,HHF8_605326,4.0,M
F8_605327,HHF8_605327,12.0,F
F8_605328,HHF8_605328,5.0,F
F8_605329,HHF8_605329,14.0,M
F8_605330,HHF8_605330,13.0,F
F8_605332,HHF8_605332,9.0,F
F8_605334,HHF8_605334,5.0,F
F8_605335,HHF8_605335,NA,M
F8_605336,HHF8_605336,14.0,F
F8_605338,HHF8_605338,5.0,M
F8_605339,HHF8_605339,13.0,M
F8_605341,HHF8_605341,27.0,F
F8_605346,HHF8_605346,7.0,NA
F8_605348,HHF8_605348,2.0,F
F8_605352,HHF8_605352,3.0,F
F8_605353,HHF8_605353,16.0,F
F8_605354,HHF8_605354,15.0,F
F8_605356,HHF8_605356,6.0,F
F8_605357,HHF8_605357,10.0,M
F8_605358,HHF8_605358,16.0,F
F9_600003,HHF9_600003,45.0,F
F9_600005,HHF9_600005,48.0,F
F9_600007,HHF9_600007,85.0,M
F9_600018,HHF9_600018,67.0,F
F9_600024,HHF9_600024,37.0,F
F9_600027,HHF9_600027,45.0,M
F9_600031,HHF9_600031,48.0,F
F9_600033,HHF9_600033,73.0,M
F9_600034,HHF9_600034,60.0,F
F9_600040,HHF9_600040,79.0,M
F9_600043,HHF9_600043,53.0,F
F9_600047,HHF9_600047,64.0,F
F9_600049,HHF9_600049,51.0,M
F9_600057,HHF9_600057,48.0,M
F9_600059,HHF9_600059,62.0,M
F9_600063,HHF9_600063,60.0,M
F9_600065,HHF9_600065,82.0,M
F9_600072,HHF9_600072,34.0,F
F9_600074,HHF9_600074,45.0,M
F9_600075,HHF9_600075,49.0,M
F9_600078,HHF9_600078,53.0,M
F9_600079,HHF9_600079,72.0,M
F9_600082,HHF9_600082,51.0,M
F9_600085,HHF9_600085,55.0,F
F9_600088,HHF9_600088,59.0,F
F9_600090,HHF9_600090,59.0,M
F9_600092,HHF9_600092,64.0,F
F9_600093,HHF9_600093,43.0,F
F9_600100,HHF9_600100,79.0,M
F9_600102,HHF9_600102,62.0,F
F9_600104,HHF9_600104,33.0,M
F9_600106,HHF9_600106,49.0,M
F9_600110,HHF9_600110,40.0,F
F9_600113,HHF9_600113,78.0,M
F9_600117,HHF9_600117,62.0,M
F9_600118,HHF9_600118,62.0,M
F9_600121,HHF9_600121,54.0,F
F9_600122,HHF9_600122,63.0,M
F9_600123,HHF9_600123,7.0,F
