part_id,hh_id,part_age,part_gender
A1_10001,HHA1_10001,45.0,F
A1_10010,HHA1_10010,54.0,F
A1_10100,HHA1_10100,51.0,F
A1_11000,HHA1_11000,50.0,F
A8_10213,HHA8_10213,50.0,F
A8_10214,HHA8_10214,65.0,F
A8_10215,HHA8_10215,62.0,M
A8_10218,HHA8_10218,48.0,M
A8_10219,HHA8_10219,41.0,F
A8_10220,HHA8_10220,37.0,M
A8_10221,HHA8_10221,31.0,M
A8_10222,HHA8_10222,43.0,F
A8_10223,HHA8_10223,36.0,F
A1_11001,HHA1_11001,47.0,F
A8_10224,HHA8_10224,72.0,F
A8_10225,HHA8_10225,37.0,M
A8_10226,HHA8_10226,36.0,F
A8_10227,HHA8_10227,36.0,F
A8_10228,HHA8_10228,55.0,M
A8_10230,HHA8_10230,63.0,M
A8_10231,HHA8_10231,52.0,M
A8_10232,HHA8_10232,35.0,M
A1_11002,HHA1_11002,23.0,M
A8_10237,HHA8_10237,35.0,M
A8_10238,HHA8_10238,63.0,F
A8_10239,HHA8_10239,37.0,F
A8_10240,HHA8_10240,65.0,M
A8_10241,HHA8_10241,51.0,F
A8_10243,HHA8_10243,67.0,M
A8_10244,HHA8_10244,38.0,M
A8_10246,HHA8_10246,49.0,M
A8_10247,HHA8_10247,41.0,F
A1_11003,HHA1_11003,42.0,M
A8_10249,HHA8_10249,67.0,F
A8_10252,HHA8_10252,64.0,F
A8_10253,HHA8_10253,59.0,M
A8_10254,HHA8_10254,52.0,M
A8_10255,HHA8_10255,60.0,M
A8_10256,HHA8_10256,58.0,M
A8_10257,HHA8_10257,35.0,M
A8_10258,HHA8_10258,59.0,M
A8_10259,HHA8_10259,47.0,F
A1_11004,HHA1_11004,55.0,F
A8_10260,HHA8_10260,44.0,M
A8_10261,HHA8_10261,41.0,F
A8_10262,HHA8_10262,67.0,M
A8_10264,HHA8_10264,42.0,M
A8_10265,HHA8_10265,65.0,F
A8_10266,HHA8_10266,68.0,F
A8_10267,HHA8_10267,62.0,F
A8_10268,HHA8_10268,56.0,M
A8_10270,HHA8_10270,49.0,F
A1_11005,HHA1_11005,58.0,M
A8_10272,HHA8_10272,59.0,F
A8_10273,HHA8_10273,45.0,F
A8_10274,HHA8_10274,38.0,F
A8_10275,HHA8_10275,62.0,F
A8_10276,HHA8_10276,62.0,M
A8_10277,HHA8_10277,47.0,M
A8_10279,HHA8_10279,46.0,M
A8_10280,HHA8_10280,30.0,F
A8_10281,HHA8_10281,64.0,M
A1_11006,HHA1_11006,32.0,F
A8_10285,HHA8_10285,43.0,F
A8_10286,HHA8_10286,47.0,M
A8_10288,HHA8_10288,56.0,F
A8_10290,HHA8_10290,67.0,F
A8_10291,HHA8_10291,66.0,M
A8_10292,HHA8_10292,80.0,F
A1_11007,HHA1_11007,27.0,F
A8_10294,HHA8_10294,30.0,F
A8_10295,HHA8_10295,49.0,F
A8_10296,HHA8_10296,49.0,M
A8_10297,HHA8_10297,41.0,M
A8_10298,HHA8_10298,57.0,M
A8_10299,HHA8_10299,39.0,M
A8_10300,HHA8_10300,33.0,F
A8_10301,HHA8_10301,50.0,M
A8_10302,HHA8_10302,32.0,M
A1_11008,HHA1_11008,46.0,M
A8_10303,HHA8_10303,57.0,M
A8_10308,HHA8_10308,47.0,M
A8_10309,HHA8_10309,31.0,F
A8_10311,HHA8_10311,67.0,M
A8_10312,HHA8_10312,29.0,M
A8_10313,HHA8_10313,33.0,M
A8_10314,HHA8_10314,46.0,M
A8_10315,HHA8_10315,62.0,M
A1_11009,HHA1_11009,65.0,M
A8_10316,HHA8_10316,46.0,F
A8_10317,HHA8_10317,41.0,M
A8_10318,HHA8_10318,44.0,M
A8_10319,HHA8_10319,62.0,M
A8_10321,HHA8_10321,34.0,F
A8_10322,HHA8_10322,31.0,F
A8_10324,HHA8_10324,50.0,M
A8_10325,HHA8_10325,47.0,M
A8_10327,HHA8_10327,36.0,F
A8_10328,HHA8_10328,61.0,M
A1_10101,HHA1_10101,72.0,M
A1_11010,HHA1_11010,27.0,F
A8_10330,HHA8_10330,61.0,F
A8_10331,HHA8_10331,61.0,M
A8_10332,HHA8_10332,65.0,M
A8_10334,HHA8_10334,41.0,M
A8_10336,HHA8_10336,37.0,F
A8_10337,HHA8_10337,49.0,M
A8_10338,HHA8_10338,56.0,M
A8_10339,HHA8_10339,39.0,F
A8_10340,HHA8_10340,45.0,F
A8_10344,HHA8_10344,22.0,F
A1_11011,HHA1_11011,54.0,F
A8_10346,HHA8_10346,33.0,F
A8_10347,HHA8_10347,49.0,F
A8_10348,HHA8_10348,59.0,M
A8_10349,HHA8_10349,51.0,M
A8_10351,HHA8_10351,25.0,F
A8_10352,HHA8_10352,66.0,F
A8_10353,HHA8_10353,63.0,M
A8_10354,HHA8_10354,34.0,M
A1_11012,HHA1_11012,84.0,M
A8_10356,HHA8_10356,66.0,F
A8_10357,HHA8_10357,37.0,F
A8_10359,HHA8_10359,20.0,F
A8_10360,HHA8_10360,43.0,F
A8_10361,HHA8_10361,65.0,M
A8_10363,HHA8_10363,24.0,M
A8_10364,HHA8_10364,31.0,M
A8_10366,HHA8_10366,44.0,M
A8_10368,HHA8_10368,49.0,M
A1_11013,HHA1_11013,60.0,F
A8_10370,HHA8_10370,66.0,M
A8_10371,HHA8_10371,53.0,F
A8_10372,HHA8_10372,36.0,M
A8_10373,HHA8_10373,90.0,M
A8_10374,HHA8_10374,43.0,M
A8_10375,HHA8_10375,91.0,M
A8_10377,HHA8_10377,33.0,M
A8_10378,HHA8_10378,34.0,F
A8_10379,HHA8_10379,75.0,M
A1_11014,HHA1_11014,21.0,F
A8_10381,HHA8_10381,38.0,M
A8_10383,HHA8_10383,20.0,M
A8_10384,HHA8_10384,69.0,M
A8_10385,HHA8_10385,46.0,M
A8_10387,HHA8_10387,47.0,F
A8_10393,HHA8_10393,44.0,F
A8_10394,HHA8_10394,34.0,M
A8_10396,HHA8_10396,66.0,M
A1_11015,HHA1_11015,31.0,F
A8_10397,HHA8_10397,69.0,M
A8_10398,HHA8_10398,36.0,F
A8_10400,HHA8_10400,64.0,F
A8_10401,HHA8_10401,18.0,F
A8_10406,HHA8_10406,75.0,M
A8_10407,HHA8_10407,64.0,M
A8_10409,HHA8_10409,30.0,F
A8_10410,HHA8_10410,36.0,F
A8_10411,HHA8_10411,79.0,F
A8_10412,HHA8_10412,21.0,F
A1_11016,HHA1_11016,35.0,M
A8_10414,HHA8_10414,44.0,M
A8_10415,HHA8_10415,51.0,M
A8_10416,HHA8_10416,53.0,F
A8_10418,HHA8_10418,56.0,M
A8_10420,HHA8_10420,19.0,F
A8_10423,HHA8_10423,59.0,F
A8_10424,HHA8_10424,58.0,F
A8_10425,HHA8_10425,60.0,F
A1_11017,HHA1_11017,23.0,F
A8_10426,HHA8_10426,30.0,M
A8_10429,HHA8_10429,61.0,F
A8_10430,HHA8_10430,54.0,M
A8_10433,HHA8_10433,49.0,M
A8_10435,HHA8_10435,57.0,M
A8_10436,HHA8_10436,38.0,F
A8_10437,HHA8_10437,53.0,M
A1_11018,HHA1_11018,26.0,F
A8_10440,HHA8_10440,65.0,M
A8_10444,HHA8_10444,36.0,F
A8_10445,HHA8_10445,30.0,M
A8_10446,HHA8_10446,68.0,M
A8_10449,HHA8_10449,49.0,F
A8_10451,HHA8_10451,31.0,F
A8_10452,HHA8_10452,56.0,M
A8_10453,HHA8_10453,49.0,M
A1_11019,HHA1_11019,71.0,M
A8_10455,HHA8_10455,31.0,F
A8_10459,HHA8_10459,49.0,M
A8_10460,HHA8_10460,20.0,F
A8_10462,HHA8_10462,39.0,F
A8_10463,HHA8_10463,22.0,M
A8_10464,HHA8_10464,66.0,M
A8_10465,HHA8_10465,33.0,M
A8_10467,HHA8_10467,34.0,M
A1_10102,HHA1_10102,66.0,M
A1_11020,HHA1_11020,46.0,M
A8_10468,HHA8_10468,42.0,M
A8_10469,HHA8_10469,64.0,F
A8_10470,HHA8_10470,56.0,M
A8_10471,HHA8_10471,23.0,F
A8_10472,HHA8_10472,38.0,M
A8_10473,HHA8_10473,34.0,M
A8_10477,HHA8_10477,59.0,M
A8_10480,HHA8_10480,53.0,M
A8_10481,HHA8_10481,25.0,M
A1_11021,HHA1_11021,47.0,F
A8_10483,HHA8_10483,68.0,F
A8_10484,HHA8_10484,40.0,M
A8_10485,HHA8_10485,50.0,M
A8_10486,HHA8_10486,61.0,M
A8_10489,HHA8_10489,81.0,M
A8_10490,HHA8_10490,60.0,F
A8_10491,HHA8_10491,38.0,F
A8_10492,HHA8_10492,35.0,M
A8_10493,HHA8_10493,57.0,F
A8_10494,HHA8_10494,21.0,M
A1_11022,HHA1_11022,20.0,M
A8_10496,HHA8_10496,68.0,F
A8_10499,HHA8_10499,37.0,M
A8_10500,HHA8_10500,38.0,M
A8_10503,HHA8_10503,34.0,F
A8_10504,HHA8_10504,38.0,F
A8_10506,HHA8_10506,50.0,M
A8_10508,HHA8_10508,42.0,F
A1_11023,HHA1_11023,47.0,M
A8_10510,HHA8_10510,39.0,M
A8_10511,HHA8_10511,30.0,M
A8_10516,HHA8_10516,43.0,M
A8_10517,HHA8_10517,45.0,F
A8_10520,HHA8_10520,52.0,M
A8_10521,HHA8_10521,48.0,M
A8_10522,HHA8_10522,23.0,M
A1_11024,HHA1_11024,51.0,M
A8_10523,HHA8_10523,35.0,M
A8_10525,HHA8_10525,40.0,F
A8_10527,HHA8_10527,51.0,M
A8_10530,HHA8_10530,61.0,M
A8_10531,HHA8_10531,56.0,NA
A8_10533,HHA8_10533,45.0,F
A1_11025,HHA1_11025,48.0,M
A8_10537,HHA8_10537,55.0,M
A8_10539,HHA8_10539,44.0,F
A8_10542,HHA8_10542,52.0,M
A8_10543,HHA8_10543,23.0,F
A8_10545,HHA8_10545,47.0,F
A8_10546,HHA8_10546,76.0,F
A8_10550,HHA8_10550,63.0,M
A1_11026,HHA1_11026,53.0,M
A8_10551,HHA8_10551,24.0,M
A8_10557,HHA8_10557,43.0,M
A8_10558,HHA8_10558,24.0,F
A8_10559,HHA8_10559,38.0,M
A8_10562,HHA8_10562,55.0,F
A8_10563,HHA8_10563,52.0,M
A8_10566,HHA8_10566,45.0,M
A8_10567,HHA8_10567,33.0,F
A1_11027,HHA1_11027,72.0,M
A8_10572,HHA8_10572,50.0,F
A8_10575,HHA8_10575,47.0,F
A8_10576,HHA8_10576,30.0,M
A8_10578,HHA8_10578,24.0,M
A8_10580,HHA8_10580,18.0,F
A8_10583,HHA8_10583,53.0,M
A8_10584,HHA8_10584,42.0,M
A8_10587,HHA8_10587,64.0,M
A8_10589,HHA8_10589,38.0,F
A1_11028,HHA1_11028,42.0,M
A8_10599,HHA8_10599,65.0,M
A8_10600,HHA8_10600,34.0,M
A8_10601,HHA8_10601,56.0,F
A8_10607,HHA8_10607,34.0,F
A8_10608,HHA8_10608,30.0,M
A8_10609,HHA8_10609,26.0,M
A8_10610,HHA8_10610,91.0,F
A8_10612,HHA8_10612,66.0,M
A1_11029,HHA1_11029,35.0,F
A8_10618,HHA8_10618,69.0,M
A8_10619,HHA8_10619,52.0,M
A8_10620,HHA8_10620,43.0,F
A8_10624,HHA8_10624,56.0,F
A8_10629,HHA8_10629,28.0,F
A8_10632,HHA8_10632,46.0,M
A8_10635,HHA8_10635,20.0,M
A1_10103,HHA1_10103,69.0,M
A1_11030,HHA1_11030,32.0,M
