part_id,hh_id,part_age,part_gender
E23_500002,HHE23_500002,9.0,M
E23_500040,HHE23_500040,14.0,F
E23_500044,HHE23_500044,17.0,M
E23_500065,HHE23_500065,14.0,M
E23_500147,HHE23_500147,15.0,F
E23_500155,HHE23_500155,15.0,F
E23_500162,HHE23_500162,12.0,M
E23_500198,HHE23_500198,13.0,M
E23_500204,HHE23_500204,8.0,M
E23_500217,HHE23_500217,16.0,M
E23_500218,HHE23_500218,16.0,F
E23_500227,HHE23_500227,10.0,M
E23_500228,HHE23_500228,14.0,F
E23_500233,HHE23_500233,5.0,F
E23_500263,HHE23_500263,11.0,F
E23_500314,HHE23_500314,4.0,M
E23_500316,HHE23_500316,51.0,M
E23_500324,HHE23_500324,1.0,M
E23_500417,HHE23_500417,7.0,M
E23_500423,HHE23_500423,9.0,NA
E23_500492,HHE23_500492,16.0,F
E23_500504,HHE23_500504,14.0,F
E23_500518,HHE23_500518,0.0,F
E23_500528,HHE23_500528,8.0,M
E23_500538,HHE23_500538,17.0,M
E23_500570,HHE23_500570,17.0,F
E23_500581,HHE23_500581,54.0,F
E23_500585,HHE23_500585,17.0,M
E23_500605,HHE23_500605,3.0,F
E23_500617,HHE23_500617,13.0,M
E23_500666,HHE23_500666,2.0,M
E23_500676,HHE23_500676,23.0,F
E23_500710,HHE23_500710,40.0,F
E23_500711,HHE23_500711,6.0,F
E23_500768,HHE23_500768,38.0,M
E23_500835,HHE23_500835,NA,F
E23_500837,HHE23_500837,7.0,F
E23_500922,HHE23_500922,66.0,M
E23_500933,HHE23_500933,10.0,F
E23_500953,HHE23_500953,11.0,F
E23_500971,HHE23_500971,10.0,F
E23_500988,HHE23_500988,20.0,F
E23_501005,HHE23_501005,13.0,F
E23_501019,HHE23_501019,1.0,M
E23_501020,HHE23_501020,2.0,M
E23_501058,HHE23_501058,2.0,M
E23_501066,HHE23_501066,1.0,M
E23_501069,HHE23_501069,44.0,F
E23_501077,HHE23_501077,32.0,M
E23_501080,HHE23_501080,10.0,M
E23_501152,HHE23_501152,66.0,M
E23_501232,HHE23_501232,0.0,M
E23_501249,HHE23_501249,6.0,other
E23_501287,HHE23_501287,7.0,F
E23_501300,HHE23_501300,3.0,F
E23_501318,HHE23_501318,14.0,F
E23_501386,HHE23_501386,17.0,M
E23_501406,HHE23_501406,15.0,F
E23_501425,HHE23_501425,5.0,F
E23_501437,HHE23_501437,13.0,F
E23_501473,HHE23_501473,63.0,F
E23_501583,HHE23_501583,15.0,F
E23_501646,HHE23_501646,65.0,M
E23_501650,HHE23_501650,61.0,M
E23_501666,HHE23_501666,17.0,F
E23_501678,HHE23_501678,2.0,M
E23_501729,HHE23_501729,65.0,F
E23_501783,HHE23_501783,50.0,F
E23_501862,HHE23_501862,7.0,M
E23_501910,HHE23_501910,15.0,M
E23_501944,HHE23_501944,68.0,M
E23_501954,HHE23_501954,41.0,F
E23_501980,HHE23_501980,13.0,F
E23_502008,HHE23_502008,49.0,F
E23_502029,HHE23_502029,28.0,F
E23_502050,HHE23_502050,46.0,M
E23_502100,HHE23_502100,45.0,F
E23_502160,HHE23_502160,75.0,M
E23_502183,HHE23_502183,7.0,M
E23_502201,HHE23_502201,50.0,M
E23_502259,HHE23_502259,16.0,F
E23_502271,HHE23_502271,52.0,M
E23_502320,HHE23_502320,18.0,F
E23_502321,HHE23_502321,16.0,F
E23_502380,HHE23_502380,12.0,M
E23_502381,HHE23_502381,58.0,F
E23_502393,HHE23_502393,37.0,F
E23_502428,HHE23_502428,4.0,F
E23_502434,HHE23_502434,61.0,M
E23_502441,HHE23_502441,35.0,F
E23_502563,HHE23_502563,30.0,NA
E23_502584,HHE23_502584,25.0,M
E23_502635,HHE23_502635,16.0,F
E23_502637,HHE23_502637,32.0,F
E23_502641,HHE23_502641,19.0,F
E23_502647,HHE23_502647,41.0,F
E23_502656,HHE23_502656,46.0,M
E23_502660,HHE23_502660,53.0,M
E23_502688,HHE23_502688,20.0,F
E23_502710,HHE23_502710,32.0,F
E23_502712,HHE23_502712,11.0,M
E23_502749,HHE23_502749,40.0,M
E23_502752,HHE23_502752,12.0,M
E23_502791,HHE23_502791,37.0,M
E23_502873,HHE23_502873,10.0,F
E23_502894,HHE23_502894,48.0,M
E23_502975,HHE23_502975,35.0,M
E23_502981,HHE23_502981,12.0,F
E23_503100,HHE23_503100,69.0,M
E23_503103,HHE23_503103,67.0,M
E23_503145,HHE23_503145,41.0,M
E23_503217,HHE23_503217,68.0,M
E23_503268,HHE23_503268,7.0,F
E23_503435,HHE23_503435,85.0,M
E23_503577,HHE23_503577,35.0,F
E23_503620,HHE23_503620,9.0,M
E23_503659,HHE23_503659,69.0,F
E23_503662,HHE23_503662,48.0,F
E23_503783,HHE23_503783,69.0,F
E23_503788,HHE23_503788,36.0,F
E23_503840,HHE23_503840,60.0,F
E23_503928,HHE23_503928,20.0,F
E23_503947,HHE23_503947,11.0,M
E23_503976,HHE23_503976,62.0,F
E23_504002,HHE23_504002,73.0,F
E23_504017,HHE23_504017,74.0,F
E23_504025,HHE23_504025,5.0,F
E23_504039,HHE23_504039,6.0,M
E23_504048,HHE23_504048,1.0,F
E23_504083,HHE23_504083,4.0,F
E23_504095,HHE23_504095,6.0,M
E23_504109,HHE23_504109,12.0,F
E23_504119,HHE23_504119,15.0,M
E23_504153,HHE23_504153,16.0,M
E23_504216,HHE23_504216,56.0,F
E23_504220,HHE23_504220,17.0,F
E23_504250,HHE23_504250,7.0,M
E23_504296,HHE23_504296,46.0,F
E23_504304,HHE23_504304,6.0,F
E23_504320,HHE23_504320,17.0,F
E23_504327,HHE23_504327,23.0,F
E23_504389,HHE23_504389,27.0,F
E23_504404,HHE23_504404,12.0,M
E23_504419,HHE23_504419,50.0,F
E23_504427,HHE23_504427,29.0,F
E23_504441,HHE23_504441,23.0,F
E23_504490,HHE23_504490,9.0,F
E23_504493,HHE23_504493,19.0,F
E23_504605,HHE23_504605,48.0,F
E23_504741,HHE23_504741,8.0,M
E23_504759,HHE23_504759,59.0,M
E23_504792,HHE23_504792,6.0,M
E23_504803,HHE23_504803,59.0,M
E23_504809,HHE23_504809,37.0,F
E23_504823,HHE23_504823,37.0,F
E23_504833,HHE23_504833,86.0,F
E23_504834,HHE23_504834,35.0,F
E23_504859,HHE23_504859,34.0,F
E23_504873,HHE23_504873,33.0,M
E23_504918,HHE23_504918,43.0,M
E23_504966,HHE23_504966,20.0,M
E23_505014,HHE23_505014,21.0,F
E23_505018,HHE23_505018,43.0,F
E23_505039,HHE23_505039,39.0,F
E23_505051,HHE23_505051,4.0,F
E23_505066,HHE23_505066,4.0,F
E23_505069,HHE23_505069,26.0,F
E23_505095,HHE23_505095,23.0,M
E23_505125,HHE23_505125,32.0,F
E23_505156,HHE23_505156,58.0,M
E23_505161,HHE23_505161,36.0,F
E23_505184,HHE23_505184,26.0,F
E23_505206,HHE23_505206,28.0,F
E23_505208,HHE23_505208,19.0,F
E23_505240,HHE23_505240,49.0,F
E23_505261,HHE23_505261,5.0,M
E23_505265,HHE23_505265,47.0,F
E23_505267,HHE23_505267,22.0,F
E23_505411,HHE23_505411,36.0,F
E23_505460,HHE23_505460,40.0,F
E23_505478,HHE23_505478,5.0,F
E23_505553,HHE23_505553,20.0,NA
E23_505630,HHE23_505630,71.0,F
E23_505646,HHE23_505646,56.0,M
E23_505674,HHE23_505674,NA,F
E23_505683,HHE23_505683,13.0,M
E23_505722,HHE23_505722,9.0,M
E23_505732,HHE23_505732,4.0,F
E23_505738,HHE23_505738,16.0,F
E23_505742,HHE23_505742,13.0,M
E23_505764,HHE23_505764,3.0,F
E23_505775,HHE23_505775,6.0,M
