part_id,hh_id,part_age,part_gender
E31_500002,HHE31_500002,7.0,M
E31_500005,HHE31_500005,55.0,M
E31_500011,HHE31_500011,58.0,M
E31_500015,HHE31_500015,10.0,M
E31_500019,HHE31_500019,42.0,F
E31_500023,HHE31_500023,65.0,M
E31_500037,HHE31_500037,64.0,M
E31_500040,HHE31_500040,13.0,F
E31_500045,HHE31_500045,70.0,M
E31_500052,HHE31_500052,67.0,M
E31_500053,HHE31_500053,17.0,M
E31_500057,HHE31_500057,10.0,F
E31_500059,HHE31_500059,14.0,F
E31_500068,HHE31_500068,60.0,M
E31_500078,HHE31_500078,50.0,M
E31_500080,HHE31_500080,14.0,M
E31_500084,HHE31_500084,3.0,F
E31_500089,HHE31_500089,54.0,M
E31_500100,HHE31_500100,52.0,M
E31_500119,HHE31_500119,14.0,M
E31_500136,HHE31_500136,64.0,F
E31_500145,HHE31_500145,59.0,F
E31_500146,HHE31_500146,16.0,M
E31_500149,HHE31_500149,14.0,M
E31_500153,HHE31_500153,63.0,M
E31_500161,HHE31_500161,16.0,F
E31_500165,HHE31_500165,58.0,F
E31_500168,HHE31_500168,51.0,F
E31_500177,HHE31_500177,12.0,M
E31_500190,HHE31_500190,55.0,M
E31_500193,HHE31_500193,45.0,F
E31_500195,HHE31_500195,41.0,M
E31_500197,HHE31_500197,16.0,M
E31_500198,HHE31_500198,15.0,M
E31_500202,HHE31_500202,63.0,M
E31_500205,HHE31_500205,13.0,M
E31_500206,HHE31_500206,51.0,M
E31_500228,HHE31_500228,14.0,F
E31_500231,HHE31_500231,59.0,M
E31_500233,HHE31_500233,11.0,F
E31_500240,HHE31_500240,37.0,F
E31_500263,HHE31_500263,8.0,F
E31_500302,HHE31_500302,16.0,M
E31_500316,HHE31_500316,56.0,M
E31_500321,HHE31_500321,54.0,M
E31_500323,HHE31_500323,6.0,F
E31_500326,HHE31_500326,58.0,F
E31_500333,HHE31_500333,53.0,M
E31_500336,HHE31_500336,58.0,M
E31_500340,HHE31_500340,69.0,M
E31_500368,HHE31_500368,13.0,M
E31_500384,HHE31_500384,17.0,M
E31_500387,HHE31_500387,2.0,M
E31_500394,HHE31_500394,31.0,NA
E31_500418,HHE31_500418,14.0,F
E31_500423,HHE31_500423,11.0,NA
E31_500460,HHE31_500460,15.0,M
E31_500463,HHE31_500463,60.0,M
E31_500467,HHE31_500467,5.0,F
E31_500474,HHE31_500474,40.0,M
E31_500482,HHE31_500482,13.0,F
E31_500488,HHE31_500488,54.0,M
E31_500500,HHE31_500500,31.0,M
E31_500507,HHE31_500507,12.0,M
E31_500518,HHE31_500518,1.0,F
E31_500520,HHE31_500520,41.0,M
