"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_school","cnt_work","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
555,12492,13,13,18,"F","True","False","False",NA,NA,"False",NA,1,NA
555,12493,1,1,5,"M","True","False","False",NA,NA,"False",NA,1,NA
555,12494,27,19,34,"M","True","False","False",NA,NA,"False",NA,1,NA
555,12495,36,35,59,"F","True","False","False",NA,NA,"False",NA,2,NA
555,12496,54,35,59,"F","True","False","False",NA,NA,"False",NA,1,NA
555,12497,71,60,105,"M","True","False","False",NA,NA,"False",NA,1,NA
555,12498,78,60,105,"M","True","False","False",NA,NA,"False",NA,1,NA
555,12499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,12500,22,19,34,NA,"True","False","False",NA,NA,"False",NA,1,NA
555,12501,13,13,18,NA,"True","False","False",NA,NA,"False",NA,1,NA
555,12502,5,1,5,NA,"True","False","False",NA,NA,"False",NA,1,NA
555,12503,49,35,59,NA,"False","False","False",NA,NA,"True",NA,1,NA
555,12504,36,35,59,NA,"False","False","False",NA,NA,"True",NA,1,NA
555,12505,61,60,105,"M","True","False","False",NA,NA,"False",NA,1,NA
555,12506,81,60,105,"F","True","False","False",NA,NA,"False",NA,1,NA
555,12507,55,35,59,NA,"True","False","False",NA,NA,"False",NA,1,NA
556,12508,16,13,18,"F","True","False","False",NA,NA,"False",NA,1,NA
556,12509,7,6,12,"F","False","False","False",NA,NA,"True",NA,1,NA
556,12510,12,6,12,"F","False","False","False",NA,NA,"True",NA,1,NA
556,12511,7,6,12,"M","False","True","False",NA,NA,"False",NA,1,NA
556,12512,10,6,12,"M",NA,NA,NA,NA,NA,NA,NA,1,NA
556,12513,12,6,12,"M","False","True","False",NA,NA,"False",NA,1,NA
556,12514,6,6,12,"F","False","True","False",NA,NA,"False",NA,1,NA
556,12515,8,6,12,"F","False","False","False",NA,NA,"True",NA,1,NA
556,12516,70,60,105,"F","True","False","False",NA,NA,"False",NA,1,NA
556,12517,50,35,59,"M","False","True","False",NA,NA,"False",NA,2,NA
