part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_school,cnt_work,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi
555,12492,NA,13.0,18.0,F,True,False,False,NA,NA,False,NA,1.0,NA
555,12493,NA,1.0,5.0,M,True,False,False,NA,NA,False,NA,1.0,NA
555,12494,NA,19.0,34.0,M,True,False,False,NA,NA,False,NA,1.0,NA
555,12495,NA,35.0,59.0,F,True,False,False,NA,NA,False,NA,2.0,NA
555,12496,NA,35.0,59.0,F,True,False,False,NA,NA,False,NA,1.0,NA
555,12497,NA,60.0,105.0,M,True,False,False,NA,NA,False,NA,1.0,NA
555,12498,NA,60.0,105.0,M,True,False,False,NA,NA,False,NA,1.0,NA
555,12499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,12500,NA,19.0,34.0,NA,True,False,False,NA,NA,False,NA,1.0,NA
555,12501,NA,13.0,18.0,NA,True,False,False,NA,NA,False,NA,1.0,NA
555,12502,NA,1.0,5.0,NA,True,False,False,NA,NA,False,NA,1.0,NA
555,12503,NA,35.0,59.0,NA,False,False,False,NA,NA,True,NA,1.0,NA
555,12504,NA,35.0,59.0,NA,False,False,False,NA,NA,True,NA,1.0,NA
555,12505,NA,60.0,105.0,M,True,False,False,NA,NA,False,NA,1.0,NA
555,12506,NA,60.0,105.0,F,True,False,False,NA,NA,False,NA,1.0,NA
555,12507,NA,35.0,59.0,NA,True,False,False,NA,NA,False,NA,1.0,NA
556,12508,16.0,13.0,18.0,F,True,False,False,NA,NA,False,NA,1.0,NA
556,12509,NA,6.0,12.0,F,False,False,False,NA,NA,True,NA,1.0,NA
556,12510,NA,6.0,12.0,F,False,False,False,NA,NA,True,NA,1.0,NA
556,12511,NA,6.0,12.0,M,False,True,False,NA,NA,False,NA,1.0,NA
556,12512,NA,6.0,12.0,M,NA,NA,NA,NA,NA,NA,NA,1.0,NA
556,12513,NA,6.0,12.0,M,False,True,False,NA,NA,False,NA,1.0,NA
556,12514,NA,6.0,12.0,F,False,True,False,NA,NA,False,NA,1.0,NA
556,12515,NA,6.0,12.0,F,False,False,False,NA,NA,True,NA,1.0,NA
556,12516,70.0,60.0,105.0,F,True,False,False,NA,NA,False,NA,1.0,NA
556,12517,NA,35.0,59.0,M,False,True,False,NA,NA,False,NA,2.0,NA
556,12518,NA,13.0,18.0,F,True,False,False,NA,NA,False,NA,1.0,NA
556,12519,NA,35.0,59.0,M,True,False,False,NA,NA,False,NA,1.0,NA
556,12520,NA,60.0,105.0,F,True,False,False,NA,NA,False,NA,1.0,NA
556,12521,NA,6.0,12.0,F,False,False,False,NA,NA,True,NA,1.0,NA
556,12522,NA,6.0,12.0,M,False,True,False,NA,NA,False,NA,1.0,NA
556,12523,NA,6.0,12.0,F,False,True,False,NA,NA,False,NA,1.0,NA
556,12524,NA,6.0,12.0,M,False,True,False,NA,NA,False,NA,1.0,NA
556,12525,NA,6.0,12.0,M,False,True,False,NA,NA,False,NA,1.0,NA
556,12526,NA,35.0,59.0,M,False,True,False,NA,NA,False,NA,2.0,NA
557,12527,69.0,60.0,105.0,F,True,False,False,NA,NA,False,NA,1.0,NA
557,12528,29.0,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
557,12529,12.0,6.0,12.0,M,True,False,False,NA,NA,False,NA,1.0,NA
557,12530,18.0,13.0,18.0,M,True,False,False,NA,NA,False,NA,1.0,NA
557,12531,6.0,1.0,5.0,M,True,False,False,NA,NA,False,NA,1.0,NA
557,12532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,12533,29.0,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
557,12534,69.0,60.0,105.0,F,True,False,False,NA,NA,False,NA,1.0,NA
557,12535,18.0,13.0,18.0,M,True,False,False,NA,NA,False,NA,1.0,NA
558,12536,0.0,0.0,0.0,F,True,False,False,NA,NA,False,NA,1.0,NA
558,12537,50.0,35.0,59.0,F,True,False,False,NA,NA,False,NA,1.0,NA
558,12538,20.0,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
558,12539,57.0,35.0,59.0,M,True,False,False,NA,NA,False,NA,1.0,NA
558,12540,NA,0.0,0.0,F,True,False,False,NA,NA,False,NA,1.0,NA
558,12541,50.0,35.0,59.0,F,True,False,False,NA,NA,False,NA,1.0,NA
558,12542,20.0,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
558,12543,57.0,35.0,59.0,M,True,False,False,NA,NA,False,NA,1.0,NA
559,12544,23.0,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
559,12545,50.0,35.0,59.0,F,True,False,False,NA,NA,False,NA,1.0,NA
559,12546,20.0,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
559,12547,54.0,35.0,59.0,M,True,False,False,NA,NA,False,NA,1.0,NA
559,12548,22.0,19.0,34.0,M,True,False,False,NA,NA,False,NA,1.0,NA
559,12549,NA,19.0,34.0,M,True,False,False,NA,NA,False,NA,1.0,NA
559,12550,24.0,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
559,12551,50.0,35.0,59.0,F,True,False,False,NA,NA,False,NA,1.0,NA
559,12552,20.0,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
559,12553,28.0,19.0,34.0,M,True,False,False,NA,NA,False,NA,1.0,NA
559,12554,NA,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
559,12555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,12556,NA,1.0,5.0,F,True,False,False,NA,NA,False,NA,1.0,NA
560,12557,NA,19.0,34.0,F,True,False,False,NA,NA,False,NA,2.0,NA
560,12558,NA,60.0,105.0,M,False,False,False,NA,NA,True,NA,1.0,NA
560,12559,NA,35.0,59.0,F,True,False,False,NA,NA,False,NA,2.0,NA
560,12560,NA,19.0,34.0,M,True,False,False,NA,NA,False,NA,1.0,NA
560,12561,NA,19.0,34.0,M,True,False,False,NA,NA,False,NA,2.0,NA
560,12562,NA,35.0,59.0,F,True,False,False,NA,NA,False,NA,2.0,NA
560,12563,NA,35.0,59.0,M,True,False,False,NA,NA,False,NA,1.0,NA
560,12564,NA,19.0,34.0,F,False,False,False,NA,NA,True,NA,1.0,NA
560,12565,NA,19.0,34.0,F,False,False,False,NA,NA,True,NA,1.0,NA
560,12566,NA,1.0,5.0,F,True,False,False,NA,NA,False,NA,1.0,NA
560,12567,NA,19.0,34.0,F,False,False,False,NA,NA,True,NA,2.0,NA
561,12568,53.0,35.0,59.0,M,True,False,False,NA,NA,False,NA,2.0,NA
561,12569,45.0,35.0,59.0,F,True,False,False,NA,NA,False,NA,2.0,NA
561,12570,NA,35.0,59.0,M,True,False,False,NA,NA,False,NA,2.0,NA
561,12571,18.0,13.0,18.0,M,True,False,False,NA,NA,False,NA,2.0,NA
561,12572,16.0,13.0,18.0,M,True,False,False,NA,NA,False,NA,1.0,NA
561,12573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,12574,53.0,35.0,59.0,M,True,False,False,NA,NA,False,NA,2.0,NA
561,12575,45.0,35.0,59.0,F,True,False,False,NA,NA,False,NA,2.0,NA
561,12576,18.0,13.0,18.0,NA,True,False,False,NA,NA,False,NA,1.0,NA
561,12577,16.0,13.0,18.0,NA,True,False,False,NA,NA,False,NA,1.0,NA
561,12578,NA,60.0,105.0,F,True,False,False,NA,NA,False,NA,1.0,NA
562,12579,23.0,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
562,12580,2.0,1.0,5.0,F,True,False,False,NA,NA,False,NA,1.0,NA
562,12581,20.0,19.0,34.0,F,False,False,True,NA,NA,False,NA,2.0,NA
562,12582,72.0,60.0,105.0,M,True,False,False,NA,NA,False,NA,2.0,NA
562,12583,64.0,60.0,105.0,F,True,False,False,NA,NA,False,NA,2.0,NA
562,12584,58.0,35.0,59.0,F,False,False,False,NA,NA,True,NA,2.0,NA
562,12585,10.0,6.0,12.0,M,False,False,False,NA,NA,True,NA,2.0,NA
562,12586,10.0,6.0,12.0,M,False,False,False,NA,NA,True,NA,2.0,NA
562,12587,22.0,19.0,34.0,M,False,False,False,NA,NA,True,NA,2.0,NA
562,12588,18.0,13.0,18.0,F,False,False,True,NA,NA,False,NA,2.0,NA
562,12589,3.0,1.0,5.0,F,True,False,False,NA,NA,False,NA,2.0,NA
562,12590,20.0,19.0,34.0,M,False,False,True,NA,NA,False,NA,2.0,NA
562,12591,19.0,19.0,34.0,F,False,False,True,NA,NA,False,NA,2.0,NA
562,12592,35.0,35.0,59.0,F,False,False,True,NA,NA,False,NA,2.0,NA
562,12593,29.0,19.0,34.0,M,False,False,True,NA,NA,False,NA,2.0,NA
562,12594,14.0,13.0,18.0,M,False,False,True,NA,NA,False,NA,2.0,NA
562,12595,13.0,13.0,18.0,M,False,False,True,NA,NA,False,NA,2.0,NA
562,12596,33.0,19.0,34.0,M,False,False,True,NA,NA,False,NA,2.0,NA
562,12597,38.0,35.0,59.0,F,False,False,True,NA,NA,False,NA,2.0,NA
562,12598,17.0,13.0,18.0,M,False,False,True,NA,NA,False,NA,1.0,NA
562,12599,34.0,19.0,34.0,M,False,False,True,NA,NA,False,NA,2.0,NA
562,12600,30.0,19.0,34.0,M,False,False,True,NA,NA,False,NA,2.0,NA
562,12601,11.0,6.0,12.0,M,False,False,True,NA,NA,False,NA,2.0,NA
562,12602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562,12603,28.0,19.0,34.0,M,False,False,False,NA,NA,True,NA,2.0,NA
562,12604,35.0,35.0,59.0,F,True,False,False,NA,NA,False,NA,1.0,NA
562,12605,72.0,60.0,105.0,M,True,False,False,NA,NA,False,NA,1.0,NA
562,12606,64.0,60.0,105.0,F,True,False,False,NA,NA,False,NA,1.0,NA
562,12607,22.0,19.0,34.0,M,False,False,False,NA,NA,True,NA,2.0,NA
562,12608,55.0,35.0,59.0,M,False,False,False,NA,NA,True,NA,2.0,NA
562,12609,24.0,19.0,34.0,F,True,False,False,NA,NA,False,NA,1.0,NA
562,12610,74.0,60.0,105.0,M,True,False,False,NA,NA,False,NA,1.0,NA
