part_id,hh_id,part_age,part_gender
555,HH503,58.0,M
556,HH504,9.0,M
557,HH505,2.0,F
558,HH506,24.0,M
559,HH506,0.0,M
560,HH507,30.0,M
561,HH508,27.0,F
562,HH509,30.0,F
563,HH510,33.0,F
564,HH511,6.0,F
565,HH512,10.0,M
566,HH513,2.0,F
567,HH514,18.0,M
568,HH515,4.0,F
569,HH516,32.0,F
570,HH517,14.0,F
571,HH518,21.0,M
572,HH518,0.0,M
573,HH519,10.0,M
574,HH520,57.0,M
575,HH521,11.0,M
576,HH522,39.0,M
577,HH523,19.0,F
578,HH524,3.0,F
579,HH525,8.0,F
580,HH526,3.0,F
581,HH527,16.0,F
582,HH528,16.0,F
583,HH529,21.0,M
584,HH529,0.0,F
585,HH530,3.0,F
586,HH531,16.0,F
587,HH532,10.0,M
588,HH533,18.0,F
589,HH534,28.0,NA
590,HH535,7.0,M
591,HH536,9.0,F
592,HH537,5.0,M
593,HH538,8.0,M
594,HH539,8.0,M
595,HH540,24.0,F
596,HH541,46.0,M
597,HH542,61.0,M
598,HH543,40.0,M
599,HH544,13.0,F
600,HH545,56.0,F
601,HH546,12.0,F
602,HH547,46.0,M
603,HH548,33.0,F
604,HH549,16.0,M
605,HH550,16.0,M
606,HH551,44.0,M
607,HH552,14.0,F
608,HH553,20.0,F
609,HH554,10.0,F
610,HH555,7.0,F
611,HH556,31.0,M
612,HH557,74.0,F
613,HH558,4.0,F
614,HH559,26.0,M
615,HH560,63.0,M
616,HH561,6.0,M
617,HH562,20.0,F
618,HH563,1.0,F
619,HH564,11.0,F
620,HH565,19.0,NA
621,HH566,9.0,M
622,HH567,28.0,F
623,HH568,6.0,F
624,HH569,10.0,F
625,HH570,4.0,M
626,HH571,31.0,M
627,HH572,3.0,NA
628,HH573,8.0,M
629,HH573,0.0,F
630,HH574,60.0,M
631,HH575,35.0,M
632,HH576,0.0,M
633,HH577,43.0,F
634,HH578,13.0,F
635,HH579,66.0,M
636,HH580,7.0,F
637,HH581,9.0,NA
638,HH582,15.0,F
639,HH583,18.0,F
640,HH584,42.0,M
641,HH585,14.0,F
642,HH586,18.0,F
643,HH587,37.0,M
644,HH588,37.0,M
645,HH589,57.0,M
646,HH590,22.0,F
647,HH591,14.0,M
648,HH592,10.0,M
649,HH593,16.0,F
650,HH594,15.0,M
651,HH595,8.0,M
652,HH596,9.0,F
653,HH597,56.0,M
654,HH598,61.0,M
655,HH599,36.0,M
656,HH600,38.0,M
657,HH601,19.0,F
658,HH602,19.0,M
659,HH603,45.0,F
660,HH604,3.0,F
661,HH605,10.0,M
662,HH606,4.0,F
663,HH607,13.0,M
664,HH608,2.0,F
665,HH609,1.0,M
666,HH610,1.0,NA
667,HH611,5.0,M
668,HH612,11.0,M
669,HH613,23.0,M
670,HH613,0.0,F
671,HH614,3.0,M
672,HH615,10.0,M
673,HH616,23.0,F
674,HH617,10.0,F
675,HH618,4.0,F
676,HH619,18.0,F
677,HH620,58.0,M
678,HH621,46.0,M
679,HH622,2.0,M
680,HH623,20.0,F
681,HH624,12.0,F
682,HH625,7.0,M
683,HH626,33.0,M
684,HH627,39.0,M
685,HH628,10.0,M
686,HH629,64.0,NA
687,HH630,54.0,M
688,HH631,18.0,M
689,HH631,0.0,F
690,HH632,1.0,NA
691,HH633,57.0,M
692,HH634,6.0,M
693,HH635,61.0,F
694,HH636,54.0,F
695,HH637,15.0,F
696,HH638,1.0,M
697,HH639,37.0,M
698,HH640,0.0,F
699,HH641,29.0,F
700,HH642,8.0,F
701,HH643,50.0,M
702,HH643,18.0,F
703,HH644,1.0,F
704,HH645,36.0,F
705,HH646,17.0,M
706,HH647,29.0,M
707,HH647,0.0,NA
708,HH648,46.0,M
709,HH648,0.0,M
710,HH649,31.0,F
711,HH650,50.0,M
712,HH651,2.0,M
713,HH652,2.0,M
714,HH653,9.0,M
715,HH654,50.0,F
716,HH655,1.0,F
717,HH656,7.0,M
718,HH657,10.0,F
719,HH658,10.0,M
720,HH659,0.0,F
721,HH660,0.0,NA
722,HH661,0.0,NA
723,HH662,18.0,M
724,HH662,0.0,NA
725,HH663,13.0,M
726,HH664,71.0,NA
727,HH665,14.0,F
728,HH666,17.0,F
729,HH667,68.0,F
730,HH668,5.0,M
731,HH669,15.0,M
732,HH670,18.0,M
733,HH671,60.0,M
734,HH672,1.0,M
735,HH673,63.0,M
736,HH674,39.0,M
737,HH675,18.0,F
738,HH676,41.0,F
739,HH677,31.0,M
740,HH678,1.0,M
741,HH679,46.0,M
742,HH680,44.0,M
743,HH681,12.0,M
744,HH682,9.0,M
745,HH683,16.0,F
746,HH684,12.0,F
747,HH685,15.0,F
748,HH686,63.0,M
749,HH687,17.0,F
750,HH688,57.0,M
751,HH689,13.0,M
752,HH690,57.0,M
753,HH691,13.0,NA
754,HH691,11.0,M
755,HH692,37.0,M
756,HH693,6.0,M
757,HH694,4.0,M
758,HH695,17.0,F
759,HH696,76.0,M
760,HH697,10.0,M
761,HH698,55.0,M
762,HH699,76.0,M
763,HH700,30.0,M
764,HH701,45.0,M
765,HH702,35.0,F
766,HH703,11.0,M
767,HH704,1.0,F
768,HH705,9.0,F
769,HH706,3.0,M
770,HH707,9.0,M
771,HH708,3.0,M
772,HH709,38.0,F
773,HH710,11.0,M
774,HH711,29.0,F
775,HH711,23.0,M
776,HH711,10.0,NA
777,HH712,39.0,M
778,HH713,10.0,F
779,HH714,23.0,M
780,HH715,48.0,F
781,HH715,0.0,NA
782,HH716,15.0,M
783,HH717,9.0,M
784,HH718,2.0,M
785,HH719,20.0,F
786,HH720,2.0,F
787,HH720,0.0,F
788,HH721,55.0,M
789,HH722,13.0,F
790,HH723,7.0,M
791,HH724,13.0,M
792,HH725,3.0,F
793,HH726,38.0,M
794,HH727,20.0,M
795,HH728,7.0,M
796,HH729,22.0,M
797,HH729,0.0,F
798,HH730,8.0,M
799,HH731,30.0,M
800,HH732,5.0,M
801,HH732,17.0,NA
802,HH733,1.0,F
803,HH734,1.0,M
804,HH735,12.0,F
805,HH736,1.0,M
806,HH737,2.0,M
807,HH738,8.0,F
808,HH739,35.0,F
809,HH739,0.0,F
810,HH739,19.0,F
811,HH740,31.0,M
812,HH741,22.0,F
813,HH742,16.0,F
814,HH743,13.0,F
815,HH744,20.0,M
816,HH744,0.0,F
817,HH745,4.0,NA
818,HH746,41.0,M
819,HH747,56.0,F
820,HH748,17.0,F
821,HH749,3.0,F
822,HH750,9.0,NA
823,HH751,35.0,M
824,HH752,7.0,F
825,HH752,0.0,F
826,HH753,49.0,M
827,HH754,39.0,F
828,HH755,4.0,M
829,HH756,17.0,NA
830,HH757,5.0,F
831,HH758,0.0,M
832,HH759,7.0,M
833,HH759,0.0,F
834,HH760,5.0,M
835,HH760,0.0,F
836,HH761,4.0,F
837,HH762,18.0,F
838,HH763,3.0,M
839,HH764,11.0,F
840,HH765,20.0,F
841,HH766,4.0,F
842,HH767,5.0,F
843,HH768,21.0,F
844,HH769,7.0,M
845,HH770,6.0,F
846,HH771,20.0,M
847,HH771,0.0,NA
848,HH772,24.0,M
849,HH773,16.0,M
850,HH773,0.0,M
