"Table 2: Live births by age of mother and age-specific fertility rates, 1938 to 2022 [note 1] [note 6] [note 7] [note 8] [note 9]",,,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,,,,
This worksheet displays one table.,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,
Some shorthand is used in this table [x] = not available,,,,,,,,,,,,,,,,,,,,,
"[note 1] refers to cells I8 to O8, [note 7] refers to cells I8, J8 and O8, [note 8] refers to cell A49, [note 9] refers to cell A92.",,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,
Year,"Age of mother at birth (years)
All ages
Live births
[note 6]","Age of mother at birth (years)
Under 20
Live births","Age of mother at birth (years)
20 to 24
Live births","Age of mother at birth (years)
25 to 29
Live births","Age of mother at birth (years)
30 to 34
Live births","Age of mother at birth (years)
35 to 39
Live births","Age of mother at birth (years)
40 and over
Live births","Live births per 1,000 women in age group
All ages","Live births per 1,000 women in age group
Under 20","Live births per 1,000 women in age group
20 to 24","Live births per 1,000 women in age group
25 to 29","Live births per 1,000 women in age group
30 to 34","Live births per 1,000 women in age group
35 to 39","Live births per 1,000 women in age group
40 and over",,,,,,,
2022,"605,479 ","14,755 ","73,010 ","157,509 ","207,173 ","121,791 ","31,228 ",[x],[x],[x],[x],[x],[x],[x],,,,,,,
2021,"624,828","13,738","75,602","163,223","216,738","124,942","30,542",54.1,8.3,42.3,82.5,101.1,60.8,15.9,,,,,,,
2020,"613,936","15,940","79,626","164,765","205,675","118,426","29,412",55.1,10.0,44.8,84.6,102.5,59.8,16.0,,,,,,,
2019,"640,370","17,720","86,756","173,944","209,905","122,409","29,618",57.5,11.2,48.4,88.3,104.7,61.9,16.5,,,,,,,
2018,"657,076","18,976","91,095","180,858","212,707","124,567","28,865",59.1,11.9,50.5,91.3,106.8,63.4,16.1,,,,,,,
2017,"679,106","20,358","97,506","190,028","216,787","125,114","29,313",61.0,12.7,53.7,95.3,109.8,65.1,16.1,,,,,,,
2016,"696,271","22,465","102,607","196,132","220,129","125,205","29,733",62.3,13.7,55.8,98.8,112.0,66.9,15.9,,,,,,,
2015,"697,852","23,948","108,111","198,183","217,755","120,614","29,241",62.3,14.5,58.0,100.8,111.0,66.0,15.2,,,,,,,
2014,"695,233","25,977","112,615","196,818","215,642","115,171","29,010",62.1,15.6,60.1,100.8,110.4,64.5,14.7,,,,,,,
2013,"698,512","29,136","119,719","196,693","212,306","111,500","29,158",62.2,17.4,63.7,101.5,109.4,62.9,14.5,,,,,,,
