,"Parent age
",Child age,Data Source,Survey year,Estimated proportion of parents
0,"[15,20)",0-4,ONS,2006 (POLYMOD),0.043149800498431104
1,"[20,25)",0-4,ONS,2006 (POLYMOD),0.14309298451764524
2,"[25,30)",0-4,ONS,2006 (POLYMOD),0.2273701302893741
3,"[30,35)",0-4,ONS,2006 (POLYMOD),0.282674031222964
4,"[35,40)",0-4,ONS,2006 (POLYMOD),0.2137849773381713
5,"[40,45)",0-4,ONS,2006 (POLYMOD),0.07856520279431324
6,"[45,50)",0-4,ONS,2006 (POLYMOD),0.011362873339101015
7,"[15,20)",0-4,ONS,2021 (CoMix),0.016471783824571973
8,"[20,25)",0-4,ONS,2021 (CoMix),0.0926577394807384
9,"[25,30)",0-4,ONS,2021 (CoMix),0.2196933599870991
10,"[30,35)",0-4,ONS,2021 (CoMix),0.30731244237948757
11,"[35,40)",0-4,ONS,2021 (CoMix),0.24323295573831843
12,"[40,45)",0-4,ONS,2021 (CoMix),0.10272896832279049
13,"[45,50)",0-4,ONS,2021 (CoMix),0.017902750266994057
14,"[15,20)",0-4,Contact Survey,2006 (POLYMOD),0.07251640908543339
15,"[20,25)",0-4,Contact Survey,2006 (POLYMOD),0.09931556313026187
16,"[25,30)",0-4,Contact Survey,2006 (POLYMOD),0.21143467936069646
17,"[30,35)",0-4,Contact Survey,2006 (POLYMOD),0.24167673924092564
18,"[35,40)",0-4,Contact Survey,2006 (POLYMOD),0.19525489010882804
19,"[40,45)",0-4,Contact Survey,2006 (POLYMOD),0.08750141812873245
20,"[45,50)",0-4,Contact Survey,2006 (POLYMOD),0.09230030094512219
21,"[15,20)",0-4,Contact Survey,2021 (CoMix),0.03260936391127971
22,"[20,25)",0-4,Contact Survey,2021 (CoMix),0.06033579069369116
23,"[25,30)",0-4,Contact Survey,2021 (CoMix),0.13386143354907717
24,"[30,35)",0-4,Contact Survey,2021 (CoMix),0.23922163980646688
25,"[35,40)",0-4,Contact Survey,2021 (CoMix),0.2940606298270782
26,"[40,45)",0-4,Contact Survey,2021 (CoMix),0.18060341098669283
27,"[45,50)",0-4,Contact Survey,2021 (CoMix),0.059307731225714054
28,"[20,25)",5-9,ONS,2006 (POLYMOD),0.044693769841206946
29,"[25,30)",5-9,ONS,2006 (POLYMOD),0.13616357633842463
