"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0154416891556535	0.0058645386426194	0.00209580849404348	0.00136099081300862	0.00194076106225616	0.00386309311543733	0.00535832428607029	0.00435705713872587	0.00275562633567466	0.00173919018267097	0.00179202858883719	0.00187787623690765	0.00232572164822339	0.00134815048843186	0.0009589586336006
"[5,10)"	0.0058645386426194	0.0367047653226474	0.00679388737027466	0.00214482515509413	0.00151302096466263	0.00255573734991531	0.00449706915023313	0.00585978114932733	0.00450526988976103	0.00225102151195838	0.0020447678932723	0.00181850971805596	0.00179314186308844	0.00180006985237434	0.000906339614036344
"[10,15)"	0.00209580849404348	0.00679388737027466	0.0494439564607222	0.00791950767720241	0.0023099318282804	0.00167346609147685	0.00290612146497906	0.00464576826387682	0.00585614038051647	0.00381891780366627	0.00269731337125075	0.00159788606703253	0.00128045550077216	0.0012129391329252	0.00106702857195967
"[15,20)"	0.00136099081300862	0.00214482515509413	0.0079195076772024	0.0414560714989897	0.00856764579626898	0.0032108968937026	0.00272710028441816	0.00311079910128144	0.00468148390848389	0.00569533914052337	0.00336812492579844	0.0021182525956682	0.00111657287158263	0.00114990317065049	0.00119093726323785
"[20,25)"	0.00194076106225616	0.00151302096466263	0.0023099318282804	0.00856764579626898	0.0189745826840446	0.00835206155883246	0.0054527878886662	0.00353355271580304	0.00411975498449468	0.00500574385767701	0.00499048711945779	0.00295672818652513	0.00184193658375381	0.00117264697633219	0.00107052420431833
"[25,30)"	0.00386309311543733	0.00255573734991531	0.00167346609147685	0.0032108968937026	0.00835206155883246	0.0121922244556565	0.00805353585536549	0.00543973160771294	0.00475835160476783	0.00510251043653053	0.00554651148868873	0.00445715883918278	0.0029656718282178	0.00201738144002722	0.00133066531743569
"[30,35)"	0.00535832428607029	0.00449706915023313	0.00290612146497906	0.00272710028441816	0.0054527878886662	0.00805353585536549	0.0106571454459317	0.00754150300169029	0.00617731940890799	0.00511733632661123	0.00467025059026731	0.00465922791464989	0.00415093019272468	0.00238274687641339	0.00153587072925696
"[35,40)"	0.00435705713872587	0.00585978114932733	0.00464576826387682	0.00311079910128144	0.00353355271580304	0.00543973160771294	0.00754150300169029	0.0100461766618659	0.0071165885483831	0.00564851696896073	0.00431346829445477	0.00361900132952969	0.00389338806462266	0.00336304131963876	0.00178132254674027
"[40,45)"	0.00275562633567466	0.00450526988976103	0.00585614038051647	0.00468148390848389	0.00411975498449468	0.00475835160476783	0.00617731940890799	0.0071165885483831	0.00873321571328891	0.00678727939268776	0.00518529486847495	0.00364920375368583	0.00362292506065131	0.00306836887159114	0.00223665697087855
"[45,50)"	0.00173919018267097	0.00225102151195838	0.00381891780366626	0.00569533914052337	0.00500574385767701	0.00510251043653053	0.00511733632661123	0.00564851696896073	0.00678727939268776	0.00841734056324246	0.00632095718194457	0.00449215322714852	0.00313626124247611	0.00216893666198109	0.00263052735306719
"[50,55)"	0.00179202858883719	0.0020447678932723	0.00269731337125075	0.00336812492579844	0.00499048711945779	0.00554651148868873	0.00467025059026731	0.00431346829445478	0.00518529486847495	0.00632095718194457	0.00751066674383244	0.00612697541632503	0.00400076515329063	0.00237422585573141	0.00230355336666111
"[55,60)"	0.00187787623690765	0.00181850971805596	0.00159788606703253	0.0021182525956682	0.00295672818652513	0.00445715883918278	0.00465922791464989	0.00361900132952969	0.00364920375368583	0.00449215322714853	0.00612697541632503	0.00761401958990237	0.0054519578754956	0.00333505391327147	0.00216938642197199
"[60,65)"	0.00232572164822339	0.00179314186308844	0.00128045550077216	0.00111657287158263	0.00184193658375381	0.0029656718282178	0.00415093019272468	0.00389338806462266	0.00362292506065131	0.00313626124247611	0.00400076515329063	0.0054519578754956	0.00801987731990365	0.00512051223544444	0.00366784217108892
"[65,70)"	0.00134815048843186	0.00180006985237434	0.0012129391329252	0.00114990317065049	0.00117264697633219	0.00201738144002722	0.00238274687641339	0.00336304131963876	0.00306836887159114	0.00216893666198109	0.00237422585573141	0.00333505391327147	0.00512051223544444	0.00680966570776986	0.00432768417272572
"70+"	0.0009589586336006	0.000906339614036344	0.00106702857195967	0.00119093726323785	0.00107052420431833	0.00133066531743569	0.00153587072925696	0.00178132254674027	0.00223665697087855	0.00263052735306719	0.00230355336666111	0.00216938642197199	0.00366784217108892	0.00432768417272572	0.0052608526218472
