"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",1.59619223043269e-06,1.21745977025724e-06,1.05594258986387e-06,4.2558595232176e-07,3.36116420004402e-07,5.37327323819512e-07,8.85766889778759e-07,8.17745208203597e-07,4.95534745398958e-07,2.4413082948095e-07,1.26983090122201e-07,1.93396049528853e-07,2.02726231298273e-07,1.13112546689576e-07,7.26635167186847e-08
"[5,10)",1.21745977025724e-06,1.81814043855488e-06,1.72487416763881e-06,5.70267710518297e-07,1.39714716799048e-07,2.24658358998594e-07,6.2321617423932e-07,7.95963557232409e-07,7.17942966643286e-07,4.63791518164127e-07,2.57449183871565e-07,2.20667751568703e-07,2.27129412361517e-07,1.66323333478454e-07,9.32477210842783e-08
"[10,15)",1.05594258986387e-06,1.72487416763881e-06,2.56321945677329e-06,1.21125714512818e-06,1.95367993078234e-07,2.48897340286877e-07,4.35050787649406e-07,6.86615735896274e-07,7.66549432718991e-07,5.78671223070752e-07,3.4227256129416e-07,2.52150945955434e-07,1.95628509221252e-07,1.43182381893127e-07,7.09119487372735e-08
"[15,20)",4.2558595232176e-07,5.70267710518297e-07,1.21125714512818e-06,9.42463419660988e-07,4.69974878320923e-07,5.16120763799161e-07,2.88504302304483e-07,3.95267458150632e-07,5.10043697752888e-07,3.65972291943403e-07,3.77677327091553e-07,3.61495310737345e-07,1.96416558639753e-07,9.90100870284007e-08,1.14722982298225e-07
"[20,25)",3.36116420004402e-07,1.39714716799048e-07,1.95367993078234e-07,4.69974878320923e-07,7.6210694686052e-07,6.1470960393997e-07,3.79748547564534e-07,2.52963886965255e-07,2.49645108558913e-07,2.95326080952331e-07,4.09718410403863e-07,3.64536493434362e-07,2.53448129713919e-07,1.43117056774242e-07,1.18589543991196e-07
"[25,30)",5.37327323819512e-07,2.24658358998594e-07,2.48897340286877e-07,5.16120763799161e-07,6.1470960393997e-07,5.69171786360276e-07,5.38042636480716e-07,3.8807919242445e-07,2.77808990792965e-07,3.1000191870996e-07,3.5724696516688e-07,3.57243015933678e-07,2.86147925906539e-07,1.95665576605331e-07,1.1059052360331e-07
"[30,35)",8.85766889778759e-07,6.2321617423932e-07,4.35050787649406e-07,2.88504302304483e-07,3.79748547564534e-07,5.38042636480716e-07,5.10380165636724e-07,5.43772470041125e-07,3.94318417454541e-07,2.14553491866998e-07,2.44733463027297e-07,2.64400007099011e-07,2.19965315587398e-07,2.15419290526484e-07,1.42308426978048e-07
"[35,40)",8.17745208203597e-07,7.95963557232409e-07,6.86615735896274e-07,3.95267458150632e-07,2.52963886965255e-07,3.8807919242445e-07,5.43772470041126e-07,5.97557092787381e-07,5.26814534212051e-07,3.27180733433945e-07,2.7292239634647e-07,3.07693746889216e-07,2.47460946733967e-07,2.73623963563728e-07,1.96596185089784e-07
"[40,45)",4.95534745398958e-07,7.17942966643286e-07,7.66549432718991e-07,5.10043697752888e-07,2.49645108558913e-07,2.77808990792965e-07,3.94318417454541e-07,5.26814534212051e-07,4.8925504264123e-07,4.1171664704357e-07,3.51302169556146e-07,2.85403760905149e-07,2.32944760995659e-07,2.14305649824884e-07,1.65798474040421e-07
"[45,50)",2.4413082948095e-07,4.63791518164127e-07,5.78671223070753e-07,3.65972291943403e-07,2.95326080952331e-07,3.1000191870996e-07,2.14553491866998e-07,3.27180733433945e-07,4.1171664704357e-07,3.45628555898168e-07,4.41048417475434e-07,3.49595519503083e-07,1.79155931565445e-07,1.60290183424866e-07,1.54946034445378e-07
"[50,55)",1.26983090122201e-07,2.57449183871565e-07,3.4227256129416e-07,3.77677327091553e-07,4.09718410403863e-07,3.5724696516688e-07,2.44733463027297e-07,2.7292239634647e-07,3.51302169556146e-07,4.41048417475434e-07,4.83762632309583e-07,4.99333941168595e-07,3.26678792949483e-07,2.44305883909736e-07,2.31395617799825e-07
"[55,60)",1.93396049528853e-07,2.20667751568703e-07,2.52150945955434e-07,3.61495310737345e-07,3.64536493434362e-07,3.57243015933678e-07,2.64400007099011e-07,3.07693746889216e-07,2.85403760905149e-07,3.49595519503083e-07,4.99333941168595e-07,4.99966396716666e-07,4.91960877703438e-07,3.25279798678433e-07,1.91142305706025e-07
"[60,65)",2.02726231298273e-07,2.27129412361517e-07,1.95628509221252e-07,1.96416558639753e-07,2.53448129713919e-07,2.86147925906539e-07,2.19965315587398e-07,2.47460946733967e-07,2.32944760995659e-07,1.79155931565445e-07,3.26678792949483e-07,4.91960877703438e-07,4.45525738195022e-07,5.03500958444579e-07,1.63983282762092e-07
"[65,70)",1.13112546689576e-07,1.66323333478454e-07,1.43182381893127e-07,9.90100870284007e-08,1.43117056774242e-07,1.95665576605331e-07,2.15419290526484e-07,2.73623963563728e-07,2.14305649824884e-07,1.60290183424866e-07,2.44305883909736e-07,3.25279798678433e-07,5.03500958444579e-07,7.18422307072084e-07,2.77538719926332e-07
"70+",7.26635167186847e-08,9.32477210842783e-08,7.09119487372735e-08,1.14722982298225e-07,1.18589543991196e-07,1.1059052360331e-07,1.42308426978048e-07,1.96596185089784e-07,1.65798474040421e-07,1.54946034445378e-07,2.31395617799825e-07,1.91142305706025e-07,1.63983282762092e-07,2.77538719926332e-07,6.07370179243223e-07
