"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",3.00043701396428e-06,1.14405858689982e-06,8.16433668463955e-07,4.23484030078006e-07,4.03864217125521e-07,1.30031928506309e-06,1.68980717144336e-06,1.35601748727775e-06,4.1975541468493e-07,3.48481671606049e-07,5.92470771232442e-07,6.75288822968116e-07,5.82896698857777e-07,5.70618284888364e-07,2.19496167739228e-07
"[5,10)",1.14405858689982e-06,5.01689908190405e-06,1.25477374125426e-06,7.58779065613472e-07,6.15728320910083e-07,5.37301206641795e-07,1.49934881120362e-06,1.35432676758065e-06,7.08999210928747e-07,3.40172847159508e-07,6.10947006545378e-07,4.09477119845527e-07,3.58775696147603e-07,8.92097796733858e-07,1.61869124098686e-07
"[10,15)",8.16433668463955e-07,1.25477374125426e-06,8.02374481408863e-06,1.78838374376357e-06,8.70869318911368e-07,2.71918142061063e-07,8.23511597731834e-07,1.60726476858008e-06,1.40216492757774e-06,7.73468058409752e-07,4.46445260036775e-07,3.58163810387691e-07,3.91615641718977e-07,2.91834388587014e-07,3.1299264748682e-07
"[15,20)",4.23484030078006e-07,7.58779065613472e-07,1.78838374376357e-06,9.92392207553288e-06,3.18073571204143e-06,8.50944942017977e-07,7.01495052321275e-07,7.61621969324886e-07,1.45946929031746e-06,1.36321716249763e-06,6.71048024180452e-07,3.49111490458196e-07,1.57304576251885e-07,3.22880170995576e-07,2.41829498771963e-07
"[20,25)",4.03864217125521e-07,6.15728320910083e-07,8.70869318911368e-07,3.18073571204143e-06,6.93236608154987e-06,1.99130956232357e-06,1.66230871440455e-06,7.74424506917078e-07,9.91105864179392e-07,1.35601084971591e-06,1.31038531474873e-06,7.61482019338107e-07,2.96541063000146e-07,3.21534274611883e-07,1.8169654566875e-07
"[25,30)",1.30031928506309e-06,5.37301206641795e-07,2.71918142061063e-07,8.50944942017977e-07,1.99130956232357e-06,3.46193622186722e-06,1.89676051404223e-06,1.65429749600287e-06,1.03635624679695e-06,1.67569790355041e-06,1.4414436020253e-06,1.1486937824921e-06,5.4297075289394e-07,3.62055652531783e-07,2.99818377310452e-07
"[30,35)",1.68980717144336e-06,1.49934881120362e-06,8.23511597731834e-07,7.01495052321275e-07,1.66230871440455e-06,1.89676051404223e-06,2.82098300452747e-06,2.22505890729908e-06,1.42546764019832e-06,1.17414910453388e-06,9.88848245399238e-07,1.73683020379168e-06,1.33872639754972e-06,6.52899997997888e-07,2.89494186427168e-07
"[35,40)",1.35601748727775e-06,1.35432676758065e-06,1.60726476858008e-06,7.61621969324886e-07,7.74424506917078e-07,1.65429749600287e-06,2.22505890729908e-06,2.02729817035468e-06,1.65425207981246e-06,1.25699389996375e-06,9.06401569797695e-07,1.06845951206537e-06,7.98363721656285e-07,9.32147529325348e-07,4.56009819142883e-07
"[40,45)",4.1975541468493e-07,7.08999210928747e-07,1.40216492757775e-06,1.45946929031746e-06,9.91105864179392e-07,1.03635624679695e-06,1.42546764019832e-06,1.65425207981246e-06,1.67539985711866e-06,1.39752526625722e-06,1.21032296710106e-06,9.32473721667944e-07,1.04841069217271e-06,7.29671387297903e-07,6.35757004279425e-07
"[45,50)",3.48481671606049e-07,3.40172847159508e-07,7.73468058409752e-07,1.36321716249763e-06,1.35601084971591e-06,1.67569790355041e-06,1.17414910453388e-06,1.25699389996375e-06,1.39752526625722e-06,2.28803471147936e-06,1.34613633183358e-06,1.19871484796202e-06,7.79866007375175e-07,5.52603073774353e-07,1.17246372985988e-06
"[50,55)",5.92470771232442e-07,6.10947006545378e-07,4.46445260036775e-07,6.71048024180452e-07,1.31038531474873e-06,1.4414436020253e-06,9.88848245399238e-07,9.06401569797696e-07,1.21032296710106e-06,1.34613633183358e-06,2.22979948313406e-06,1.58100174945884e-06,1.30083228434371e-06,4.30648008601836e-07,6.19728235520927e-07
"[55,60)",6.75288822968116e-07,4.09477119845527e-07,3.58163810387691e-07,3.49111490458196e-07,7.61482019338107e-07,1.1486937824921e-06,1.73683020379168e-06,1.06845951206537e-06,9.32473721667944e-07,1.19871484796202e-06,1.58100174945884e-06,2.40733529246783e-06,1.47372992349345e-06,8.70077752548157e-07,8.34899641235041e-07
"[60,65)",5.82896698857777e-07,3.58775696147603e-07,3.91615641718977e-07,1.57304576251885e-07,2.96541063000146e-07,5.4297075289394e-07,1.33872639754972e-06,7.98363721656285e-07,1.04841069217271e-06,7.79866007375175e-07,1.30083228434371e-06,1.47372992349345e-06,2.44553798606179e-06,1.24277939364476e-06,2.03171080738523e-06
"[65,70)",5.70618284888365e-07,8.92097796733858e-07,2.91834388587014e-07,3.22880170995576e-07,3.21534274611883e-07,3.62055652531783e-07,6.52899997997889e-07,9.32147529325348e-07,7.29671387297903e-07,5.52603073774353e-07,4.30648008601836e-07,8.70077752548157e-07,1.24277939364476e-06,1.93267837010791e-06,1.14793418064806e-06
"70+",2.19496167739228e-07,1.61869124098686e-07,3.1299264748682e-07,2.41829498771963e-07,1.8169654566875e-07,2.99818377310452e-07,2.89494186427168e-07,4.56009819142883e-07,6.35757004279425e-07,1.17246372985988e-06,6.19728235520927e-07,8.34899641235041e-07,2.03171080738523e-06,1.14793418064806e-06,1.17311496383462e-06
