"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",7.27293339610017e-06,2.09683033522544e-06,5.77194455517988e-07,2.33766483451815e-07,4.31911321924005e-07,8.23891182350562e-07,1.53585470709678e-06,1.24231213743816e-06,5.96073476992977e-07,4.2527626228294e-07,4.37792807594401e-07,5.53815176712321e-07,5.1644692797292e-07,3.78178212493266e-07,2.70048981461583e-07
"[5,10)",2.09683033522544e-06,1.46742433409487e-05,2.28407099464796e-06,1.00890097165209e-06,7.46865145917664e-07,5.09669106251513e-07,1.20272049954802e-06,1.66631220716966e-06,1.29467063732425e-06,5.75060337171056e-07,3.58961298009237e-07,4.94943795048071e-07,6.52080445463145e-07,5.51709261718005e-07,2.21028262573459e-07
"[10,15)",5.77194455517988e-07,2.28407099464796e-06,1.57862795004297e-05,2.08337996857901e-06,8.63094887269321e-07,4.17894814950913e-07,7.65497273000243e-07,1.07995669919164e-06,1.75360914109851e-06,1.2950837328775e-06,5.08863988078314e-07,5.32660699816587e-07,2.26551924577772e-07,4.86186848165288e-07,2.7737279004161e-07
"[15,20)",2.33766483451815e-07,1.00890097165209e-06,2.08337996857901e-06,1.34932425814977e-05,2.10625184186845e-06,6.50234682647116e-07,5.34946573432097e-07,5.45105688751531e-07,1.3095055607656e-06,1.71877150088125e-06,7.07668104286531e-07,4.09708004851344e-07,1.55983581760149e-07,5.56299297552068e-07,2.30939017337872e-07
"[20,25)",4.31911321924005e-07,7.46865145917664e-07,8.63094887269321e-07,2.10625184186845e-06,6.34032684911447e-06,2.26329761258675e-06,1.69797292137899e-06,1.19476008554728e-06,9.97635358637855e-07,1.52918002086928e-06,1.43005491644739e-06,7.93172395965153e-07,3.27315892607125e-07,2.79333412336243e-07,3.33350081975809e-07
"[25,30)",8.23891182350562e-07,5.09669106251513e-07,4.17894814950913e-07,6.50234682647116e-07,2.26329761258675e-06,3.83465036278184e-06,2.36984729709291e-06,1.73361963813258e-06,1.51490989365381e-06,1.41874630050535e-06,1.71276414663403e-06,1.49332697126994e-06,7.79803921762929e-07,5.05625669526453e-07,4.56123995093054e-07
"[30,35)",1.53585470709678e-06,1.20272049954802e-06,7.65497273000244e-07,5.34946573432097e-07,1.69797292137899e-06,2.36984729709291e-06,2.87510240307427e-06,2.141813048633e-06,1.58618640529312e-06,1.73134541994025e-06,1.39743239668675e-06,1.31772781405625e-06,1.09276902380551e-06,6.81751005367806e-07,5.11877239039552e-07
"[35,40)",1.24231213743816e-06,1.66631220716966e-06,1.07995669919164e-06,5.45105688751531e-07,1.19476008554728e-06,1.73361963813258e-06,2.141813048633e-06,3.20391225863256e-06,2.05412668737287e-06,1.58523379206888e-06,1.23955872921481e-06,1.09292077477512e-06,1.16061759091414e-06,8.10513112590579e-07,5.59816568344813e-07
"[40,45)",5.96073476992977e-07,1.29467063732425e-06,1.75360914109851e-06,1.3095055607656e-06,9.97635358637855e-07,1.51490989365381e-06,1.58618640529312e-06,2.05412668737287e-06,2.73231633055863e-06,1.98468985533223e-06,1.41080019347887e-06,1.00586070124424e-06,9.72528488194529e-07,9.95553038164116e-07,6.75973431473872e-07
"[45,50)",4.2527626228294e-07,5.75060337171056e-07,1.2950837328775e-06,1.71877150088125e-06,1.52918002086928e-06,1.41874630050535e-06,1.73134541994025e-06,1.58523379206888e-06,1.98468985533223e-06,2.58406256896633e-06,1.81844985866647e-06,1.0689816602026e-06,7.75353988194318e-07,7.26225088490212e-07,7.7505786788928e-07
"[50,55)",4.37792807594401e-07,3.58961298009237e-07,5.08863988078314e-07,7.07668104286531e-07,1.43005491644739e-06,1.71276414663402e-06,1.39743239668675e-06,1.23955872921481e-06,1.41080019347887e-06,1.81844985866647e-06,2.37852617369118e-06,1.94520720332942e-06,1.10212271486136e-06,7.40769637021356e-07,6.83413292895259e-07
"[55,60)",5.53815176712321e-07,4.94943795048071e-07,5.32660699816587e-07,4.09708004851344e-07,7.93172395965153e-07,1.49332697126994e-06,1.31772781405625e-06,1.09292077477512e-06,1.00586070124424e-06,1.0689816602026e-06,1.94520720332942e-06,1.53200721606793e-06,1.64843775519791e-06,9.27740728054237e-07,5.7907851809969e-07
"[60,65)",5.1644692797292e-07,6.52080445463145e-07,2.26551924577771e-07,1.5598358176015e-07,3.27315892607125e-07,7.79803921762929e-07,1.09276902380551e-06,1.16061759091414e-06,9.7252848819453e-07,7.75353988194318e-07,1.10212271486136e-06,1.64843775519791e-06,2.09033691298161e-06,1.18302478948596e-06,7.27426645253801e-07
"[65,70)",3.78178212493266e-07,5.51709261718006e-07,4.86186848165288e-07,5.56299297552068e-07,2.79333412336243e-07,5.05625669526453e-07,6.81751005367806e-07,8.10513112590579e-07,9.95553038164116e-07,7.26225088490212e-07,7.40769637021356e-07,9.27740728054237e-07,1.18302478948596e-06,2.34199009392709e-06,1.18917536591216e-06
"70+",2.70048981461583e-07,2.21028262573459e-07,2.7737279004161e-07,2.30939017337872e-07,3.33350081975809e-07,4.56123995093054e-07,5.11877239039552e-07,5.59816568344813e-07,6.75973431473872e-07,7.7505786788928e-07,6.83413292895259e-07,5.7907851809969e-07,7.27426645253801e-07,1.18917536591216e-06,1.32677696129528e-06
