"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",2.83184308766859e-07,1.14779022157996e-07,4.17092023393298e-08,2.53450899287869e-08,7.8987960074042e-08,2.37028871813248e-07,4.38727491074201e-07,1.7096104672403e-07,4.11356908020074e-08,4.75047220981705e-08,7.57733844311623e-08,1.58409382870889e-07,1.55358846268007e-07,1.48494209169682e-07,2.45747787235187e-08
"[5,10)",1.14779022157996e-07,1.51811161001009e-06,1.94272843517845e-07,2.25794797687861e-08,0,8.87890271958826e-08,3.63868171780563e-07,3.79538281973378e-07,7.97523334405134e-08,8.93117082852111e-08,3.01130176579382e-08,1.18352420438958e-07,1.76428037926063e-07,2.71032464651557e-07,7.03175004289196e-08
"[10,15)",4.17092023393298e-08,1.94272843517845e-07,4.93420223277605e-06,1.30695593921904e-07,9.98968580000977e-09,3.40603106296816e-08,1.13289896280048e-07,4.38663914126812e-07,4.36332852299994e-07,2.59426554147989e-07,1.07802261992809e-07,4.17627732036521e-08,1.11518856163845e-07,1.81378493618591e-07,9.65175460611377e-08
"[15,20)",2.53450899287869e-08,2.25794797687861e-08,1.30695593921904e-07,2.48007214755338e-06,4.57485636514934e-08,7.31970617556955e-08,3.51178827167807e-08,1.8935947985159e-07,3.82386050101056e-07,2.57109611133139e-07,2.14450645799913e-07,7.27412059628874e-08,1.22119067119308e-07,8.4363875459861e-08,1.54405483773549e-07
"[20,25)",7.8987960074042e-08,0,9.98968580000977e-09,4.57485636514934e-08,5.33155555077657e-07,4.20252025767094e-07,5.84762791388503e-08,1.40210579259714e-07,1.0933149411045e-07,3.99632004616236e-07,1.59751825808076e-07,1.418769046773e-07,1.23571410378901e-07,1.32964987781913e-08,5.30555307907575e-08
"[25,30)",2.37028871813248e-07,8.87890271958826e-08,3.40603106296816e-08,7.31970617556955e-08,4.20252025767094e-07,5.8423096119434e-07,2.2004405658128e-07,3.47015060940071e-07,2.10468679630148e-07,2.85059604613431e-07,2.78070001575291e-07,3.70061797052331e-07,1.23624669386708e-07,7.95916234456846e-08,5.28565067507402e-08
"[30,35)",4.38727491074201e-07,3.63868171780563e-07,1.13289896280048e-07,3.51178827167807e-08,5.84762791388503e-08,2.2004405658128e-07,5.19417787752926e-07,4.2649045596395e-07,1.73635000494872e-07,2.49378947465982e-07,1.69719483163979e-07,2.70415765391331e-07,2.19732986743396e-07,8.31472460982592e-08,4.75705050274199e-08
"[35,40)",1.7096104672403e-07,3.79538281973378e-07,4.38663914126813e-07,1.8935947985159e-07,1.40210579259714e-07,3.47015060940071e-07,4.2649045596395e-07,7.00714921676641e-07,4.72338986943646e-07,3.26315921701665e-07,1.74769396855458e-07,2.74842341806073e-07,2.7618356009665e-07,2.17206524282343e-07,7.80599027382095e-08
"[40,45)",4.11356908020074e-08,7.97523334405134e-08,4.36332852299994e-07,3.82386050101056e-07,1.0933149411045e-07,2.10468679630148e-07,1.73635000494872e-07,4.72338986943646e-07,6.53765062986965e-07,6.47698703920376e-07,1.96361731306602e-07,2.0580532268658e-07,1.81813532040006e-07,2.77641242729627e-07,1.68136221884862e-07
"[45,50)",4.75047220981705e-08,8.93117082852111e-08,2.59426554147989e-07,2.57109611133139e-07,3.99632004616236e-07,2.85059604613431e-07,2.49378947465982e-07,3.26315921701665e-07,6.47698703920376e-07,6.31077291919317e-07,4.18483231886464e-07,3.63393170164632e-07,9.27217639287074e-08,2.25292690744619e-07,2.69274565022983e-07
"[50,55)",7.57733844311623e-08,3.01130176579382e-08,1.07802261992809e-07,2.14450645799913e-07,1.59751825808076e-07,2.78070001575291e-07,1.69719483163979e-07,1.74769396855458e-07,1.96361731306602e-07,4.18483231886464e-07,5.54945140834522e-07,5.27131987099849e-07,2.12050960388029e-07,1.85162007429358e-07,1.83684780804197e-07
"[55,60)",1.58409382870889e-07,1.18352420438958e-07,4.17627732036521e-08,7.27412059628874e-08,1.418769046773e-07,3.70061797052331e-07,2.70415765391331e-07,2.74842341806073e-07,2.0580532268658e-07,3.63393170164632e-07,5.27131987099849e-07,1.11299028661814e-06,5.4843957717614e-07,3.53886277851476e-07,5.05518163382781e-07
"[60,65)",1.55358846268007e-07,1.76428037926063e-07,1.11518856163845e-07,1.22119067119308e-07,1.23571410378901e-07,1.23624669386708e-07,2.19732986743396e-07,2.7618356009665e-07,1.81813532040006e-07,9.27217639287074e-08,2.12050960388029e-07,5.4843957717614e-07,6.97851166947625e-07,4.32590615396172e-07,2.20209284030399e-07
"[65,70)",1.48494209169682e-07,2.71032464651557e-07,1.81378493618591e-07,8.4363875459861e-08,1.32964987781913e-08,7.95916234456846e-08,8.31472460982592e-08,2.17206524282343e-07,2.77641242729627e-07,2.25292690744619e-07,1.85162007429358e-07,3.53886277851476e-07,4.32590615396172e-07,1.63609392639185e-06,5.142592568079e-07
"70+",2.45747787235187e-08,7.03175004289196e-08,9.65175460611378e-08,1.54405483773549e-07,5.30555307907575e-08,5.28565067507402e-08,4.75705050274199e-08,7.80599027382095e-08,1.68136221884862e-07,2.69274565022983e-07,1.83684780804197e-07,5.05518163382781e-07,2.20209284030399e-07,5.142592568079e-07,9.39154599551087e-07
