"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",1.06097103464198e-07,8.77341432492404e-07,2.33561676819199e-07,2.59306833419631e-07,8.36953051763755e-07,1.66355275995746e-06,1.32935645491786e-06,7.05532146126084e-07,7.16139507945258e-07,2.75540148529184e-07,3.27074440569483e-07,5.04550669807518e-07,6.17074951027472e-07,5.09266096628149e-07,9.55915154435766e-07
"[5,10)",8.77341432492404e-07,3.5413580873219e-06,5.46908825978525e-06,6.03903053619265e-06,5.87451891197733e-07,1.07650090231589e-06,1.41655030971901e-06,1.15789027853921e-06,6.1049689799813e-07,7.24325431847334e-07,6.18552383404937e-07,5.13240057951429e-07,4.1938379193748e-07,2.54633048314075e-07,8.35129521116514e-08
"[10,15)",2.33561676819199e-07,5.46908825978525e-06,7.03314599837482e-06,8.85042907685995e-06,4.86869682905712e-07,7.28019242692457e-07,4.71767492726253e-07,5.6938059505887e-07,5.21795784638283e-07,6.85314470877008e-07,2.6627709179341e-07,3.03514953870875e-07,1.23607184389439e-07,8.29781866942818e-08,1.12815742326266e-07
"[15,20)",2.59306833419631e-07,6.03903053619265e-06,8.85042907685995e-06,6.09296970869441e-06,9.58830965453781e-07,1.04632275120458e-06,1.20745688899647e-06,1.07426060565399e-06,9.90674941734612e-07,1.31270726182523e-06,6.6296012479644e-07,7.70221815307582e-07,5.15503578904066e-07,3.31912746777127e-07,1.02036501640176e-07
"[20,25)",8.36953051763755e-07,5.87451891197733e-07,4.86869682905712e-07,9.58830965453781e-07,2.28056798483625e-06,2.11856856842153e-06,1.9721538129978e-06,1.88969932546752e-06,1.56858673971007e-06,1.14730936919111e-06,1.08294111041013e-06,1.44991497394448e-06,9.24364426703761e-07,4.2528096896016e-07,2.79882706508516e-07
"[25,30)",1.66355275995746e-06,1.07650090231589e-06,7.28019242692457e-07,1.04632275120458e-06,2.11856856842153e-06,1.53153652648986e-06,1.50457709968629e-06,1.46885134416778e-06,9.41522988104877e-07,1.00142949328435e-06,8.05502318616731e-07,6.6417398534032e-07,4.38282196677433e-07,3.78027527964586e-07,2.79353266712658e-07
"[30,35)",1.32935645491786e-06,1.41655030971901e-06,4.71767492726253e-07,1.20745688899647e-06,1.9721538129978e-06,1.50457709968629e-06,1.34986929847465e-06,1.25953671863081e-06,9.93844158899261e-07,1.05977152172652e-06,7.66341029373967e-07,8.73812260860448e-07,5.86275943057273e-07,3.22895624635128e-07,3.09437464666329e-07
"[35,40)",7.05532146126084e-07,1.15789027853921e-06,5.6938059505887e-07,1.07426060565399e-06,1.88969932546752e-06,1.46885134416778e-06,1.25953671863081e-06,1.36349053240974e-06,1.31935553940725e-06,1.1711262359343e-06,7.21078153081128e-07,1.050007924273e-06,6.11187635912571e-07,1.50684624829726e-07,4.05257314354501e-07
"[40,45)",7.16139507945258e-07,6.1049689799813e-07,5.21795784638283e-07,9.90674941734612e-07,1.56858673971007e-06,9.41522988104877e-07,9.9384415889926e-07,1.31935553940725e-06,1.00002263877937e-06,1.40358870833413e-06,8.64539661378066e-07,1.10476309809345e-06,1.39787192966086e-06,3.35055314586481e-07,7.58955791743827e-07
"[45,50)",2.75540148529184e-07,7.24325431847334e-07,6.85314470877008e-07,1.31270726182523e-06,1.14730936919111e-06,1.00142949328435e-06,1.05977152172652e-06,1.1711262359343e-06,1.40358870833413e-06,1.33278437533031e-06,1.03364811591931e-06,7.76599594861564e-07,1.7625935827333e-06,3.04595740533164e-07,4.58088236090766e-07
"[50,55)",3.27074440569483e-07,6.18552383404937e-07,2.6627709179341e-07,6.6296012479644e-07,1.08294111041013e-06,8.05502318616731e-07,7.66341029373967e-07,7.21078153081128e-07,8.64539661378066e-07,1.03364811591931e-06,7.41460514726232e-07,8.42413173781999e-07,1.22280153229581e-06,1.90359333154939e-07,8.66867867920394e-07
"[55,60)",5.04550669807518e-07,5.13240057951429e-07,3.03514953870875e-07,7.70221815307582e-07,1.44991497394448e-06,6.6417398534032e-07,8.73812260860448e-07,1.050007924273e-06,1.10476309809345e-06,7.76599594861564e-07,8.42413173781999e-07,9.60861395924932e-07,1.58895012185536e-06,1.90359333154939e-07,1.37454505098388e-06
"[60,65)",6.17074951027471e-07,4.1938379193748e-07,1.23607184389439e-07,5.15503578904067e-07,9.24364426703761e-07,4.38282196677433e-07,5.86275943057273e-07,6.11187635912571e-07,1.39787192966086e-06,1.7625935827333e-06,1.22280153229581e-06,1.58895012185536e-06,1.87814251480359e-06,3.5426041446894e-07,1.82033118926073e-06
"[65,70)",5.09266096628149e-07,2.54633048314075e-07,8.29781866942818e-08,3.31912746777127e-07,4.2528096896016e-07,3.78027527964586e-07,3.22895624635128e-07,1.50684624829726e-07,3.35055314586481e-07,3.04595740533164e-07,1.90359333154939e-07,1.90359333154939e-07,3.5426041446894e-07,0,5.99974629644232e-07
"70+",9.55915154435766e-07,8.35129521116514e-08,1.12815742326266e-07,1.02036501640176e-07,2.79882706508516e-07,2.79353266712658e-07,3.09437464666329e-07,4.05257314354501e-07,7.58955791743827e-07,4.58088236090766e-07,8.66867867920395e-07,1.37454505098388e-06,1.82033118926073e-06,5.99974629644232e-07,0
