"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",4.76959847668933e-06,5.22073765031463e-06,3.86846105077155e-06,1.86873774484647e-06,6.70214799159264e-07,1.41783317441984e-06,1.76184279474836e-06,1.88393443045731e-06,1.07157278837003e-06,5.15670153762519e-07,5.40463840887369e-07,5.20363676966592e-07,5.94301186903177e-07,6.92392052956851e-07,2.37988913394885e-07
"[5,10)",5.22073765031463e-06,1.60621282339853e-05,1.05309181234929e-05,4.1962750819341e-06,5.28820766837934e-07,6.92136970128981e-07,1.39511559509212e-06,1.95813607797751e-06,2.22181211675661e-06,1.22249942793041e-06,7.48802033100949e-07,6.56288036947158e-07,6.0867144937108e-07,9.53796806967686e-07,4.47256984708673e-07
"[10,15)",3.86846105077155e-06,1.05309181234929e-05,1.30925213361203e-05,4.75896548396662e-06,6.10148108512346e-07,7.13732849027294e-07,1.09614099732586e-06,1.42235410972925e-06,1.98583896917131e-06,2.08548426196916e-06,1.0286679575031e-06,5.30339661961604e-07,6.41440410166884e-07,6.49283985789737e-07,5.58015348126039e-07
"[15,20)",1.86873774484647e-06,4.1962750819341e-06,4.75896548396662e-06,5.84120652132087e-06,1.38191066960905e-06,9.00082823799218e-07,8.58458110252021e-07,9.86455696635791e-07,1.427233951305e-06,2.10462045995164e-06,1.46566495733632e-06,9.36262570670434e-07,6.07183489073114e-07,5.46449277740148e-07,4.58609294720767e-07
"[20,25)",6.70214799159264e-07,5.28820766837935e-07,6.10148108512346e-07,1.38191066960905e-06,3.0532141188386e-06,2.36309026964715e-06,1.32248030380478e-06,7.74189511359377e-07,1.14696005432712e-06,1.42675391092487e-06,1.47778001478904e-06,1.38719485176137e-06,1.00351817755478e-06,6.08813203955558e-07,4.86721596157255e-07
"[25,30)",1.41783317441984e-06,6.92136970128981e-07,7.13732849027294e-07,9.00082823799218e-07,2.36309026964715e-06,1.38038218661939e-06,1.5073573183143e-06,1.32514646352467e-06,1.09630933041695e-06,1.13048027418659e-06,1.22678598713312e-06,1.12466127036327e-06,1.12351628873602e-06,7.65755720169052e-07,5.4235408125337e-07
"[30,35)",1.76184279474836e-06,1.39511559509212e-06,1.09614099732586e-06,8.58458110252021e-07,1.32248030380478e-06,1.5073573183143e-06,1.48886217839615e-06,1.77902527020147e-06,1.43647519276794e-06,1.10526126775671e-06,1.22851933534841e-06,1.23601941933912e-06,1.14898064063982e-06,1.01402225899467e-06,6.02305534963356e-07
"[35,40)",1.88393443045731e-06,1.95813607797751e-06,1.42235410972925e-06,9.86455696635791e-07,7.74189511359376e-07,1.32514646352467e-06,1.77902527020147e-06,1.73762907507282e-06,1.95513299595914e-06,1.51447283942929e-06,1.00324211238485e-06,1.06739480878575e-06,1.09257418121799e-06,1.05551473487707e-06,6.65585138294385e-07
"[40,45)",1.07157278837003e-06,2.22181211675661e-06,1.98583896917131e-06,1.427233951305e-06,1.14696005432712e-06,1.09630933041695e-06,1.43647519276794e-06,1.95513299595914e-06,1.94748053363001e-06,1.96325172211655e-06,1.44520569669488e-06,1.03745397944415e-06,9.11428132567776e-07,1.15003966749232e-06,8.96991256699813e-07
"[45,50)",5.15670153762519e-07,1.22249942793041e-06,2.08548426196916e-06,2.10462045995164e-06,1.42675391092487e-06,1.13048027418659e-06,1.10526126775671e-06,1.51447283942929e-06,1.96325172211655e-06,2.15526959519868e-06,1.80968474331425e-06,1.27301164303737e-06,9.74969863177353e-07,8.00130510653976e-07,8.03452494479009e-07
"[50,55)",5.40463840887369e-07,7.48802033100949e-07,1.0286679575031e-06,1.46566495733632e-06,1.47778001478904e-06,1.22678598713312e-06,1.22851933534841e-06,1.00324211238485e-06,1.44520569669488e-06,1.80968474331426e-06,1.61708425263977e-06,1.57565102572919e-06,1.08592645714049e-06,6.47994894436987e-07,9.09006373957217e-07
"[55,60)",5.20363676966592e-07,6.56288036947158e-07,5.30339661961604e-07,9.36262570670434e-07,1.38719485176137e-06,1.12466127036327e-06,1.23601941933912e-06,1.06739480878575e-06,1.03745397944415e-06,1.27301164303737e-06,1.57565102572919e-06,1.2707913903951e-06,1.18842797903029e-06,8.59488664997984e-07,6.78526412840173e-07
"[60,65)",5.94301186903177e-07,6.0867144937108e-07,6.41440410166884e-07,6.07183489073113e-07,1.00351817755478e-06,1.12351628873602e-06,1.14898064063982e-06,1.09257418121799e-06,9.11428132567775e-07,9.74969863177353e-07,1.08592645714049e-06,1.18842797903029e-06,1.22388483380181e-06,1.63981535974229e-06,7.85321276685128e-07
"[65,70)",6.92392052956851e-07,9.53796806967686e-07,6.49283985789737e-07,5.46449277740148e-07,6.08813203955558e-07,7.65755720169052e-07,1.01402225899467e-06,1.05551473487707e-06,1.15003966749232e-06,8.00130510653976e-07,6.47994894436987e-07,8.59488664997984e-07,1.63981535974229e-06,1.80317191618067e-06,1.17421733725588e-06
"70+",2.37988913394885e-07,4.47256984708673e-07,5.58015348126039e-07,4.58609294720767e-07,4.86721596157255e-07,5.4235408125337e-07,6.02305534963356e-07,6.65585138294385e-07,8.96991256699813e-07,8.03452494479009e-07,9.09006373957217e-07,6.78526412840173e-07,7.85321276685128e-07,1.17421733725588e-06,1.41166632668102e-06
