"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",5.52031815058076e-06,1.95794152894587e-06,1.70738387214464e-06,1.06780976723649e-06,4.65789885548317e-07,1.29618150770273e-06,2.10244260044829e-06,1.23448909515415e-06,6.96655425989201e-07,5.44393096542816e-07,4.57125296366646e-07,4.35338444929234e-07,4.48962145197368e-07,2.79590829611384e-07,1.73317643578236e-07
"[5,10)",1.95794152894587e-06,4.05445950453614e-06,2.94326444773346e-06,1.13962477198681e-06,1.89008139178536e-07,5.53130985226157e-07,1.02219659544425e-06,1.1293878037304e-06,9.91517067049762e-07,1.05788945747813e-06,4.35724276560201e-07,4.36656887542575e-07,2.69758376908583e-07,3.04867387173015e-07,1.9170884930006e-07
"[10,15)",1.70738387214464e-06,2.94326444773346e-06,2.79197672983818e-06,1.65784526546448e-06,3.4284013306771e-07,4.5322590253529e-07,5.53113562573036e-07,7.02761612673525e-07,1.31358895148403e-06,1.38741275812171e-06,7.89401735975177e-07,5.58067232105619e-07,3.27289094741486e-07,3.20084785640344e-07,1.71734475771481e-07
"[15,20)",1.06780976723649e-06,1.13962477198681e-06,1.65784526546448e-06,2.47082969267175e-06,8.79881996899686e-07,7.12739779104116e-07,5.939751769914e-07,4.55189348614442e-07,1.09345853910164e-06,1.29062449771155e-06,1.07702618079868e-06,8.27367916038751e-07,5.84523623634492e-07,2.07505810783579e-07,2.44144792905622e-07
"[20,25)",4.65789885548317e-07,1.89008139178536e-07,3.4284013306771e-07,8.79881996899686e-07,1.83910694210525e-06,1.36762171604835e-06,7.73675802826388e-07,3.8043745992756e-07,5.97321926396364e-07,6.81205096238843e-07,8.90958628151295e-07,7.87943162598935e-07,5.38121424696231e-07,3.62096935529682e-07,3.37145085137248e-07
"[25,30)",1.29618150770273e-06,5.53130985226157e-07,4.5322590253529e-07,7.12739779104116e-07,1.36762171604835e-06,1.05617836435168e-06,1.05419768240457e-06,7.06319088933e-07,6.42887834194893e-07,7.28981654007852e-07,8.20942398997117e-07,7.0588895651566e-07,6.00079847713659e-07,3.54956410772525e-07,2.6912075392135e-07
"[30,35)",2.10244260044829e-06,1.02219659544425e-06,5.53113562573036e-07,5.939751769914e-07,7.73675802826387e-07,1.05419768240457e-06,1.27974847627531e-06,1.22139111907114e-06,8.28062317289291e-07,7.24275740599872e-07,6.56875756967893e-07,7.05348865828651e-07,5.79145179428352e-07,3.9166861753281e-07,2.00084028428631e-07
"[35,40)",1.23448909515414e-06,1.1293878037304e-06,7.02761612673525e-07,4.55189348614442e-07,3.8043745992756e-07,7.06319088933e-07,1.22139111907114e-06,8.0550912093272e-07,9.40936344398405e-07,7.78511372306268e-07,5.46483576613517e-07,5.7527705382562e-07,5.491124914052e-07,4.74044656473584e-07,2.15805090102895e-07
"[40,45)",6.96655425989201e-07,9.91517067049762e-07,1.31358895148403e-06,1.09345853910164e-06,5.97321926396364e-07,6.42887834194893e-07,8.28062317289291e-07,9.40936344398405e-07,9.40078818553565e-07,1.1936325428354e-06,8.51614389610064e-07,6.04626764447797e-07,5.97695847798304e-07,3.61432292242935e-07,3.94241614174903e-07
"[45,50)",5.44393096542816e-07,1.05788945747813e-06,1.38741275812171e-06,1.29062449771155e-06,6.81205096238843e-07,7.28981654007852e-07,7.24275740599872e-07,7.78511372306268e-07,1.1936325428354e-06,1.20458486601324e-06,1.09658313735972e-06,7.90761218500085e-07,5.70489244928166e-07,3.8717567230955e-07,3.42803710474354e-07
"[50,55)",4.57125296366646e-07,4.35724276560201e-07,7.89401735975178e-07,1.07702618079868e-06,8.90958628151295e-07,8.20942398997117e-07,6.56875756967893e-07,5.46483576613517e-07,8.51614389610064e-07,1.09658313735972e-06,1.14507341327239e-06,1.18228179104184e-06,7.47197635418333e-07,4.72335361851469e-07,4.64774430660924e-07
"[55,60)",4.35338444929234e-07,4.36656887542575e-07,5.58067232105619e-07,8.27367916038751e-07,7.87943162598935e-07,7.0588895651566e-07,7.05348865828651e-07,5.7527705382562e-07,6.04626764447797e-07,7.90761218500085e-07,1.18228179104184e-06,1.12823600307317e-06,1.0156097706691e-06,6.95280629539741e-07,3.81648370237457e-07
"[60,65)",4.48962145197368e-07,2.69758376908583e-07,3.27289094741486e-07,5.84523623634492e-07,5.38121424696231e-07,6.00079847713659e-07,5.79145179428352e-07,5.491124914052e-07,5.97695847798304e-07,5.70489244928166e-07,7.47197635418333e-07,1.0156097706691e-06,9.21582656991231e-07,9.43898121006973e-07,3.57290226036148e-07
"[65,70)",2.79590829611384e-07,3.04867387173015e-07,3.20084785640344e-07,2.07505810783579e-07,3.62096935529682e-07,3.54956410772525e-07,3.9166861753281e-07,4.74044656473584e-07,3.61432292242935e-07,3.8717567230955e-07,4.72335361851469e-07,6.95280629539741e-07,9.43898121006973e-07,1.02639015508223e-06,5.32128352373893e-07
"70+",1.73317643578236e-07,1.9170884930006e-07,1.71734475771481e-07,2.44144792905622e-07,3.37145085137248e-07,2.6912075392135e-07,2.00084028428631e-07,2.15805090102895e-07,3.94241614174903e-07,3.42803710474354e-07,4.64774430660924e-07,3.81648370237457e-07,3.57290226036148e-07,5.32128352373893e-07,1.18951124127292e-06
