"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",1.57936612246815e-05,1.6496306292127e-05,1.15761980625561e-05,6.25951343893238e-06,1.88682221135696e-06,4.75610131431117e-06,6.0906492476275e-06,5.15136359803289e-06,3.3757801721833e-06,2.43708320649489e-06,2.09694708683713e-06,1.9873024527754e-06,1.94160047813721e-06,1.30810644999427e-06,6.72577270607413e-07
"[5,10)",1.6496306292127e-05,3.28350209815727e-05,2.74420859117897e-05,1.3149604661259e-05,1.89342006631949e-06,2.65272477293248e-06,4.64696134811561e-06,5.53648846219348e-06,5.52433079777237e-06,3.70082807041586e-06,3.785558857252e-06,2.39183909727423e-06,2.24806044217288e-06,2.05837239031514e-06,1.26217159364501e-06
"[10,15)",1.15761980625561e-05,2.74420859117897e-05,2.54829545175332e-05,1.50819800053421e-05,2.12402138410266e-06,2.17813186715437e-06,3.52611330323629e-06,4.76706104432521e-06,6.85268531222796e-06,5.61453287114458e-06,3.58679919137543e-06,3.36169406424896e-06,2.90207245821548e-06,1.72889876953244e-06,1.49542254231528e-06
"[15,20)",6.25951343893238e-06,1.3149604661259e-05,1.50819800053421e-05,1.81822546268533e-05,4.58770592824319e-06,2.93757619480815e-06,2.77378358835001e-06,2.61227387552039e-06,6.01933999770452e-06,4.64848069739556e-06,4.19630827876061e-06,3.99382871046765e-06,2.65671565187289e-06,1.30964470856444e-06,9.50597041705893e-07
"[20,25)",1.88682221135696e-06,1.89342006631949e-06,2.12402138410266e-06,4.58770592824319e-06,6.32770870562493e-06,5.94774697169479e-06,3.91869031653872e-06,2.51620534806157e-06,2.53747238139111e-06,3.4355452250336e-06,3.61652176961056e-06,3.00996396507116e-06,2.14617028938002e-06,1.56844066012547e-06,1.219699814892e-06
"[25,30)",4.75610131431117e-06,2.65272477293248e-06,2.17813186715437e-06,2.93757619480815e-06,5.94774697169479e-06,4.61571568221119e-06,4.65932907854258e-06,3.73420051642615e-06,2.55947048370187e-06,3.00507608184525e-06,3.4774773833643e-06,2.69104929281901e-06,2.27013886295619e-06,1.74768281332119e-06,9.22606422782149e-07
"[30,35)",6.0906492476275e-06,4.64696134811561e-06,3.52611330323629e-06,2.77378358835001e-06,3.91869031653872e-06,4.65932907854258e-06,4.91950220585078e-06,5.46491512769304e-06,4.1447256747449e-06,2.73737393659696e-06,3.12678296282528e-06,3.41916332288292e-06,2.78657334024584e-06,2.17712627269992e-06,1.43138795722458e-06
"[35,40)",5.15136359803289e-06,5.53648846219347e-06,4.76706104432521e-06,2.61227387552039e-06,2.51620534806157e-06,3.73420051642615e-06,5.46491512769304e-06,4.73102407286165e-06,5.33776380255873e-06,4.16297854009767e-06,3.594426650206e-06,3.81555610879481e-06,3.82531090599444e-06,2.6233735152158e-06,1.67750869250648e-06
"[40,45)",3.3757801721833e-06,5.52433079777237e-06,6.85268531222796e-06,6.01933999770452e-06,2.53747238139111e-06,2.55947048370187e-06,4.1447256747449e-06,5.33776380255873e-06,6.16805186745499e-06,5.35928396405382e-06,4.67224248967977e-06,3.49101566565372e-06,3.64714245670814e-06,2.87038384104913e-06,2.19322661765472e-06
"[45,50)",2.43708320649489e-06,3.70082807041586e-06,5.61453287114458e-06,4.64848069739556e-06,3.4355452250336e-06,3.00507608184525e-06,2.73737393659695e-06,4.16297854009767e-06,5.35928396405382e-06,5.76059059185085e-06,5.7197678685886e-06,4.64437846682462e-06,3.45704345178806e-06,2.88736622189298e-06,1.97625075374245e-06
"[50,55)",2.09694708683713e-06,3.785558857252e-06,3.58679919137543e-06,4.19630827876061e-06,3.61652176961056e-06,3.4774773833643e-06,3.12678296282528e-06,3.594426650206e-06,4.67224248967977e-06,5.7197678685886e-06,4.99980880067734e-06,5.23390862906953e-06,4.27614929099067e-06,3.04549796383112e-06,2.37312741512348e-06
"[55,60)",1.9873024527754e-06,2.39183909727423e-06,3.36169406424896e-06,3.99382871046765e-06,3.00996396507116e-06,2.69104929281901e-06,3.41916332288292e-06,3.81555610879481e-06,3.49101566565372e-06,4.64437846682462e-06,5.23390862906953e-06,5.2014959833371e-06,5.31232211931758e-06,2.9975897065602e-06,1.85614892242622e-06
"[60,65)",1.94160047813721e-06,2.24806044217288e-06,2.90207245821548e-06,2.65671565187289e-06,2.14617028938002e-06,2.27013886295619e-06,2.78657334024584e-06,3.82531090599444e-06,3.64714245670814e-06,3.45704345178806e-06,4.27614929099067e-06,5.31232211931758e-06,4.37644246063186e-06,4.57722941950566e-06,2.05770779149195e-06
"[65,70)",1.30810644999427e-06,2.05837239031514e-06,1.72889876953244e-06,1.30964470856444e-06,1.56844066012547e-06,1.74768281332119e-06,2.17712627269992e-06,2.6233735152158e-06,2.87038384104913e-06,2.88736622189298e-06,3.04549796383112e-06,2.9975897065602e-06,4.57722941950566e-06,5.88682512959067e-06,3.72253175521309e-06
"70+",6.72577270607413e-07,1.26217159364501e-06,1.49542254231528e-06,9.50597041705893e-07,1.219699814892e-06,9.22606422782149e-07,1.43138795722458e-06,1.67750869250648e-06,2.19322661765472e-06,1.97625075374245e-06,2.37312741512348e-06,1.85614892242622e-06,2.05770779149195e-06,3.72253175521309e-06,4.62687458383157e-06
