"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",4.30386616189938e-06,3.08592470362324e-06,2.45058123721992e-06,1.27803828827984e-06,7.84713115927706e-07,1.29748345884974e-06,1.57026293237146e-06,1.13797014688898e-06,9.90968979612171e-07,4.30576909994773e-07,1.99921817470642e-07,3.2701068006809e-07,2.46699605765084e-07,1.98550413984971e-07,9.79243755826239e-08
"[5,10)",3.08592470362324e-06,8.73724095707275e-06,7.29707964083967e-06,2.51395405150988e-06,5.21046485935866e-07,7.01114008393719e-07,9.28472065383566e-07,1.48975582292976e-06,1.5743067432937e-06,1.01125163989153e-06,5.63691514047884e-07,3.85298658518971e-07,2.49848056402415e-07,2.21135063957111e-07,1.89308242813425e-07
"[10,15)",2.45058123721992e-06,7.29707964083967e-06,9.54540351804067e-06,3.36610864229506e-06,4.80137991571661e-07,4.50791794628115e-07,8.47645449595922e-07,1.18709561691357e-06,1.54657716993199e-06,1.2716575081606e-06,8.2617623307168e-07,4.77778844139237e-07,4.51142432122618e-07,1.62052630281654e-07,1.493514408223e-07
"[15,20)",1.27803828827984e-06,2.51395405150988e-06,3.36610864229506e-06,3.84797182656171e-06,8.4766762923486e-07,7.00140728633163e-07,5.76001693781598e-07,6.58367658379559e-07,1.12569924879008e-06,1.23268707347234e-06,9.42482290628995e-07,6.77771342897838e-07,3.72579360821299e-07,2.50230301216827e-07,2.08503076603406e-07
"[20,25)",7.84713115927706e-07,5.21046485935866e-07,4.80137991571661e-07,8.4766762923486e-07,1.44876830788583e-06,1.40578286931577e-06,9.04778598010866e-07,6.49858684366437e-07,6.45136977076354e-07,6.54607520781569e-07,7.28116510956344e-07,7.64324816468775e-07,4.37138685325881e-07,2.8883156529284e-07,3.0023508822835e-07
"[25,30)",1.29748345884974e-06,7.01114008393719e-07,4.50791794628115e-07,7.00140728633163e-07,1.40578286931577e-06,1.04968384778885e-06,1.05026037479123e-06,8.88509893382834e-07,7.70763818516715e-07,6.50739522627204e-07,7.84644728702521e-07,6.81247679193517e-07,5.07009767734793e-07,5.427280653312e-07,3.90019346170022e-07
"[30,35)",1.57026293237146e-06,9.28472065383566e-07,8.47645449595922e-07,5.76001693781598e-07,9.04778598010866e-07,1.05026037479123e-06,1.1542111126917e-06,1.06404014147017e-06,9.48664234697258e-07,6.67048744586171e-07,6.9430457680115e-07,7.01393735467379e-07,5.69030200846827e-07,4.94272186804577e-07,4.06013444119837e-07
"[35,40)",1.13797014688898e-06,1.48975582292976e-06,1.18709561691357e-06,6.58367658379559e-07,6.49858684366437e-07,8.88509893382834e-07,1.06404014147017e-06,1.20683251833908e-06,1.22195712361631e-06,8.28911034589755e-07,6.33315421145994e-07,6.51384483125603e-07,6.22079042933037e-07,5.44803826321308e-07,4.38569379992127e-07
"[40,45)",9.90968979612171e-07,1.5743067432937e-06,1.54657716993199e-06,1.12569924879008e-06,6.45136977076354e-07,7.70763818516715e-07,9.48664234697258e-07,1.22195712361631e-06,1.18318500340949e-06,1.07048106665417e-06,8.75148508448766e-07,6.75060570573236e-07,5.87712495309167e-07,5.66146259328802e-07,5.83267307161651e-07
"[45,50)",4.30576909994773e-07,1.01125163989153e-06,1.2716575081606e-06,1.23268707347234e-06,6.54607520781569e-07,6.50739522627205e-07,6.67048744586171e-07,8.28911034589755e-07,1.07048106665417e-06,9.86548123959965e-07,1.03852170603161e-06,7.57349751260716e-07,4.63862909800328e-07,3.57616887831755e-07,3.67083441929491e-07
"[50,55)",1.99921817470642e-07,5.63691514047884e-07,8.2617623307168e-07,9.42482290628995e-07,7.28116510956344e-07,7.84644728702521e-07,6.9430457680115e-07,6.33315421145994e-07,8.75148508448766e-07,1.03852170603161e-06,1.02118882762692e-06,9.82519767162897e-07,7.31947105976337e-07,4.03802633387502e-07,3.91092314430345e-07
"[55,60)",3.2701068006809e-07,3.85298658518971e-07,4.77778844139237e-07,6.77771342897838e-07,7.64324816468775e-07,6.81247679193517e-07,7.01393735467379e-07,6.51384483125603e-07,6.75060570573236e-07,7.57349751260716e-07,9.82519767162897e-07,9.52475731223802e-07,7.61955918485637e-07,5.54602417961383e-07,4.19659878488316e-07
"[60,65)",2.46699605765084e-07,2.49848056402415e-07,4.51142432122619e-07,3.72579360821299e-07,4.37138685325881e-07,5.07009767734794e-07,5.69030200846827e-07,6.22079042933037e-07,5.87712495309167e-07,4.63862909800328e-07,7.31947105976337e-07,7.61955918485637e-07,6.58804535005988e-07,8.27833663526059e-07,3.98071999136259e-07
"[65,70)",1.98550413984971e-07,2.21135063957111e-07,1.62052630281654e-07,2.50230301216827e-07,2.8883156529284e-07,5.427280653312e-07,4.94272186804577e-07,5.44803826321308e-07,5.66146259328802e-07,3.57616887831755e-07,4.03802633387502e-07,5.54602417961383e-07,8.27833663526059e-07,8.12408346753417e-07,5.4309424704101e-07
"70+",9.79243755826239e-08,1.89308242813425e-07,1.493514408223e-07,2.08503076603406e-07,3.0023508822835e-07,3.90019346170022e-07,4.06013444119837e-07,4.38569379992127e-07,5.83267307161651e-07,3.67083441929491e-07,3.91092314430345e-07,4.19659878488316e-07,3.98071999136259e-07,5.4309424704101e-07,1.111908128841e-06
