"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",6.42447569472772e-06,4.1506962375985e-06,1.25913787716332e-06,8.69812574384713e-07,8.14921409607249e-07,2.47375394850688e-06,3.24748372831634e-06,2.43428020656393e-06,1.10310696964891e-06,9.4414128807594e-07,9.72826721776408e-07,6.29066471892515e-07,1.36716467929201e-06,4.983324022287e-07,7.79021474916378e-07
"[5,10)",4.1506962375985e-06,1.67441033704186e-05,4.19828079312373e-06,1.00243836872994e-06,5.17780090957256e-07,1.19802351630698e-06,2.13463818414902e-06,2.78183693084322e-06,2.15431042579324e-06,1.26024612435572e-06,1.02261382783211e-06,5.67044776795186e-07,6.99609392973539e-07,7.58223532672863e-07,2.87756347880785e-07
"[10,15)",1.25913787716332e-06,4.19828079312373e-06,2.48668501453462e-05,4.22244239273483e-06,6.39912980034286e-07,5.2108705112629e-07,1.43995883250015e-06,2.35796154751966e-06,3.35437897976004e-06,2.13852569613977e-06,9.87515276746802e-07,5.04943294780096e-07,3.26254286774551e-07,5.03476068148018e-07,3.43873442537172e-07
"[15,20)",8.69812574384713e-07,1.00243836872994e-06,4.22244239273483e-06,1.43339903675209e-05,3.29505422221074e-06,1.2991003117641e-06,8.82236275625851e-07,1.35265164471382e-06,1.98343464895843e-06,2.57667746624993e-06,1.44720307549806e-06,7.68163384158134e-07,3.56547954266026e-07,2.66951778890566e-07,2.79518526138205e-07
"[20,25)",8.14921409607249e-07,5.17780090957256e-07,6.39912980034286e-07,3.29505422221074e-06,7.56792033948058e-06,4.43405985070392e-06,2.64970346948355e-06,1.90352285605836e-06,1.75853062066318e-06,2.15640980544352e-06,1.82107627509065e-06,7.91560078003174e-07,5.39617860793103e-07,5.92588689929725e-07,4.73551883598424e-07
"[25,30)",2.47375394850688e-06,1.19802351630698e-06,5.2108705112629e-07,1.2991003117641e-06,4.43405985070392e-06,6.13115312521062e-06,3.48000747195377e-06,3.57831833269792e-06,2.15680147031336e-06,1.89902114029901e-06,2.69109333970231e-06,1.61580900655462e-06,1.09310621114761e-06,6.64270971118545e-07,5.42066889007802e-07
"[30,35)",3.24748372831634e-06,2.13463818414902e-06,1.43995883250015e-06,8.82236275625851e-07,2.64970346948355e-06,3.48000747195377e-06,5.20384982976023e-06,4.32835046231767e-06,2.47638029168194e-06,2.9489214440363e-06,2.86192192882822e-06,2.43448776596554e-06,2.07472711338304e-06,7.81529344988114e-07,4.15952960678607e-07
"[35,40)",2.43428020656393e-06,2.78183693084322e-06,2.35796154751966e-06,1.35265164471382e-06,1.90352285605836e-06,3.57831833269792e-06,4.32835046231767e-06,5.8080567030539e-06,3.79807411482981e-06,2.82886777605707e-06,2.78727162990239e-06,1.72388674178651e-06,1.64327048068208e-06,8.66444439467415e-07,5.91767403954087e-07
"[40,45)",1.10310696964891e-06,2.15431042579324e-06,3.35437897976004e-06,1.98343464895843e-06,1.75853062066318e-06,2.15680147031336e-06,2.47638029168194e-06,3.79807411482981e-06,5.45964538683945e-06,3.99100456979095e-06,3.7270102407001e-06,2.09896433421791e-06,1.09877162623334e-06,9.26060013635277e-07,7.99039174252305e-07
"[45,50)",9.4414128807594e-07,1.26024612435572e-06,2.13852569613977e-06,2.57667746624993e-06,2.15640980544352e-06,1.89902114029901e-06,2.9489214440363e-06,2.82886777605707e-06,3.99100456979095e-06,3.3870327859298e-06,3.41864547814081e-06,1.80452346911292e-06,1.36873032265483e-06,5.69027130770072e-07,3.77430236078085e-07
"[50,55)",9.72826721776408e-07,1.02261382783211e-06,9.87515276746802e-07,1.44720307549806e-06,1.82107627509065e-06,2.69109333970231e-06,2.86192192882822e-06,2.78727162990239e-06,3.7270102407001e-06,3.41864547814081e-06,3.92039026059974e-06,3.4625901095362e-06,1.8285061589979e-06,8.47714796507426e-07,8.67293601694183e-07
"[55,60)",6.29066471892515e-07,5.67044776795186e-07,5.04943294780096e-07,7.68163384158134e-07,7.91560078003174e-07,1.61580900655462e-06,2.43448776596554e-06,1.72388674178651e-06,2.09896433421791e-06,1.80452346911292e-06,3.4625901095362e-06,2.90387470582397e-06,1.91725334041915e-06,1.07373573408416e-06,5.37863928700725e-07
"[60,65)",1.36716467929201e-06,6.99609392973539e-07,3.26254286774551e-07,3.56547954266026e-07,5.39617860793103e-07,1.09310621114761e-06,2.07472711338304e-06,1.64327048068208e-06,1.09877162623334e-06,1.36873032265483e-06,1.8285061589979e-06,1.91725334041915e-06,4.49014050611928e-06,1.97789972217708e-06,1.23013093006686e-06
"[65,70)",4.983324022287e-07,7.58223532672863e-07,5.03476068148018e-07,2.66951778890566e-07,5.92588689929725e-07,6.64270971118545e-07,7.81529344988114e-07,8.66444439467415e-07,9.26060013635277e-07,5.69027130770072e-07,8.47714796507426e-07,1.07373573408416e-06,1.97789972217708e-06,3.08599917398264e-06,2.07360602837217e-06
"70+",7.79021474916378e-07,2.87756347880785e-07,3.43873442537172e-07,2.79518526138205e-07,4.73551883598424e-07,5.42066889007802e-07,4.15952960678607e-07,5.91767403954087e-07,7.99039174252305e-07,3.77430236078085e-07,8.67293601694184e-07,5.37863928700725e-07,1.23013093006686e-06,2.07360602837217e-06,2.1222801815188e-06
