"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",1.92541690014141e-07,2.05290532743028e-07,2.34134906187961e-07,1.12861644102823e-07,1.04583789950224e-07,6.66566040479721e-08,1.07122906155753e-07,8.18160802340555e-08,5.70274764353199e-08,3.80603870740586e-08,3.8607894318809e-08,3.28212193631449e-08,1.94358309041663e-08,2.50121536979936e-08,6.51798367683274e-09
"[5,10)",2.05290532743028e-07,4.13020732445001e-07,4.96603666607469e-07,1.93610497639211e-07,3.25224181908934e-08,3.05005073980622e-08,8.91784528352075e-08,1.0162894434134e-07,9.48711432782713e-08,8.08220274525643e-08,3.44573768756169e-08,5.34361367311084e-08,2.7034619629709e-08,1.98383607403533e-08,1.44601639470135e-08
"[10,15)",2.34134906187961e-07,4.9660366660747e-07,5.3134957781748e-07,3.28713047968083e-07,5.27819259251619e-08,4.07626677460825e-08,6.27037284799592e-08,8.14131487285093e-08,9.90593247251516e-08,9.76797725271332e-08,6.66638427229061e-08,6.92256327433289e-08,3.16321882796613e-08,2.3801096682298e-08,1.28974267084014e-08
"[15,20)",1.12861644102823e-07,1.93610497639211e-07,3.28713047968083e-07,4.21487613431574e-07,8.10350319779876e-08,5.69389832852626e-08,4.12031916743378e-08,3.61119067301788e-08,7.02557870708215e-08,9.76213322410076e-08,9.26736537643235e-08,8.2910377808171e-08,3.97370282959682e-08,2.45394499668394e-08,1.3952419307816e-08
"[20,25)",1.04583789950224e-07,3.25224181908934e-08,5.27819259251619e-08,8.10350319779876e-08,8.02452721664196e-08,8.04010032831332e-08,5.22771601289656e-08,3.35659033021235e-08,4.18499280768784e-08,5.147868767938e-08,6.93289708065288e-08,6.00587378655358e-08,2.94896382951022e-08,1.8954648822067e-08,1.54520430532128e-08
"[25,30)",6.66566040479721e-08,3.05005073980622e-08,4.07626677460825e-08,5.69389832852626e-08,8.04010032831332e-08,6.48198446800593e-08,7.59166387851885e-08,5.91286744397199e-08,4.07195232936352e-08,4.92996270175029e-08,6.51271581072764e-08,4.54961652056813e-08,4.17197465571163e-08,2.63410747259669e-08,1.67389208316116e-08
"[30,35)",1.07122906155753e-07,8.91784528352075e-08,6.27037284799592e-08,4.12031916743378e-08,5.22771601289656e-08,7.59166387851885e-08,8.73737729645718e-08,8.39159401643284e-08,5.71701349672099e-08,3.97737664454471e-08,4.70568835646222e-08,4.6496961069454e-08,3.85124579909839e-08,3.09150071244105e-08,2.37944511498831e-08
"[35,40)",8.18160802340555e-08,1.0162894434134e-07,8.14131487285093e-08,3.61119067301788e-08,3.35659033021235e-08,5.91286744397199e-08,8.39159401643284e-08,7.31693971859404e-08,7.95586744648958e-08,5.78412454268041e-08,4.32161772266189e-08,4.76426781038074e-08,4.00904144497122e-08,3.62259611929425e-08,3.05055383600051e-08
"[40,45)",5.70274764353199e-08,9.48711432782714e-08,9.90593247251516e-08,7.02557870708215e-08,4.18499280768784e-08,4.07195232936352e-08,5.71701349672099e-08,7.95586744648958e-08,7.42849421102803e-08,8.528788799413e-08,6.3605245127681e-08,4.14448946441169e-08,3.91878381964827e-08,2.50115520744121e-08,2.27756355701014e-08
"[45,50)",3.80603870740586e-08,8.08220274525643e-08,9.76797725271332e-08,9.76213322410076e-08,5.147868767938e-08,4.92996270175029e-08,3.97737664454471e-08,5.78412454268041e-08,8.528788799413e-08,9.04102540534854e-08,8.48457604715571e-08,6.29972624645815e-08,3.42938370120912e-08,2.39565546489815e-08,2.7619306294051e-08
"[50,55)",3.8607894318809e-08,3.44573768756169e-08,6.66638427229061e-08,9.26736537643235e-08,6.93289708065288e-08,6.51271581072764e-08,4.70568835646222e-08,4.32161772266189e-08,6.3605245127681e-08,8.48457604715571e-08,8.68773143900823e-08,8.12002052545607e-08,5.3961936780202e-08,3.55144249460699e-08,3.25666159013231e-08
"[55,60)",3.28212193631449e-08,5.34361367311084e-08,6.92256327433289e-08,8.2910377808171e-08,6.00587378655358e-08,4.54961652056813e-08,4.6496961069454e-08,4.76426781038074e-08,4.14448946441169e-08,6.29972624645815e-08,8.12002052545607e-08,7.58906416151283e-08,7.23873832077419e-08,4.56245129076466e-08,3.12946656790095e-08
"[60,65)",1.94358309041663e-08,2.7034619629709e-08,3.16321882796613e-08,3.97370282959682e-08,2.94896382951022e-08,4.17197465571163e-08,3.85124579909839e-08,4.00904144497122e-08,3.91878381964827e-08,3.42938370120912e-08,5.3961936780202e-08,7.23873832077419e-08,6.06980124112101e-08,7.68230979157638e-08,3.54256010881319e-08
"[65,70)",2.50121536979936e-08,1.98383607403533e-08,2.3801096682298e-08,2.45394499668394e-08,1.8954648822067e-08,2.6341074725967e-08,3.09150071244105e-08,3.62259611929425e-08,2.50115520744121e-08,2.39565546489815e-08,3.55144249460699e-08,4.56245129076466e-08,7.68230979157638e-08,8.90405119003985e-08,5.4371172340708e-08
"70+",6.51798367683274e-09,1.44601639470135e-08,1.28974267084014e-08,1.3952419307816e-08,1.54520430532128e-08,1.67389208316116e-08,2.37944511498831e-08,3.05055383600051e-08,2.27756355701014e-08,2.7619306294051e-08,3.25666159013231e-08,3.12946656790095e-08,3.54256010881319e-08,5.4371172340708e-08,8.46013917518371e-08
