"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",9.84156690048819e-07,4.86825866331362e-07,1.69164504535514e-07,1.27674957343757e-07,1.12780803738034e-07,2.77418962483812e-07,4.15505988537331e-07,3.60060403391553e-07,2.61040715573043e-07,1.04552798119708e-07,1.72174330081873e-07,1.61274494590453e-07,1.48219301012016e-07,7.43158849033246e-08,5.22126906261894e-08
"[5,10)",4.86825866331362e-07,1.85278929024578e-06,5.5701220312799e-07,1.46145731535083e-07,1.03557433792595e-07,1.33468845691059e-07,2.79736892970326e-07,4.13410580484533e-07,4.82403442107816e-07,1.94104192328177e-07,1.21978613927598e-07,1.42725784428233e-07,1.76808835265611e-07,1.25785935030397e-07,6.31119464212185e-08
"[10,15)",1.69164504535514e-07,5.5701220312799e-07,3.53925856352103e-06,5.63543711596777e-07,1.27338619574438e-07,1.36605565058131e-07,1.31266378670482e-07,3.45265729326698e-07,5.24458255744855e-07,3.27781357573784e-07,1.92873700981894e-07,7.30398367389754e-08,1.09868103614137e-07,1.10340510410321e-07,8.42231748958668e-08
"[15,20)",1.27674957343757e-07,1.46145731535083e-07,5.63543711596776e-07,3.51839967489785e-06,6.91950305050959e-07,2.16693371618525e-07,1.66218119304039e-07,1.94864062236032e-07,3.35623626721808e-07,4.69097991732014e-07,2.72395751831652e-07,1.46734740368396e-07,1.38195622396224e-07,7.20556998339931e-08,9.45003187372044e-08
"[20,25)",1.12780803738034e-07,1.03557433792595e-07,1.27338619574438e-07,6.91950305050959e-07,1.83405494029991e-06,6.09382902686855e-07,4.08663611981099e-07,2.3229999908009e-07,3.86135553211563e-07,3.81966671636142e-07,3.97823872686327e-07,2.90955921451167e-07,1.50088429192852e-07,8.0329424384696e-08,1.10608503656314e-07
"[25,30)",2.77418962483812e-07,1.3346884569106e-07,1.36605565058131e-07,2.16693371618525e-07,6.09382902686855e-07,1.01411152550272e-06,6.80973513937761e-07,4.30127758775023e-07,4.06531517350295e-07,3.70630315987847e-07,4.12840828290651e-07,4.1174305844368e-07,2.38674441238545e-07,1.2779819940606e-07,9.60109202520351e-08
"[30,35)",4.15505988537331e-07,2.79736892970326e-07,1.31266378670482e-07,1.66218119304039e-07,4.08663611981099e-07,6.80973513937761e-07,7.45009157591455e-07,6.30956750021219e-07,5.82067811566631e-07,4.58074801413495e-07,4.57272780977225e-07,5.28804548253047e-07,3.54906911556886e-07,2.15041323770563e-07,1.51675343551177e-07
"[35,40)",3.60060403391553e-07,4.13410580484533e-07,3.45265729326698e-07,1.94864062236032e-07,2.3229999908009e-07,4.30127758775023e-07,6.30956750021219e-07,7.73841432626385e-07,5.53990737810228e-07,5.3548728414549e-07,3.09027530408494e-07,3.54741014010674e-07,3.33027001979875e-07,2.44547798630009e-07,1.96669705569176e-07
"[40,45)",2.61040715573043e-07,4.82403442107816e-07,5.24458255744855e-07,3.35623626721808e-07,3.86135553211563e-07,4.06531517350295e-07,5.82067811566631e-07,5.53990737810228e-07,6.99593879198807e-07,6.15946242859302e-07,5.24807062639624e-07,4.21117679962403e-07,3.27637090621092e-07,2.61347985228572e-07,2.09501778436274e-07
"[45,50)",1.04552798119708e-07,1.94104192328177e-07,3.27781357573784e-07,4.69097991732014e-07,3.81966671636142e-07,3.70630315987847e-07,4.58074801413495e-07,5.3548728414549e-07,6.15946242859302e-07,7.23357318125006e-07,6.90889847990153e-07,5.02513375863113e-07,2.86852336325253e-07,1.92700329899875e-07,1.96087171555585e-07
"[50,55)",1.72174330081873e-07,1.21978613927598e-07,1.92873700981894e-07,2.72395751831652e-07,3.97823872686327e-07,4.12840828290651e-07,4.57272780977225e-07,3.09027530408494e-07,5.24807062639624e-07,6.90889847990153e-07,7.2558534313365e-07,6.43640991140817e-07,3.89459233336275e-07,2.15922813574606e-07,2.46283379188173e-07
"[55,60)",1.61274494590453e-07,1.42725784428233e-07,7.30398367389754e-08,1.46734740368396e-07,2.90955921451167e-07,4.1174305844368e-07,5.28804548253047e-07,3.54741014010674e-07,4.21117679962403e-07,5.02513375863113e-07,6.43640991140817e-07,7.44074334173573e-07,4.9119584259476e-07,2.16495389544317e-07,1.89354704532622e-07
"[60,65)",1.48219301012016e-07,1.76808835265611e-07,1.09868103614137e-07,1.38195622396224e-07,1.50088429192852e-07,2.38674441238545e-07,3.54906911556886e-07,3.33027001979875e-07,3.27637090621092e-07,2.86852336325253e-07,3.89459233336275e-07,4.9119584259476e-07,6.99491653685894e-07,4.90003691338292e-07,2.92898202440165e-07
"[65,70)",7.43158849033246e-08,1.25785935030397e-07,1.10340510410321e-07,7.20556998339931e-08,8.0329424384696e-08,1.2779819940606e-07,2.15041323770563e-07,2.44547798630009e-07,2.61347985228572e-07,1.92700329899875e-07,2.15922813574606e-07,2.16495389544317e-07,4.90003691338292e-07,6.24217350976814e-07,3.02319201842679e-07
"70+",5.22126906261894e-08,6.31119464212185e-08,8.42231748958667e-08,9.45003187372044e-08,1.10608503656314e-07,9.60109202520351e-08,1.51675343551177e-07,1.96669705569176e-07,2.09501778436274e-07,1.96087171555585e-07,2.46283379188174e-07,1.89354704532622e-07,2.92898202440164e-07,3.02319201842679e-07,4.3116535259012e-07
