"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",4.95055850731939e-07,1.41684258997649e-07,5.40197271272659e-08,6.17978648194213e-08,8.28292992874214e-08,1.09081065706671e-07,1.86993443671011e-07,9.14485403668809e-08,5.92233366797746e-08,4.52554751035281e-08,6.37449325718466e-08,4.16208063577929e-08,3.80398656012115e-08,2.23285281583466e-08,3.6100957325864e-08
"[5,10)",1.41684258997649e-07,5.88000978545478e-07,1.21374900973804e-07,6.58696229884507e-08,2.7201129851477e-08,7.09884291021861e-08,9.49585675076731e-08,1.2541306786226e-07,7.9077657795608e-08,3.66357235468926e-08,4.764950412246e-08,4.02214771399667e-08,3.68813454807376e-08,3.37209874560781e-08,2.88238824837987e-08
"[10,15)",5.40197271272659e-08,1.21374900973804e-07,8.58250217186347e-07,1.83703439213682e-07,3.8242787317805e-08,4.90425911432665e-08,5.03267583759406e-08,1.28826256997297e-07,1.51975266723977e-07,7.29797673437877e-08,5.11698904793125e-08,2.38206581207762e-08,2.91126926296776e-08,3.73473535972691e-08,1.75110687983229e-08
"[15,20)",6.17978648194213e-08,6.58696229884507e-08,1.83703439213682e-07,8.94620208300732e-07,2.23203927899178e-07,6.37967156379154e-08,4.13237058475069e-08,9.22247952674037e-08,1.68802354922602e-07,1.95778656023242e-07,6.46371264849398e-08,5.35282145883366e-08,2.41213361909432e-08,3.163871218401e-08,1.80395688590171e-08
"[20,25)",8.28292992874214e-08,2.7201129851477e-08,3.8242787317805e-08,2.23203927899178e-07,5.30322502417569e-07,2.56065606504149e-07,8.71512631023786e-08,5.50562433023901e-08,9.15631598409243e-08,9.64633867802007e-08,8.49457083605178e-08,6.47006283933703e-08,2.97345879181439e-08,2.33289841834512e-08,1.62392694000276e-08
"[25,30)",1.09081065706671e-07,7.09884291021861e-08,4.90425911432665e-08,6.37967156379154e-08,2.56065606504149e-07,3.72183141316035e-07,2.21421932747816e-07,9.1630581385157e-08,8.85866222931716e-08,1.30853751883831e-07,1.21861272635166e-07,1.16696679619681e-07,9.03799822847651e-08,3.90338963908851e-08,3.25781423131743e-08
"[30,35)",1.86993443671011e-07,9.49585675076731e-08,5.03267583759406e-08,4.13237058475069e-08,8.71512631023786e-08,2.21421932747816e-07,2.91484905938553e-07,1.59968601572061e-07,1.23132776972523e-07,8.59587938992667e-08,1.12471813406021e-07,9.96556321007342e-08,6.95520439958831e-08,4.90914129994995e-08,4.46061597502394e-08
"[35,40)",9.14485403668809e-08,1.2541306786226e-07,1.28826256997297e-07,9.22247952674037e-08,5.50562433023901e-08,9.1630581385157e-08,1.59968601572061e-07,2.19599712010671e-07,1.43362229843472e-07,1.01241778531336e-07,7.67324778827656e-08,6.75589432771145e-08,6.61156171690494e-08,6.15556374959857e-08,3.88520496617467e-08
"[40,45)",5.92233366797746e-08,7.9077657795608e-08,1.51975266723977e-07,1.68802354922602e-07,9.15631598409243e-08,8.85866222931716e-08,1.23132776972523e-07,1.43362229843472e-07,1.76417765792606e-07,1.52251681383152e-07,9.2785667726184e-08,6.40506838624479e-08,7.00604312649023e-08,6.35878604680311e-08,4.20438912950106e-08
"[45,50)",4.52554751035281e-08,3.66357235468926e-08,7.29797673437877e-08,1.95778656023242e-07,9.64633867802007e-08,1.30853751883831e-07,8.59587938992667e-08,1.01241778531336e-07,1.52251681383152e-07,2.06752809460069e-07,1.57933663224212e-07,9.81925256971676e-08,6.53365306085303e-08,4.88906245369198e-08,2.84566217365103e-08
"[50,55)",6.37449325718466e-08,4.764950412246e-08,5.11698904793125e-08,6.46371264849399e-08,8.49457083605178e-08,1.21861272635166e-07,1.12471813406021e-07,7.67324778827656e-08,9.2785667726184e-08,1.57933663224212e-07,2.20427511017418e-07,1.54097185661874e-07,8.17283776467598e-08,5.33368716648668e-08,4.48784459834522e-08
"[55,60)",4.16208063577929e-08,4.02214771399667e-08,2.38206581207762e-08,5.35282145883366e-08,6.47006283933703e-08,1.16696679619681e-07,9.96556321007342e-08,6.75589432771145e-08,6.40506838624479e-08,9.81925256971676e-08,1.54097185661874e-07,2.39966285113106e-07,1.33928382769011e-07,6.96396893831309e-08,3.93521769981842e-08
"[60,65)",3.80398656012115e-08,3.68813454807376e-08,2.91126926296776e-08,2.41213361909432e-08,2.97345879181439e-08,9.03799822847651e-08,6.95520439958831e-08,6.61156171690494e-08,7.00604312649023e-08,6.53365306085303e-08,8.17283776467598e-08,1.33928382769011e-07,1.88279401231717e-07,1.25875178959485e-07,5.94530817873115e-08
"[65,70)",2.23285281583466e-08,3.37209874560781e-08,3.73473535972691e-08,3.163871218401e-08,2.33289841834512e-08,3.90338963908851e-08,4.90914129994995e-08,6.15556374959857e-08,6.35878604680311e-08,4.88906245369198e-08,5.33368716648668e-08,6.96396893831309e-08,1.25875178959485e-07,1.76659812647279e-07,8.78204274843522e-08
"70+",3.6100957325864e-08,2.88238824837987e-08,1.75110687983229e-08,1.80395688590171e-08,1.62392694000276e-08,3.25781423131743e-08,4.46061597502394e-08,3.88520496617467e-08,4.20438912950106e-08,2.84566217365103e-08,4.48784459834522e-08,3.93521769981842e-08,5.94530817873115e-08,8.78204274843522e-08,1.13120891966989e-07
