"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",7.9535133513828e-07,8.05522820471395e-07,1.0911479565255e-06,4.10202555621514e-07,1.57860676359636e-07,3.40661199751716e-07,4.04612703574576e-07,6.06090443685974e-07,4.30220270991478e-07,2.04163204736267e-07,1.73727668181968e-07,1.42967950070871e-07,1.11655274491383e-07,1.72314730561415e-07,5.78145395341231e-08
"[5,10)",8.05522820471395e-07,2.07208144553009e-06,2.09890767955904e-06,5.90437333661593e-07,1.07477614589976e-07,1.36359536049631e-07,2.38056901561249e-07,4.57515227844979e-07,6.06952712214884e-07,4.13702347250077e-07,3.52916430782026e-07,1.68495112275397e-07,1.1593842902374e-07,9.90102047161394e-08,1.44635788989468e-07
"[10,15)",1.0911479565255e-06,2.09890767955904e-06,3.10145308618879e-06,1.19556319478499e-06,1.7410224225381e-07,1.73206311398266e-07,1.82500917834228e-07,4.15600750582098e-07,5.79076450045811e-07,5.19196628375816e-07,4.67675681981825e-07,2.62894464997055e-07,1.47824024589893e-07,7.77699616397217e-08,1.05196018693441e-07
"[15,20)",4.10202555621514e-07,5.90437333661593e-07,1.19556319478499e-06,9.47574957625311e-07,4.69094561184826e-07,3.28091558225887e-07,1.90507321085545e-07,1.74599258585315e-07,4.41805623957933e-07,4.3868804363396e-07,5.24252414126609e-07,3.75870473730725e-07,2.06563653074752e-07,1.40747316417596e-07,1.12040355454509e-07
"[20,25)",1.57860676359636e-07,1.07477614589976e-07,1.7410224225381e-07,4.69094561184826e-07,7.79868069942234e-07,6.72693398147033e-07,2.71533973517657e-07,1.89712313376784e-07,2.5334433116884e-07,2.59021636435838e-07,5.07355683934602e-07,4.59180829402001e-07,2.64310366073103e-07,1.71128322997314e-07,7.76851520880236e-08
"[25,30)",3.40661199751716e-07,1.36359536049631e-07,1.73206311398266e-07,3.28091558225887e-07,6.72693398147033e-07,5.1196215145929e-07,4.23059933115603e-07,3.14153202777242e-07,2.2391851715071e-07,3.13134761726531e-07,3.2417371647695e-07,3.21496850554372e-07,2.8587755515025e-07,2.37498846293736e-07,1.41373036451744e-07
"[30,35)",4.04612703574577e-07,2.38056901561249e-07,1.82500917834228e-07,1.90507321085545e-07,2.71533973517657e-07,4.23059933115603e-07,3.60084586272559e-07,4.12523553131491e-07,3.23899433082671e-07,1.96981729876446e-07,2.1389518180348e-07,2.32665546628618e-07,2.26373083650022e-07,2.89837511937373e-07,1.63781812901032e-07
"[35,40)",6.06090443685974e-07,4.57515227844979e-07,4.15600750582098e-07,1.74599258585315e-07,1.89712313376784e-07,3.14153202777242e-07,4.12523553131491e-07,4.5211281088494e-07,4.41932781343219e-07,3.20296315003296e-07,2.16278672174034e-07,2.29089196375067e-07,2.34884719940782e-07,2.49996836774866e-07,2.01605195354443e-07
"[40,45)",4.30220270991479e-07,6.06952712214884e-07,5.79076450045811e-07,4.41805623957933e-07,2.5334433116884e-07,2.2391851715071e-07,3.23899433082671e-07,4.41932781343219e-07,4.88890057739845e-07,4.2815236997761e-07,3.16052586341178e-07,2.47855556076728e-07,2.25119203837905e-07,2.69951296548092e-07,2.35467376851884e-07
"[45,50)",2.04163204736267e-07,4.13702347250077e-07,5.19196628375816e-07,4.3868804363396e-07,2.59021636435838e-07,3.13134761726531e-07,1.96981729876446e-07,3.20296315003296e-07,4.2815236997761e-07,3.9372630952452e-07,4.1984238797016e-07,3.50618526510886e-07,2.21055482707619e-07,1.87950625047236e-07,1.68645216293887e-07
"[50,55)",1.73727668181968e-07,3.52916430782026e-07,4.67675681981825e-07,5.24252414126609e-07,5.07355683934602e-07,3.2417371647695e-07,2.1389518180348e-07,2.16278672174034e-07,3.16052586341178e-07,4.1984238797016e-07,5.49618598307507e-07,4.5789973024735e-07,3.24757925172349e-07,1.80881039580129e-07,1.74943509460018e-07
"[55,60)",1.42967950070871e-07,1.68495112275397e-07,2.62894464997055e-07,3.75870473730725e-07,4.59180829402001e-07,3.21496850554372e-07,2.32665546628618e-07,2.29089196375067e-07,2.47855556076728e-07,3.50618526510886e-07,4.57899730247351e-07,4.28364245155217e-07,4.38806669403218e-07,3.08377975569007e-07,1.90993425870798e-07
"[60,65)",1.11655274491383e-07,1.1593842902374e-07,1.47824024589893e-07,2.06563653074752e-07,2.64310366073103e-07,2.8587755515025e-07,2.26373083650022e-07,2.34884719940782e-07,2.25119203837905e-07,2.21055482707619e-07,3.2475792517235e-07,4.38806669403218e-07,5.08597675379228e-07,5.14810951704136e-07,2.48439547824387e-07
"[65,70)",1.72314730561415e-07,9.90102047161394e-08,7.77699616397217e-08,1.40747316417596e-07,1.71128322997314e-07,2.37498846293736e-07,2.89837511937373e-07,2.49996836774866e-07,2.69951296548092e-07,1.87950625047236e-07,1.80881039580129e-07,3.08377975569007e-07,5.14810951704136e-07,4.09819191344699e-07,2.46423393610727e-07
"70+",5.78145395341231e-08,1.44635788989468e-07,1.05196018693441e-07,1.12040355454509e-07,7.76851520880236e-08,1.41373036451744e-07,1.63781812901032e-07,2.01605195354443e-07,2.35467376851884e-07,1.68645216293887e-07,1.74943509460018e-07,1.90993425870798e-07,2.48439547824387e-07,2.46423393610727e-07,2.73400744573112e-07
