"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",5.87223254327504e-06,1.01104391178443e-06,2.81854431634751e-07,2.12840656608089e-07,4.66990338175744e-07,1.33617530134694e-06,1.26226776419622e-06,1.26911707295432e-06,9.06317038607869e-07,5.51516280892784e-07,2.61585168365323e-07,3.48775633481187e-07,1.30239207474868e-06,3.82593294225296e-07,3.68897400876916e-07
"[5,10)",1.01104391178443e-06,1.27541757443718e-05,1.85977953658759e-06,5.42692308147564e-07,4.10739325104672e-07,4.06035331363558e-07,7.0853681873551e-07,1.66220864431146e-06,8.65538340981046e-07,1.08168857391807e-06,3.50888712826519e-07,3.32157069333226e-07,3.58561714167428e-07,3.23499222149135e-07,2.88268529523236e-07
"[10,15)",2.81854431634751e-07,1.85977953658759e-06,1.89910651437849e-05,2.2137162812977e-06,1.04011301756928e-06,5.76836394261122e-07,2.86296985956167e-07,1.04307764000705e-06,1.75656556158985e-06,1.49386055731604e-06,7.62822473439915e-07,4.4428186167086e-07,2.41091026430479e-07,1.15217127534025e-07,3.72140219836039e-07
"[15,20)",2.12840656608089e-07,5.42692308147564e-07,2.2137162812977e-06,4.45955637964035e-06,2.06411666592291e-06,7.5987922451531e-07,4.80296841834307e-07,9.42933599419306e-07,5.40879810952589e-07,7.64731621428174e-07,7.36507646740127e-07,5.31798369130792e-07,1.57509250440499e-07,1.52716196283629e-07,1.87383452661066e-07
"[20,25)",4.66990338175744e-07,4.10739325104672e-07,1.04011301756928e-06,2.06411666592291e-06,1.97387482472881e-06,1.12455139013091e-06,1.10504910276181e-06,5.25801709143644e-07,7.28876491350194e-07,1.08998214995851e-06,7.83541089259837e-07,6.0220689587588e-07,6.63546049127694e-07,1.58237043536583e-07,3.64606618558743e-07
"[25,30)",1.33617530134694e-06,4.06035331363558e-07,5.76836394261122e-07,7.5987922451531e-07,1.12455139013091e-06,2.20555881560185e-06,1.6011210691771e-06,1.02703971108764e-06,1.08171571224811e-06,1.34027467832102e-06,8.39118967071115e-07,1.2247264472073e-06,8.0670316954427e-07,4.92525593328001e-07,3.74115332897799e-07
"[30,35)",1.26226776419622e-06,7.0853681873551e-07,2.86296985956167e-07,4.80296841834307e-07,1.10504910276181e-06,1.6011210691771e-06,2.02374376292274e-06,1.265070811683e-06,1.1382463805195e-06,1.1117085927617e-06,7.99134843937951e-07,7.98315186354629e-07,1.18170730172995e-06,6.05487880269763e-07,6.28864363482461e-07
"[35,40)",1.26911707295432e-06,1.66220864431146e-06,1.04307764000705e-06,9.42933599419306e-07,5.25801709143644e-07,1.02703971108764e-06,1.265070811683e-06,2.43030038047573e-06,1.51986876455752e-06,1.33996202186516e-06,8.64050039729752e-07,8.18197860788974e-07,1.23651703227311e-06,1.18823992147294e-06,7.09099237775931e-07
"[40,45)",9.06317038607869e-07,8.65538340981046e-07,1.75656556158985e-06,5.40879810952589e-07,7.28876491350194e-07,1.08171571224811e-06,1.1382463805195e-06,1.51986876455752e-06,1.61134581290208e-06,1.63372494365137e-06,9.02685516661541e-07,6.81260273143341e-07,9.91705898304559e-07,6.03289959276439e-07,7.12555575182839e-07
"[45,50)",5.51516280892784e-07,1.08168857391807e-06,1.49386055731604e-06,7.64731621428174e-07,1.08998214995851e-06,1.34027467832102e-06,1.1117085927617e-06,1.33996202186516e-06,1.63372494365137e-06,2.02382402138138e-06,1.61947664427968e-06,1.31249626619877e-06,1.20612651436705e-06,3.85714985599793e-07,9.09815728881821e-07
"[50,55)",2.61585168365323e-07,3.50888712826519e-07,7.62822473439915e-07,7.36507646740127e-07,7.83541089259837e-07,8.39118967071115e-07,7.99134843937951e-07,8.64050039729752e-07,9.02685516661541e-07,1.61947664427968e-06,1.61148208204438e-06,1.62423156726715e-06,1.25179849985191e-06,4.9800344521932e-07,3.68705697856334e-07
"[55,60)",3.48775633481187e-07,3.32157069333226e-07,4.4428186167086e-07,5.31798369130792e-07,6.0220689587588e-07,1.2247264472073e-06,7.98315186354629e-07,8.18197860788974e-07,6.81260273143341e-07,1.31249626619877e-06,1.62423156726715e-06,1.37617399250762e-06,1.3595126489054e-06,9.42216120886318e-07,5.29386413658295e-07
"[60,65)",1.30239207474868e-06,3.58561714167428e-07,2.41091026430479e-07,1.57509250440499e-07,6.63546049127694e-07,8.0670316954427e-07,1.18170730172995e-06,1.23651703227311e-06,9.91705898304559e-07,1.20612651436705e-06,1.25179849985191e-06,1.3595126489054e-06,2.96509591476155e-06,1.66535359894732e-06,1.34990854336629e-06
"[65,70)",3.82593294225296e-07,3.23499222149135e-07,1.15217127534025e-07,1.52716196283629e-07,1.58237043536583e-07,4.92525593328001e-07,6.05487880269763e-07,1.18823992147294e-06,6.03289959276439e-07,3.85714985599793e-07,4.9800344521932e-07,9.42216120886318e-07,1.66535359894732e-06,2.00273285986985e-06,1.69320487173067e-06
"70+",3.68897400876916e-07,2.88268529523236e-07,3.72140219836039e-07,1.87383452661066e-07,3.64606618558743e-07,3.74115332897799e-07,6.28864363482461e-07,7.09099237775931e-07,7.12555575182839e-07,9.09815728881821e-07,3.68705697856334e-07,5.29386413658295e-07,1.34990854336629e-06,1.69320487173067e-06,2.87170316300231e-06
