"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",1.05192058220582e-06,9.62022308396717e-07,1.03399136386679e-06,5.60529901126382e-07,3.3032860603034e-07,6.21243425732749e-07,9.21282918367526e-07,6.72148895215732e-07,3.8561113605955e-07,3.27568475696761e-07,2.02906593202617e-07,1.44066166965256e-07,1.59848414029322e-07,2.08482110822228e-07,7.98799411762456e-08
"[5,10)",9.62022308396717e-07,3.89018374677516e-06,2.21761222056395e-06,9.90735443224019e-07,1.94129966014552e-07,3.8081778303164e-07,4.56648465866998e-07,5.29570563900171e-07,7.06740828605226e-07,6.90477394622719e-07,3.21747387155354e-07,2.29241689044168e-07,1.94124616448652e-07,2.0236421988294e-07,1.21706399233304e-07
"[10,15)",1.03399136386679e-06,2.21761222056395e-06,1.88268292197832e-06,1.33094638188519e-06,2.27331973082923e-07,2.43524279165783e-07,3.11140352047621e-07,4.52618840940441e-07,5.97716595717555e-07,6.7511249279511e-07,3.40783079140428e-07,2.26147336806912e-07,2.04753386554382e-07,2.07286613146228e-07,1.1490746891249e-07
"[15,20)",5.60529901126382e-07,9.90735443224019e-07,1.33094638188519e-06,1.87495311875192e-06,3.56888817064328e-07,4.85611030550869e-07,3.07216954336287e-07,2.83565811158298e-07,4.71029181890004e-07,6.11419469539851e-07,5.03288129307713e-07,4.05466918721515e-07,1.66184045389618e-07,1.71201301484287e-07,1.08028208566446e-07
"[20,25)",3.3032860603034e-07,1.94129966014552e-07,2.27331973082923e-07,3.56888817064328e-07,5.37917953460234e-07,5.42398157352134e-07,2.69034761452843e-07,1.95573408913437e-07,2.38364897949557e-07,3.80588147461914e-07,3.2851695313649e-07,2.56017981356677e-07,1.64790232071155e-07,1.65850542234256e-07,1.24508139409303e-07
"[25,30)",6.21243425732749e-07,3.8081778303164e-07,2.43524279165783e-07,4.85611030550869e-07,5.42398157352134e-07,7.77449076264555e-07,5.61327354029408e-07,3.99680930241915e-07,3.11564593257311e-07,4.9461739621399e-07,5.36893364693294e-07,3.52644671508774e-07,3.22167778966121e-07,2.47904471379514e-07,1.80606158447782e-07
"[30,35)",9.21282918367526e-07,4.56648465866998e-07,3.11140352047621e-07,3.07216954336287e-07,2.69034761452843e-07,5.61327354029408e-07,4.60317675358798e-07,4.99306930652082e-07,3.36368538433224e-07,3.50614990482314e-07,3.52516740367227e-07,3.27903790096568e-07,2.8340789176506e-07,2.73372452664612e-07,1.71655021800721e-07
"[35,40)",6.72148895215732e-07,5.29570563900171e-07,4.52618840940441e-07,2.83565811158298e-07,1.95573408913437e-07,3.99680930241915e-07,4.99306930652082e-07,4.88653512335089e-07,5.51527232691816e-07,4.13071221313845e-07,3.38290532003132e-07,2.92888892075356e-07,2.70677541550383e-07,2.38030973338886e-07,1.6478128231477e-07
"[40,45)",3.8561113605955e-07,7.06740828605226e-07,5.97716595717555e-07,4.71029181890004e-07,2.38364897949557e-07,3.11564593257311e-07,3.36368538433224e-07,5.51527232691816e-07,4.99916705710589e-07,5.49543276158035e-07,4.62541541999457e-07,2.90304447104015e-07,2.72498499835141e-07,2.67679233872309e-07,2.66133717685677e-07
"[45,50)",3.27568475696761e-07,6.90477394622718e-07,6.75112492795111e-07,6.11419469539851e-07,3.80588147461914e-07,4.9461739621399e-07,3.50614990482314e-07,4.13071221313845e-07,5.49543276158035e-07,6.62232252753695e-07,6.1397183576217e-07,4.29974708538314e-07,2.25380049149595e-07,2.87524609306198e-07,2.67843545051233e-07
"[50,55)",2.02906593202617e-07,3.21747387155354e-07,3.40783079140428e-07,5.03288129307713e-07,3.2851695313649e-07,5.36893364693294e-07,3.52516740367227e-07,3.38290532003132e-07,4.62541541999457e-07,6.1397183576217e-07,6.78387575746061e-07,5.29036205119054e-07,3.32837048637775e-07,2.77343917463056e-07,2.5357240148313e-07
"[55,60)",1.44066166965255e-07,2.29241689044168e-07,2.26147336806912e-07,4.05466918721515e-07,2.56017981356677e-07,3.52644671508774e-07,3.27903790096568e-07,2.92888892075356e-07,2.90304447104015e-07,4.29974708538314e-07,5.29036205119054e-07,4.01444807596345e-07,3.75582011681822e-07,3.00291406637621e-07,1.89518710461226e-07
"[60,65)",1.59848414029322e-07,1.94124616448652e-07,2.04753386554382e-07,1.66184045389618e-07,1.64790232071155e-07,3.22167778966121e-07,2.8340789176506e-07,2.70677541550383e-07,2.72498499835141e-07,2.25380049149595e-07,3.32837048637775e-07,3.75582011681822e-07,3.69055545849402e-07,4.62477510018544e-07,2.19168843061616e-07
"[65,70)",2.08482110822228e-07,2.0236421988294e-07,2.07286613146228e-07,1.71201301484287e-07,1.65850542234256e-07,2.47904471379514e-07,2.73372452664612e-07,2.38030973338886e-07,2.67679233872309e-07,2.87524609306198e-07,2.77343917463056e-07,3.00291406637621e-07,4.62477510018544e-07,6.95938072611506e-07,4.09325048294637e-07
"70+",7.98799411762456e-08,1.21706399233303e-07,1.1490746891249e-07,1.08028208566446e-07,1.24508139409303e-07,1.80606158447782e-07,1.71655021800721e-07,1.6478128231477e-07,2.66133717685677e-07,2.67843545051233e-07,2.5357240148313e-07,1.89518710461226e-07,2.19168843061616e-07,4.09325048294637e-07,6.30649916073285e-07
