"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",3.45995107239664e-07,2.12634435642659e-07,1.49982223635886e-07,1.17952459594845e-07,4.23846349456873e-08,6.33101791086761e-08,1.18647157100523e-07,9.26574066398906e-08,7.41682505958902e-08,4.5747794908857e-08,2.68130917980481e-08,4.25274829793226e-08,2.35701256609372e-08,2.81607341091902e-08,1.4100232460724e-08
"[5,10)",2.12634435642659e-07,3.85603000183491e-07,2.58765162738947e-07,1.39083794849516e-07,3.93654364175328e-08,3.72399598197537e-08,9.59932961413159e-08,9.82773818119428e-08,6.88842145837374e-08,8.06892463139319e-08,3.65262745729778e-08,4.63228027372464e-08,2.96674766194458e-08,2.34517522825599e-08,2.30023049502807e-08
"[10,15)",1.49982223635886e-07,2.58765162738947e-07,3.94442790026445e-07,2.04421069095642e-07,4.59332483929997e-08,4.45509286639976e-08,4.52327685511132e-08,5.67815801475448e-08,7.15716031379953e-08,1.09902261328849e-07,7.72048106898315e-08,6.24589862288751e-08,3.54369325456441e-08,2.51476208344818e-08,1.62789311067744e-08
"[15,20)",1.17952459594845e-07,1.39083794849516e-07,2.04421069095642e-07,2.69736319247148e-07,8.87946084680871e-08,6.20539129315488e-08,3.62078817594054e-08,2.57162140613327e-08,4.36806866349528e-08,7.2918757622638e-08,8.35592099668187e-08,1.00912530632637e-07,4.77812578463693e-08,2.84030158679625e-08,2.08767319189833e-08
"[20,25)",4.23846349456873e-08,3.93654364175328e-08,4.59332483929997e-08,8.87946084680871e-08,1.63944690905034e-07,9.97433739282926e-08,6.04483375110762e-08,3.16706652708399e-08,2.44074835220137e-08,4.25808787045751e-08,5.82097045987704e-08,8.39318210540614e-08,6.55521854432671e-08,4.90373713405432e-08,2.71042202297632e-08
"[25,30)",6.33101791086761e-08,3.72399598197537e-08,4.45509286639976e-08,6.20539129315488e-08,9.97433739282926e-08,8.13272321636509e-08,7.95490046707069e-08,5.13619567218886e-08,2.92187456258179e-08,4.58462874435714e-08,6.31479554872904e-08,6.933830454776e-08,7.95326427597164e-08,6.66376695492846e-08,2.28056048797193e-08
"[30,35)",1.18647157100523e-07,9.59932961413159e-08,4.52327685511132e-08,3.62078817594054e-08,6.04483375110762e-08,7.95490046707069e-08,7.45416752971134e-08,7.05626802546234e-08,4.52297961818237e-08,3.68033269490132e-08,4.74861373404801e-08,5.75505329182885e-08,5.96680454365443e-08,6.72917034536779e-08,3.11728044468014e-08
"[35,40)",9.26574066398906e-08,9.82773818119428e-08,5.67815801475448e-08,2.57162140613327e-08,3.16706652708399e-08,5.13619567218886e-08,7.05626802546234e-08,6.79009186444272e-08,6.69197975156485e-08,4.79669168788687e-08,4.14482633053453e-08,5.0107932658988e-08,4.41820058737172e-08,5.63213189024978e-08,3.65267971239876e-08
"[40,45)",7.41682505958902e-08,6.88842145837374e-08,7.15716031379953e-08,4.36806866349528e-08,2.44074835220137e-08,2.92187456258179e-08,4.52297961818237e-08,6.69197975156485e-08,6.5559109055049e-08,6.53686077427809e-08,5.59780313626639e-08,3.40620374096633e-08,3.56264117468781e-08,4.32423540522028e-08,4.22326179417566e-08
"[45,50)",4.5747794908857e-08,8.06892463139319e-08,1.0990226132885e-07,7.2918757622638e-08,4.25808787045751e-08,4.58462874435714e-08,3.68033269490131e-08,4.79669168788687e-08,6.53686077427809e-08,7.20397365766636e-08,7.12723192918693e-08,5.81526690698518e-08,3.28924208111283e-08,3.59168798572874e-08,4.17705885256293e-08
"[50,55)",2.68130917980481e-08,3.65262745729778e-08,7.72048106898314e-08,8.35592099668187e-08,5.82097045987704e-08,6.31479554872904e-08,4.74861373404801e-08,4.14482633053453e-08,5.59780313626639e-08,7.12723192918693e-08,7.93193216862917e-08,8.12195767281202e-08,5.36893163245542e-08,3.57853423959348e-08,4.30672227064956e-08
"[55,60)",4.25274829793226e-08,4.63228027372464e-08,6.24589862288751e-08,1.00912530632637e-07,8.39318210540614e-08,6.933830454776e-08,5.75505329182885e-08,5.0107932658988e-08,3.40620374096633e-08,5.81526690698518e-08,8.12195767281203e-08,7.38808401518869e-08,7.00683631723591e-08,4.46276300047907e-08,2.81261558461456e-08
"[60,65)",2.35701256609372e-08,2.96674766194458e-08,3.54369325456441e-08,4.77812578463693e-08,6.55521854432671e-08,7.95326427597164e-08,5.96680454365443e-08,4.41820058737172e-08,3.56264117468781e-08,3.28924208111283e-08,5.36893163245542e-08,7.0068363172359e-08,5.86316508972872e-08,8.34157068075065e-08,2.70190810384963e-08
"[65,70)",2.81607341091902e-08,2.34517522825599e-08,2.51476208344818e-08,2.84030158679625e-08,4.90373713405432e-08,6.66376695492846e-08,6.72917034536779e-08,5.63213189024978e-08,4.32423540522028e-08,3.59168798572874e-08,3.57853423959348e-08,4.46276300047907e-08,8.34157068075065e-08,1.1242195962294e-07,5.18335213617334e-08
"70+",1.4100232460724e-08,2.30023049502807e-08,1.62789311067744e-08,2.08767319189833e-08,2.71042202297632e-08,2.28056048797193e-08,3.11728044468014e-08,3.65267971239876e-08,4.22326179417566e-08,4.17705885256293e-08,4.30672227064956e-08,2.81261558461456e-08,2.70190810384963e-08,5.18335213617334e-08,6.75398258813663e-08
