"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",1.276219485995e-06,4.1580574413149e-07,1.05820027516326e-07,6.50741850964254e-08,2.03250682187982e-07,9.79132810270963e-08,2.71940167003354e-07,3.04319109952326e-07,2.35461447113633e-07,2.97712257941618e-07,1.002711260512e-07,1.62970362296941e-07,1.51239790004593e-07,1.17147623183447e-07,8.78143826179267e-08
"[5,10)",4.1580574413149e-07,3.40172846489872e-06,5.94136739466192e-07,8.68460722197509e-08,9.33642339226895e-08,1.15872135726026e-07,2.31230753547335e-07,3.09065832133949e-07,3.8712481094577e-07,2.5245906005768e-07,2.56569216484158e-07,2.86699139010406e-07,1.19077281996736e-07,1.40019520806455e-07,7.83537008210469e-08
"[10,15)",1.05820027516326e-07,5.94136739466192e-07,5.26066607480269e-06,5.13511580413587e-07,1.72272960359582e-07,1.14153974808598e-07,1.19603936884394e-07,1.66272099743876e-07,3.54697327554489e-07,2.58941283202479e-07,6.84007786564266e-07,2.59446304103725e-07,2.08567662858023e-07,1.03649734722866e-07,6.85626163106342e-08
"[15,20)",6.50741850964254e-08,8.68460722197509e-08,5.13511580413587e-07,5.80798900627813e-06,4.68735851770648e-07,2.71657118286809e-07,1.25027201715456e-07,1.88476914149521e-07,3.10470408963982e-07,5.18009205426072e-07,5.83616581849346e-07,1.49197507270262e-07,1.30113824328227e-07,5.02105322212224e-08,8.48781729731247e-08
"[20,25)",2.03250682187982e-07,9.33642339226895e-08,1.72272960359582e-07,4.68735851770648e-07,1.56347491778702e-06,9.0401219382775e-07,3.05741910960058e-07,2.23501865148627e-07,2.93090092225037e-07,3.06915201540566e-07,3.03958678832668e-07,2.53122816428303e-07,2.0444439983649e-07,6.60167940825234e-08,8.22394810795928e-08
"[25,30)",9.79132810270964e-08,1.15872135726026e-07,1.14153974808598e-07,2.71657118286809e-07,9.0401219382775e-07,8.7003073071783e-07,5.30834344746643e-07,3.66206157417505e-07,2.88519529301893e-07,2.51505788819805e-07,2.88911737022557e-07,2.93247326297551e-07,2.42158311992721e-07,1.18474398413982e-07,1.41756712303391e-07
"[30,35)",2.71940167003354e-07,2.31230753547335e-07,1.19603936884394e-07,1.25027201715457e-07,3.05741910960058e-07,5.30834344746643e-07,5.52752573072728e-07,4.73107399155052e-07,3.77949759083404e-07,2.96710243165469e-07,2.69275414652113e-07,2.40920349129017e-07,3.07450198310531e-07,2.03343610332856e-07,5.90835026893603e-08
"[35,40)",3.04319109952326e-07,3.09065832133949e-07,1.66272099743876e-07,1.88476914149521e-07,2.23501865148627e-07,3.66206157417505e-07,4.73107399155052e-07,6.32089554239938e-07,5.4827316480983e-07,3.69530154464302e-07,2.93111313609042e-07,2.46662497121103e-07,2.70831015921031e-07,2.20582306563703e-07,9.05192454730694e-08
"[40,45)",2.35461447113633e-07,3.8712481094577e-07,3.54697327554489e-07,3.10470408963982e-07,2.93090092225037e-07,2.88519529301893e-07,3.77949759083404e-07,5.4827316480983e-07,6.60428181751132e-07,4.21126208732407e-07,4.67813772636544e-07,2.66117941377803e-07,2.92530016630315e-07,1.6240972558415e-07,1.51175539779223e-07
"[45,50)",2.97712257941618e-07,2.5245906005768e-07,2.58941283202479e-07,5.18009205426072e-07,3.06915201540566e-07,2.51505788819805e-07,2.96710243165469e-07,3.69530154464302e-07,4.21126208732407e-07,3.77454174213099e-07,3.9516806633734e-07,3.23471471618878e-07,2.46467246917176e-07,1.54731481598862e-07,1.51527918384863e-07
"[50,55)",1.002711260512e-07,2.56569216484158e-07,6.84007786564266e-07,5.83616581849346e-07,3.03958678832668e-07,2.88911737022557e-07,2.69275414652113e-07,2.93111313609042e-07,4.67813772636544e-07,3.9516806633734e-07,4.3430955670881e-07,4.10148789202937e-07,2.98283721782131e-07,1.41591262616912e-07,1.40500113678222e-07
"[55,60)",1.62970362296941e-07,2.86699139010406e-07,2.59446304103725e-07,1.49197507270262e-07,2.53122816428303e-07,2.93247326297551e-07,2.40920349129017e-07,2.46662497121103e-07,2.66117941377803e-07,3.23471471618878e-07,4.10148789202936e-07,4.67569754776088e-07,4.00108456236477e-07,2.06102649864732e-07,1.94450679887964e-07
"[60,65)",1.51239790004593e-07,1.19077281996736e-07,2.08567662858023e-07,1.30113824328227e-07,2.0444439983649e-07,2.42158311992721e-07,3.07450198310531e-07,2.70831015921031e-07,2.92530016630315e-07,2.46467246917176e-07,2.98283721782131e-07,4.00108456236477e-07,3.02880554884786e-07,4.15150730197182e-07,2.04054740476974e-07
"[65,70)",1.17147623183447e-07,1.40019520806455e-07,1.03649734722866e-07,5.02105322212224e-08,6.60167940825234e-08,1.18474398413982e-07,2.03343610332856e-07,2.20582306563703e-07,1.6240972558415e-07,1.54731481598862e-07,1.41591262616912e-07,2.06102649864732e-07,4.15150730197182e-07,3.69845462422114e-07,2.35746201618605e-07
"70+",8.78143826179267e-08,7.83537008210469e-08,6.85626163106342e-08,8.48781729731247e-08,8.22394810795929e-08,1.41756712303391e-07,5.90835026893603e-08,9.05192454730694e-08,1.51175539779223e-07,1.51527918384863e-07,1.40500113678222e-07,1.94450679887964e-07,2.04054740476974e-07,2.35746201618605e-07,1.39824026928038e-07
