"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",6.78948877116768e-06,4.39525934016608e-06,2.61935728104066e-06,1.38141345254929e-06,1.07758883548375e-06,1.92453771518492e-06,3.57773959343224e-06,2.43072601432404e-06,1.42646951929114e-06,1.02655319656611e-06,6.53200352476227e-07,9.65213725429493e-07,7.74870388660258e-07,7.27406601813159e-07,4.20675537628598e-07
"[5,10)",4.39525934016608e-06,5.73701831491639e-06,3.9012044232903e-06,1.44764063017023e-06,7.38103008169308e-07,1.14369568910351e-06,2.51978399996527e-06,3.20935347516884e-06,2.43964964689538e-06,1.96365454502399e-06,1.02502971179258e-06,1.02448589619652e-06,7.27266762351411e-07,9.42378145460214e-07,5.68303488453707e-07
"[10,15)",2.61935728104066e-06,3.9012044232903e-06,2.71251181917449e-06,1.9088274775557e-06,8.2438369978823e-07,8.86329236251064e-07,1.23298897617907e-06,2.64867419878987e-06,2.83729490389348e-06,2.54634234872903e-06,1.21424405493041e-06,1.1419312266998e-06,5.74383025988732e-07,8.16421962647113e-07,5.45625796784419e-07
"[15,20)",1.38141345254929e-06,1.44764063017023e-06,1.9088274775557e-06,1.75299329549652e-06,1.07948876822601e-06,1.2159015982449e-06,1.23265780448796e-06,1.18521957490987e-06,2.17127000083862e-06,2.46320112535568e-06,1.49612445164358e-06,1.22062570122874e-06,6.78159482173736e-07,5.29699844588645e-07,4.27413255068513e-07
"[20,25)",1.07758883548375e-06,7.38103008169308e-07,8.2438369978823e-07,1.07948876822601e-06,1.98157486325407e-06,2.40299562783535e-06,1.68213305072264e-06,1.08612279078362e-06,1.29326026410172e-06,1.5210210977204e-06,1.37438480612541e-06,1.31503566665415e-06,1.06048345488541e-06,7.64482132786822e-07,5.67605620320977e-07
"[25,30)",1.92453771518492e-06,1.14369568910351e-06,8.86329236251064e-07,1.2159015982449e-06,2.40299562783535e-06,2.518715761149e-06,2.35097235671155e-06,1.76966957323378e-06,1.42764560054188e-06,1.49674958403985e-06,1.54518344216624e-06,1.55427382548177e-06,1.22402250387541e-06,8.74911108905498e-07,6.69453665830574e-07
"[30,35)",3.57773959343224e-06,2.51978399996527e-06,1.23298897617907e-06,1.23265780448796e-06,1.68213305072264e-06,2.35097235671155e-06,2.36051858018041e-06,2.4682341949373e-06,1.91471023170581e-06,1.4603810028809e-06,1.54376423867871e-06,1.62604663339719e-06,1.32663514356034e-06,9.68532921281298e-07,6.48294757778025e-07
"[35,40)",2.43072601432404e-06,3.20935347516884e-06,2.64867419878987e-06,1.18521957490987e-06,1.08612279078362e-06,1.76966957323378e-06,2.4682341949373e-06,2.82217123848475e-06,2.42451799619619e-06,2.12588031172361e-06,1.34389581684623e-06,1.39132391516953e-06,1.23819344636775e-06,1.16607128767821e-06,6.7115809399715e-07
"[40,45)",1.42646951929114e-06,2.43964964689538e-06,2.83729490389348e-06,2.17127000083862e-06,1.29326026410172e-06,1.42764560054188e-06,1.91471023170581e-06,2.42451799619619e-06,2.3414952076341e-06,2.58982491417377e-06,1.92754848968481e-06,1.45976863764275e-06,1.44265318104991e-06,1.3248079047753e-06,1.02372055261261e-06
"[45,50)",1.02655319656611e-06,1.96365454502399e-06,2.54634234872903e-06,2.46320112535568e-06,1.5210210977204e-06,1.49674958403985e-06,1.4603810028809e-06,2.12588031172361e-06,2.58982491417377e-06,2.56056124782715e-06,2.36126053138568e-06,1.94064282226068e-06,1.41118194048321e-06,1.02760980517876e-06,8.71411493774291e-07
"[50,55)",6.53200352476227e-07,1.02502971179258e-06,1.21424405493041e-06,1.49612445164358e-06,1.37438480612541e-06,1.54518344216624e-06,1.54376423867871e-06,1.34389581684623e-06,1.92754848968481e-06,2.36126053138568e-06,2.26193365161034e-06,2.32147921761898e-06,1.7300403838468e-06,1.17526014209317e-06,9.80377721354732e-07
"[55,60)",9.65213725429493e-07,1.02448589619652e-06,1.1419312266998e-06,1.22062570122874e-06,1.31503566665415e-06,1.55427382548177e-06,1.62604663339719e-06,1.39132391516953e-06,1.45976863764275e-06,1.94064282226068e-06,2.32147921761898e-06,2.33646421768414e-06,2.2169963281365e-06,1.3945156058444e-06,7.66321203975252e-07
"[60,65)",7.74870388660258e-07,7.27266762351411e-07,5.74383025988732e-07,6.78159482173736e-07,1.06048345488541e-06,1.22402250387541e-06,1.32663514356034e-06,1.23819344636775e-06,1.44265318104991e-06,1.41118194048321e-06,1.7300403838468e-06,2.2169963281365e-06,2.03182460790987e-06,2.16132980740449e-06,8.07119438513538e-07
"[65,70)",7.27406601813159e-07,9.42378145460214e-07,8.16421962647113e-07,5.29699844588645e-07,7.64482132786822e-07,8.74911108905498e-07,9.68532921281298e-07,1.16607128767821e-06,1.3248079047753e-06,1.02760980517876e-06,1.17526014209317e-06,1.3945156058444e-06,2.16132980740449e-06,2.57812770277884e-06,1.337585856999e-06
"70+",4.20675537628598e-07,5.68303488453707e-07,5.45625796784419e-07,4.27413255068513e-07,5.67605620320977e-07,6.69453665830574e-07,6.48294757778025e-07,6.7115809399715e-07,1.02372055261261e-06,8.71411493774291e-07,9.80377721354732e-07,7.66321203975252e-07,8.07119438513538e-07,1.337585856999e-06,2.02102018111594e-06
