"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",8.36464796251646e-05,3.35280351382204e-05,1.1646741841171e-05,6.85716078247951e-06,8.21610131904858e-06,2.72705402386537e-05,4.69720732978573e-05,3.15789293407662e-05,2.40182977151754e-05,1.62952921169645e-05,9.8592524442366e-06,1.35010858306747e-05,1.94056247651265e-05,9.77279082132168e-06,4.28598813304597e-06
"[5,10)",3.35280351382204e-05,0.000291969829988696,5.73743904749691e-05,1.30050660040936e-05,8.25402102656668e-06,3.32403253544286e-05,5.02945215830457e-05,4.32982761252707e-05,3.75146647453607e-05,1.24236686231411e-05,2.09943914495098e-05,1.45721324233042e-05,1.13941025159768e-05,5.72434536656911e-06,6.92711064895187e-06
"[10,15)",1.1646741841171e-05,5.73743904749691e-05,0.00039971685758709,7.48260940168633e-05,1.45962015123203e-05,2.39291849539804e-05,3.42974744658044e-05,2.59257441311131e-05,4.86261947034163e-05,2.62913729351835e-05,1.59948560429997e-05,8.3516146834483e-06,6.77257758191644e-06,7.23090499176552e-06,5.60987147326371e-06
"[15,20)",6.85716078247951e-06,1.30050660040936e-05,7.48260940168633e-05,0.000441917366373232,9.61644904580537e-05,4.31806466312814e-05,2.3242828361466e-05,1.9946012174255e-05,4.15523700887075e-05,5.28390453788987e-05,2.09932201647634e-05,3.10902790775866e-05,7.84674572066692e-06,4.46967047502372e-06,5.23663333747425e-06
"[20,25)",8.21610131904858e-06,8.25402102656668e-06,1.45962015123203e-05,9.61644904580537e-05,0.000137329898030139,7.48749884881073e-05,3.99714183365291e-05,3.06579768036274e-05,2.88439823904356e-05,4.81243959004648e-05,3.91821479741138e-05,2.26086971537407e-05,1.60051555310957e-05,1.3714256616435e-05,6.15174411578806e-06
"[25,30)",2.72705402386537e-05,3.32403253544286e-05,2.39291849539804e-05,4.31806466312814e-05,7.48749884881073e-05,0.000106255847054027,7.87409280282863e-05,4.46835171036233e-05,4.33012037864958e-05,3.80593650991707e-05,4.84972898772035e-05,4.16556837152371e-05,2.90828204510181e-05,1.84990997239339e-05,1.28349614458459e-05
"[30,35)",4.69720732978573e-05,5.02945215830457e-05,3.42974744658044e-05,2.3242828361466e-05,3.99714183365291e-05,7.87409280282863e-05,0.000103952273799435,6.53899811592165e-05,6.78417404980136e-05,4.59433810861531e-05,4.36622416142486e-05,3.37957281452001e-05,2.8031318050669e-05,2.53052500255435e-05,1.23597760630721e-05
"[35,40)",3.15789293407662e-05,4.32982761252707e-05,2.59257441311131e-05,1.9946012174255e-05,3.06579768036274e-05,4.46835171036233e-05,6.53899811592165e-05,6.73202447078097e-05,6.78657511824213e-05,4.90368791447623e-05,3.65725565292697e-05,2.77337656360696e-05,3.08949759346659e-05,2.84780912414004e-05,8.05658051164857e-06
"[40,45)",2.40182977151754e-05,3.75146647453607e-05,4.86261947034163e-05,4.15523700887075e-05,2.88439823904356e-05,4.33012037864958e-05,6.78417404980136e-05,6.78657511824213e-05,9.15233734103856e-05,5.33545505668249e-05,4.56836918649523e-05,2.57378863170301e-05,2.61273718316773e-05,3.06124042657007e-05,1.44536365190895e-05
"[45,50)",1.62952921169645e-05,1.24236686231411e-05,2.62913729351835e-05,5.28390453788987e-05,4.81243959004648e-05,3.80593650991707e-05,4.59433810861531e-05,4.90368791447623e-05,5.33545505668249e-05,6.82467116042414e-05,6.18529459730202e-05,3.0616121007903e-05,2.21413292204003e-05,1.86387715448863e-05,1.55011830623169e-05
"[50,55)",9.8592524442366e-06,2.09943914495098e-05,1.59948560429997e-05,2.09932201647634e-05,3.91821479741138e-05,4.84972898772035e-05,4.36622416142486e-05,3.65725565292697e-05,4.56836918649523e-05,6.18529459730202e-05,7.37962215201132e-05,3.96208704709356e-05,3.15170236942171e-05,2.56458413088312e-05,1.8951146020135e-05
"[55,60)",1.35010858306747e-05,1.45721324233042e-05,8.3516146834483e-06,3.10902790775866e-05,2.26086971537407e-05,4.16556837152371e-05,3.37957281452001e-05,2.77337656360696e-05,2.57378863170301e-05,3.0616121007903e-05,3.96208704709356e-05,3.97475456209825e-05,3.34496065190225e-05,3.33914425853161e-05,1.46042019470807e-05
"[60,65)",1.94056247651265e-05,1.13941025159768e-05,6.77257758191644e-06,7.84674572066692e-06,1.60051555310957e-05,2.90828204510181e-05,2.8031318050669e-05,3.08949759346659e-05,2.61273718316773e-05,2.21413292204003e-05,3.15170236942171e-05,3.34496065190225e-05,5.45366583102432e-05,4.79634245537402e-05,2.61141719954111e-05
"[65,70)",9.77279082132168e-06,5.72434536656911e-06,7.23090499176552e-06,4.46967047502372e-06,1.3714256616435e-05,1.84990997239339e-05,2.53052500255435e-05,2.84780912414004e-05,3.06124042657007e-05,1.86387715448863e-05,2.56458413088312e-05,3.33914425853161e-05,4.79634245537402e-05,6.01155721875305e-05,3.02440164970703e-05
"70+",4.28598813304597e-06,6.92711064895187e-06,5.60987147326371e-06,5.23663333747425e-06,6.15174411578806e-06,1.28349614458459e-05,1.23597760630721e-05,8.05658051164857e-06,1.44536365190895e-05,1.55011830623169e-05,1.8951146020135e-05,1.46042019470807e-05,2.61141719954111e-05,3.02440164970703e-05,3.84935052683764e-05
