"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",7.95215799372036e-07,9.07700839002801e-07,3.86933152540517e-07,2.7239112408756e-07,1.1788865132284e-07,2.62311435038645e-07,3.30828194953372e-07,5.06588949250305e-07,3.30935694647694e-07,8.69817860660712e-08,4.90800377827616e-08,1.03483221663504e-07,1.17052891354905e-07,1.08785670232917e-07,6.01844540638607e-08
"[5,10)",9.077008390028e-07,1.70845900840738e-06,1.03913766056871e-06,6.13539013430994e-07,1.64071843178943e-07,1.58315927115209e-07,2.25697722535947e-07,3.67803467798501e-07,4.54312090304987e-07,2.56174199635032e-07,1.20764565075623e-07,1.09940021942985e-07,9.56916862404619e-08,7.30269959121153e-08,5.59954262443093e-08
"[10,15)",3.86933152540517e-07,1.03913766056871e-06,1.30312245903892e-06,6.57947325512759e-07,1.94122022104682e-07,1.14162555397416e-07,1.12867713210942e-07,2.2863189944325e-07,3.64950791244503e-07,3.64131050211351e-07,2.55640117597683e-07,1.26476971204816e-07,8.98023321084697e-08,6.23293853719447e-08,6.20583620341907e-08
"[15,20)",2.7239112408756e-07,6.13539013430994e-07,6.57947325512759e-07,9.27741245716568e-07,4.80562131036291e-07,1.72777089583054e-07,1.57896937518299e-07,1.77260538254471e-07,2.03186981411133e-07,4.36460060658491e-07,4.06500324140759e-07,2.51142899564546e-07,2.04815905529437e-07,9.26816325775417e-08,1.20069871793962e-07
"[20,25)",1.1788865132284e-07,1.64071843178943e-07,1.94122022104682e-07,4.80562131036291e-07,8.34601895112302e-07,3.04792492748116e-07,2.3733203695664e-07,1.77317422734355e-07,1.58059326604977e-07,2.74293969594797e-07,3.41550873953457e-07,2.87304898373795e-07,2.69321368268005e-07,1.30943075002788e-07,1.32596939662058e-07
"[25,30)",2.62311435038645e-07,1.58315927115209e-07,1.14162555397416e-07,1.72777089583054e-07,3.04792492748116e-07,4.155856154352e-07,3.827043245957e-07,1.87551477823444e-07,1.43927774119203e-07,1.63697373039563e-07,1.81206629017875e-07,2.31206497989397e-07,2.15930490375307e-07,1.25572632203751e-07,7.87370834979209e-08
"[30,35)",3.30828194953372e-07,2.25697722535947e-07,1.12867713210942e-07,1.57896937518299e-07,2.3733203695664e-07,3.827043245957e-07,3.55627724580552e-07,1.92070646691743e-07,1.61631678006599e-07,1.35804067406407e-07,1.55282505817456e-07,1.76019634701272e-07,1.7741206879504e-07,1.40727875192539e-07,1.09708746977645e-07
"[35,40)",5.06588949250305e-07,3.67803467798501e-07,2.2863189944325e-07,1.77260538254471e-07,1.77317422734355e-07,1.87551477823444e-07,1.92070646691743e-07,3.27754471001131e-07,3.18141539057507e-07,1.76712124891276e-07,1.45412549228327e-07,1.45593842145667e-07,1.40270216888659e-07,1.83531057745314e-07,1.18467220504142e-07
"[40,45)",3.30935694647694e-07,4.54312090304987e-07,3.64950791244503e-07,2.03186981411133e-07,1.58059326604977e-07,1.43927774119203e-07,1.61631678006599e-07,3.18141539057507e-07,2.92918199577268e-07,1.69724958357079e-07,1.63630305762699e-07,1.23475462869069e-07,1.42300048862604e-07,1.44810364442276e-07,1.2160313191871e-07
"[45,50)",8.69817860660712e-08,2.56174199635032e-07,3.64131050211351e-07,4.36460060658491e-07,2.74293969594797e-07,1.63697373039563e-07,1.35804067406407e-07,1.76712124891276e-07,1.69724958357079e-07,2.82209249574473e-07,2.98693771817787e-07,1.68100611659797e-07,1.33331900443503e-07,1.18965541555107e-07,1.66494591538381e-07
"[50,55)",4.90800377827616e-08,1.20764565075623e-07,2.55640117597683e-07,4.06500324140759e-07,3.41550873953458e-07,1.81206629017875e-07,1.55282505817456e-07,1.45412549228327e-07,1.63630305762699e-07,2.98693771817787e-07,3.0064265441113e-07,2.27426070895942e-07,1.76900624324742e-07,1.05958098979689e-07,1.44425203752377e-07
"[55,60)",1.03483221663504e-07,1.09940021942985e-07,1.26476971204816e-07,2.51142899564546e-07,2.87304898373795e-07,2.31206497989397e-07,1.76019634701272e-07,1.45593842145667e-07,1.23475462869069e-07,1.68100611659797e-07,2.27426070895942e-07,3.24062825823805e-07,3.71335617940784e-07,1.81998454605453e-07,1.54073021505724e-07
"[60,65)",1.17052891354905e-07,9.56916862404619e-08,8.98023321084697e-08,2.04815905529437e-07,2.69321368268005e-07,2.15930490375307e-07,1.7741206879504e-07,1.40270216888659e-07,1.42300048862604e-07,1.33331900443503e-07,1.76900624324742e-07,3.71335617940784e-07,3.66265835077242e-07,2.24857608900691e-07,1.40551079326019e-07
"[65,70)",1.08785670232917e-07,7.30269959121153e-08,6.23293853719447e-08,9.26816325775417e-08,1.30943075002788e-07,1.25572632203751e-07,1.40727875192539e-07,1.83531057745314e-07,1.44810364442276e-07,1.18965541555107e-07,1.05958098979689e-07,1.81998454605453e-07,2.24857608900691e-07,5.29308453983862e-07,2.31483863909105e-07
"70+",6.01844540638607e-08,5.59954262443093e-08,6.20583620341907e-08,1.20069871793962e-07,1.32596939662058e-07,7.87370834979209e-08,1.09708746977645e-07,1.18467220504142e-07,1.2160313191871e-07,1.66494591538381e-07,1.44425203752377e-07,1.54073021505724e-07,1.40551079326019e-07,2.31483863909105e-07,5.11166191023517e-07
