"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",4.12535462455907e-06,2.24768143989578e-06,2.83600259039081e-07,2.25314799532804e-07,3.07537352098417e-07,4.1755476501432e-07,8.78569191397182e-07,8.14176843845953e-07,1.26374314487716e-06,1.04154737498313e-07,2.2521811767822e-07,2.81909150717531e-07,5.47541057315866e-07,2.71035424998967e-07,5.29118150514308e-08
"[5,10)",2.24768143989578e-06,1.21148661294647e-05,1.35066795666875e-06,1.97519063161395e-07,9.70716963783715e-08,7.19636722644795e-07,7.21572530529204e-07,1.3638060562777e-06,1.49239534191975e-06,5.8240480915663e-07,2.86766215112343e-07,1.38612516071508e-07,4.93562262349154e-07,3.231867942814e-07,1.29606534797753e-07
"[10,15)",2.83600259039081e-07,1.35066795666875e-06,9.51084449201444e-06,1.89578029547054e-06,1.22410247257967e-07,7.29127401363167e-08,8.64656119933088e-07,8.93445351163983e-07,9.44735323813311e-07,8.07916037426335e-07,2.28619198107256e-07,1.8401421687001e-07,1.14207203393852e-07,1.77516250579183e-07,2.21366991597977e-07
"[15,20)",2.25314799532804e-07,1.97519063161394e-07,1.89578029547054e-06,7.54127173817191e-06,1.0008177882267e-06,3.19302754795352e-07,1.26953044917962e-06,3.22007193147215e-07,4.04306090328797e-07,8.52654788483214e-07,5.59737211417108e-07,3.82251111035358e-07,1.95301819006939e-07,1.08295429932857e-07,6.31548921126009e-07
"[20,25)",3.07537352098417e-07,9.70716963783715e-08,1.22410247257967e-07,1.0008177882267e-06,2.48503542728631e-06,1.15439224209749e-06,1.70246428156711e-06,1.04962853463875e-06,9.90798498063041e-07,6.5097047383887e-07,2.11626685920036e-06,5.63922209612119e-07,3.02816837965749e-07,1.13404394499177e-07,2.52399199649222e-07
"[25,30)",4.1755476501432e-07,7.19636722644795e-07,7.29127401363167e-08,3.19302754795352e-07,1.15439224209749e-06,1.62320493614948e-06,1.85816738757192e-06,6.16325237079034e-07,9.70504937043075e-07,7.86886238181011e-07,1.53375203038424e-06,4.5440768558297e-07,4.12497623210031e-07,2.54040992876463e-07,2.29611597779181e-07
"[30,35)",8.78569191397182e-07,7.21572530529204e-07,8.64656119933088e-07,1.26953044917962e-06,1.70246428156711e-06,1.85816738757192e-06,3.42902014034979e-06,1.46539500411392e-06,1.64703507793078e-06,8.70620426522855e-07,5.90957852594255e-07,4.3079651347003e-07,8.68389193684349e-07,9.69036292442238e-08,4.88831727591208e-07
"[35,40)",8.14176843845954e-07,1.3638060562777e-06,8.93445351163983e-07,3.22007193147215e-07,1.04962853463875e-06,6.16325237079034e-07,1.46539500411392e-06,2.73472166456585e-06,1.47769338341726e-06,1.35908408916739e-06,9.93425103094927e-07,4.03499868955763e-07,8.93238920650673e-07,7.15403471403226e-07,2.96717562040742e-07
"[40,45)",1.26374314487716e-06,1.49239534191975e-06,9.44735323813311e-07,4.04306090328797e-07,9.90798498063041e-07,9.70504937043075e-07,1.64703507793078e-06,1.47769338341726e-06,1.6165805631482e-06,1.28685597961409e-06,6.09790784259112e-07,5.32520656095878e-07,5.62063592579569e-07,4.23205879537236e-07,2.7538678731092e-07
"[45,50)",1.04154737498313e-07,5.8240480915663e-07,8.07916037426335e-07,8.52654788483214e-07,6.5097047383887e-07,7.86886238181011e-07,8.70620426522855e-07,1.35908408916739e-06,1.28685597961409e-06,1.44938219048857e-06,8.65836301983204e-07,8.83362656702822e-07,3.96257476894619e-07,1.02541325041369e-07,5.62510679512163e-07
"[50,55)",2.2521811767822e-07,2.86766215112343e-07,2.28619198107256e-07,5.59737211417108e-07,2.11626685920036e-06,1.53375203038424e-06,5.90957852594255e-07,9.93425103094928e-07,6.09790784259111e-07,8.65836301983204e-07,1.17491032407943e-06,9.49533180456546e-07,7.29173107051948e-07,4.31315240437338e-07,3.6348390302558e-07
"[55,60)",2.81909150717531e-07,1.38612516071508e-07,1.8401421687001e-07,3.82251111035358e-07,5.63922209612119e-07,4.5440768558297e-07,4.3079651347003e-07,4.03499868955763e-07,5.32520656095878e-07,8.83362656702822e-07,9.49533180456546e-07,1.91377980344009e-06,1.35522024466569e-06,8.02148346392646e-07,3.44723566203094e-07
"[60,65)",5.47541057315866e-07,4.93562262349154e-07,1.14207203393852e-07,1.95301819006939e-07,3.02816837965749e-07,4.12497623210031e-07,8.68389193684349e-07,8.93238920650673e-07,5.62063592579569e-07,3.96257476894619e-07,7.29173107051948e-07,1.35522024466569e-06,2.07819980304694e-06,1.14841449898536e-06,7.77108390097149e-07
"[65,70)",2.71035424998967e-07,3.231867942814e-07,1.77516250579183e-07,1.08295429932857e-07,1.13404394499177e-07,2.54040992876463e-07,9.69036292442238e-08,7.15403471403226e-07,4.23205879537236e-07,1.02541325041369e-07,4.31315240437337e-07,8.02148346392646e-07,1.14841449898536e-06,1.12764765136435e-06,9.69123641876443e-07
"70+",5.29118150514308e-08,1.29606534797753e-07,2.21366991597977e-07,6.31548921126009e-07,2.52399199649222e-07,2.29611597779181e-07,4.88831727591208e-07,2.96717562040742e-07,2.7538678731092e-07,5.62510679512163e-07,3.6348390302558e-07,3.44723566203094e-07,7.77108390097149e-07,9.69123641876443e-07,1.34255181289012e-06
