"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",6.46130286239459e-07,3.44907024120676e-07,2.17744708320062e-07,1.15016459435223e-07,1.65191752797677e-07,3.24613513297895e-07,3.23409880523748e-07,2.31638859877853e-07,1.17248467137942e-07,9.82265458411602e-08,1.81778381787958e-07,1.75996689312051e-07,1.66630835586595e-07,1.34435845000613e-07,1.11266642726483e-07
"[5,10)",3.44907024120676e-07,3.03575538806953e-06,6.13508440715949e-07,1.32813533616954e-07,7.98484533938684e-08,2.10797362694091e-07,4.36603536058215e-07,3.64687859263464e-07,2.89479243111731e-07,1.29342740632732e-07,1.42685433428702e-07,2.19213841605904e-07,1.65044804913911e-07,1.49901198366456e-07,1.11875335665236e-07
"[10,15)",2.17744708320062e-07,6.13508440715949e-07,5.11536578487048e-06,5.40124448606883e-07,1.46169269109639e-07,1.82819511435535e-07,3.66074073064924e-07,3.98404376181307e-07,3.18869831495473e-07,1.58315832233768e-07,1.37654387941199e-07,1.49782650302038e-07,1.33877631556955e-07,1.10748719943699e-07,1.19095357076668e-07
"[15,20)",1.15016459435223e-07,1.32813533616954e-07,5.40124448606883e-07,4.17137906544432e-06,6.29134819001019e-07,2.52300769425488e-07,2.49348662162036e-07,4.23051868257434e-07,4.30115962769268e-07,3.57530863190123e-07,2.20336885732605e-07,1.84152417924056e-07,1.63646653742744e-07,1.54488566896639e-07,1.01046001513551e-07
"[20,25)",1.65191752797677e-07,7.98484533938684e-08,1.46169269109639e-07,6.29134819001019e-07,1.94158550479228e-06,7.29280497917517e-07,4.55961123398778e-07,4.14595761120346e-07,4.51732751343781e-07,3.94150467052947e-07,3.91718483855425e-07,3.35335517857001e-07,2.063130109579e-07,1.1424550594239e-07,1.0875869594333e-07
"[25,30)",3.24613513297895e-07,2.10797362694091e-07,1.82819511435535e-07,2.52300769425488e-07,7.29280497917517e-07,1.14800272506536e-06,7.64956059759266e-07,6.82683462666616e-07,5.3345136441553e-07,4.60112585494122e-07,5.46735353961393e-07,3.93754741164707e-07,2.86884150417069e-07,2.80278734469506e-07,1.03819594966362e-07
"[30,35)",3.23409880523748e-07,4.36603536058216e-07,3.66074073064924e-07,2.49348662162036e-07,4.55961123398778e-07,7.64956059759266e-07,8.94629669666526e-07,7.9633072514851e-07,6.05962790682287e-07,4.83550274883505e-07,4.59352300434603e-07,3.85220238833911e-07,4.30579709844222e-07,2.88000063677918e-07,1.16571581387587e-07
"[35,40)",2.31638859877853e-07,3.64687859263464e-07,3.98404376181307e-07,4.23051868257434e-07,4.14595761120346e-07,6.82683462666616e-07,7.9633072514851e-07,1.34881656901654e-06,7.60268858363792e-07,5.17857823644617e-07,4.3857771718763e-07,4.00486258002068e-07,4.17388081594733e-07,3.91231604788428e-07,2.61223881492332e-07
"[40,45)",1.17248467137942e-07,2.89479243111731e-07,3.18869831495473e-07,4.30115962769268e-07,4.51732751343781e-07,5.3345136441553e-07,6.05962790682287e-07,7.60268858363792e-07,1.01710771767809e-06,5.43683868985811e-07,4.9897755584085e-07,3.36420343348814e-07,4.15715672170669e-07,4.27779978185624e-07,2.06775810734291e-07
"[45,50)",9.82265458411602e-08,1.29342740632732e-07,1.58315832233768e-07,3.57530863190123e-07,3.94150467052947e-07,4.60112585494121e-07,4.83550274883505e-07,5.17857823644617e-07,5.43683868985811e-07,7.10903331227129e-07,5.07134781223638e-07,3.27016065602965e-07,2.00607883800065e-07,2.378926025359e-07,2.00203674735721e-07
"[50,55)",1.81778381787958e-07,1.42685433428702e-07,1.37654387941199e-07,2.20336885732605e-07,3.91718483855425e-07,5.46735353961393e-07,4.59352300434602e-07,4.3857771718763e-07,4.9897755584085e-07,5.07134781223638e-07,5.004453322827e-07,4.15354438966049e-07,2.51613137108804e-07,2.16147250416207e-07,2.30103088889216e-07
"[55,60)",1.75996689312051e-07,2.19213841605904e-07,1.49782650302038e-07,1.84152417924056e-07,3.35335517857001e-07,3.93754741164707e-07,3.85220238833911e-07,4.00486258002068e-07,3.36420343348814e-07,3.27016065602965e-07,4.15354438966049e-07,7.84303381242473e-07,5.23405504403543e-07,3.40107900874198e-07,2.18921755997538e-07
"[60,65)",1.66630835586595e-07,1.65044804913911e-07,1.33877631556955e-07,1.63646653742744e-07,2.063130109579e-07,2.86884150417069e-07,4.30579709844222e-07,4.17388081594733e-07,4.15715672170669e-07,2.00607883800065e-07,2.51613137108804e-07,5.23405504403543e-07,7.45293848127662e-07,3.76505344309584e-07,2.10571852426365e-07
"[65,70)",1.34435845000613e-07,1.49901198366456e-07,1.10748719943699e-07,1.54488566896639e-07,1.1424550594239e-07,2.80278734469506e-07,2.88000063677918e-07,3.91231604788428e-07,4.27779978185624e-07,2.378926025359e-07,2.16147250416207e-07,3.40107900874199e-07,3.76505344309584e-07,4.7260350550183e-07,2.60437730095778e-07
"70+",1.11266642726483e-07,1.11875335665236e-07,1.19095357076668e-07,1.01046001513551e-07,1.0875869594333e-07,1.03819594966362e-07,1.16571581387587e-07,2.61223881492332e-07,2.06775810734291e-07,2.00203674735721e-07,2.30103088889216e-07,2.18921755997538e-07,2.10571852426365e-07,2.60437730095778e-07,4.11846270774088e-07
