"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",2.51477108737614e-06,1.67881783719911e-06,1.84551706702605e-06,1.04416906092568e-06,2.49697398291134e-07,4.91289867153192e-07,8.60513917219993e-07,7.62631006056245e-07,4.70144350037055e-07,3.70347242429526e-07,2.36009666762129e-07,2.11121573817063e-07,2.3538003786889e-07,2.29762249355628e-07,9.75280188869795e-08
"[5,10)",1.67881783719911e-06,4.83628158222253e-06,3.35442171771671e-06,1.63158915875594e-06,2.78228967280575e-07,2.71507971079219e-07,3.59466928150959e-07,6.84354550726183e-07,7.55468800622715e-07,6.68999925905736e-07,3.63475483898227e-07,3.24809810471462e-07,2.93543587914305e-07,1.83111590270636e-07,1.1335749783704e-07
"[10,15)",1.84551706702605e-06,3.35442171771671e-06,4.54416585197822e-06,2.41873219673875e-06,3.67056781210819e-07,2.5649013524825e-07,2.79291821694636e-07,5.64513603608308e-07,7.41703932784555e-07,7.12861650463607e-07,6.42609345074493e-07,3.59529777879365e-07,2.68804594269814e-07,1.67072243805116e-07,1.16939350504919e-07
"[15,20)",1.04416906092568e-06,1.63158915875594e-06,2.41873219673875e-06,1.87743512673011e-06,5.06582566430501e-07,3.78648953045708e-07,2.06143837432184e-07,3.08162191677835e-07,4.38519149248157e-07,7.50268068265167e-07,6.50938620725536e-07,5.45321094731888e-07,2.20233626572148e-07,1.36582390106074e-07,1.39622785342749e-07
"[20,25)",2.49697398291134e-07,2.78228967280575e-07,3.67056781210819e-07,5.06582566430501e-07,1.00280875219465e-06,7.35565275887003e-07,4.3873271455397e-07,2.64500021731388e-07,2.946338790799e-07,5.06767229354765e-07,6.62710977582835e-07,6.57280606987175e-07,4.1814619548088e-07,1.90870863075189e-07,1.4824877505992e-07
"[25,30)",4.91289867153192e-07,2.71507971079219e-07,2.5649013524825e-07,3.78648953045708e-07,7.35565275887003e-07,6.03624161853278e-07,6.00946522840976e-07,4.04059779587444e-07,2.61652685826518e-07,4.0783470362845e-07,4.81183411356844e-07,4.58579807390456e-07,4.59189341181034e-07,3.05279609618745e-07,1.3816509582406e-07
"[30,35)",8.60513917219993e-07,3.59466928150959e-07,2.79291821694636e-07,2.06143837432184e-07,4.3873271455397e-07,6.00946522840976e-07,5.39287752976881e-07,4.88474770683781e-07,3.89067257767575e-07,2.67183681810464e-07,3.63787776384986e-07,4.13660085271175e-07,3.40273375450582e-07,2.93567073462126e-07,1.5474271075832e-07
"[35,40)",7.62631006056245e-07,6.84354550726183e-07,5.64513603608308e-07,3.08162191677835e-07,2.64500021731388e-07,4.04059779587444e-07,4.88474770683781e-07,4.68510751320497e-07,5.29943155579652e-07,4.37692372392005e-07,2.88530482136978e-07,3.24577495923827e-07,2.93615598539998e-07,2.93034967857607e-07,1.76109425873268e-07
"[40,45)",4.70144350037055e-07,7.55468800622715e-07,7.41703932784555e-07,4.38519149248157e-07,2.946338790799e-07,2.61652685826518e-07,3.89067257767575e-07,5.29943155579652e-07,5.56877275141863e-07,6.03774838191114e-07,4.09061003631848e-07,2.51992106293839e-07,2.44086943204519e-07,2.76702726016575e-07,2.2333180669351e-07
"[45,50)",3.70347242429526e-07,6.68999925905736e-07,7.12861650463607e-07,7.50268068265167e-07,5.06767229354765e-07,4.0783470362845e-07,2.67183681810464e-07,4.37692372392005e-07,6.03774838191114e-07,6.10009271125999e-07,6.08213961705659e-07,4.27264463801425e-07,2.77537737769262e-07,2.53635275220695e-07,1.97194758296489e-07
"[50,55)",2.36009666762129e-07,3.63475483898227e-07,6.42609345074493e-07,6.50938620725536e-07,6.62710977582835e-07,4.81183411356844e-07,3.63787776384986e-07,2.88530482136978e-07,4.09061003631848e-07,6.08213961705659e-07,5.38413560101971e-07,5.7228254305913e-07,4.34153259898661e-07,1.78093358416325e-07,2.2349314700047e-07
"[55,60)",2.11121573817063e-07,3.24809810471462e-07,3.59529777879365e-07,5.45321094731888e-07,6.57280606987175e-07,4.58579807390456e-07,4.13660085271175e-07,3.24577495923827e-07,2.51992106293839e-07,4.27264463801425e-07,5.7228254305913e-07,5.54521395511273e-07,5.38203717828493e-07,3.22691294515842e-07,2.4130778469588e-07
"[60,65)",2.3538003786889e-07,2.93543587914305e-07,2.68804594269814e-07,2.20233626572148e-07,4.1814619548088e-07,4.59189341181034e-07,3.40273375450582e-07,2.93615598539998e-07,2.44086943204519e-07,2.77537737769262e-07,4.34153259898661e-07,5.38203717828493e-07,5.54394683084014e-07,5.85880761351585e-07,1.65719229161853e-07
"[65,70)",2.29762249355628e-07,1.83111590270636e-07,1.67072243805116e-07,1.36582390106074e-07,1.90870863075189e-07,3.05279609618745e-07,2.93567073462125e-07,2.93034967857607e-07,2.76702726016575e-07,2.53635275220695e-07,1.78093358416325e-07,3.22691294515842e-07,5.85880761351584e-07,7.08321872362146e-07,3.04159286322054e-07
"70+",9.75280188869795e-08,1.1335749783704e-07,1.16939350504919e-07,1.39622785342749e-07,1.4824877505992e-07,1.3816509582406e-07,1.5474271075832e-07,1.76109425873268e-07,2.2333180669351e-07,1.97194758296489e-07,2.2349314700047e-07,2.4130778469588e-07,1.65719229161853e-07,3.04159286322054e-07,5.05939897126018e-07
