"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",2.94217347307155e-06,2.08050297387491e-06,2.15843354856036e-06,1.36747354911112e-06,5.01330640404341e-07,9.95472630250841e-07,1.3830204847621e-06,1.17365745409042e-06,8.18271112895945e-07,4.75762102326533e-07,3.90932396789456e-07,3.68464474666843e-07,3.07298087417563e-07,3.5928178661664e-07,1.40797091626571e-07
"[5,10)",2.08050297387491e-06,5.24581865259803e-06,4.90823034157721e-06,2.08092992266034e-06,4.59095100938305e-07,4.02239429928144e-07,1.02576150158602e-06,1.18360053374691e-06,1.5508765180419e-06,1.07953983513785e-06,5.95964364563189e-07,3.39536615051598e-07,3.53735346078314e-07,6.33538169161922e-07,2.86300674431041e-07
"[10,15)",2.15843354856036e-06,4.90823034157721e-06,4.60544841903625e-06,2.72676770515952e-06,5.72113497818621e-07,4.42348169293253e-07,7.83141256137655e-07,1.02292493339875e-06,1.63147044831447e-06,1.02710801694254e-06,8.83325382934774e-07,4.22339380659799e-07,3.70480113077782e-07,3.08879851173684e-07,2.74448734486959e-07
"[15,20)",1.36747354911112e-06,2.08092992266034e-06,2.72676770515952e-06,3.35506576409744e-06,7.63545497707581e-07,5.7423330407441e-07,5.13885772478163e-07,6.82638805156273e-07,1.46494806254733e-06,1.63032606480595e-06,1.07414419716219e-06,6.64755191458304e-07,4.18434887877814e-07,5.10592915708407e-07,4.80130107377986e-07
"[20,25)",5.01330640404341e-07,4.59095100938305e-07,5.72113497818621e-07,7.63545497707581e-07,8.64624291534346e-07,1.0227340768947e-06,5.7049696911693e-07,4.62946898099484e-07,6.86631290926076e-07,7.73274443761408e-07,7.65709433161737e-07,5.44611654766261e-07,4.39595945809684e-07,3.20278053818279e-07,2.96789464644645e-07
"[25,30)",9.95472630250841e-07,4.02239429928144e-07,4.42348169293253e-07,5.7423330407441e-07,1.0227340768947e-06,8.77887113742427e-07,7.29289557674284e-07,5.7622700259423e-07,4.86084660553011e-07,7.37234524773769e-07,8.472940065243e-07,5.40382441400421e-07,4.1781357586664e-07,3.53333207786887e-07,3.07592833315699e-07
"[30,35)",1.3830204847621e-06,1.02576150158602e-06,7.83141256137655e-07,5.13885772478163e-07,5.7049696911693e-07,7.29289557674283e-07,7.81837157723042e-07,7.8750243892811e-07,7.1615487502661e-07,5.41779045333241e-07,5.64417417596423e-07,6.95793410842933e-07,4.9583385854406e-07,4.104534839638e-07,3.35259589382635e-07
"[35,40)",1.17365745409042e-06,1.18360053374691e-06,1.02292493339875e-06,6.82638805156273e-07,4.62946898099484e-07,5.7622700259423e-07,7.8750243892811e-07,8.91405732547087e-07,1.11362011238774e-06,7.07917657505409e-07,5.84870611194991e-07,5.52412565710348e-07,6.14946043573683e-07,4.85028234531019e-07,2.55971112182516e-07
"[40,45)",8.18271112895945e-07,1.5508765180419e-06,1.63147044831447e-06,1.46494806254733e-06,6.86631290926076e-07,4.86084660553011e-07,7.1615487502661e-07,1.11362011238774e-06,1.23084161540747e-06,1.15603435531705e-06,8.9451267030822e-07,5.9479363804916e-07,6.5994113564756e-07,6.4458647927913e-07,5.69275989584644e-07
"[45,50)",4.75762102326533e-07,1.07953983513785e-06,1.02710801694254e-06,1.63032606480595e-06,7.73274443761408e-07,7.37234524773769e-07,5.41779045333241e-07,7.07917657505409e-07,1.15603435531705e-06,1.16216420490005e-06,1.06584629067306e-06,8.26360726714451e-07,5.50969689442971e-07,5.65594345479222e-07,5.24489885998713e-07
"[50,55)",3.90932396789456e-07,5.95964364563189e-07,8.83325382934774e-07,1.07414419716219e-06,7.65709433161737e-07,8.472940065243e-07,5.64417417596423e-07,5.84870611194991e-07,8.9451267030822e-07,1.06584629067306e-06,1.15280272718353e-06,9.50726035335612e-07,8.24860969005674e-07,5.63634618611158e-07,6.24918528682111e-07
"[55,60)",3.68464474666843e-07,3.39536615051598e-07,4.22339380659799e-07,6.64755191458304e-07,5.44611654766261e-07,5.40382441400421e-07,6.95793410842933e-07,5.52412565710348e-07,5.9479363804916e-07,8.26360726714451e-07,9.50726035335612e-07,8.3249325312182e-07,8.8131931927132e-07,5.84583658012955e-07,4.32796184159964e-07
"[60,65)",3.07298087417563e-07,3.53735346078314e-07,3.70480113077782e-07,4.18434887877814e-07,4.39595945809684e-07,4.1781357586664e-07,4.9583385854406e-07,6.14946043573684e-07,6.59941135647561e-07,5.50969689442971e-07,8.24860969005674e-07,8.8131931927132e-07,7.98683132799078e-07,1.03411395461694e-06,5.13616979395516e-07
"[65,70)",3.5928178661664e-07,6.33538169161922e-07,3.08879851173684e-07,5.10592915708407e-07,3.20278053818279e-07,3.53333207786887e-07,4.104534839638e-07,4.85028234531019e-07,6.4458647927913e-07,5.65594345479222e-07,5.63634618611158e-07,5.84583658012955e-07,1.03411395461694e-06,1.40416895918299e-06,9.69612801515395e-07
"70+",1.40797091626571e-07,2.86300674431041e-07,2.74448734486959e-07,4.80130107377986e-07,2.96789464644645e-07,3.07592833315699e-07,3.35259589382635e-07,2.55971112182516e-07,5.69275989584644e-07,5.24489885998713e-07,6.24918528682111e-07,4.32796184159964e-07,5.13616979395516e-07,9.69612801515395e-07,9.40801272544381e-07
