"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","70+"
"[0,5)",6.25159570212328e-06,3.50128558980408e-06,2.58127508821234e-06,2.0698597901365e-06,1.71183580052622e-06,2.91994828747437e-06,4.31327529809601e-06,3.24424483375436e-06,2.23217626261522e-06,1.41980292529366e-06,1.07206733744225e-06,1.26803425542348e-06,1.09082834924431e-06,9.85303118037628e-07,7.38572222035829e-07
"[5,10)",3.50128558980408e-06,4.10387678424983e-06,5.15612041164854e-06,2.45296604921474e-06,1.39575332335231e-06,1.32186457485502e-06,2.43833434758398e-06,3.28751893510235e-06,3.53522511374503e-06,2.3816383950354e-06,1.37890045223519e-06,1.05324081029442e-06,1.07864578916427e-06,1.48609862005037e-06,7.63386852696403e-07
"[10,15)",2.58127508821234e-06,5.15612041164854e-06,6.31023875509673e-06,3.0866381744322e-06,1.75318222795528e-06,1.13654006178646e-06,1.9403055824009e-06,2.6504407463847e-06,3.78320588279597e-06,3.38606084337302e-06,1.83917082642636e-06,1.2866638918625e-06,9.17562932574066e-07,8.3797002054123e-07,7.09768283356049e-07
"[15,20)",2.0698597901365e-06,2.45296604921474e-06,3.0866381744322e-06,5.04270648694441e-06,3.10567530044307e-06,2.30415921651851e-06,1.52820868565143e-06,1.42356299131107e-06,3.11098220159016e-06,3.36587993347605e-06,2.61246062895286e-06,1.70740438720081e-06,1.09784279370899e-06,6.55816552690921e-07,5.10250713298621e-07
"[20,25)",1.71183580052622e-06,1.39575332335231e-06,1.75318222795528e-06,3.10567530044307e-06,4.22101580895415e-06,3.17091737722869e-06,2.39392785788271e-06,1.43723577155406e-06,2.02898605518737e-06,2.49385467810435e-06,2.70950817098048e-06,2.30407473218327e-06,1.54700596112628e-06,1.62901652045191e-06,1.16588455118698e-06
"[25,30)",2.91994828747437e-06,1.32186457485502e-06,1.13654006178646e-06,2.30415921651851e-06,3.17091737722869e-06,2.60740010109035e-06,2.74634706858569e-06,2.07953406747299e-06,1.56805616127998e-06,1.90054755156091e-06,2.308699120596e-06,1.77186757480256e-06,1.6416179962929e-06,1.30702760502188e-06,1.27295385545618e-06
"[30,35)",4.31327529809601e-06,2.43833434758398e-06,1.9403055824009e-06,1.52820868565143e-06,2.39392785788271e-06,2.74634706858569e-06,2.83256940208034e-06,2.54332199661202e-06,2.33014344527299e-06,1.6624060087443e-06,1.85880031797645e-06,2.20788118404005e-06,1.64992578133478e-06,1.80165997269209e-06,1.35908840049028e-06
"[35,40)",3.24424483375436e-06,3.28751893510235e-06,2.6504407463847e-06,1.42356299131107e-06,1.43723577155406e-06,2.07953406747299e-06,2.54332199661202e-06,2.4996240960487e-06,2.83929979992922e-06,2.17918017696485e-06,1.57520682493534e-06,1.63944821124432e-06,1.71909440287561e-06,1.57285373668934e-06,1.09629515652139e-06
"[40,45)",2.23217626261522e-06,3.53522511374503e-06,3.78320588279597e-06,3.11098220159016e-06,2.02898605518737e-06,1.56805616127998e-06,2.33014344527299e-06,2.83929979992922e-06,2.61332939493068e-06,2.66776891282317e-06,2.06362619621612e-06,1.36277578515926e-06,1.38506994268054e-06,1.61457569350114e-06,1.15032114706009e-06
"[45,50)",1.41980292529366e-06,2.3816383950354e-06,3.38606084337302e-06,3.36587993347605e-06,2.49385467810435e-06,1.90054755156091e-06,1.66240600874429e-06,2.17918017696485e-06,2.66776891282317e-06,2.57179772464605e-06,2.64500518605062e-06,1.92302676149022e-06,1.05929069216824e-06,1.30853395977164e-06,9.86323434918567e-07
"[50,55)",1.07206733744225e-06,1.37890045223519e-06,1.83917082642636e-06,2.61246062895286e-06,2.70950817098048e-06,2.308699120596e-06,1.85880031797645e-06,1.57520682493534e-06,2.06362619621612e-06,2.64500518605062e-06,2.67755277003757e-06,2.38708803914235e-06,1.44654872333508e-06,1.32173195206214e-06,1.35519937187366e-06
"[55,60)",1.26803425542348e-06,1.05324081029442e-06,1.2866638918625e-06,1.70740438720081e-06,2.30407473218327e-06,1.77186757480256e-06,2.20788118404005e-06,1.63944821124432e-06,1.36277578515926e-06,1.92302676149022e-06,2.38708803914235e-06,2.05409692916783e-06,1.91492248881999e-06,1.47337233908196e-06,1.17436395013813e-06
"[60,65)",1.09082834924431e-06,1.07864578916427e-06,9.17562932574066e-07,1.09784279370899e-06,1.54700596112628e-06,1.6416179962929e-06,1.64992578133478e-06,1.71909440287561e-06,1.38506994268054e-06,1.05929069216824e-06,1.44654872333508e-06,1.91492248881999e-06,1.90588036599337e-06,2.44468352424031e-06,8.76915612563695e-07
"[65,70)",9.85303118037628e-07,1.48609862005037e-06,8.37970020541231e-07,6.55816552690921e-07,1.62901652045191e-06,1.30702760502188e-06,1.80165997269209e-06,1.57285373668934e-06,1.61457569350114e-06,1.30853395977164e-06,1.32173195206214e-06,1.47337233908196e-06,2.44468352424031e-06,3.20055558177377e-06,2.35492938625057e-06
"70+",7.38572222035829e-07,7.63386852696403e-07,7.09768283356049e-07,5.10250713298621e-07,1.16588455118698e-06,1.27295385545618e-06,1.35908840049028e-06,1.09629515652139e-06,1.15032114706009e-06,9.86323434918567e-07,1.35519937187366e-06,1.17436395013813e-06,8.76915612563695e-07,2.35492938625057e-06,3.26599426031117e-06
